,1,2,0
VIB,0.48342857142857143,0.28114285714285714,0.23542857142857143
VCB,0.5348571428571428,0.2377142857142857,0.22742857142857142
HPG,0.49028571428571427,0.2777142857142857,0.232
HDB,0.504,0.25142857142857145,0.24457142857142858
VIC,0.6354285714285715,0.18057142857142858,0.184
VJC,0.6457142857142857,0.17142857142857143,0.18285714285714286
VHM,0.5325714285714286,0.23085714285714284,0.23657142857142857
BVH,0.456,0.2742857142857143,0.26971428571428574
MSN,0.47085714285714286,0.2674285714285714,0.26171428571428573
PDR,0.576,0.2377142857142857,0.18628571428571428
BCM,0.4617142857142857,0.28114285714285714,0.2571428571428571
SAB,0.5977142857142858,0.2,0.2022857142857143
TPB,0.5417142857142857,0.2422857142857143,0.216
SSI,0.4582857142857143,0.2845714285714286,0.2571428571428571
GVR,0.32457142857142857,0.3565714285714286,0.31885714285714284
VRE,0.44457142857142856,0.2834285714285714,0.272
GAS,0.456,0.28,0.264
TCB,0.5268571428571428,0.26171428571428573,0.21142857142857144
PLX,0.5497142857142857,0.22857142857142856,0.22171428571428572
FPT,0.5611428571428572,0.25257142857142856,0.18628571428571428
MBB,0.5245714285714286,0.264,0.21142857142857144
POW,0.4514285714285714,0.26857142857142857,0.28
ACB,0.5691428571428572,0.23657142857142857,0.19428571428571428
BID,0.4857142857142857,0.2834285714285714,0.23085714285714284
STB,0.48,0.2662857142857143,0.2537142857142857
VNM,0.608,0.18171428571428572,0.2102857142857143
MWG,0.5325714285714286,0.26057142857142856,0.20685714285714285
NVL,0.6331428571428571,0.18971428571428572,0.17714285714285713
VPB,0.4617142857142857,0.28914285714285715,0.24914285714285714
CTG,0.4754285714285714,0.2674285714285714,0.2571428571428571
vn30_test,0.4218954248366013,0.27941176470588236,0.29869281045751633
