date,open,high,low,close,volume
1999-01-04,6.200074,6.888307,6.200074,6.858383,1871200
1999-01-05,6.834443,6.840429,6.756644,6.756644,522400
1999-01-06,6.756647,6.828463,6.738692,6.792555,275200
1999-01-07,6.768617,7.133678,6.732709,7.085801,934400
1999-01-08,7.109741,7.325188,6.810510,6.846417,1019200
1999-01-11,6.996032,7.121709,6.918231,7.025955,607200
1999-01-12,7.025954,7.636386,7.008000,7.546617,1876800
1999-01-13,7.456848,7.600479,7.253370,7.582526,2158400
1999-01-14,7.570558,7.684265,7.540634,7.540634,579200
1999-01-15,7.540633,7.911680,7.540633,7.612448,1967200
1999-01-19,7.588511,7.720173,7.588511,7.648357,475200
1999-01-20,7.624417,7.923648,7.618433,7.744110,526400
1999-01-21,7.744107,7.762062,7.468814,7.762062,1192000
1999-01-22,7.708203,7.756080,7.588510,7.726157,596800
1999-01-25,7.702217,7.750094,7.612447,7.660324,638400
1999-01-26,7.660323,7.660323,7.402985,7.432907,1163200
1999-01-27,7.492752,7.618430,7.121705,7.181551,1726400
1999-01-28,7.193521,7.301244,7.175567,7.229428,1641600
1999-01-29,7.253372,7.456850,7.253372,7.420942,951200
1999-02-01,7.444878,7.522679,7.385032,7.468817,743200
1999-02-02,7.492755,7.492755,7.325185,7.444878,551200
1999-02-03,7.426924,7.432908,7.343139,7.391016,1599200
1999-02-04,7.391019,7.516696,7.391019,7.408972,843200
1999-02-05,7.325187,7.349125,7.325187,7.325187,18862400
1999-02-08,7.349125,7.349125,6.978078,7.097770,2912800
1999-02-09,7.181557,7.205495,6.894294,6.894294,2179200
1999-02-10,6.894291,7.121707,6.894291,7.049891,1727200
1999-02-11,7.073829,7.271322,7.073829,7.235415,1064800
1999-02-12,7.211479,7.361093,7.133678,7.193524,768800
1999-02-16,7.187540,7.277309,7.115725,7.169586,420000
1999-02-17,7.175569,7.175569,7.037922,7.049891,381600
1999-02-18,7.055879,7.133678,6.876340,6.984063,671200
1999-02-19,6.978077,7.067847,6.894292,6.906261,369600
1999-02-22,6.894294,7.025956,6.828463,7.002017,1020800
1999-02-23,7.008002,7.193524,7.008002,7.097770,721600
1999-02-24,7.097768,7.253369,7.025953,7.049891,605600
1999-02-25,7.133678,7.133678,6.858385,6.984063,450400
1999-02-26,6.978077,7.145647,6.966108,7.145647,283200
1999-03-01,7.145648,7.229433,7.133679,7.157618,297600
1999-03-02,7.163602,7.217463,7.145647,7.145647,876800
1999-03-03,7.193527,7.265342,7.157619,7.199512,675200
1999-03-04,7.223446,7.223446,7.181553,7.205492,592800
1999-03-05,7.277309,7.337156,7.259356,7.307233,1073600
1999-03-08,7.283293,7.307232,7.193523,7.283293,1252800
1999-03-09,7.277308,7.277308,7.223447,7.277308,413600
1999-03-10,7.313215,7.337154,7.241400,7.277308,580800
1999-03-11,7.361094,7.361094,7.109739,7.139663,736000
1999-03-12,7.151633,7.211479,7.097770,7.097770,347200
1999-03-15,7.049894,7.073832,6.798539,6.888309,2100000
1999-03-16,6.912246,7.049892,6.906261,6.930199,486400
1999-03-17,6.978078,6.984064,6.900279,6.954140,440800
1999-03-18,6.930199,6.990045,6.894291,6.966107,1188800
1999-03-19,6.942168,6.942168,6.888307,6.930199,410400
1999-03-22,6.942169,6.942169,6.810507,6.810507,325600
1999-03-23,6.810505,6.810505,6.511274,6.565136,761600
1999-03-24,6.535216,6.571124,6.403554,6.571124,1000000
1999-03-25,6.595061,6.870354,6.595061,6.714754,816400
1999-03-26,6.678846,6.786570,6.547185,6.607031,1016400
1999-03-29,6.583092,6.726723,6.583092,6.607031,639200
1999-03-30,6.559153,6.595061,6.463399,6.463399,472400
1999-03-31,6.499307,6.559153,6.463399,6.547184,913600
1999-04-01,6.511276,6.511276,6.247953,6.463399,582800
1999-04-05,6.367645,6.403553,6.164168,6.176137,836400
1999-04-06,6.176136,6.176136,5.649489,5.733274,1736000
1999-04-07,5.745245,5.745245,5.386167,5.541768,3746800
1999-04-08,5.601611,5.601611,4.596194,5.027087,6808800
1999-04-09,5.553736,5.553736,5.338289,5.434043,4583200
1999-04-12,5.362230,5.517830,5.362230,5.469953,2387600
1999-04-13,5.553734,5.745242,5.553734,5.637519,1780800
1999-04-14,5.745245,5.864937,5.601613,5.840999,1753600
1999-04-15,5.817059,6.176137,5.793121,6.176137,810800
1999-04-16,6.319767,6.331736,5.960689,5.984628,971600
1999-04-19,5.984630,6.235985,5.912815,5.948722,2286800
1999-04-20,5.900844,6.056444,5.900844,6.020536,978800
1999-04-21,6.020539,6.020539,5.649492,5.852969,1319600
1999-04-22,5.936753,5.936753,5.840999,5.936753,965600
1999-04-23,5.936751,6.008566,5.888874,5.984628,329200
1999-04-26,5.936750,5.984627,5.745242,5.793119,535600
1999-04-27,5.745245,5.972661,5.745245,5.936753,1273600
1999-04-28,5.936753,5.936753,5.457982,5.685398,1313200
1999-04-29,5.733274,5.852967,5.493889,5.493889,1162400
1999-04-30,5.541766,5.553735,5.098903,5.302381,1954800
1999-05-03,5.338288,5.817059,5.338288,5.817059,1350800
1999-05-04,5.864937,5.948722,5.757214,5.840999,1040800
1999-05-05,5.840999,5.840999,5.757214,5.781152,244400
1999-05-06,5.793119,5.840996,5.781150,5.793119,1497200
1999-05-07,5.805091,6.032507,5.727291,6.032507,1438400
1999-05-10,6.032506,6.032506,5.745244,5.805090,571600
1999-05-11,5.793121,5.852967,5.745244,5.769182,593600
1999-05-12,5.793119,5.817058,5.745242,5.745242,1097200
1999-05-13,5.781151,5.924782,5.781151,5.924782,840800
1999-05-14,5.960690,5.960690,5.745243,5.817059,1241600
1999-05-17,5.817058,5.840996,5.649488,5.745242,2222000
1999-05-18,5.745244,5.793122,5.733275,5.781152,618800
1999-05-19,5.888874,6.008567,5.888874,5.924782,1061200
1999-05-20,5.912813,6.092352,5.733274,5.769182,853600
1999-05-21,5.936752,5.984629,5.781152,5.829029,877600
1999-05-24,5.840999,5.888876,5.673429,5.721306,714000
1999-05-25,5.721307,5.936753,5.721307,5.936753,1007600
1999-05-26,5.912812,5.924781,5.697365,5.745242,1050000
1999-05-27,5.757214,5.769183,5.661459,5.661459,511200
1999-05-28,5.673429,5.721306,5.613582,5.661459,407200
1999-06-01,5.685396,5.697365,5.577672,5.589642,674800
1999-06-02,5.589645,5.589645,5.230567,5.410106,810400
1999-06-03,5.446013,5.457982,5.386167,5.457982,383200
