date,open,high,low,close,volume
1999-01-04,9.954265,10.054207,9.574484,9.634449,2900000
1999-01-05,9.654439,9.914289,9.554497,9.914289,2761000
1999-01-06,9.914285,10.314055,9.914285,10.154147,4866200
1999-01-07,10.074197,10.094186,9.794359,9.914289,2465200
1999-01-08,9.994241,10.034218,9.594472,9.614460,1721000
1999-01-11,9.614462,9.814347,9.434566,9.594474,2051000
1999-01-12,9.654436,9.674425,9.114747,9.234678,2326400
1999-01-13,8.834910,9.674426,8.794933,9.274656,4635400
1999-01-14,9.294648,9.314636,8.794936,8.994821,1677000
1999-01-15,9.054781,9.554493,8.994815,9.434562,1589200
1999-01-19,9.614465,9.674431,9.194707,9.334626,2667800
1999-01-20,9.714401,9.994240,9.514517,9.754378,4249000
1999-01-21,9.834334,9.834334,9.474541,9.494530,2063400
1999-01-22,9.354610,9.354610,9.134737,9.194702,1126600
1999-01-25,9.114752,9.154729,8.894878,9.114752,1892800
1999-01-26,9.354609,9.594471,9.234678,9.474540,1994200
1999-01-27,9.514523,9.594477,9.274661,9.334626,1765400
1999-01-28,9.354609,9.514517,9.274655,9.514517,1463600
1999-01-29,9.574482,9.674425,9.274655,9.514517,1875000
1999-02-01,9.514519,9.634450,9.294646,9.554496,1278200
1999-02-02,9.394590,9.414579,8.974832,8.994821,2318600
1999-02-03,9.994241,10.873734,9.874310,10.833757,7775000
1999-02-04,11.113600,11.913139,10.074198,10.354037,8825400
1999-02-05,10.274077,10.294066,9.554492,9.874308,4098600
1999-02-08,9.994243,10.354035,9.874312,9.994243,2316400
1999-02-09,10.114169,10.274077,9.654434,9.874308,1826200
1999-02-10,9.614463,9.714406,9.194705,9.374601,3087000
1999-02-11,9.554496,9.914289,9.394588,9.894300,3551800
1999-02-12,9.814346,9.834335,9.534507,9.774369,4475000
1999-02-16,9.954262,10.094181,9.754377,9.874308,2707600
1999-02-17,9.874308,10.194124,9.094758,9.254665,5896000
1999-02-18,9.514517,9.554494,9.274655,9.454552,2320800
1999-02-19,9.454553,9.474541,9.234679,9.274656,1842200
1999-02-22,9.214688,9.474539,9.034792,9.434562,2403000
1999-02-23,9.514523,9.554500,9.114753,9.134742,2474600
1999-02-24,9.194703,9.494530,9.074772,9.074772,2146600
1999-02-25,8.794932,8.854898,8.515094,8.655013,3763000
1999-02-26,8.595047,8.595047,7.975404,8.015381,3722400
1999-03-01,7.915437,8.315206,7.795506,8.235252,1543400
1999-03-02,8.275233,8.495106,8.095336,8.175290,4417600
1999-03-03,8.395159,8.455124,8.115320,8.355182,2011400
1999-03-04,8.335195,8.535080,8.155299,8.275229,3711200
1999-03-05,8.635023,8.635023,8.315208,8.395162,2658200
1999-03-08,8.535084,9.014808,8.495107,8.914865,4285000
1999-03-09,8.894872,9.154722,8.555067,8.674998,2239400
1999-03-10,8.694986,8.854894,8.555067,8.794929,1258600
1999-03-11,8.874886,8.934852,8.435139,8.535082,983200
1999-03-12,8.555069,8.615034,7.975403,8.155299,2299400
1999-03-15,8.155297,8.355182,8.055355,8.355182,1256600
1999-03-16,8.335199,8.814922,8.215268,8.774945,3658600
1999-03-17,8.774941,8.774941,8.595044,8.674998,1717400
1999-03-18,8.754955,9.154724,8.754955,9.154724,2641400
1999-03-19,9.154723,9.314631,8.994815,9.254665,3310400
1999-03-22,9.254670,9.254670,8.794935,8.914865,1268200
1999-03-23,8.874888,8.874888,8.555072,8.635026,1703200
1999-03-24,8.615038,9.034796,8.555072,9.034796,1491600
1999-03-25,9.034797,9.374601,8.954843,9.354612,2574000
1999-03-26,9.274656,9.514518,9.214691,9.274656,1386400
1999-03-29,9.234682,9.674428,9.194705,9.654440,2173600
1999-03-30,9.714405,9.794359,9.514520,9.594474,2180800
1999-03-31,9.914286,9.974252,9.514517,9.514517,1692400
1999-04-01,9.914288,10.274080,9.754380,10.134161,3755000
1999-04-05,10.214115,10.993666,10.194126,10.813769,3047400
1999-04-06,10.793784,11.133588,10.713830,10.993669,2868400
1999-04-07,10.973680,11.073622,10.453979,10.553922,2553800
1999-04-08,10.553919,10.693839,10.274080,10.673850,1292800
1999-04-09,10.713825,11.333468,10.573905,11.193548,2056000
1999-04-12,10.873735,11.133585,10.793781,10.853746,1821600
1999-04-13,10.893720,11.053627,10.753800,10.893720,1179200
1999-04-14,11.093606,11.493375,10.873733,11.193548,3254800
1999-04-15,11.173563,11.613310,11.073621,11.533356,2573400
1999-04-16,11.493376,11.493376,11.273503,11.373446,1450600
1999-04-19,11.793203,11.813191,11.053629,11.193548,2919200
1999-04-20,11.173562,11.733240,10.773792,11.713251,2648200
1999-04-21,11.713254,12.073046,11.633300,11.993093,1825800
1999-04-22,12.152994,12.272925,12.013075,12.053052,2162800
1999-04-23,12.033068,12.053056,11.713252,11.853171,1059600
1999-04-26,11.873157,11.953111,11.773215,11.833180,1195400
1999-04-27,11.873158,11.913135,11.713250,11.793204,1764200
1999-04-28,11.793203,11.873157,11.593319,11.653284,1479200
1999-04-29,11.653286,11.693263,11.393436,11.513367,1219600
1999-04-30,11.593321,11.753229,11.113597,11.233528,841800
1999-05-03,11.213539,11.713251,11.213539,11.713251,703600
1999-05-04,11.713251,11.813194,11.613309,11.713251,1019600
1999-05-05,11.753229,12.033068,11.413425,12.033068,1803800
1999-05-06,12.013073,12.113016,11.833177,11.913131,885200
1999-05-07,11.913131,11.953108,11.773211,11.873154,1071000
1999-05-10,11.753225,12.033064,11.753225,11.773213,1189800
1999-05-11,11.733241,12.412850,11.733241,12.272930,2160200
1999-05-12,12.712675,13.332318,12.392860,13.332318,4008600
1999-05-13,13.512214,14.011926,13.352306,13.492226,5076000
1999-05-14,13.412274,13.412274,12.632723,12.812619,2624400
1999-05-17,12.952532,12.952532,12.592739,12.772635,1467200
1999-05-18,12.872585,12.992516,12.512792,12.712677,2249400
1999-05-19,13.112449,13.512219,12.772645,13.172415,5803600
1999-05-20,13.072468,13.132433,12.352883,12.432837,3036600
1999-05-21,12.632716,12.652704,12.472808,12.512785,1677200
1999-05-24,12.552772,12.652714,11.933129,12.093037,2233400
1999-05-25,11.933126,12.252942,11.553345,11.673276,1964000
1999-05-26,11.673275,11.933125,11.273505,11.853171,2567200
1999-05-27,11.833182,12.512790,11.813193,12.352882,2271200
1999-05-28,12.312906,12.432837,12.212963,12.292917,797800
1999-06-01,12.372871,12.632721,12.272929,12.292917,1124200
1999-06-02,12.352884,13.012504,12.252942,12.972528,2207000
1999-06-03,12.892570,12.892570,12.552766,12.792627,1398200
1999-06-04,12.732663,13.112444,12.712674,13.032490,1175400
1999-06-07,13.112440,13.412268,13.112440,13.232371,1260600
1999-06-08,13.232378,13.712101,13.172412,13.512217,2411600
1999-06-09,13.472242,13.872012,13.472242,13.752081,2277800
1999-06-10,13.652133,14.011925,13.432259,13.991937,3384800
1999-06-11,13.991938,14.151846,13.832030,13.971950,1565600
1999-06-14,13.971947,14.111867,13.872005,14.071890,1593600
1999-06-15,14.271776,14.471661,14.231799,14.351730,2384000
1999-06-16,14.311749,14.931392,14.311749,14.731507,2556200
1999-06-17,14.711524,14.891420,14.331743,14.711524,2485800
1999-06-18,14.471663,14.591594,14.171836,14.311755,1686600
1999-06-21,14.311758,15.151275,14.231804,15.151275,1584000
1999-06-22,15.031344,15.491079,14.551620,15.151275,3916000
1999-06-23,15.011342,15.750916,14.991354,15.750916,3066200
1999-06-24,15.591022,15.611011,14.771494,15.331172,2441400
1999-06-25,15.331167,15.471086,14.471662,14.711524,1374800
1999-06-28,14.831455,14.931397,14.471662,14.931397,1603400
