date,open,high,low,close,volume
1999-01-04,8.743729,8.743729,8.455474,8.519531,1251161
1999-01-05,8.615617,8.679674,8.551560,8.551560,703836
1999-01-06,8.583590,8.679674,8.487504,8.615618,1574602
1999-01-07,8.551564,8.679677,8.487507,8.583592,835574
1999-01-08,8.615616,8.647644,8.455474,8.519531,944390
1999-01-11,8.487507,8.519535,8.391422,8.487507,1219674
1999-01-12,8.455476,8.487504,8.327363,8.327363,855601
1999-01-13,8.295337,8.519535,8.199252,8.487507,1157046
1999-01-14,8.391422,8.519535,8.295337,8.295337,1024151
1999-01-15,8.327362,8.455475,8.231277,8.455475,1040589
1999-01-19,8.359393,8.391422,8.199252,8.295337,1384983
1999-01-20,8.231279,8.423450,7.943025,7.943025,3061802
1999-01-21,8.007075,8.199245,7.943019,8.071132,1439507
1999-01-22,8.199251,8.295336,7.943025,7.975053,3217734
1999-01-25,8.071132,8.327358,8.007075,8.071132,1458029
1999-01-26,8.071138,8.103166,7.846940,7.878968,2886191
1999-01-27,7.878964,8.103162,7.814907,7.910992,1925593
1999-01-28,8.007082,8.071139,7.782884,7.846941,3208473
1999-01-29,7.943021,7.943021,7.718823,7.750851,2090323
1999-02-01,7.814911,7.943025,7.782883,7.943025,2792192
1999-02-02,8.007083,8.007083,7.814913,7.814913,1397485
1999-02-03,7.808485,7.904886,7.776351,7.840618,1352222
1999-02-04,7.904882,8.001283,7.840615,7.937016,1347244
1999-02-05,7.904882,8.226219,7.904882,8.226219,2130262
1999-02-08,8.226220,8.290487,8.001284,8.097685,1170243
1999-02-09,8.033417,8.097684,7.969150,7.969150,1126832
1999-02-10,7.872750,7.969151,7.840616,7.904883,953420
1999-02-11,7.872749,8.001283,7.872749,7.937016,981782
1999-02-12,7.969150,8.129818,7.937016,7.969150,1671147
1999-02-16,7.969155,8.194090,7.969155,8.033422,1248499
1999-02-17,8.001288,8.129823,8.001288,8.033422,1124633
1999-02-18,8.097684,8.290487,8.065550,8.226219,1483496
1999-02-19,8.161952,8.258353,8.033417,8.226219,1579348
1999-02-22,8.194086,8.226219,8.129818,8.226219,1243058
1999-02-23,8.226224,8.226224,8.033422,8.033422,1236691
1999-02-24,8.097684,8.129818,7.872749,7.937016,1232292
1999-02-25,7.904888,7.937022,7.744220,7.776354,1470531
1999-02-26,7.904888,7.904888,7.776354,7.776354,809180
1999-03-01,7.776348,7.937016,7.679946,7.937016,1335668
1999-03-02,7.969154,7.969154,7.679950,7.679950,1281259
1999-03-03,7.712080,7.744213,7.487143,7.712080,1646606
1999-03-04,7.712086,7.840621,7.712086,7.776354,1020331
1999-03-05,7.840615,7.872749,7.679946,7.808481,1160288
1999-03-08,7.744213,7.840614,7.679946,7.712080,959440
1999-03-09,7.647817,7.712085,7.583550,7.583550,759981
1999-03-10,7.583548,7.679949,7.455013,7.487146,1288552
1999-03-11,7.487143,7.744213,7.455010,7.712080,1201036
1999-03-12,7.744220,7.840621,7.712086,7.776354,1104027
1999-03-15,7.712079,7.776347,7.583545,7.647811,910588
1999-03-16,7.583545,7.712079,7.583545,7.647811,875743
1999-03-17,7.647812,7.712080,7.583545,7.712080,844603
1999-03-18,7.679950,7.937020,7.679950,7.872752,1482107
1999-03-19,8.001282,8.065549,7.679946,7.712080,2627230
1999-03-22,7.679945,7.744213,7.615678,7.647811,1064436
1999-03-23,7.615684,7.647818,7.519283,7.551417,1255676
1999-03-24,7.551414,7.583548,7.455013,7.487146,948674
1999-03-25,7.455016,7.583551,7.422882,7.551417,1001577
1999-03-26,7.519280,7.583548,7.487146,7.487146,784407
1999-03-29,7.583550,7.712085,7.551417,7.615684,1109005
1999-03-30,7.615684,7.776352,7.551417,7.615684,1381510
1999-03-31,7.679952,7.712086,7.487149,7.551417,1264590
1999-04-01,7.519281,7.551415,7.326478,7.422879,1199878
1999-04-05,7.358616,7.455017,7.230081,7.326482,928763
1999-04-06,7.262211,7.326478,7.037275,7.133677,1355695
1999-04-07,7.069410,7.358614,6.940876,7.294346,1549713
1999-04-08,7.390745,7.390745,7.101543,7.197944,898896
1999-04-09,7.165810,7.294344,7.133676,7.262210,1095229
1999-04-12,7.262207,7.326474,7.133672,7.165806,1105879
1999-04-13,7.101543,7.262211,7.069409,7.133677,1005745
1999-04-14,7.101544,7.422881,7.005143,7.294346,1354769
1999-04-15,7.294345,7.583548,7.197943,7.487146,1298161
1999-04-16,7.519277,7.872748,7.519277,7.712080,2434370
1999-04-19,7.712086,7.840621,7.615685,7.776354,1935781
1999-04-20,7.744213,7.744213,7.551411,7.712080,1561520
1999-04-21,7.744220,7.776354,7.487150,7.776354,1153689
1999-04-22,7.744220,7.808487,7.712086,7.776354,1042441
1999-04-23,7.744213,7.808480,7.647812,7.712080,796793
1999-04-26,7.647816,7.937020,7.615683,7.872752,2001649
1999-04-27,7.969151,8.451156,7.937017,8.290487,3174324
1999-04-28,8.226217,8.226217,8.129817,8.161950,1654246
1999-04-29,8.161952,8.451156,8.097685,8.097685,1415660
1999-04-30,8.097683,8.258351,7.583545,7.712080,2284341
1999-05-03,7.808485,8.322623,7.776351,8.322623,2051312
1999-05-04,8.258358,8.290492,8.129824,8.129824,1361946
1999-05-05,8.155611,8.510202,8.155611,8.510202,1447379
1999-05-06,8.510201,8.639144,8.381259,8.413494,1637461
1999-05-07,8.413494,8.606908,8.316787,8.413494,1118729
1999-05-10,8.477966,8.639144,8.445730,8.606908,944390
1999-05-11,8.606905,8.606905,8.413491,8.445727,1402578
1999-05-12,8.413491,8.477963,8.123371,8.187842,3977368
