date,open,high,low,close,volume
1999-01-04,19.840383,19.900872,19.386715,19.628672,1678301
1999-01-05,19.779895,19.810138,19.084270,19.447205,1872863
1999-01-06,19.598418,19.931107,19.326218,19.900864,2191374
1999-01-07,20.021845,20.294045,19.689156,20.233557,2068811
1999-01-08,20.203313,20.233556,19.749645,20.021845,1907412
1999-01-11,19.991605,20.112584,19.537938,19.810139,1609832
1999-01-12,19.598429,19.749652,18.842317,18.993540,1877024
1999-01-13,18.388648,19.356473,18.388648,19.114517,1765053
1999-01-14,18.630595,18.660839,17.541793,17.904726,5953995
1999-01-15,18.630604,18.781826,18.328159,18.479382,4757749
1999-01-19,18.449137,19.144762,18.297915,19.114517,3072135
1999-01-20,19.023779,19.386712,18.660846,18.902802,1792793
1999-01-21,18.872552,18.872552,18.388639,18.418884,1553847
1999-01-22,18.297911,18.751578,18.025711,18.297911,1940575
1999-01-25,18.539870,18.721337,18.146691,18.388647,1646399
1999-01-26,18.509626,18.872560,18.388647,18.388647,1488530
1999-01-27,18.630599,18.842310,18.388642,18.509621,1432923
1999-01-28,18.872553,19.507686,18.691086,19.477442,2648588
1999-01-29,19.477454,20.626744,19.295986,20.596500,3077557
1999-02-01,20.324298,20.475518,20.021852,20.384787,2364878
1999-02-02,20.324295,20.354538,19.961361,20.324295,1549560
1999-02-03,20.082338,20.324295,20.021849,20.324295,1142657
1999-02-04,20.294044,20.536001,20.052090,20.536001,1844113
1999-02-05,20.536001,20.536001,19.900866,20.203312,1736430
1999-02-08,20.082340,20.112586,19.386717,19.840385,1983698
1999-02-09,19.840384,19.870628,19.416961,19.507694,1036108
1999-02-10,19.628674,20.082340,19.598428,19.840385,1593944
1999-02-11,19.810137,20.294049,19.658914,20.263805,1348945
1999-02-12,20.263798,20.263798,19.658907,19.900864,1089824
1999-02-16,19.961356,20.203313,19.840379,20.021845,964613
1999-02-17,19.840382,20.052094,19.749648,19.931114,1043547
1999-02-18,19.658916,19.810139,19.235494,19.810139,2113827
1999-02-19,19.749641,19.810130,19.477441,19.537930,1217808
1999-02-22,19.658914,20.324294,19.598425,20.294048,1577174
1999-02-23,19.991598,20.445267,19.900866,20.203312,1182754
