date,open,high,low,close,volume
1999-01-04,15.817908,16.027973,15.796901,16.027973,495600
1999-01-05,16.027971,16.048978,15.880926,15.985958,326600
1999-01-06,15.985964,16.112003,15.817912,16.112003,633300
1999-01-07,16.112003,16.112003,15.922944,15.964957,802600
1999-01-08,16.006966,16.006966,15.754888,15.901934,701400
1999-01-11,16.133007,16.133007,15.796903,15.880929,968700
1999-01-12,15.964953,16.027973,15.838914,15.901934,472300
1999-01-13,15.880925,16.196023,15.817905,15.838912,315700
1999-01-14,15.796905,15.817911,15.607846,15.817911,491600
1999-01-15,15.838915,15.859921,15.691869,15.796902,312600
1999-01-19,15.754884,15.754884,15.523813,15.607839,348000
1999-01-20,15.544828,15.586841,15.376776,15.418789,561400
1999-01-21,15.334748,15.523806,15.334748,15.481793,321200
1999-01-22,15.460787,15.565819,15.418774,15.481793,216500
1999-01-25,15.439785,15.481798,15.292739,15.397772,343000
1999-01-26,15.355761,15.418780,15.145695,15.355761,367300
1999-01-27,15.376770,15.376770,14.956640,15.082679,745800
1999-01-28,15.040667,15.082680,14.998653,15.019660,1583200
1999-01-29,14.956644,14.998657,14.662553,14.725573,354800
1999-02-01,14.725566,14.725566,14.305436,14.326443,357400
1999-02-02,14.347450,14.473489,14.263424,14.452482,532200
1999-02-03,14.431477,14.746575,14.389464,14.578523,1520200
1999-02-04,14.494505,14.557524,14.242426,14.368465,586300
1999-02-05,14.347459,14.368465,14.284439,14.368465,1943100
1999-02-08,14.359935,14.572991,14.274713,14.338630,1631700
1999-02-09,14.445155,14.466461,14.317322,14.317322,333500
1999-02-10,14.317324,14.466463,14.232102,14.338630,322200
1999-02-11,14.253404,14.466459,14.146876,14.296015,404000
1999-02-12,14.317324,14.338629,13.891213,13.997741,365100
1999-02-16,14.146883,14.296022,14.019050,14.104272,353700
1999-02-17,14.104269,14.551685,14.104269,14.338630,429500
1999-02-18,14.423851,14.722129,14.381240,14.636907,436300
1999-02-19,14.487764,14.551680,14.296014,14.423847,320100
1999-02-22,14.402549,14.743438,14.359938,14.743438,448900
1999-02-23,14.743432,14.743432,14.445154,14.530376,458600
1999-02-24,14.509076,14.615603,14.317326,14.359937,221200
1999-02-25,14.210802,14.359940,14.061663,14.189496,301000
1999-02-26,14.232107,14.338635,14.040357,14.189496,201600
1999-03-01,14.189483,14.189483,13.933816,14.146872,271300
1999-03-02,14.061663,14.359940,13.976441,14.189496,339300
1999-03-03,14.168184,14.381239,14.168184,14.381239,288300
1999-03-04,14.359941,14.572996,14.317330,14.572996,263400
1999-03-05,14.786048,14.828659,14.615603,14.615603,450700
1999-03-08,14.658213,14.679519,14.423852,14.509074,263700
1999-03-09,14.445158,14.466464,14.210797,14.210797,457500
1999-03-10,14.296016,14.317321,13.955127,14.019044,475400
1999-03-11,14.104265,14.104265,13.635543,13.933821,626200
1999-03-12,13.955131,14.274714,13.933825,14.210797,497500
1999-03-15,14.253413,14.445163,14.168190,14.189496,435600
1999-03-16,14.168182,14.274710,14.146876,14.232099,330000
1999-03-17,14.232103,14.232103,14.019047,14.168186,180000
1999-03-18,14.125578,14.296022,14.104272,14.274716,164600
1999-03-19,14.253407,14.317324,14.125574,14.125574,636600
1999-03-22,14.104271,14.232104,14.061660,14.061660,335900
1999-03-23,14.019044,14.082961,13.891211,14.019044,299400
1999-03-24,14.061656,14.445156,13.891212,14.381239,531000
1999-03-25,14.296015,14.296015,14.168182,14.232099,227000
1999-03-26,14.189495,14.232106,13.805995,13.827301,475600
