date,open,high,low,close,volume
1999-01-04,6.869386,6.986644,6.849842,6.879157,3002000
1999-01-05,6.869389,6.869389,6.634872,6.664187,2216800
1999-01-06,6.644638,6.761896,6.615324,6.742353,2452400
1999-01-07,6.625099,6.703271,6.625099,6.683728,1829600
1999-01-08,6.488298,6.683728,6.458983,6.498069,2576800
1999-01-11,6.537154,6.537154,6.302637,6.390581,1374000
1999-01-12,6.331952,6.351495,6.185379,6.214694,2104000
1999-01-13,6.204925,6.498071,6.097438,6.410128,1749200
1999-01-14,6.546929,6.918247,6.546929,6.810760,5095200
1999-01-15,6.810759,6.928018,6.722815,6.928018,3864000
1999-01-19,6.898703,6.908474,6.781444,6.820530,2102800
1999-01-20,6.879158,6.937787,6.791214,6.800985,1630800
1999-01-21,6.771673,6.830302,6.664186,6.693501,1686400
1999-01-22,6.673956,6.673956,6.498068,6.546926,1612400
1999-01-25,6.586015,6.625101,6.507843,6.566472,1212400
1999-01-26,6.566469,6.664184,6.546926,6.546926,2307600
1999-01-27,6.576240,6.771671,6.576240,6.713042,2371600
1999-01-28,6.713044,6.869388,6.683729,6.693501,2901600
1999-01-29,6.879157,6.898700,6.693498,6.703269,4150800
1999-02-01,6.800985,7.152760,6.800985,7.025730,4757600
1999-02-02,6.976876,7.113678,6.888933,6.967105,3477600
1999-02-03,7.006191,7.660884,6.986648,7.543625,3748400
1999-02-04,7.504536,7.631566,7.426364,7.592480,5103200
1999-02-05,7.582708,7.709737,7.406820,7.699966,3740000
1999-02-08,7.699967,7.895397,7.670652,7.836768,2512800
1999-02-09,7.602250,7.797681,7.582707,7.719509,3889200
1999-02-10,7.621798,7.631569,7.230936,7.494768,3209600
1999-02-11,7.348193,7.641339,7.270021,7.621796,6230000
1999-02-12,7.582712,7.748828,7.465453,7.748828,2221600
1999-02-16,7.739435,7.768788,7.592669,7.661160,1523600
1999-02-17,7.622020,7.719864,7.602451,7.710079,1451600
1999-02-18,7.710079,7.788354,7.651373,7.739432,2019600
1999-02-19,7.778568,7.788353,7.622019,7.670940,2168000
1999-02-22,7.670940,7.710077,7.445899,7.455684,2825200
1999-02-23,7.328491,7.387197,7.250216,7.279569,3438400
1999-02-24,7.357841,7.387194,7.083879,7.093663,1877600
1999-02-25,7.103452,7.201296,6.976256,7.064315,2012800
1999-02-26,7.025170,7.123014,6.780561,6.853945,3952800
1999-03-01,6.897975,7.279565,6.897975,7.220859,3214400
1999-03-02,7.181724,7.719864,7.171939,7.700295,2947600
1999-03-03,7.524176,7.622020,7.426332,7.475254,5754400
1999-03-04,7.455684,7.485037,7.367625,7.436115,2669600
1999-03-05,7.514393,7.514393,7.338275,7.367628,2606400
1999-03-08,7.396978,7.543743,7.367624,7.455684,2148800
1999-03-09,7.445897,7.455681,7.279563,7.377407,1006000
1999-03-10,7.377415,7.573103,7.328494,7.553534,1364800
1999-03-11,7.582882,7.661157,7.494823,7.543745,1474400
1999-03-12,7.514394,7.651375,7.504609,7.592669,1907600
1999-03-15,7.592665,8.062315,7.573097,8.003609,3252000
1999-03-16,7.905765,7.993824,7.847059,7.847059,3073600
1999-03-17,7.768784,7.847059,7.719862,7.837275,1724400
1999-03-18,7.807924,7.827493,7.680727,7.768786,1527200
1999-03-19,7.573097,8.130806,7.573097,7.935119,3101200
1999-03-22,7.925337,8.209083,7.886199,8.091671,3171200
1999-03-23,7.974258,8.287358,7.944905,8.140593,2144000
1999-03-24,8.101455,8.248221,8.032965,8.111239,2307200
1999-03-25,8.179731,8.287359,8.140594,8.179731,3020400
1999-03-26,8.169946,8.267789,8.111239,8.140593,2043600
1999-03-29,8.121025,8.277575,8.121025,8.150378,1703200
1999-03-30,8.121020,8.306923,8.023176,8.023176,1974800
1999-03-31,8.052534,8.531968,8.052534,8.522183,3826800
1999-04-01,8.443908,8.453693,7.915552,8.091671,3022800
1999-04-05,8.130807,8.140592,8.013395,8.081885,1664400
1999-04-06,8.032965,8.062318,7.788356,7.895984,2502000
1999-04-07,7.866630,8.013395,7.827492,7.827492,1976400
1999-04-08,7.827491,7.925334,7.690509,7.778569,3432000
1999-04-09,7.749218,7.856846,7.719865,7.768786,2669600
1999-04-12,7.729649,8.023180,7.690512,7.925336,3095200
1999-04-13,7.876414,7.974257,7.759001,7.788354,1730400
1999-04-14,7.827486,8.081879,7.827486,7.984035,1673200
1999-04-15,7.954691,8.091672,7.807926,7.807926,1760800
1999-04-16,7.817709,7.944906,7.749218,7.895984,872800
1999-04-19,7.905766,8.179728,7.905766,7.935119,1891600
1999-04-20,7.925336,8.052533,7.837277,7.915552,1412400
1999-04-21,7.915551,8.238435,7.856845,8.238435,1997600
1999-04-22,8.238431,8.277569,8.169941,8.248216,941600
1999-04-23,8.199298,8.228652,8.140592,8.160161,1037600
1999-04-26,8.179729,8.238435,8.013395,8.032964,1484400
1999-04-27,8.492827,8.884201,8.483042,8.580886,9152000
1999-04-28,8.600458,8.727655,8.512399,8.512399,7261600
1999-04-29,8.610239,8.708082,8.571101,8.708082,8991600
1999-04-30,8.688513,8.698297,8.492826,8.492826,7956400
1999-05-03,8.502612,8.561318,8.443906,8.463474,2181600
1999-05-04,8.434122,8.522181,8.355847,8.424337,1740400
1999-05-05,8.355848,8.394985,8.238435,8.336279,1950000
1999-05-06,8.306928,8.355850,8.150378,8.150378,1192000
1999-05-07,8.160156,8.365628,8.160156,8.248216,2769200
1999-05-10,8.248216,8.287354,8.160157,8.287354,1602000
1999-05-11,8.297141,8.502613,8.267788,8.348509,2460400
1999-05-12,8.492828,8.492828,8.267788,8.316710,2579600
1999-05-13,8.355844,8.404766,8.209079,8.287354,2931200
1999-05-14,8.218866,8.248219,7.905767,7.964473,1678400
1999-05-17,7.895983,8.052532,7.895983,8.032964,1388800
1999-05-18,8.054517,8.142705,7.887939,7.897738,1337600
1999-05-19,7.985928,8.064318,7.829149,7.917337,2677600
1999-05-20,7.917341,8.230899,7.858549,8.181906,2766000
1999-05-21,8.181904,8.221099,8.034924,8.083918,1515600
1999-05-24,7.917342,7.966335,7.770362,7.819355,1404400
1999-05-25,7.819351,7.829150,7.652773,7.652773,1662400
1999-05-26,7.662573,7.711566,7.417606,7.711566,4034000
1999-05-27,7.750763,8.338684,7.731165,8.152509,47392800
1999-05-28,7.995722,8.132903,7.946728,7.995722,20469600
1999-06-01,7.985930,7.985930,7.623378,7.711566,4806000
1999-06-02,7.701769,7.740964,7.613581,7.642977,3652000
1999-06-03,7.623378,7.623378,7.172638,7.211833,7234400
1999-06-04,7.211833,7.388209,7.074651,7.211833,4768000
1999-06-07,7.309821,7.456801,7.309821,7.368613,3500400
1999-06-08,7.358813,7.373512,7.133444,7.211833,2268800
1999-06-09,7.329417,7.358813,7.055053,7.104047,3786400
1999-06-10,7.094248,7.202034,7.015859,7.202034,2081200
1999-06-11,7.211835,7.349016,7.064854,7.309822,2733200
1999-06-14,7.211832,7.236330,7.113845,7.202034,1620400
1999-06-15,7.202034,7.231430,7.015859,7.015859,2046400
1999-06-16,7.133444,7.349015,7.074651,7.329417,3832400
1999-06-17,7.290226,7.682173,7.251031,7.672375,3626000
1999-06-18,7.829154,7.829154,7.662576,7.770361,4820000
1999-06-21,7.770359,7.858548,7.691970,7.838950,2756800
1999-06-22,7.878142,7.878142,7.456798,7.495993,2471600
1999-06-23,7.466602,7.466602,7.211836,7.251030,3627200
1999-06-24,7.123646,7.123646,6.996263,7.055055,5020800
1999-06-25,7.133444,7.133444,6.976665,6.976665,2951600
1999-06-28,7.074649,7.309818,7.064851,7.231428,2743200
1999-06-29,7.319618,7.584183,7.251027,7.584183,3620800
1999-06-30,7.584186,7.603784,7.241232,7.505797,2847200
1999-07-01,7.476394,7.486193,7.192233,7.339213,1555200
1999-07-02,7.231430,7.368611,7.231430,7.319618,1527200
1999-07-06,7.349011,7.456796,7.290218,7.437199,2033200
1999-07-07,7.447000,7.476396,7.270624,7.427403,2088000
1999-07-08,7.329419,7.329419,7.231432,7.290224,1708000
1999-07-09,7.192237,7.358815,7.094250,7.309822,3826000
1999-07-12,7.251027,7.251027,7.133443,7.202034,1925200
1999-07-13,7.162842,7.211836,7.113849,7.182440,1285200
1999-07-14,7.192235,7.202034,7.104047,7.133443,1946000
1999-07-15,7.123643,7.153039,7.064851,7.123643,2698000
1999-07-16,7.113845,7.211832,7.084449,7.202034,2043600
1999-07-19,7.133443,7.172638,7.084450,7.133443,1560000
1999-07-20,7.123646,7.143243,6.986464,7.035458,2564400
1999-07-21,7.104048,7.162841,6.966867,7.035458,2080400
1999-07-22,6.908075,7.055055,6.898276,7.035458,2256400
1999-07-23,7.035459,7.045258,6.917875,6.986466,1517600
1999-07-26,7.006059,7.035456,6.878677,6.927670,1846400
1999-07-27,7.064854,7.211835,7.055056,7.192237,3142800
1999-07-28,7.211831,7.270623,7.055052,7.172637,1889600
1999-07-29,7.035456,7.153041,7.015859,7.143242,1885200
1999-07-30,7.221635,7.329420,7.202037,7.270628,3388800
1999-08-02,7.290224,7.407808,7.290224,7.407808,1630800
1999-08-03,7.309819,7.368611,7.153040,7.319618,3741200
1999-08-04,7.270625,7.270625,7.094248,7.143242,2020800
1999-08-05,7.094249,7.456800,7.035457,7.456800,4244800
1999-08-06,7.368615,7.378414,7.153044,7.182440,1390800
1999-08-09,7.162839,7.192235,7.015859,7.133443,1266800
1999-08-10,7.172638,7.172638,6.888476,6.917872,992000
1999-08-11,6.917872,6.996262,6.849281,6.937469,1085200
1999-08-12,6.898272,6.908070,6.849278,6.898272,2138400
1999-08-13,7.015859,7.035456,6.898275,7.015859,1527600
1999-08-16,7.006063,7.015862,6.868882,6.986466,2156000
1999-08-17,7.008059,7.263254,6.978613,7.263254,2163600
1999-08-18,7.223993,7.243624,7.066950,7.145472,1794000
1999-08-19,7.106210,7.106210,6.909906,7.047318,1708400
1999-08-20,7.086580,7.086580,6.978612,7.017873,1518800
1999-08-23,7.047317,7.302512,7.047317,7.223990,3110000
1999-08-24,7.184730,7.557708,7.184730,7.538078,4140400
1999-08-25,7.547896,7.754015,7.498819,7.655863,3982800
1999-08-26,7.596971,7.626417,7.479189,7.489004,1094400
1999-08-27,7.449741,7.538078,7.322144,7.322144,803200
1999-08-30,7.322144,7.381035,7.076764,7.086579,964000
1999-08-31,7.125842,7.322146,7.027690,7.057136,1653200
1999-09-01,7.223990,7.223990,7.057131,7.155283,1165200
1999-09-02,7.135658,7.243625,7.086582,7.116027,1901600
1999-09-03,7.184732,7.312330,7.155286,7.312330,2830000
1999-09-07,7.410480,7.410480,7.194546,7.214176,752800
1999-09-08,7.174918,7.184733,6.978613,7.008059,3371200
1999-09-09,7.008055,7.008055,6.693968,6.801936,3755200
1999-09-10,6.929536,7.008058,6.900090,6.949166,3232800
1999-09-13,6.831381,6.870642,6.743044,6.762675,2470000
1999-09-14,6.723412,6.733227,6.635075,6.664521,2540000
1999-09-15,6.713601,6.782308,6.536928,6.566373,2125600
1999-09-16,6.566374,6.684157,6.497668,6.615450,1745200
1999-09-17,6.949164,7.086577,6.870642,6.968794,2742000
1999-09-20,6.988429,7.223994,6.988429,7.076766,2505200
1999-09-21,6.909908,6.978614,6.811756,6.860832,2399600
1999-09-22,6.801939,6.821570,6.438777,6.693972,2976800
1999-09-23,6.733231,6.870644,6.507482,6.546742,2908400
1999-09-24,6.546743,6.635080,6.468221,6.635080,2166800
1999-09-27,6.566373,6.576188,6.409330,6.438776,2575600
1999-09-28,6.595819,6.635079,6.458406,6.605634,3382400
1999-09-29,6.595819,6.615449,6.487852,6.487852,2396800
1999-09-30,6.487851,6.644895,6.468221,6.576188,2563200
1999-10-01,6.576185,6.998238,6.576185,6.919717,2500800
1999-10-04,6.919720,6.949166,6.870644,6.939351,1690800
1999-10-05,6.909904,6.909904,6.752861,6.821567,2018800
1999-10-06,6.860829,6.909905,6.811753,6.890275,2395200
1999-10-07,6.890274,6.988426,6.841198,6.978611,2260800
1999-10-08,6.968793,7.145467,6.949163,7.096391,2757600
1999-10-11,7.057134,7.106210,7.008058,7.047318,934000
1999-10-12,7.027688,7.135655,6.949166,7.086579,1450800
1999-10-13,7.086578,7.125839,6.929535,6.998241,2066800
1999-10-14,6.958983,7.047320,6.782309,6.958983,1399600
1999-10-15,7.027685,7.027685,6.635077,6.752859,1775200
1999-10-18,6.733229,6.860827,6.635077,6.801936,1941200
1999-10-19,6.851016,7.008059,6.782310,6.831386,1766800
1999-10-20,6.909905,6.939351,6.644895,6.713601,1601600
1999-10-21,6.635083,6.811757,6.576192,6.792126,1445200
1999-10-22,6.792121,7.223990,6.782306,7.155283,1842400
1999-10-25,7.116027,7.116027,6.958983,7.057136,1953200
1999-10-26,7.047320,7.214178,7.047320,7.076766,2033600
1999-10-27,7.106208,7.538077,7.037502,7.498816,3019200
1999-10-28,7.989577,7.989577,7.871794,7.911055,5190000
1999-10-29,8.009207,8.215326,7.989576,8.028837,3605600
1999-11-01,8.019024,8.019024,7.704937,7.704937,3595200
1999-11-02,7.783462,8.195700,7.773646,7.930690,3489600
1999-11-03,7.969947,8.126990,7.950317,8.038653,2786000
1999-11-04,8.038654,8.215327,8.038654,8.185882,2868000
1999-11-05,8.215331,8.274222,8.176070,8.215331,3619200
1999-11-08,8.166249,8.274217,8.126989,8.264401,2032800
1999-11-09,8.244772,8.244772,8.009207,8.166250,2508000
1999-11-10,8.009207,8.077913,7.950316,8.068098,2319200
1999-11-11,8.058285,8.097546,7.999394,8.087730,1196000
1999-11-12,8.087730,8.156437,8.058285,8.107361,3827200
1999-11-15,8.087729,8.293848,8.048468,8.274218,4138400
1999-11-16,8.266355,8.531744,8.246697,8.492427,1981200
1999-11-17,8.453111,8.462940,8.315502,8.335160,1337600
1999-11-18,8.335162,8.403966,8.295845,8.315503,1949200
1999-11-19,8.315496,8.315496,8.059937,8.168058,1892800
1999-11-22,8.030453,8.030453,7.784723,7.932161,1960800
1999-11-23,7.922330,8.069768,7.824038,7.843697,2198400
1999-11-24,7.863358,7.883017,7.735579,7.774896,1047200
1999-11-26,7.656944,7.804382,7.597969,7.696261,588000
1999-11-29,7.656945,7.656945,7.470191,7.529166,1213600
1999-11-30,7.529166,7.548824,7.470191,7.529166,1900400
1999-12-01,7.529166,7.666775,7.509507,7.588141,3039200
1999-12-02,7.588141,7.676604,7.480020,7.666775,2750400
1999-12-03,7.725749,7.932162,7.725749,7.873187,1984400
1999-12-06,7.814211,7.863357,7.637285,7.656944,1470000
1999-12-07,7.558652,7.568481,7.430872,7.489848,1628400
1999-12-08,7.470192,7.509509,7.342412,7.362071,2117600
1999-12-09,7.322749,7.322749,7.096678,7.194970,2530400
1999-12-10,7.214632,7.470191,7.135999,7.381729,2280400
1999-12-13,7.342409,7.470189,7.342409,7.411213,1926800
1999-12-14,7.421044,7.529165,7.332581,7.470190,2046000
1999-12-15,7.450529,7.450529,7.214629,7.332579,1821200
1999-12-16,7.303094,7.303094,6.850951,7.145827,3503600
1999-12-17,7.155656,7.342411,7.135998,7.155656,3160800
1999-12-20,7.194970,7.263774,7.126165,7.194970,1216000
1999-12-21,7.037707,7.263779,6.978732,7.224462,2092800
1999-12-22,7.224460,7.224460,7.008217,7.067193,1684800
1999-12-23,7.214631,7.224461,7.077023,7.096681,1371600
1999-12-27,7.175314,7.224460,7.018047,7.067193,2106400
1999-12-28,6.841122,7.116339,6.841122,7.077023,2523200
1999-12-29,7.018047,7.499677,7.008217,7.430873,2110800
1999-12-30,7.342409,7.421043,7.283434,7.352238,1164400
1999-12-31,7.332581,7.460360,7.293264,7.421043,683200
2000-01-03,7.381729,7.411217,6.968903,7.037707,2388800
2000-01-04,6.801801,7.096677,6.801801,6.850947,2716400
2000-01-05,6.860781,6.949244,6.791977,6.811635,1354800
2000-01-06,6.782145,6.988558,6.742828,6.949241,2027200
2000-01-07,6.939413,7.096680,6.900096,7.086851,2262000
2000-01-10,7.067193,7.077022,6.575733,6.664196,5526800
2000-01-11,6.605220,6.654366,6.457782,6.526587,6569600
2000-01-12,6.497098,6.516756,6.221880,6.418464,5877600
2000-01-13,6.477444,6.605223,6.447956,6.565907,7575200
2000-01-14,6.634707,6.841120,6.634707,6.752657,5720000
2000-01-18,6.693684,6.693684,6.271029,6.290687,6192400
2000-01-19,6.221882,6.251370,5.897519,5.917177,7086800
2000-01-20,6.064617,6.497101,5.976154,6.398809,16917600
2000-01-21,6.398808,6.398808,6.035127,6.094102,4750000
2000-01-24,6.123590,6.182565,5.956494,6.025298,3986000
2000-01-25,6.015471,6.320176,5.995813,6.280859,5240000
2000-01-26,6.330002,6.605219,6.271026,6.595390,4825200
2000-01-27,6.762489,6.762489,6.388979,6.477442,3049200
2000-01-28,6.398808,6.742830,6.369320,6.605221,5180800
2000-01-31,6.615048,6.900095,6.457781,6.831290,4684800
2000-02-01,6.900096,7.027876,6.890267,6.968901,5557200
2000-02-02,6.939411,6.978728,6.801802,6.978728,3375200
2000-02-03,6.919755,7.086851,6.703512,7.067193,3780000
2000-02-04,6.959071,6.959071,6.831292,6.909925,3072000
2000-02-07,6.870611,6.870611,6.585564,6.723173,2473600
2000-02-08,6.615048,6.742828,6.565902,6.595390,4169200
2000-02-09,6.595393,6.595393,6.477443,6.497101,1819200
2000-02-10,6.457779,6.497096,6.310341,6.487267,4403200
2000-02-11,6.467611,6.516757,6.241539,6.271027,3494800
2000-02-14,6.271029,6.339833,6.133420,6.143249,3332400
2000-02-15,6.155065,6.224002,6.145217,6.155065,4604800
2000-02-16,6.194458,6.292939,6.076281,6.105825,1846800
2000-02-17,6.145218,6.145218,5.918712,5.958104,2165200
2000-02-18,5.908864,6.046737,5.820231,5.938408,3086000
2000-02-22,5.958103,5.977799,5.830078,5.869470,2364800
2000-02-23,5.830079,5.928561,5.711902,5.770991,4734800
2000-02-24,5.761142,5.761142,5.505091,5.613420,3266400
2000-02-25,5.672509,5.682357,5.505091,5.524787,2985200
2000-02-28,5.505092,5.830079,5.446003,5.820231,5202400
2000-02-29,5.830079,5.889167,5.544483,5.761142,3695200
2000-03-01,5.761142,5.820231,5.662661,5.820231,3526800
2000-03-02,5.820231,5.869471,5.534636,5.711902,2867600
2000-03-03,5.751295,5.869472,5.682358,5.770991,2520800
2000-03-06,5.741445,5.761141,5.623268,5.702053,2285600
2000-03-07,5.672511,5.672511,5.446004,5.485397,5722400
2000-03-08,5.475547,5.554332,5.446003,5.495243,6801200
2000-03-09,5.386914,5.583876,5.357369,5.554331,4529200
2000-03-10,5.574031,5.623271,5.495246,5.534638,2236000
2000-03-13,5.514939,5.524787,5.288433,5.416458,2460400
2000-03-14,5.386913,5.849774,5.386913,5.642963,3939600
2000-03-15,5.711900,6.529293,5.711900,6.475129,7438000
2000-03-16,6.765649,7.011851,6.677016,6.933066,5425600
2000-03-17,6.854284,6.864132,6.539145,6.588385,4430800
2000-03-20,6.598233,6.706562,6.411119,6.509600,2761200
2000-03-21,6.480053,6.864130,6.460357,6.834585,2926400
2000-03-22,6.775495,7.002002,6.775495,6.952761,5593600
2000-03-23,6.854282,7.120181,6.854282,7.080789,3609200
2000-03-24,6.982308,7.346688,6.982308,7.238359,3843200
2000-03-27,7.198967,7.208815,6.864131,6.913372,2646800
2000-03-28,6.962612,7.021700,6.824738,6.883827,2143200
2000-03-29,6.873980,7.120182,6.873980,7.051246,2318000
2000-03-30,7.080787,7.248205,6.942914,7.011850,4233200
2000-03-31,6.972457,7.267900,6.942912,7.179267,3538800
2000-04-03,7.248203,7.415620,7.198962,7.405772,3580800
2000-04-04,7.405778,7.484563,7.130031,7.336841,3571600
2000-04-05,7.208815,7.425473,7.179270,7.238359,2367600
2000-04-06,7.258055,7.356536,7.189118,7.287600,1903600
2000-04-07,7.248206,7.297446,7.159573,7.169421,2364800
2000-04-10,7.169419,7.405774,7.169419,7.258052,1983200
2000-04-11,7.248207,7.464865,7.248207,7.415625,1758400
2000-04-12,7.415619,7.543645,7.395923,7.425467,1972400
2000-04-13,7.435317,7.504253,7.307291,7.405772,2089600
2000-04-14,7.228508,7.356533,7.159571,7.258052,4502800
2000-04-17,7.169420,7.258053,7.031546,7.189116,3797600
2000-04-18,7.169419,7.307292,7.120178,7.179267,1705600
2000-04-19,7.139879,7.139879,6.893676,7.031549,2978800
2000-04-20,6.982305,7.583040,6.982305,7.494407,3420800
2000-04-24,7.445169,7.770156,7.297447,7.632283,2649200
2000-04-25,7.563344,7.711066,7.523952,7.691370,2611200
2000-04-26,7.760312,7.986818,7.720919,7.908033,6516000
2000-04-27,7.799699,7.809547,7.573193,7.642129,6027600
2000-04-28,7.563344,7.701218,7.356534,7.691370,6755600
2000-05-01,7.651977,7.809547,7.563345,7.612585,3153200
2000-05-02,7.376231,7.602738,7.376231,7.543649,3764000
2000-05-03,7.405774,7.474711,7.218660,7.218660,2470000
2000-05-04,7.198963,7.238356,7.139875,7.179267,2143600
2000-05-05,7.179269,7.208813,7.090636,7.169421,1541200
2000-05-08,7.326989,7.356533,7.169419,7.248204,2582400
2000-05-09,7.228506,7.376227,7.198962,7.366379,3561600
2000-05-10,7.366381,7.563343,7.267900,7.494407,2726400
2000-05-11,7.405777,7.612587,7.366384,7.415625,1847200
2000-05-12,7.415624,7.602738,7.405776,7.523953,1921600
2000-05-15,7.573192,7.691370,7.573192,7.691370,2140400
2000-05-16,7.546944,7.793576,7.546944,7.734384,1836400
2000-05-17,7.616004,7.645599,7.448294,7.616004,1932000
2000-05-18,7.625864,7.961283,7.625864,7.892226,3196000
2000-05-19,7.734382,7.823169,7.596268,7.665325,2253600
2000-05-22,7.734381,8.030339,7.724515,7.961282,3333600
2000-05-23,7.951419,8.198051,7.852766,8.050072,3376000
2000-05-24,8.030340,8.089531,7.823169,8.000744,3185600
2000-05-25,7.921822,7.981014,7.872496,7.931687,2471200
2000-05-26,7.971152,8.099401,7.971152,8.030344,1814800
2000-05-30,8.030339,8.227645,7.990878,8.109262,2730800
2000-05-31,8.109263,8.276973,8.050071,8.158589,1733600
2000-06-01,8.119131,8.385494,8.099400,8.375628,3285200
2000-06-02,8.444686,8.513743,8.267111,8.336168,2482800
2000-06-05,8.286837,8.306568,8.010609,8.079666,1820400
2000-06-06,8.188189,8.257246,8.148727,8.168458,2246000
2000-06-07,8.168455,8.296704,8.119129,8.227647,1249600
2000-06-08,8.237515,8.257245,8.030344,8.138862,1884800
2000-06-09,8.099397,8.148723,7.931687,7.990879,887600
2000-06-12,7.990883,8.109267,7.882365,7.921826,2614400
2000-06-13,7.911958,8.059937,7.911958,8.010611,2134400
2000-06-14,8.010609,8.099396,7.892225,7.941552,2389200
2000-06-15,7.961285,7.990881,7.704787,7.773844,1945200
2000-06-16,7.773845,7.783710,7.487751,7.546943,2179600
2000-06-19,7.497619,7.596272,7.428562,7.537080,2890000
2000-06-20,7.458158,7.468023,7.201660,7.250987,3714000
2000-06-21,7.300313,7.487753,7.270717,7.428562,3586000
2000-06-22,7.339774,7.458158,7.320044,7.428562,2030400
2000-06-23,7.458155,7.635730,7.428559,7.468020,1358400
2000-06-26,7.458155,7.468020,7.339771,7.369367,1841600
2000-06-27,7.379231,7.537076,7.349636,7.517345,1737200
2000-06-28,7.477884,7.576537,7.458154,7.544475,2262400
2000-06-29,7.517345,7.517345,7.260848,7.260848,2935600
2000-06-30,7.260852,7.418696,7.211525,7.250987,2606800
2000-07-03,7.211524,7.418695,7.152332,7.408830,805200
2000-07-05,7.408828,7.468019,7.112869,7.112869,8203200
2000-07-06,7.142466,7.231253,7.112870,7.162196,3324800
2000-07-07,7.201656,7.556806,7.191791,7.507480,2621600
2000-07-10,7.497616,7.704787,7.448290,7.625865,3447200
2000-07-11,7.655464,7.872500,7.645599,7.823174,3369200
2000-07-12,7.892226,8.119127,7.852765,7.981013,4044000
2000-07-13,7.971152,8.188189,7.961287,8.168458,5226800
2000-07-14,8.128990,8.207912,8.099394,8.188182,2264800
2000-07-17,8.148728,8.158593,7.872500,7.921826,4246000
2000-07-18,7.892229,7.931690,7.635732,7.675193,2464400
2000-07-19,7.704788,7.783710,7.655462,7.734384,1682800
2000-07-20,7.803441,7.971151,7.773846,7.911960,1302800
2000-07-21,7.941558,7.941558,7.823174,7.852770,1799200
2000-07-24,7.852768,8.109266,7.842903,8.059939,1866000
2000-07-25,7.971152,8.138862,7.951421,8.138862,1566000
2000-07-26,8.198050,8.464413,8.119128,8.306568,4981600
2000-07-27,8.434820,8.572934,8.424954,8.464416,3722800
2000-07-28,8.464414,8.474279,8.355896,8.434818,2799600
2000-07-31,8.454546,8.464411,8.198049,8.198049,3015600
2000-08-01,8.237514,8.711048,8.237514,8.651856,4466000
2000-08-02,8.641993,8.641993,8.553205,8.592667,2954800
2000-08-03,8.582798,8.799834,8.553202,8.730777,2552400
2000-08-04,8.760373,8.809699,8.424953,8.770238,2941200
2000-08-07,8.681453,8.957681,8.651857,8.918220,2794800
2000-08-08,8.701187,8.849166,8.701187,8.760379,1944400
2000-08-09,8.641991,8.701183,8.454551,8.691318,2928400
2000-08-10,8.681454,8.730781,8.572936,8.592667,2941600
2000-08-11,8.622261,8.987277,8.622261,8.888624,4255600
2000-08-14,9.007003,9.302961,9.007003,9.283231,3510000
2000-08-15,9.168234,9.197873,9.059559,9.118836,5108800
2000-08-16,8.970642,9.010160,8.555700,8.703894,4300000
2000-08-17,8.743414,8.822451,8.644619,8.733535,1890400
2000-08-18,8.713775,8.743414,8.624859,8.644618,1656400
2000-08-21,8.555703,8.723655,8.456907,8.713776,1835200
2000-08-22,8.555702,8.802691,8.555702,8.723655,1197200
2000-08-23,8.733537,8.733537,8.516186,8.605103,1858400
2000-08-24,8.565583,8.605101,8.486547,8.506306,1190800
