date,open,high,low,close,volume
1999-01-04,5.140374,5.198788,5.060056,5.191486,291200
1999-01-05,5.162278,5.344819,5.162278,5.315613,90000
1999-01-06,5.308313,5.461648,5.308313,5.344821,232400
1999-01-07,5.344821,5.344821,5.271805,5.271805,13600
1999-01-08,5.257200,5.257200,5.154977,5.206089,74400
1999-01-11,5.206087,5.271802,5.206087,5.257199,78800
1999-01-12,5.271806,5.279108,5.235298,5.242599,114400
1999-01-13,5.213390,5.271803,5.169580,5.198786,101200
1999-01-14,5.191487,5.198789,5.081962,5.096565,82800
1999-01-15,5.067356,5.089261,4.935926,4.950529,117200
1999-01-19,4.935926,5.249898,4.935926,5.198786,204800
1999-01-20,5.198788,5.249900,5.169582,5.249900,152000
1999-01-21,5.227993,5.271803,5.184183,5.198786,428000
1999-01-22,5.111169,5.140376,5.096566,5.125772,259600
1999-01-25,5.125769,5.308310,5.125769,5.257199,327600
1999-01-26,5.257201,5.286408,5.227994,5.264503,217600
1999-01-27,5.271803,5.374026,5.249898,5.315613,454800
1999-01-28,5.315613,5.600378,5.315613,5.505456,302000
1999-01-29,5.505456,5.914350,5.476250,5.841333,533600
1999-02-01,5.841333,5.841333,5.534663,5.534663,368400
1999-02-02,5.541965,5.549267,5.337518,5.366725,346000
1999-02-03,5.344821,5.454346,5.344821,5.447044,165200
1999-02-04,5.417836,5.417836,5.315613,5.315613,104000
1999-02-05,5.257202,5.374028,5.257202,5.301012,77200
1999-02-08,5.301009,5.301009,5.249897,5.257199,75200
1999-02-09,5.257201,5.301011,5.257201,5.271805,170000
1999-02-10,5.271803,5.293708,5.220691,5.227993,184400
1999-02-11,5.227994,5.286407,5.147676,5.279106,276000
1999-02-12,5.257203,5.257203,5.184186,5.242599,40400
1999-02-16,5.271805,5.352123,5.271805,5.301012,40800
1999-02-17,5.301011,5.352123,5.249899,5.264503,45600
1999-02-18,5.286408,5.301011,5.271805,5.271805,117600
1999-02-19,5.330217,5.395932,5.264502,5.374027,89200
1999-02-22,5.403235,5.571173,5.395933,5.556570,140800
1999-02-23,5.556571,5.578476,5.501809,5.512761,212800
1999-02-24,5.512759,5.520061,5.468949,5.468949,130000
1999-02-25,5.520062,5.563872,5.476252,5.556570,100000
1999-02-26,5.549270,5.600381,5.534666,5.578476,79200
1999-03-01,5.563870,5.636887,5.549267,5.636887,118800
1999-03-02,5.636889,5.680699,5.600381,5.607683,227600
1999-03-03,5.607680,5.629585,5.593076,5.629585,116800
1999-03-04,5.651490,5.695300,5.651490,5.695300,205600
1999-03-05,5.680699,5.753716,5.666096,5.746414,163600
1999-03-08,5.746411,5.834031,5.739110,5.797523,229200
1999-03-09,5.797523,5.797523,5.658791,5.666093,99200
1999-03-10,5.666094,5.695301,5.607681,5.673396,124400
1999-03-11,5.644191,5.644191,5.527365,5.527365,248000
1999-03-12,5.527362,5.527362,5.461647,5.520060,138000
1999-03-15,5.505458,5.651491,5.505458,5.585776,298800
1999-03-16,5.578474,5.578474,5.439743,5.439743,232400
1999-03-17,5.439744,5.439744,5.403236,5.410538,210400
1999-03-18,5.432441,5.476251,5.425139,5.468949,57200
1999-03-19,5.490855,5.490855,5.432441,5.432441,149600
1999-03-22,5.447043,5.447043,5.337518,5.337518,77600
1999-03-23,5.337519,5.337519,5.279105,5.286407,79600
1999-03-24,5.279104,5.315613,5.271803,5.315613,194800
1999-03-25,5.374029,5.520063,5.374029,5.498158,120000
1999-03-26,5.490853,5.541964,5.490853,5.534663,20800
1999-03-29,5.500792,5.567067,5.478701,5.478701,105200
1999-03-30,5.449243,5.552337,5.427152,5.456607,177200
1999-03-31,5.530246,5.567065,5.419788,5.419788,544800
1999-04-01,5.449243,5.463971,5.419788,5.456607,58400
1999-04-05,5.463971,5.552337,5.463971,5.537609,87200
1999-04-06,5.493428,5.714343,5.463973,5.655433,186000
1999-04-07,5.640701,5.640701,5.603881,5.611245,18000
1999-04-08,5.581793,5.618612,5.581793,5.603884,58400
1999-04-09,5.633340,5.714343,5.633340,5.714343,66800
1999-04-12,5.684884,5.802705,5.655428,5.765886,94400
1999-04-13,5.736434,5.802709,5.699615,5.699615,181600
1999-04-14,5.706978,5.839527,5.706978,5.736433,98800
1999-04-15,5.743797,5.787980,5.706978,5.706978,61600
1999-04-16,5.706979,5.729070,5.699615,5.699615,74400
1999-04-19,5.706979,5.802709,5.706979,5.802709,211200
1999-04-20,5.773253,5.802709,5.684887,5.699615,347600
1999-04-21,5.721707,5.721707,5.655432,5.692251,164400
1999-04-22,5.677524,5.692251,5.662796,5.692251,192000
1999-04-23,5.670159,5.670159,5.655432,5.670159,16000
1999-04-26,5.684886,5.684886,5.596520,5.648067,59600
1999-04-27,5.655432,5.655432,5.581793,5.633340,88400
1999-04-28,5.611249,5.640704,5.559702,5.633340,108400
1999-04-29,5.640701,5.640701,5.581790,5.611245,145200
1999-04-30,5.596520,5.611248,5.486062,5.596520,98400
1999-05-03,5.596520,5.640703,5.567064,5.567064,188800
1999-05-04,5.589159,5.589159,5.544976,5.574431,104400
1999-05-05,5.559701,5.684886,5.559701,5.662795,426400
1999-05-06,5.655431,5.684886,5.611248,5.648067,76400
1999-05-07,5.618612,5.640703,5.559701,5.603884,151600
1999-05-10,5.633339,5.633339,5.567065,5.596520,240000
1999-05-11,5.596518,5.596518,5.486060,5.515516,70800
1999-05-12,5.515518,5.552337,5.500790,5.537609,61200
1999-05-13,5.537609,5.537609,5.493426,5.537609,53600
1999-05-14,5.515518,5.537609,5.493426,5.530245,64800
1999-05-17,5.530245,5.537609,5.515518,5.530245,77200
1999-05-18,5.530248,5.537612,5.500793,5.508157,85600
1999-05-19,5.493427,5.596521,5.493427,5.589157,463600
1999-05-20,5.574430,5.655433,5.574430,5.655433,126400
1999-05-21,5.655432,5.765890,5.603885,5.633340,194000
1999-05-24,5.625977,5.662796,5.618613,5.618613,166000
1999-05-25,5.648067,5.721705,5.625975,5.662795,66000
1999-05-26,5.670160,5.670160,5.603885,5.625977,129200
1999-05-27,5.625974,5.684885,5.625974,5.677521,158000
1999-05-28,5.699614,5.773252,5.699614,5.736433,37200
1999-06-01,5.714342,5.714342,5.625976,5.670159,101200
1999-06-02,5.655431,5.721706,5.648067,5.706978,178400
1999-06-03,5.699616,5.699616,5.633341,5.655433,201200
1999-06-04,5.670158,5.677522,5.618612,5.662795,75200
1999-06-07,5.677523,5.684887,5.655432,5.670159,82400
1999-06-08,5.677524,5.684888,5.640705,5.655433,775600
1999-06-09,5.625977,5.655433,5.625977,5.655433,45200
1999-06-10,5.637022,5.648067,5.625975,5.648067,62400
1999-06-11,5.648067,5.670158,5.640703,5.662795,24800
1999-06-14,5.670160,5.706979,5.670160,5.692251,48400
1999-06-15,5.692250,5.706978,5.670159,5.706978,62800
1999-06-16,5.692250,5.751161,5.655431,5.736433,200000
1999-06-17,5.729069,5.765888,5.729069,5.736433,90400
1999-06-18,5.765888,5.773252,5.736432,5.773252,119200
1999-06-21,5.765886,5.817433,5.758522,5.765886,94800
1999-06-22,5.736435,5.861620,5.736435,5.854256,76800
1999-06-23,5.846891,5.854255,5.824800,5.839528,90000
1999-06-24,5.839526,5.861617,5.817434,5.824798,35200
1999-06-25,5.854255,5.854255,5.743798,5.751162,42000
1999-06-28,5.739281,5.887775,5.724432,5.880350,136800
1999-06-29,5.850650,5.939746,5.843226,5.939746,223600
1999-06-30,5.939748,5.991720,5.880350,5.880350,530000
1999-07-01,5.880352,5.932324,5.880352,5.932324,57200
1999-07-02,5.910050,5.932324,5.895201,5.932324,37600
1999-07-06,5.924900,5.939749,5.917475,5.924900,94000
1999-07-07,5.939746,5.969445,5.865500,5.872924,68000
1999-07-08,5.858078,5.932324,5.850653,5.932324,101200
1999-07-09,5.924897,6.080815,5.924897,6.058541,104400
1999-07-12,6.088245,6.221889,6.080820,6.192190,127600
1999-07-13,6.207040,6.207040,6.073396,6.103095,57200
1999-07-14,6.095665,6.132788,6.073391,6.132788,84400
1999-07-15,6.162488,6.474325,6.155064,6.474325,250000
1999-07-16,6.414927,6.652517,6.400078,6.459476,558000
1999-07-19,6.459476,6.466901,6.318407,6.325832,100400
1999-07-20,6.296135,6.318409,6.244162,6.244162,246000
1999-07-21,6.244161,6.310983,6.221887,6.288709,182000
1999-07-22,6.281287,6.288712,6.229315,6.266438,86400
1999-07-23,6.281286,6.281286,6.236737,6.244162,24800
1999-07-26,6.251585,6.251585,6.088242,6.117940,63200
1999-07-27,6.147639,6.236735,6.132790,6.229311,121600
1999-07-28,6.229311,6.236735,6.169913,6.207036,217200
