date,open,high,low,close,volume
1999-01-04,8.024066,8.215115,7.748106,8.172660,226800
1999-01-05,8.151426,8.215109,8.066515,8.087743,151000
1999-01-06,8.024060,8.130199,7.811784,8.045288,137000
1999-01-07,8.002836,8.087747,7.472144,7.705648,114000
1999-01-08,7.748107,7.854245,7.641968,7.726879,137800
1999-01-11,7.748105,7.981610,7.748105,7.811788,74600
1999-01-12,7.641965,7.875470,7.620738,7.705648,177400
1999-01-13,7.641967,7.811788,7.578284,7.748105,53600
1999-01-14,7.684415,7.684415,7.472138,7.472138,88600
1999-01-15,7.472146,7.641967,7.408463,7.641967,52200
1999-01-19,7.599510,7.960380,7.599510,7.854242,102400
1999-01-20,7.854245,7.854245,7.684424,7.684424,130200
1999-01-21,7.726880,7.896702,7.620742,7.620742,48800
1999-01-22,7.705648,8.045291,7.641965,7.705648,104800
1999-01-25,7.663187,7.726870,7.281089,7.472138,150800
1999-01-26,7.472143,7.769331,7.472143,7.769331,262000
1999-01-27,7.769331,7.811786,7.514599,7.557054,73400
1999-01-28,7.557056,7.684422,7.535829,7.663195,68600
1999-01-29,7.726876,7.896697,7.684421,7.875470,124800
1999-02-01,7.917930,7.939158,7.854247,7.939158,102400
1999-02-02,7.939155,8.193887,7.917927,8.193887,201800
1999-02-03,8.151426,8.151426,7.939149,8.130198,68600
1999-02-04,8.066523,8.342483,8.066523,8.342483,126800
1999-02-05,8.236339,8.321249,8.087745,8.108973,125400
1999-02-08,8.108975,8.193885,8.002836,8.002836,52800
1999-02-09,8.066520,8.151431,7.981610,8.151431,130200
1999-02-10,8.151430,8.257568,7.875470,7.875470,107200
1999-02-11,7.875475,7.939158,7.875475,7.939158,51000
1999-02-12,7.896698,8.108974,7.705648,7.705648,117000
1999-02-16,7.726876,7.875469,7.684420,7.769331,55600
1999-02-17,7.726881,7.981613,7.726881,7.939158,78800
1999-02-18,7.896700,7.981610,7.833017,7.917927,72800
1999-02-19,7.917925,7.917925,7.769331,7.833014,67000
1999-02-22,7.854242,8.024063,7.833014,8.024063,78000
1999-02-23,8.002838,8.130204,7.960382,7.981610,115400
1999-02-24,7.939152,7.939152,7.726876,7.769331,76600
1999-02-25,7.769333,7.981610,7.769333,7.960382,44200
1999-02-26,7.939152,8.045291,7.896697,8.024063,77600
1999-03-01,8.002839,8.151432,7.939156,8.066522,73200
1999-03-02,8.130199,8.257565,8.087744,8.215110,112000
1999-03-03,8.236337,8.278792,7.960377,8.130198,48400
1999-03-04,8.130201,8.469844,8.066518,8.363706,185400
1999-03-05,8.406163,8.597212,8.342480,8.554757,139200
1999-03-08,8.491069,8.491069,7.939150,8.045288,257600
1999-03-09,8.066521,8.193887,8.024065,8.193887,103000
1999-03-10,8.172654,8.257565,8.108971,8.215110,170800
1999-03-11,8.163956,8.163956,7.972114,8.014746,63400
1999-03-12,7.993426,8.036058,7.950795,7.950795,59600
1999-03-15,7.929484,7.993431,7.929484,7.972116,42600
1999-03-16,7.993432,8.057379,7.886852,7.993432,82800
1999-03-17,7.950792,8.100003,7.865529,7.908161,48200
1999-03-18,7.908169,7.950801,7.801590,7.844222,39800
1999-03-19,7.673693,7.695009,7.524482,7.524482,148600
1999-03-22,7.524478,7.588426,6.970267,7.545794,234000
1999-03-23,7.503163,7.524479,7.183426,7.183426,113200
1999-03-24,7.183429,7.183429,6.821061,6.906324,137600
1999-03-25,6.927638,7.055533,6.863691,7.034217,81600
1999-03-26,7.034218,7.162113,6.948955,7.119481,60200
1999-03-29,7.098165,7.183428,7.012902,7.055533,231800
1999-03-30,7.055535,7.055535,6.607903,6.607903,163000
1999-03-31,6.629219,7.140798,6.437376,7.140798,236200
1999-04-01,7.098165,7.247376,6.863691,7.119481,147800
1999-04-05,7.162108,7.290003,6.948950,6.991581,99400
1999-04-06,6.970266,7.055529,6.927634,6.991581,114600
1999-04-07,6.948952,7.162110,6.821057,6.821057,89400
1999-04-08,6.863691,7.162112,6.821059,7.012902,78000
1999-04-09,6.970270,7.119481,6.906323,7.119481,36400
1999-04-12,7.076851,7.226062,7.034220,7.076851,61400
1999-04-13,7.076850,7.162113,6.906323,6.970271,43800
1999-04-14,6.927638,7.332639,6.927638,7.162112,142600
1999-04-15,7.183428,7.332638,7.183428,7.311323,61200
1999-04-16,7.311319,7.822898,7.290003,7.801582,170800
1999-04-19,7.716326,7.716326,7.162114,7.481852,234600
1999-04-20,7.460534,7.631060,7.417902,7.460534,111200
1999-04-21,7.481846,7.673688,7.226057,7.226057,130400
1999-04-22,7.268689,7.332637,7.076847,7.183426,120800
1999-04-23,7.119478,7.204741,6.842372,6.927636,148000
1999-04-26,6.863691,7.140797,6.821059,7.055533,128800
1999-04-27,7.012902,7.226060,6.970270,7.012902,120800
1999-04-28,7.034220,7.417905,7.012904,7.417905,134800
1999-04-29,7.332642,7.460536,7.226062,7.417905,151600
1999-04-30,7.417902,7.652376,7.417902,7.503166,91600
1999-05-03,7.503167,7.780272,7.503167,7.631062,69600
1999-05-04,7.631062,7.886852,7.567115,7.886852,90800
1999-05-05,7.929484,8.227905,7.929484,7.972116,462800
1999-05-06,7.950801,7.972117,7.588432,7.673695,110800
1999-05-07,7.673689,7.950795,7.673689,7.950795,66400
1999-05-10,7.993432,8.057379,7.950800,7.993432,53600
1999-05-11,8.057378,8.121326,8.036062,8.100010,96800
1999-05-12,8.057369,8.057369,7.758948,7.865527,37000
1999-05-13,7.908165,8.291850,7.886849,8.163955,132200
1999-05-14,8.121322,8.121322,7.737638,7.822901,45200
1999-05-17,7.844223,7.865539,7.695012,7.758960,197600
1999-05-18,7.737638,7.758954,7.695006,7.716322,69400
1999-05-19,7.716328,7.758960,7.439222,7.758960,61000
1999-05-20,7.716320,7.737636,7.545794,7.545794,46000
1999-05-21,7.609744,7.716323,7.567112,7.567112,36000
1999-05-24,7.460534,7.588428,7.417902,7.460534,72800
1999-05-25,7.439219,7.737641,7.417904,7.737641,76800
1999-05-26,7.695007,7.886850,7.588428,7.652376,107400
1999-05-27,7.652373,7.652373,7.417899,7.609742,79400
1999-05-28,7.567112,7.673692,7.460533,7.652376,65400
1999-06-01,7.652379,7.865537,7.652379,7.844222,46200
1999-06-02,7.801585,7.844217,7.545795,7.716322,101600
1999-06-03,7.737643,7.758958,7.567116,7.673695,35600
1999-06-04,7.652373,7.652373,7.460531,7.609742,68400
1999-06-07,7.567115,7.886852,7.545799,7.886852,34600
1999-06-08,7.929475,7.950790,7.822896,7.865527,51800
1999-06-09,7.865529,7.908161,7.758950,7.908161,35200
1999-06-10,7.822902,8.185271,7.801587,8.185271,86000
1999-06-11,8.176710,8.176710,7.984065,8.026875,34600
1999-06-14,8.133898,8.262328,8.112493,8.176708,69800
1999-06-15,8.240926,8.240926,8.005471,8.048281,202400
1999-06-16,8.091081,8.144593,7.791411,7.898436,137800
1999-06-17,7.834231,7.834231,7.662991,7.662991,118600
