date,open,high,low,close,volume
1999-01-04,7.937631,8.516175,7.937631,8.203761,35574000
1999-01-05,8.273188,9.233572,8.261617,9.210430,65002000
1999-01-06,9.441850,10.344380,9.256716,9.916257,89908800
1999-01-07,9.823689,10.402234,9.742693,10.112962,45397600
1999-01-08,10.390660,10.668361,9.927824,10.274951,43375200
1999-01-11,10.344376,10.344376,9.858399,10.274951,25904400
1999-01-12,10.147673,10.263382,9.846830,9.893113,21323600
1999-01-13,9.164145,10.483227,9.117862,10.159242,45585600
1999-01-14,10.089818,10.182385,9.557557,9.858400,33406400
1999-01-15,9.904687,10.471660,9.823690,10.402235,36403200
1999-01-19,10.321234,10.355947,9.927824,10.159242,23420000
1999-01-20,10.367521,11.096488,10.159245,10.656794,45578800
1999-01-21,10.506369,10.656790,10.089817,10.240238,30719200
1999-01-22,9.950969,10.483230,9.904686,10.112962,30534000
1999-01-25,10.112962,10.321238,9.765836,9.997253,26050000
1999-01-26,10.205524,10.853494,10.078244,10.841923,25938000
1999-01-27,10.865071,11.061776,10.390664,10.402235,26171600
1999-01-28,10.506370,10.946064,10.506370,10.922922,22064400
1999-01-29,11.084914,11.860164,11.061773,11.698172,51344800
1999-02-01,11.848596,11.871737,11.258480,11.513040,26570400
1999-02-02,11.455181,11.478323,10.622077,10.957633,35815200
1999-02-03,10.807215,11.813883,10.737789,11.732886,38268400
1999-02-04,11.640317,11.929590,11.339474,11.432041,34782800
1999-02-05,11.408902,11.478327,10.390663,11.235338,56702800
1999-02-08,11.848594,12.531277,11.594034,12.484993,73556800
1999-02-09,12.184149,12.357712,11.675030,11.709743,54691200
1999-02-10,11.698175,11.918022,11.061776,11.258481,48033600
1999-02-11,11.640318,12.427138,11.594034,12.415567,51500800
1999-02-12,12.091578,12.403992,11.802305,12.380850,39253600
1999-02-16,12.623843,12.785835,12.056869,12.565989,34010000
1999-02-17,12.577560,13.260243,12.403997,12.473422,72317600
1999-02-18,12.785834,12.913114,12.056868,12.265144,50405200
1999-02-19,12.403997,12.727982,12.033729,12.716412,41610400
1999-02-22,12.704839,12.797407,12.392425,12.623843,26920800
1999-02-23,12.820548,12.982540,12.554417,12.670126,26130800
1999-02-24,12.774266,13.109822,12.565990,12.635415,33993200
1999-02-25,12.461850,12.461850,11.501466,11.802309,61674800
1999-02-26,11.478323,11.547748,10.240237,10.298092,86488400
1999-03-01,10.517938,10.830352,10.089815,10.564221,68204400
1999-03-02,10.703075,11.177482,10.564224,10.610508,53754000
1999-03-03,10.807214,10.969206,10.552654,10.784072,31470000
1999-03-04,10.980779,11.154342,10.506372,10.656794,31181600
