date,open,high,low,close,volume
1999-01-04,2.757160,2.882130,2.741538,2.811834,607500
1999-01-05,2.811835,2.811835,2.577516,2.577516,1023300
1999-01-06,2.624379,2.640001,2.561894,2.616569,375975
1999-01-07,2.585325,2.600946,2.561893,2.593135,264600
1999-01-08,2.593136,2.593136,2.546272,2.569704,442125
1999-01-11,2.569704,2.569704,2.530651,2.554083,332775
1999-01-12,2.569704,2.585326,2.499409,2.499409,277425
1999-01-13,2.468166,2.515030,2.468166,2.515030,276075
1999-01-14,2.499409,2.507219,2.491598,2.499409,336825
1999-01-15,2.499409,2.577516,2.499409,2.522841,217350
1999-01-19,2.499409,2.499409,2.390059,2.390059,278100
1999-01-20,2.374439,2.390060,2.304143,2.311954,1485675
1999-01-21,2.311954,2.343196,2.296332,2.296332,1109025
1999-01-22,2.311954,2.351007,2.311954,2.319764,783675
1999-01-25,2.335386,2.335386,2.280712,2.304143,827550
1999-01-26,2.296332,2.335386,2.280712,2.311954,955800
1999-01-27,2.327575,2.343196,2.296332,2.296332,909225
1999-01-28,2.311954,2.327575,2.280712,2.280712,333450
1999-01-29,2.296333,2.304143,2.249469,2.272900,250425
1999-02-01,2.288522,2.311954,2.265090,2.272900,228150
1999-02-02,2.272900,2.304143,2.272900,2.288522,261225
1999-02-03,2.272900,2.296333,2.265090,2.272900,276075
1999-02-04,2.257279,2.280712,2.249469,2.272900,163350
1999-02-05,2.288522,2.288522,2.249469,2.249469,159975
1999-02-08,2.249468,2.265089,2.249468,2.257279,176175
1999-02-09,2.272900,2.280712,2.257280,2.265090,114075
1999-02-10,2.265089,2.280711,2.179172,2.202604,564975
1999-02-11,2.171361,2.210414,2.171361,2.210414,213975
1999-02-12,2.226037,2.226037,2.194794,2.202604,203175
1999-02-16,2.202603,2.218225,2.108875,2.140118,666900
1999-02-17,2.124498,2.155741,2.124498,2.124498,566325
1999-02-18,2.140120,2.155741,2.124499,2.132309,377325
1999-02-19,2.140119,2.155741,2.124498,2.124498,261225
1999-02-22,2.124498,2.163551,2.124498,2.163551,216000
1999-02-23,2.179172,2.179172,2.163551,2.171361,201825
1999-02-24,2.163550,2.186982,2.108876,2.108876,461025
1999-02-25,2.077634,2.101066,2.062012,2.093255,127575
1999-02-26,2.077634,2.116687,2.077634,2.116687,308475
1999-03-01,2.124499,2.140120,2.062013,2.132309,368550
1999-03-02,2.147930,2.171362,2.132309,2.147930,197100
1999-03-03,2.147930,2.147930,2.093255,2.101067,608850
1999-03-04,2.101066,2.116687,2.077634,2.116687,215325
1999-03-05,2.140118,2.163550,2.132307,2.140118,270675
1999-03-08,2.155740,2.163551,2.124498,2.155740,240300
1999-03-09,2.140118,2.155740,2.116686,2.140118,434025
1999-03-10,2.171361,2.233846,2.155740,2.179172,605475
1999-03-11,2.179171,2.233846,2.179171,2.233846,584550
1999-03-12,2.226037,2.280712,2.226037,2.272900,403650
1999-03-15,2.288260,2.319606,2.280423,2.296097,375300
1999-03-16,2.311768,2.311768,2.288260,2.288260,303075
1999-03-17,2.288261,2.296097,2.249077,2.249077,637875
1999-03-18,2.264751,2.303933,2.249078,2.280424,231525
1999-03-19,2.272587,2.280423,2.256914,2.264751,363825
1999-03-22,2.272587,2.272587,2.256914,2.264751,294300
1999-03-23,2.256914,2.256914,2.241241,2.249077,567675
1999-03-24,2.256914,2.256914,2.241241,2.249077,207225
1999-03-25,2.249078,2.256915,2.241242,2.256915,36450
1999-03-26,2.249077,2.256914,2.233405,2.249077,240975
1999-03-29,2.249076,2.319605,2.249076,2.319605,590625
1999-03-30,2.303932,2.358787,2.303932,2.343115,163350
1999-03-31,2.327442,2.327442,2.280422,2.288260,263925
1999-04-01,2.296097,2.296097,2.256914,2.264751,85050
1999-04-05,2.280423,2.280423,2.256914,2.272587,182250
1999-04-06,2.272587,2.280424,2.256915,2.280424,274725
1999-04-07,2.280423,2.280423,2.241241,2.241241,571050
1999-04-08,2.233405,2.241241,2.194223,2.202059,672975
1999-04-09,2.209895,2.288261,2.194222,2.264751,309825
1999-04-12,2.249077,2.350952,2.249077,2.350952,639225
1999-04-13,2.366625,2.405808,2.366625,2.390135,180900
1999-04-14,2.374461,2.468499,2.374461,2.460662,318600
1999-04-15,2.460662,2.554701,2.460662,2.554701,549450
1999-04-16,2.554701,2.727104,2.554701,2.711432,519750
1999-04-19,2.742777,2.875998,2.742777,2.828979,644625
1999-04-20,2.852488,3.071911,2.774123,2.828979,1213650
1999-04-21,2.813305,3.009218,2.797633,2.923017,371925
1999-04-22,2.930855,2.930855,2.860326,2.868163,85725
1999-04-23,2.836815,2.852488,2.797633,2.828979,149850
1999-04-26,2.883834,2.891671,2.821142,2.821142,153225
1999-04-27,2.821143,2.907344,2.789797,2.907344,367200
1999-04-28,2.883835,3.118930,2.883835,3.017056,1131300
1999-04-29,3.009218,3.017055,2.977872,2.985708,455625
1999-04-30,2.985708,2.993545,2.860325,2.860325,156600
1999-05-03,2.860325,3.024892,2.860325,2.993546,707400
1999-05-04,2.993546,3.024893,2.993546,3.024893,423900
1999-05-05,3.024892,3.024892,3.001382,3.017056,380025
1999-05-06,3.017054,3.056237,3.017054,3.032727,230175
1999-05-07,3.056238,3.197295,3.056238,3.111093,707400
1999-05-10,3.134603,3.228641,3.134603,3.165949,444825
1999-05-11,3.150275,3.150275,3.079747,3.103257,178875
1999-05-12,3.087584,3.095420,3.040565,3.071911,340875
1999-05-13,3.079747,3.126766,3.056237,3.103257,242325
1999-05-14,3.071910,3.079747,3.056237,3.056237,140400
1999-05-17,3.056237,3.095419,3.001381,3.032727,267300
1999-05-18,3.032727,3.056236,3.032727,3.048400,97200
1999-05-19,3.048400,3.056236,3.009218,3.048400,190350
1999-05-20,3.024892,3.126766,3.024892,3.111093,192375
1999-05-21,3.118930,3.134603,3.103257,3.118930,109350
