date,open,high,low,close,volume
1999-01-04,2.626916,2.653722,2.620215,2.633618,206400
1999-01-05,2.633617,2.707332,2.626916,2.687228,189000
1999-01-06,2.700630,2.794449,2.700630,2.794449,121200
1999-01-07,2.794448,2.834656,2.787747,2.801150,152400
1999-01-08,2.801150,2.814553,2.801150,2.814553,157200
1999-01-11,2.814552,2.814552,2.747539,2.754240,153000
1999-01-12,2.754240,2.774344,2.740838,2.740838,205200
1999-01-13,2.720734,2.734137,2.693929,2.727435,146400
1999-01-14,2.727435,2.740838,2.653721,2.653721,142200
1999-01-15,2.640318,2.640318,2.586707,2.600110,123000
1999-01-19,2.586708,2.600111,2.566604,2.566604,175800
1999-01-20,2.580007,2.593409,2.559903,2.580007,174600
1999-01-21,2.573305,2.573305,2.479487,2.479487,115200
1999-01-22,2.466085,2.499592,2.452682,2.499592,51000
1999-01-25,2.486187,2.506291,2.439278,2.506291,131400
1999-01-26,2.526396,2.600111,2.526396,2.593409,127200
1999-01-27,2.586135,2.586135,2.532258,2.532258,39600
1999-01-28,2.552462,2.552462,2.478379,2.491849,44400
1999-01-29,2.491849,2.586135,2.491849,2.586135,319800
1999-02-01,2.579400,2.599605,2.572666,2.592870,90600
1999-02-02,2.586136,2.599605,2.505319,2.505319,385200
1999-02-03,2.491850,2.505319,2.478380,2.498584,43800
1999-02-04,2.491850,2.491850,2.437972,2.458176,66600
1999-02-05,2.458175,2.458175,2.390828,2.390828,121200
1999-02-08,2.384094,2.424502,2.384094,2.417767,57000
1999-02-09,2.417767,2.431237,2.417767,2.417767,74400
1999-02-10,2.417767,2.464911,2.404298,2.437972,89400
1999-02-11,2.451442,2.512054,2.411034,2.471646,161400
1999-02-12,2.471645,2.471645,2.316746,2.316746,127800
1999-02-16,2.316746,2.316746,2.262869,2.262869,122400
1999-02-17,2.208991,2.235930,2.128175,2.235930,672600
1999-02-18,2.242664,2.323481,2.242664,2.316746,187800
1999-02-19,2.343685,2.357155,2.262869,2.262869,102000
1999-02-22,2.276338,2.330216,2.276338,2.330216,178800
1999-02-23,2.316746,2.316746,2.296542,2.310012,307800
1999-02-24,2.323481,2.397563,2.310012,2.310012,208800
1999-02-25,2.310012,2.330216,2.276338,2.310012,125400
1999-02-26,2.310012,2.330216,2.296542,2.296542,118200
1999-03-01,2.289808,2.296542,2.262869,2.262869,201600
1999-03-02,2.262869,2.262869,2.208992,2.215726,137400
1999-03-03,2.215726,2.215726,2.141644,2.202256,379200
1999-03-04,2.195520,2.208990,2.168582,2.195520,159600
1999-03-05,2.182052,2.188787,2.175317,2.182052,48000
1999-03-08,2.182051,2.208990,2.155112,2.155112,235200
1999-03-09,2.141643,2.161847,2.114704,2.155112,458400
1999-03-10,2.155113,2.175317,2.148379,2.175317,61800
1999-03-11,2.182053,2.182053,2.155114,2.161849,85800
1999-03-12,2.155112,2.175316,2.148378,2.155112,63600
1999-03-15,2.155113,2.182052,2.155113,2.182052,45600
1999-03-16,2.168584,2.175318,2.161849,2.161849,55200
1999-03-17,2.161848,2.161848,2.134909,2.148379,121800
1999-03-18,2.141644,2.155113,2.141644,2.148379,115200
1999-03-19,2.134909,2.161848,2.134909,2.148379,146400
1999-03-22,2.141643,2.155112,2.141643,2.141643,83400
1999-03-23,2.141643,2.141643,2.128174,2.134908,71400
1999-03-24,2.134908,2.134908,2.114704,2.114704,76800
1999-03-25,2.107971,2.148379,2.107971,2.148379,103200
1999-03-26,2.141643,2.155112,2.128173,2.141643,148200
1999-03-29,2.141643,2.161847,2.141643,2.155112,58800
1999-03-30,2.148378,2.168582,2.148378,2.155112,109800
1999-03-31,2.155113,2.155113,2.047358,2.047358,325800
1999-04-01,2.060827,2.114705,2.054092,2.107971,148200
1999-04-05,2.107970,2.134908,2.101235,2.128174,74400
1999-04-06,2.141643,2.148378,2.121438,2.141643,85800
1999-04-07,2.148378,2.155113,2.114704,2.121439,244200
1999-04-08,2.114705,2.121440,2.101236,2.107971,97200
1999-04-09,2.107971,2.121440,2.047358,2.101236,279000
1999-04-12,2.101235,2.141643,2.087765,2.114704,165600
1999-04-13,2.114704,2.141643,2.114704,2.114704,142800
1999-04-14,2.121439,2.208990,2.121439,2.155112,493200
1999-04-15,2.168582,2.296542,2.168582,2.222460,217800
1999-04-16,2.235929,2.384094,2.235929,2.350420,194400
1999-04-19,2.370624,2.505319,2.370624,2.390828,225600
1999-04-20,2.397563,2.404298,2.289808,2.289808,232800
1999-04-21,2.296542,2.357155,2.296542,2.330216,135000
1999-04-22,2.323482,2.350421,2.323482,2.336951,91200
1999-04-23,2.336951,2.437972,2.330216,2.437972,89400
1999-04-26,2.437971,2.572666,2.437971,2.545727,202800
1999-04-27,2.552463,2.592871,2.552463,2.559197,190800
1999-04-28,2.572193,2.606038,2.565424,2.599268,97800
1999-04-29,2.606037,2.694033,2.606037,2.694033,213000
1999-04-30,2.680495,2.748185,2.673726,2.734647,139200
1999-05-03,2.748185,2.765107,2.707571,2.707571,284400
1999-05-04,2.714340,2.734647,2.700803,2.714340,75000
1999-05-05,2.710955,2.710955,2.687264,2.700802,99600
1999-05-06,2.694034,2.700804,2.666959,2.687266,199800
1999-05-07,2.673726,2.680496,2.585731,2.680496,208800
1999-05-10,2.680496,2.687265,2.639882,2.639882,166200
1999-05-11,2.646651,2.694033,2.646651,2.694033,166200
1999-05-12,2.680496,2.707572,2.673727,2.673727,146400
1999-05-13,2.687264,2.714340,2.680495,2.707571,204000
1999-05-14,2.707572,2.768492,2.707572,2.741416,89400
1999-05-17,2.734646,2.741415,2.673726,2.700802,96000
1999-05-18,2.694033,2.700802,2.660189,2.673727,41400
1999-05-19,2.673727,2.734647,2.673727,2.721109,115200
1999-05-20,2.727878,2.754953,2.727878,2.754953,32400
1999-05-21,2.754954,2.761723,2.741416,2.748185,78600
1999-05-24,2.748185,2.768492,2.748185,2.768492,33000
1999-05-25,2.761723,2.768492,2.727879,2.741416,55200
1999-05-26,2.734648,2.741417,2.687266,2.687266,103800
1999-05-27,2.700802,2.707571,2.673726,2.694033,76200
1999-05-28,2.694033,2.707572,2.639882,2.639882,86400
1999-06-01,2.639881,2.700802,2.592499,2.700802,192600
1999-06-02,2.700802,2.775260,2.694033,2.754953,163800
1999-06-03,2.754954,2.842950,2.754954,2.822643,98400
1999-06-04,2.815874,2.863257,2.761723,2.768492,177000
1999-06-07,2.768492,2.836181,2.768492,2.809106,78000
1999-06-08,2.822644,2.829413,2.714341,2.731264,209400
1999-06-09,2.727879,2.748186,2.714341,2.741416,132600
1999-06-10,2.741416,2.741416,2.727878,2.734647,25800
1999-06-11,2.734648,2.782030,2.734648,2.782030,192000
1999-06-14,2.822643,2.822643,2.727879,2.727879,155400
1999-06-15,2.741416,2.748185,2.694033,2.694033,94200
1999-06-16,2.680496,2.680496,2.612806,2.612806,268800
1999-06-17,2.606039,2.666959,2.606039,2.660190,199800
1999-06-18,2.687264,2.714340,2.687264,2.707571,138600
1999-06-21,2.707572,2.741416,2.599269,2.633113,272400
1999-06-22,2.626344,2.673726,2.612805,2.653419,139200
1999-06-23,2.666958,2.687265,2.666958,2.673727,112800
1999-06-24,2.687264,2.700802,2.639881,2.653419,67800
1999-06-25,2.653419,2.653419,2.626344,2.626344,94200
1999-06-28,2.633114,2.687266,2.633114,2.687266,149400
1999-06-29,2.694034,2.741416,2.694034,2.741416,309000
1999-06-30,2.754952,3.032479,2.748184,3.032479,504600
1999-07-01,3.032481,3.066325,3.032481,3.066325,196200
1999-07-02,3.066324,3.161089,3.039248,3.154320,268200
1999-07-06,3.167858,3.167858,3.086631,3.086631,249600
1999-07-07,3.093401,3.093401,2.998635,3.005404,126000
1999-07-08,2.998634,3.018941,2.991866,3.018941,76800
1999-07-09,3.032479,3.073092,3.018941,3.032479,207000
1999-07-12,3.046017,3.194933,3.046017,3.194933,146400
1999-07-13,3.181396,3.249085,3.174627,3.235548,103200
1999-07-14,3.235547,3.235547,3.174627,3.208472,158400
1999-07-15,3.208471,3.303236,3.208471,3.303236,173400
1999-07-16,3.289699,3.357388,3.289699,3.343850,250800
1999-07-19,3.370928,3.438617,3.364159,3.438617,123000
1999-07-20,3.431848,3.465692,3.425079,3.458924,205200
1999-07-21,3.458922,3.458922,3.411540,3.425077,199200
1999-07-22,3.425078,3.425078,3.377696,3.398003,54000
1999-07-23,3.398003,3.398003,3.316776,3.323544,105600
1999-07-26,3.323543,3.323543,3.289698,3.303236,131400
1999-07-27,3.303237,3.303237,3.276162,3.276162,37200
1999-07-28,3.275617,3.275617,3.139700,3.166883,232200
1999-07-29,3.180474,3.180474,3.132903,3.153291,121200
1999-07-30,3.146496,3.166883,3.139700,3.166883,141000
1999-08-02,3.153291,3.160087,3.126108,3.153291,75600
1999-08-03,3.139699,3.139699,3.112516,3.126108,115800
1999-08-04,3.126107,3.126107,3.024169,3.030965,145800
1999-08-05,3.017373,3.017373,2.922231,2.929026,109800
1999-08-06,2.929026,2.929026,2.833884,2.833884,151200
1999-08-09,2.929027,2.929027,2.772722,2.867864,231600
1999-08-10,2.867865,2.915436,2.847477,2.915436,1077000
1999-08-11,2.908639,2.935823,2.895048,2.935823,98400
1999-08-12,2.942620,2.956211,2.935824,2.942620,40200
1999-08-13,2.956211,2.963007,2.929027,2.935823,31200
1999-08-16,2.949416,2.996987,2.935824,2.996987,72600
1999-08-17,3.017374,3.051353,2.983395,3.017374,150600
1999-08-18,3.010578,3.024170,2.949415,2.963007,75600
1999-08-19,2.949415,2.990190,2.935823,2.990190,122400
1999-08-20,2.983395,2.996986,2.942620,2.976599,97200
1999-08-23,2.976599,2.996986,2.949415,2.990190,88800
1999-08-24,2.996986,2.996986,2.908639,2.935823,97200
1999-08-25,2.949415,2.983395,2.942620,2.976599,78600
1999-08-26,2.963008,2.963008,2.915436,2.915436,52800
1999-08-27,2.922233,2.922233,2.888253,2.888253,81000
1999-08-30,2.901845,2.922233,2.881458,2.922233,98400
1999-08-31,2.922233,2.949416,2.915436,2.949416,81000
1999-09-01,2.949414,3.051352,2.949414,3.044556,99000
1999-09-02,3.044559,3.166885,3.044559,3.132905,451200
1999-09-03,3.160087,3.160087,3.098924,3.126108,279600
1999-09-07,3.112516,3.119312,3.071741,3.112516,114600
1999-09-08,3.126109,3.126109,3.098926,3.105722,149400
1999-09-09,3.112516,3.126108,3.105720,3.126108,95400
1999-09-10,3.126107,3.207658,3.126107,3.180474,114600
1999-09-13,3.180476,3.194067,3.180476,3.194067,8400
1999-09-14,3.180475,3.194067,3.146496,3.166883,87000
1999-09-15,3.153291,3.160087,3.139699,3.153291,54600
1999-09-16,3.153291,3.166884,3.139700,3.160088,145200
1999-09-17,3.166883,3.173678,3.153291,3.153291,89400
1999-09-20,3.153291,3.153291,3.105720,3.139700,115800
1999-09-21,3.132904,3.166883,3.112516,3.166883,131400
1999-09-22,3.160087,3.187271,3.153291,3.166883,84000
1999-09-23,3.166884,3.187271,3.160088,3.173679,63000
1999-09-24,3.166883,3.187270,3.160087,3.180474,257400
1999-09-27,3.180474,3.194066,3.173678,3.180474,192600
1999-09-28,3.194066,3.194066,3.180475,3.187271,50400
1999-09-29,3.194067,3.309598,3.194067,3.289210,143400
1999-09-30,3.302801,3.309598,3.228047,3.289210,301200
1999-10-01,3.275617,3.282413,3.221250,3.228046,85200
1999-10-04,3.221251,3.241639,3.221251,3.241639,100200
1999-10-05,3.262025,3.377555,3.262025,3.377555,109800
1999-10-06,3.384353,3.431925,3.363966,3.370762,343200
1999-10-07,3.391147,3.411535,3.370760,3.377555,210000
1999-10-08,3.377555,3.377555,3.357168,3.357168,292200
1999-10-11,3.357169,3.357169,3.296006,3.296006,42000
1999-10-12,3.296005,3.302801,3.180475,3.200863,162000
1999-10-13,3.200863,3.207659,3.105720,3.139700,103800
1999-10-14,3.126108,3.126108,3.058149,3.112516,99600
1999-10-15,3.126108,3.132903,3.112516,3.126108,89400
1999-10-18,3.139701,3.153293,3.098926,3.105722,66600
1999-10-19,2.976599,2.990190,2.833885,2.854273,626400
1999-10-20,2.847476,2.854272,2.752334,2.759130,157800
1999-10-21,2.731946,2.738742,2.643600,2.663987,189000
1999-10-22,2.663988,2.677580,2.663988,2.670784,99600
1999-10-25,2.667385,2.704762,2.650395,2.650395,264600
1999-10-26,2.657192,2.663987,2.562049,2.623212,138000
1999-10-27,2.636325,2.718283,2.636325,2.690964,135000
1999-10-28,2.704625,2.731945,2.704625,2.718285,117000
1999-10-29,2.725114,2.752433,2.649986,2.649986,171600
1999-11-01,2.677306,2.752435,2.677306,2.745605,135000
1999-11-02,2.731945,2.772924,2.697795,2.725115,135600
1999-11-03,2.731943,2.786582,2.731943,2.766093,79800
1999-11-04,2.772923,2.772923,2.718284,2.731944,94200
1999-11-05,2.731945,2.731945,2.718285,2.718285,28800
1999-11-08,2.711454,2.718283,2.690964,2.704624,80400
1999-11-09,2.677306,2.697795,2.677306,2.684136,100800
1999-11-10,2.677305,2.677305,2.513388,2.513388,252600
1999-11-11,2.513387,2.520218,2.472408,2.472408,157200
1999-11-12,2.458750,2.465580,2.458750,2.465580,55800
1999-11-15,2.465580,2.486070,2.404111,2.431430,190800
1999-11-16,2.445090,2.506558,2.445090,2.492898,138600
1999-11-17,2.479239,2.492898,2.479239,2.486069,81600
1999-11-18,2.486069,2.499729,2.458750,2.465580,78000
1999-11-19,2.472409,2.472409,2.438260,2.438260,99600
1999-11-22,2.445090,2.445090,2.376791,2.376791,169800
1999-11-23,2.376792,2.383622,2.335813,2.335813,127200
1999-11-24,2.342643,2.356303,2.301664,2.328983,193200
1999-11-26,2.342642,2.349471,2.342642,2.342642,9600
1999-11-29,2.342643,2.417771,2.342643,2.417771,207600
1999-11-30,2.417771,2.417771,2.397282,2.404112,114000
1999-12-01,2.397281,2.397281,2.342642,2.349472,64200
1999-12-02,2.335813,2.342643,2.301664,2.322153,418800
1999-12-03,2.328983,2.342643,2.253855,2.253855,128400
1999-12-06,2.260683,2.274343,2.199215,2.226534,162000
