date,open,high,low,close,volume
1999-01-04,8.303813,8.446983,7.710684,7.894759,2402631
1999-01-05,7.874306,7.894759,7.240271,7.649326,3884958
1999-01-06,7.731137,8.099286,7.628873,8.099286,2130051
1999-01-07,7.853851,8.058379,7.649324,7.997020,1157310
1999-01-08,8.099284,8.099284,7.833398,7.997020,1548162
1999-01-11,8.078834,8.181097,7.874307,7.976570,1143450
1999-01-12,7.976574,8.078838,7.731142,7.772047,924231
1999-01-13,7.526611,7.669780,7.485706,7.567517,848694
1999-01-14,7.587966,7.894756,7.403890,7.424344,790944
1999-01-15,7.403891,7.485703,7.322081,7.383439,940401
1999-01-19,7.485706,7.587970,7.117556,7.199368,1300530
1999-01-20,7.240273,7.403894,7.158462,7.199368,482328
1999-01-21,7.240272,7.485705,7.056198,7.178913,969738
1999-01-22,7.178913,7.260724,7.035744,7.097103,890967
1999-01-25,7.117551,7.117551,6.831213,6.913025,1167936
1999-01-26,6.749407,6.790313,6.381258,6.585785,2833215
1999-01-27,6.544878,6.626690,6.401709,6.544878,1395471
1999-01-28,6.544878,6.544878,6.135823,6.176728,1416723
1999-01-29,6.217635,6.319899,5.767674,6.299446,2341185
1999-02-01,6.299447,6.299447,5.890393,5.931298,25373733
1999-02-02,5.972202,6.299446,5.931296,6.197183,4178328
1999-02-03,6.197184,6.503975,6.115372,6.483522,2233308
1999-02-04,6.503975,6.667597,6.381258,6.442616,1743357
1999-02-05,6.422160,6.728950,6.360801,6.708498,1571031
1999-02-08,6.872121,6.872121,6.647141,6.769858,1188957
1999-02-09,6.749404,6.790310,6.503971,6.524424,611919
1999-02-10,6.544876,6.667592,6.503971,6.565329,492954
1999-02-11,6.585783,6.606236,6.422162,6.503973,460152
1999-02-12,6.422162,6.647142,6.401709,6.544878,851466
1999-02-16,6.585782,6.647140,6.463066,6.524424,1089627
1999-02-17,6.463066,6.565330,6.463066,6.524424,1130514
1999-02-18,6.483520,6.626689,6.483520,6.606235,812196
1999-02-19,6.585782,6.606234,6.503971,6.524424,677292
1999-02-22,6.544878,6.688048,6.544878,6.544878,781242
1999-02-23,6.585783,6.626689,6.483520,6.606235,658581
1999-02-24,6.565333,6.606238,6.463069,6.483522,818664
1999-02-25,6.422162,6.606236,6.422162,6.544878,969969
1999-02-26,6.565330,6.585782,6.442613,6.524424,1157541
1999-03-01,6.667595,6.667595,6.442615,6.544878,423885
1999-03-02,6.544878,6.565331,6.483520,6.503973,680988
1999-03-03,6.524423,6.667592,6.524423,6.667592,3090087
1999-03-04,6.667592,6.851667,6.585781,6.810761,2546775
1999-03-05,6.872122,7.138008,6.851670,7.117555,1713327
1999-03-08,7.158463,7.424349,7.158463,7.322084,1332870
1999-03-09,7.260723,7.322081,7.035743,7.056197,1141371
1999-03-10,7.199366,7.976569,7.199366,7.894759,3702006
1999-03-11,8.099288,8.160646,7.587969,7.792497,3738042
1999-03-12,8.222003,8.262908,7.853854,8.017476,2748207
1999-03-15,8.099284,8.099284,7.567513,7.690228,1827903
1999-03-16,7.710685,7.812949,7.444800,7.710685,689304
1999-03-17,7.874305,8.017474,7.710682,7.935662,837837
1999-03-18,8.140192,8.242456,7.976570,7.976570,2033724
1999-03-19,7.894754,8.324262,7.812944,8.140187,2142294
1999-03-22,8.078829,8.324262,8.017472,8.303809,734349
1999-03-23,8.303814,8.344720,8.201551,8.222003,1980825
1999-03-24,8.508341,8.569699,8.324266,8.446982,2273040
1999-03-25,8.365175,8.610608,8.303816,8.590155,1651188
1999-03-26,8.590152,8.876490,8.569699,8.835585,1623468
1999-03-29,9.268669,9.371200,9.063610,9.268669,1608453
1999-03-30,9.125129,9.145635,8.653493,8.715011,1472163
1999-03-31,8.797036,8.797036,8.468941,8.550965,1153152
1999-04-01,8.530459,8.612482,8.386917,8.571470,846846
1999-04-05,8.653493,8.858552,8.612481,8.817540,1230768
1999-04-06,8.838045,8.879058,8.715010,8.735517,1175790
1999-04-07,8.776530,8.940577,8.222870,8.284388,791175
1999-04-08,8.366412,8.653495,8.345906,8.653495,1853544
1999-04-09,8.673999,8.776528,8.509952,8.735517,1556940
1999-04-12,8.694504,9.084117,8.673998,9.063610,1255254
1999-04-13,9.350695,9.350695,9.043106,9.207153,1252020
1999-04-14,9.227659,9.227659,8.776528,8.817540,1877337
1999-04-15,8.858549,9.514739,8.838043,9.514739,2033493
1999-04-16,9.514738,9.842832,9.391702,9.842832,2098173
1999-04-19,9.719799,10.704083,9.719799,10.109412,3435432
1999-04-20,10.170927,10.170927,9.494232,9.514739,2119656
1999-04-21,9.555753,9.760812,9.350693,9.617270,2616537
1999-04-22,9.617267,9.617267,9.309679,9.412208,2363823
1999-04-23,9.432714,9.555750,9.207149,9.227656,1129590
1999-04-26,9.207150,9.207150,8.694503,8.797033,1896510
1999-04-27,8.838046,8.940576,8.776528,8.817540,2479554
1999-04-28,9.268668,9.576256,9.145633,9.391704,2854467
1999-04-29,9.678791,10.663075,9.576260,10.334980,5871789
1999-04-30,10.991167,10.991167,9.842836,10.068400,4258947
1999-05-03,10.416996,10.827114,10.375984,10.745090,4813578
1999-05-04,10.991165,11.155212,10.868129,10.888636,5952639
1999-05-05,10.888631,10.970654,10.232442,10.929643,2898357
1999-05-06,10.909139,10.929645,10.704080,10.868127,1547238
1999-05-07,10.929647,10.929647,10.663071,10.888636,1358742
1999-05-10,10.786108,10.950155,10.581048,10.704084,1111572
1999-05-11,10.663074,10.663074,10.170932,10.458014,3034185
1999-05-12,10.375990,10.437507,10.047895,10.191437,2262414
1999-05-13,10.499019,11.032172,10.499019,10.827113,10684674
1999-05-14,10.827113,10.868125,10.663066,10.827113,1888656
1999-05-17,10.909138,11.114197,10.704079,11.052679,1992606
1999-05-18,11.483304,11.524316,11.319257,11.401280,5693226
1999-05-19,11.319258,11.585835,11.319258,11.524318,3859779
1999-05-20,11.565328,11.585834,11.298751,11.503810,3109260
1999-05-21,11.503817,11.770394,11.421793,11.749888,1750518
1999-05-24,11.790900,11.872924,11.319265,11.421794,1927926
1999-05-25,11.319260,11.503812,11.257742,11.257742,1731576
1999-05-26,11.339765,11.708871,11.339765,11.606342,1850772
1999-05-27,11.483307,11.790895,11.401283,11.585836,1951026
1999-05-28,11.565331,11.893426,11.544825,11.811402,1204203
1999-06-01,11.749880,11.749880,11.278244,11.442291,2410947
1999-06-02,11.483306,11.688366,11.462801,11.647353,903441
1999-06-03,11.688363,12.631636,11.688363,12.488094,5181561
1999-06-04,12.303544,12.406073,12.160003,12.344557,2692536
1999-06-07,12.262533,13.000747,12.262533,12.836699,4371444
1999-06-08,12.713664,12.918723,12.467592,12.708536,3370290
1999-06-09,12.795688,12.795688,12.365063,12.426581,3416028
1999-06-10,12.385571,12.549618,12.139501,12.406076,1779393
1999-06-11,12.221520,12.611132,12.221520,12.611132,1771077
1999-06-14,12.631643,12.631643,12.139500,12.467594,1224300
1999-06-15,12.426580,12.652145,12.385568,12.631639,1118964
1999-06-16,12.713659,12.795683,12.467587,12.488094,1439361
1999-06-17,12.467592,12.652145,12.303545,12.508604,1087779
1999-06-18,12.754675,12.918723,12.734170,12.836699,1498035
1999-06-21,12.816198,12.816198,12.160009,12.201021,950334
1999-06-22,12.180510,12.180510,11.893428,11.893428,1729497
1999-06-23,12.057474,12.365063,12.057474,12.098486,1820280
1999-06-24,12.180507,12.201014,12.077977,12.139496,865557
1999-06-25,12.180506,12.283036,12.139495,12.262529,892584
1999-06-28,12.182819,12.490984,11.997919,12.039007,1425039
1999-06-29,12.121186,13.107317,11.997920,12.860784,5739657
1999-06-30,12.901873,13.107317,12.655341,12.819695,1744050
1999-07-01,12.942962,12.984050,12.737518,12.860784,1204203
1999-07-02,12.984047,13.127857,12.942959,13.045680,830907
1999-07-06,13.127860,13.312760,13.107316,13.210037,2680524
1999-07-07,13.210040,13.210040,12.942964,13.066229,1080618
1999-07-08,13.312762,13.353850,13.148405,13.271672,2115036
1999-07-09,13.148406,13.271673,13.127862,13.230583,1125663
1999-07-12,13.189491,13.230579,13.025136,13.045680,1584660
1999-07-13,13.127859,13.148403,13.025138,13.148403,2005542
1999-07-14,13.189491,13.230579,12.901870,12.984047,1383921
1999-07-15,13.107314,13.127858,12.819693,12.922414,1503579
1999-07-16,12.901880,13.086779,12.881336,12.901880,1498728
1999-07-19,13.025139,13.025139,12.470440,12.758061,1229844
1999-07-20,12.901873,12.901873,12.285540,12.326630,1200045
1999-07-21,12.326624,12.490979,12.244447,12.470435,1001385
1999-07-22,12.490985,12.490985,12.162276,12.306087,1094016
1999-07-23,12.449895,12.819693,12.449895,12.634793,942942
1999-07-26,12.634794,12.737517,12.326629,12.429350,1270269
1999-07-27,12.573164,12.614254,12.326632,12.490987,753984
1999-07-28,12.614251,12.860783,12.593707,12.819695,950103
1999-07-29,12.819696,13.312762,12.675886,13.230583,2832522
1999-07-30,13.353850,13.970181,13.353850,13.949637,4210206
1999-08-02,13.949632,13.949632,13.374389,13.703100,1826055
1999-08-03,13.723646,14.052357,13.723646,13.908546,2425731
1999-08-04,13.846914,14.463245,13.805825,14.298890,2338182
1999-08-05,14.196168,14.771411,14.196168,14.668690,2415105
1999-08-06,14.668694,14.956316,14.463250,14.812505,2432430
1999-08-09,14.874131,15.531549,14.853585,15.387740,2651880
1999-08-10,15.141217,15.202850,14.627607,14.709785,3140676
1999-08-11,14.791962,14.791962,14.381075,14.709785,1712403
1999-08-12,14.791961,14.915228,14.648152,14.689240,1029798
1999-08-13,14.750873,14.771417,14.278353,14.689240,2107182
1999-08-16,14.607068,14.607068,14.134548,14.319447,1511433
1999-08-17,14.319435,14.689234,14.175624,14.668690,2392005
1999-08-18,14.750866,14.771410,14.257801,14.298890,1157772
1999-08-19,14.175621,14.750863,14.175621,14.607053,1478631
1999-08-20,14.709780,14.812503,14.586515,14.627603,879417
1999-08-23,14.545429,14.709783,14.422162,14.689240,1776159
1999-08-24,14.874140,14.956318,14.709784,14.833051,1728804
1999-08-25,14.997397,15.059031,14.381066,14.422154,1100022
1999-08-26,14.422157,14.422157,14.052359,14.339979,1445367
