date,open,high,low,close,volume
1999-01-04,0.837201,0.837201,0.823306,0.823306,355200
1999-01-05,0.823306,0.823306,0.818095,0.819832,665600
1999-01-06,0.819832,0.844150,0.818096,0.835465,851200
1999-01-07,0.842412,0.845886,0.833727,0.840675,3568000
1999-01-08,0.847623,0.858045,0.844150,0.854571,374400
1999-01-11,0.868466,0.871940,0.864992,0.866729,352000
1999-01-12,0.873677,0.875414,0.863255,0.863255,233600
1999-01-13,0.856308,0.889309,0.856308,0.889309,307200
1999-01-14,0.896258,0.917100,0.891046,0.904942,128000
1999-01-15,0.903205,0.930996,0.903205,0.929259,156800
1999-01-19,0.930995,0.943154,0.930995,0.943154,112000
1999-01-20,0.950101,0.960523,0.944891,0.958786,211200
1999-01-21,0.951839,0.951839,0.929259,0.929259,217600
1999-01-22,0.927522,0.927522,0.920573,0.920573,108800
1999-01-25,0.920574,0.920574,0.882362,0.882362,384000
1999-01-26,0.884099,0.903205,0.884099,0.901468,233600
1999-01-27,0.908415,0.908415,0.892783,0.892783,201600
1999-01-28,0.892783,0.894520,0.892783,0.894520,96000
1999-01-29,0.892783,0.904942,0.889309,0.904942,390400
1999-02-01,0.903205,0.903205,0.896257,0.897994,44800
1999-02-02,0.891046,0.891046,0.871940,0.878888,307200
1999-02-03,0.878888,0.880624,0.873677,0.875414,515200
1999-02-04,0.875414,0.875414,0.861518,0.866729,899200
1999-02-05,0.866729,0.870203,0.864992,0.866729,291200
1999-02-08,0.882362,0.899731,0.882362,0.899731,467200
1999-02-09,0.899731,0.930996,0.899731,0.922311,233600
1999-02-10,0.922311,0.922311,0.917100,0.917100,262400
1999-02-11,0.917100,0.918837,0.911890,0.911890,492800
1999-02-12,0.915363,0.948365,0.915363,0.927522,812800
1999-02-16,0.976156,0.976156,0.969208,0.970945,608000
1999-02-17,0.977893,1.024791,0.977893,1.021317,659200
1999-02-18,1.056055,1.066477,1.021317,1.028264,1020800
1999-02-19,1.030001,1.035212,1.024790,1.028264,310400
1999-02-22,1.035212,1.035212,1.026527,1.026527,636800
1999-02-23,1.028264,1.069950,1.026527,1.026527,700800
1999-02-24,1.024790,1.024790,0.986577,0.988314,524800
1999-02-25,0.995262,1.000472,0.983103,0.988314,246400
1999-02-26,0.986578,0.995263,0.986578,0.995263,291200
1999-03-01,1.002210,1.003947,1.000473,1.003947,160000
1999-03-02,1.005683,1.009158,0.990051,0.990051,166400
