date,open,high,low,close,volume
1999-01-04,13.136965,13.163344,13.031447,13.136965,85900
1999-01-05,13.110590,13.216108,13.084211,13.216108,123400
1999-01-06,13.216109,13.321627,13.136971,13.189730,10000
1999-01-07,13.136973,13.136973,12.978696,13.031455,6400
1999-01-08,13.031450,13.031450,12.609379,12.767655,33700
1999-01-11,12.662137,12.767655,12.662137,12.714896,19300
1999-01-12,12.662139,12.820415,12.609380,12.820415,59500
1999-01-13,12.714898,12.952313,12.714898,12.820415,19200
1999-01-14,12.794043,12.846802,12.688525,12.688525,42600
1999-01-15,12.582999,12.714897,12.556620,12.635758,67300
1999-01-19,12.662142,12.662142,12.583003,12.609383,34200
1999-01-20,12.583000,12.635759,12.556621,12.556621,16800
1999-01-21,12.583003,12.583003,12.266450,12.266450,14900
1999-01-22,12.213691,12.266450,12.055414,12.055414,7200
1999-01-25,11.976274,12.002654,11.765239,11.923515,86800
1999-01-26,11.949899,12.134555,11.949899,12.029037,141000
1999-01-27,12.029038,12.134556,12.029038,12.134556,63300
1999-01-28,12.108173,12.134553,12.055414,12.055414,7400
1999-01-29,12.002655,12.055414,11.976276,12.055414,112800
1999-02-01,12.055414,12.108173,12.055414,12.055414,6000
1999-02-02,12.055417,12.108176,11.949899,12.029037,33700
1999-02-03,11.976279,11.976279,11.818002,11.897141,9800
1999-02-04,11.897132,12.240065,11.870752,12.240065,17200
1999-02-05,12.240069,12.240069,12.081792,12.081792,52600
1999-02-08,12.081792,12.081792,12.029033,12.081792,54500
1999-02-09,12.055412,12.134550,12.029032,12.108171,24500
1999-02-10,12.055412,12.055412,12.002653,12.002653,48600
1999-02-11,12.002653,12.002653,11.765238,11.791617,54800
1999-02-12,11.818002,12.134556,11.791623,12.134556,36900
1999-02-16,12.055417,12.134555,11.818002,12.029037,57600
1999-02-17,11.976278,11.976278,11.870760,11.870760,7200
1999-02-18,11.818001,11.870760,11.818001,11.870760,351500
1999-02-19,11.897140,11.976278,11.818001,11.976278,11200
1999-02-22,11.923519,11.949898,11.844380,11.870760,69600
1999-02-23,11.870760,11.976278,11.818001,11.818001,67500
1999-02-24,11.844374,12.187307,11.844374,11.949892,18300
1999-02-25,11.949900,12.160935,11.923520,12.134556,22400
1999-02-26,12.134548,12.345584,12.134548,12.345584,15300
1999-03-01,12.345584,12.451102,12.319204,12.345584,18700
1999-03-02,12.240073,12.240073,11.949899,11.976278,34800
1999-03-03,12.029038,12.134556,11.897141,11.897141,8400
1999-03-04,11.844380,11.870760,11.818001,11.870760,46400
1999-03-05,11.897135,12.029033,11.897135,12.002653,11000
1999-03-08,11.949899,11.949899,11.870761,11.897141,20100
1999-03-09,11.923511,12.240065,11.870752,12.240065,55900
1999-03-10,12.187310,12.187310,11.844377,12.081792,26700
1999-03-11,12.081796,12.081796,11.976278,11.976278,42000
1999-03-12,11.976273,12.108171,11.923514,12.108171,12100
1999-03-15,12.108172,12.108172,11.923515,11.923515,30600
1999-03-16,11.976277,12.002656,11.501446,11.633344,55400
1999-03-17,11.580583,11.897137,11.580583,11.686101,19200
1999-03-18,11.633344,11.633344,11.395928,11.395928,21900
1999-03-19,11.343171,11.501448,11.343171,11.475068,13100
1999-03-22,11.475060,11.475060,11.211266,11.211266,6300
1999-03-23,11.132133,11.132133,10.736441,10.762820,8800
1999-03-24,10.762814,10.815573,10.710055,10.789193,17000
1999-03-25,10.868338,11.211271,10.868338,10.973856,39200
1999-03-26,10.973858,11.000237,10.710063,10.710063,27500
1999-03-29,10.762817,10.894714,10.710058,10.894714,48900
1999-03-30,10.878643,10.985821,10.771464,10.825053,48400
1999-03-31,10.905434,11.334149,10.798256,11.334149,55000
1999-04-01,11.387739,11.575302,11.307355,11.575302,36200
1999-04-05,11.682482,11.682482,11.253767,11.307357,28800
1999-04-06,11.387741,11.521714,10.932231,10.932231,28200
1999-04-07,10.878644,10.985822,10.717875,10.717875,20400
1999-04-08,10.691079,11.253767,10.664284,11.253767,62400
1999-04-09,11.280562,11.280562,10.932231,10.932231,17000
1999-04-12,10.825054,11.360947,10.717875,11.280563,18000
1999-04-13,11.280560,11.468122,11.146586,11.173381,22700
1999-04-14,11.253765,11.870043,11.253765,11.789659,129700
1999-04-15,11.843246,11.896835,11.360942,11.387736,35500
1999-04-16,11.468121,11.789657,11.414531,11.548505,66100
1999-04-19,11.575300,11.736068,11.521710,11.548505,128900
1999-04-20,11.602096,12.004016,11.575301,11.789659,65000
1999-04-21,11.816457,12.057609,11.816457,11.816457,31200
1999-04-22,11.843250,11.896839,11.762866,11.896839,27000
1999-04-23,11.977221,12.111194,11.816453,12.030810,44200
1999-04-26,11.977225,12.084404,11.816457,11.816457,37200
1999-04-27,11.870046,12.004020,11.816457,12.004020,17900
1999-04-28,11.950430,12.057609,11.682483,11.816457,47200
1999-04-29,11.816457,12.084404,11.816457,12.004020,42000
