date,open,high,low,close,volume
1999-01-04,12.688879,12.884092,12.591272,12.762084,35800
1999-01-05,12.493669,12.786489,12.322857,12.347259,37500
1999-01-06,12.347257,12.444864,12.176445,12.225248,13500
1999-01-07,12.127639,12.200844,11.810417,11.883622,29900
1999-01-08,11.810419,11.956829,11.615205,11.956829,27800
1999-01-11,11.859221,11.859221,11.273580,11.615204,34800
1999-01-12,11.541998,11.737211,11.517596,11.664006,28200
1999-01-13,11.615203,12.005630,11.517596,12.005630,34000
1999-01-14,12.005635,12.152045,11.810421,11.834823,17000
1999-01-15,11.810419,11.956829,11.810419,11.956829,12700
1999-01-19,11.908026,11.908026,11.590804,11.590804,9100
1999-01-20,11.493200,11.810422,11.444396,11.810422,29700
1999-01-21,11.712811,11.712811,11.419990,11.468794,43900
1999-01-22,11.444389,11.566398,11.419988,11.493193,38800
1999-01-25,11.541998,11.541998,11.395588,11.444391,21500
1999-01-26,11.371186,11.493195,11.346785,11.444391,15600
1999-01-27,11.444391,11.468793,11.395588,11.444391,60600
1999-01-28,11.444392,11.517597,11.419990,11.468794,35100
1999-01-29,11.468796,11.639607,11.444394,11.639607,58500
1999-02-01,11.590806,11.590806,11.078370,11.175977,36000
1999-02-02,11.273582,11.297984,10.834352,11.297984,40800
1999-02-03,11.200375,11.200375,10.834349,10.980760,23300
1999-02-04,10.931958,10.931958,10.785548,10.834352,25300
1999-02-05,10.785548,10.834352,10.565933,10.565933,17300
1999-02-08,10.565932,10.614735,10.346316,10.346316,32800
1999-02-09,10.346315,10.346315,10.126700,10.248709,67700
1999-02-10,10.199907,10.297514,10.004694,10.053497,93700
1999-02-11,10.102301,10.126702,9.687472,10.053497,30100
1999-02-12,9.955894,9.980295,9.809483,9.882689,18300
1999-02-16,9.907086,9.955889,9.760675,9.760675,24800
1999-02-17,9.785077,9.809479,9.663069,9.760675,45300
1999-02-18,9.687471,9.760676,9.663070,9.736275,24100
1999-02-19,9.736275,9.736275,9.516660,9.565463,26400
1999-02-22,9.541063,9.589867,9.443457,9.516662,91800
1999-02-23,9.526532,9.773334,9.526532,9.575892,38200
1999-02-24,9.674609,9.872050,9.181006,9.181006,45000
1999-02-25,9.181008,9.625250,9.181008,9.477169,1217600
1999-02-26,9.501849,10.069492,9.477169,9.477169,69900
1999-03-01,9.477171,10.365656,9.279730,9.526531,89100
1999-03-02,9.477172,9.872054,9.403132,9.625253,17000
1999-03-03,9.575891,9.600572,9.329090,9.329090,22500
1999-03-04,9.329090,9.427811,9.181009,9.329090,79300
1999-03-05,9.427809,9.674610,9.230368,9.255048,69200
1999-03-08,9.329093,9.329093,9.082292,9.230372,79100
1999-03-09,9.181009,9.329090,9.156329,9.329090,57300
1999-03-10,9.279725,9.279725,9.082284,9.106964,69700
1999-03-11,9.131649,9.403131,9.131649,9.329090,27500
1999-03-12,9.304411,9.427812,9.279731,9.279731,24500
1999-03-15,9.304410,9.452491,9.279730,9.329090,53800
1999-03-16,9.304409,9.329089,9.131648,9.156328,53800
1999-03-17,9.131652,9.230372,9.082292,9.230372,27000
1999-03-18,9.230367,9.526528,9.131646,9.181006,84400
1999-03-19,9.082286,9.674609,9.082286,9.600569,64800
1999-03-22,9.501852,9.674613,9.403131,9.427812,23700
1999-03-23,9.378447,9.378447,9.106966,9.131646,30500
1999-03-24,9.205689,9.477171,9.106969,9.205689,116800
1999-03-25,9.082287,9.353768,8.983566,9.353768,104100
1999-03-26,9.304411,9.501852,9.279731,9.452492,74000
1999-03-29,9.427809,9.575890,9.427809,9.477169,50300
1999-03-30,9.526531,9.551211,9.427811,9.526531,156500
1999-03-31,9.501849,9.526529,9.477169,9.501849,51300
1999-04-01,9.526532,9.575892,9.501852,9.575892,18000
1999-04-05,9.625250,9.872051,9.625250,9.699290,96900
1999-04-06,9.600570,9.600570,9.427809,9.501849,40900
1999-04-07,9.477169,9.674610,9.452489,9.477169,46800
1999-04-08,9.452494,9.551214,9.427814,9.551214,27000
1999-04-09,9.526533,9.921415,9.526533,9.921415,60500
1999-04-12,9.921413,10.242254,9.872052,10.242254,63200
1999-04-13,10.192898,10.513740,10.143537,10.390339,129600
1999-04-14,10.464375,10.809896,10.340974,10.365654,41700
1999-04-15,10.390340,10.661821,10.291619,10.291619,20700
1999-04-16,10.242259,10.365660,10.118858,10.291619,17200
1999-04-19,10.266936,10.390337,10.266936,10.340977,8500
1999-04-20,10.340978,10.439698,10.168217,10.316298,32600
1999-04-21,10.217576,10.637138,10.217576,10.340977,37200
1999-04-22,10.340977,10.365657,10.069495,10.094175,27200
1999-04-23,10.044812,10.118853,10.044812,10.069492,9700
1999-04-26,10.020135,10.242256,9.921414,10.094175,42300
1999-04-27,10.143533,10.464375,10.143533,10.365654,16500
1999-04-28,10.365654,10.365654,10.069492,10.069492,21900
1999-04-29,10.168212,10.266932,9.921411,9.970771,30400
1999-04-30,9.970771,10.020131,9.872050,9.970771,37900
1999-05-03,9.995451,10.044811,9.970771,9.970771,26500
1999-05-04,9.970778,10.020138,9.798017,9.822697,40800
1999-05-05,9.723969,9.785670,9.526528,9.600569,31600
1999-05-06,9.551212,9.625253,9.427812,9.575892,22000
1999-05-07,9.575891,9.625252,9.403131,9.526531,19200
1999-05-10,9.427812,10.069495,9.378451,9.575892,62000
1999-05-11,9.625249,10.020131,9.625249,9.970771,19800
1999-05-12,9.970772,9.995452,9.699290,9.699290,14300
1999-05-13,9.600573,9.896734,9.575892,9.896734,56600
1999-05-14,9.822694,10.118855,9.723973,9.896734,29500
1999-05-17,9.798017,9.946097,9.674616,9.822697,26300
1999-05-18,9.798011,9.921411,9.699290,9.773331,29100
1999-05-19,9.723970,9.970772,9.723970,9.798011,23000
1999-05-20,9.798011,9.946092,9.773331,9.798011,30100
1999-05-21,9.882863,10.182344,9.882863,10.107473,26300
1999-05-24,10.107476,10.157390,10.032606,10.157390,23900
1999-05-25,9.932777,10.232258,9.932777,10.182344,1309400
1999-05-26,10.232260,10.232260,10.132433,10.157390,21700
1999-05-27,10.157388,10.332085,10.082518,10.182344,16100
1999-05-28,10.182349,10.357046,10.132436,10.132436,22000
1999-06-01,10.332089,10.332089,10.157391,10.232262,23600
1999-06-02,10.332087,10.357043,10.282173,10.332087,14600
1999-06-03,10.357044,10.431914,10.307131,10.382001,50900
1999-06-04,10.431914,10.456871,10.382001,10.406958,21700
1999-06-07,10.506784,10.506784,10.282173,10.332087,22200
1999-06-08,10.332087,10.382001,10.257217,10.382001,27800
1999-06-09,10.382000,10.382000,10.282173,10.332087,8000
1999-06-10,10.282171,10.282171,9.907821,10.057561,58700
1999-06-11,10.007652,10.182349,9.907825,9.982696,30700
1999-06-14,10.082522,10.082522,9.907825,9.907825,14800
1999-06-15,9.932782,10.132436,9.733128,10.132436,13700
1999-06-16,10.057563,10.332087,10.057563,10.332087,11500
1999-06-17,10.232262,10.382002,10.182348,10.282175,43400
1999-06-18,10.431910,10.431910,10.307126,10.307126,31600
1999-06-21,10.257219,10.257219,10.082522,10.132436,13400
1999-06-22,10.082518,10.157388,9.982691,10.032604,19200
1999-06-23,10.082520,10.382001,10.082520,10.382001,23100
1999-06-24,10.382002,10.382002,10.207305,10.207305,18500
1999-06-25,10.157391,10.382002,10.157391,10.232262,19400
1999-06-28,10.332085,10.357041,10.307128,10.357041,22100
1999-06-29,10.381998,10.381998,10.282171,10.357041,28300
1999-06-30,10.357047,10.357047,9.932782,9.982696,45500
1999-07-01,10.032609,10.132436,9.932782,9.982696,23900
1999-07-02,9.882866,10.082520,9.783039,9.957736,36200
1999-07-06,9.932775,10.057558,9.708164,9.783034,28400
1999-07-07,9.708168,9.957735,9.708168,9.758081,23000
1999-07-08,9.708172,10.082523,9.633302,10.007653,35700
1999-07-09,10.007647,10.182344,10.007647,10.182344,22400
1999-07-12,10.082521,10.481829,10.082521,10.207305,57300
1999-07-13,10.232263,10.307133,10.032609,10.132436,42600
1999-07-14,10.057566,10.132436,10.032609,10.132436,31700
1999-07-15,10.132429,10.307126,10.057559,10.307126,28200
1999-07-16,10.282169,10.307126,10.232256,10.307126,33700
1999-07-19,10.232260,10.232260,10.132433,10.157390,34200
1999-07-20,10.082522,10.157393,10.032609,10.132436,20100
1999-07-21,10.132430,10.307127,10.057560,10.107473,24900
1999-07-22,10.057561,10.132431,9.957734,10.057561,34100
1999-07-23,10.032604,10.132431,9.982691,10.057561,58100
1999-07-26,10.032604,10.107474,10.007647,10.057561,10700
1999-07-27,10.032604,10.057561,10.007647,10.032604,13200
1999-07-28,10.032609,10.057566,9.957739,9.982696,159100
1999-07-29,9.982691,9.982691,9.907821,9.932777,34300
1999-07-30,9.907825,9.982696,9.907825,9.982696,14700
1999-08-02,9.982696,9.982696,9.957739,9.982696,17100
1999-08-03,9.932779,9.932779,9.807996,9.857909,10900
1999-08-04,9.807997,9.907824,9.783040,9.807997,19700
1999-08-05,9.907825,9.982696,9.683215,9.982696,26100
1999-08-06,9.982693,9.982693,9.882866,9.957736,31800
1999-08-09,9.957737,9.957737,9.783040,9.807997,59900
1999-08-10,9.758080,9.932777,9.758080,9.932777,27500
1999-08-11,9.932780,9.932780,9.733127,9.807997,22000
1999-08-12,9.708170,9.807997,9.708170,9.807997,20600
1999-08-13,9.857905,9.907819,9.758078,9.882862,215500
1999-08-16,9.882869,9.982696,9.832955,9.982696,15900
1999-08-17,9.982698,10.057568,9.932784,10.045090,136600
