date,open,high,low,close,volume
1999-01-04,24.954885,25.644247,24.437864,24.782545,179200
1999-01-05,24.299992,24.679141,23.197014,23.541695,784100
1999-01-06,24.265522,24.403394,23.714032,24.127649,1129600
1999-01-07,23.989781,24.127653,23.369355,23.782972,364500
1999-01-08,23.989785,24.024253,23.679572,23.920849,297100
1999-01-11,23.989780,24.162121,23.714036,23.817440,277100
1999-01-12,23.748495,23.989772,23.300410,23.369347,163600
1999-01-13,23.369353,23.507225,22.438715,22.438715,327200
1999-01-14,22.576590,22.886803,22.059569,22.886803,387500
1999-01-15,23.162549,23.403826,22.955741,23.059145,587200
1999-01-19,22.335307,22.990200,22.335307,22.473179,448900
1999-01-20,22.611051,22.852328,22.266371,22.266371,330700
1999-01-21,21.852751,22.162964,21.749347,22.162964,543500
1999-01-22,22.025111,22.438729,21.714899,21.921707,422700
1999-01-25,21.921694,22.576587,21.749354,22.438715,367600
1999-01-26,22.611067,23.782982,22.300854,23.748514,1278800
1999-01-27,25.644248,27.574460,25.368503,26.471481,1506800
1999-01-28,26.471479,27.160841,26.471479,26.850628,395800
1999-01-29,26.988503,27.471056,26.885099,27.264248,473600
1999-02-01,27.402117,27.436586,26.954033,27.160841,409200
1999-02-02,27.091904,27.091904,26.368075,26.850628,429300
1999-02-03,26.781693,27.436586,26.781693,27.436586,442000
1999-02-04,27.367661,28.057023,27.367661,27.677874,505500
1999-02-05,27.781274,29.091061,27.781274,28.677444,1047700
1999-02-08,29.228927,29.745948,28.436161,28.608501,461800
1999-02-09,28.505098,28.539566,28.160417,28.367226,353600
1999-02-10,28.470635,28.918720,28.298295,28.401699,393100
1999-02-11,28.298296,28.401700,27.850211,27.953615,225600
1999-02-12,27.850205,28.574034,27.229779,28.367226,443100
1999-02-16,28.505103,29.056592,28.367231,28.780848,563100
1999-02-17,28.780844,29.159993,28.505099,29.125525,611900
1999-02-18,29.125533,29.125533,28.539575,28.918724,339300
1999-02-19,29.056596,29.091064,28.849788,28.918724,324000
1999-02-22,28.884248,30.125099,28.884248,30.125099,440900
1999-02-23,30.159561,30.159561,29.435732,29.814880,409900
1999-02-24,29.918307,30.331924,29.332349,29.573626,216800
1999-02-25,29.435743,29.435743,28.884253,29.159998,217800
1999-02-26,29.159987,29.608072,28.815307,29.608072,172300
1999-03-01,29.498665,29.498665,29.013945,29.498665,232100
1999-03-02,29.360174,29.360174,29.187060,29.256306,325000
1999-03-03,29.464045,29.844896,28.806211,29.152439,243400
1999-03-04,29.117804,29.290918,28.459970,28.563839,196900
1999-03-05,28.667717,28.979323,28.390735,28.944700,373100
1999-03-08,28.840844,28.910090,28.079141,28.598484,272900
1999-03-09,28.667707,28.702330,28.252233,28.563839,168800
1999-03-10,28.529224,29.671778,28.321487,29.567909,269000
1999-03-11,29.879523,31.229815,29.775655,31.125946,486700
1999-03-12,30.814326,30.814326,29.914132,30.087246,378100
1999-03-15,29.948765,30.537353,29.637159,30.156502,337600
1999-03-16,30.225752,30.398867,30.052638,30.398867,357300
1999-03-17,30.468107,30.468107,30.018010,30.156502,329600
1999-03-18,30.225750,30.814338,30.121881,30.745092,237200
1999-03-19,31.022062,31.022062,30.121868,30.121868,224800
1999-03-22,30.121874,30.156497,29.464040,29.602531,188900
1999-03-23,29.637163,30.260374,28.806215,29.844900,269500
1999-03-24,29.844890,31.125935,29.810267,30.779707,289600
1999-03-25,30.779728,31.299071,30.675859,31.091333,493600
1999-03-26,31.091320,31.714531,30.745091,31.402925,477600
1999-03-29,31.541407,32.164618,31.506784,32.026127,259100
1999-03-30,32.026145,32.683979,31.541425,32.683979,483600
1999-03-31,32.683976,32.891713,31.506799,31.853027,280700
1999-04-01,31.991522,32.164636,31.645293,32.095390,245800
1999-04-05,31.991513,32.164628,31.576039,32.130005,252000
1999-04-06,32.130008,32.199254,31.022077,31.368305,210300
1999-04-07,31.368303,31.714531,30.745091,31.402925,267600
1999-04-08,31.541398,31.714513,31.368284,31.576021,343900
1999-04-09,31.576047,31.991521,31.091327,31.922276,173300
1999-04-12,31.922263,32.510852,31.818395,32.372360,205000
1999-04-13,32.337739,32.476231,31.887642,32.476231,252100
1999-04-14,32.476235,34.276624,32.476235,34.034264,670000
1999-04-15,34.068867,35.557648,34.068867,34.899815,574900
1999-04-16,35.038313,35.038313,33.861136,34.726707,240800
1999-04-19,34.657469,36.838708,34.657469,36.353989,538500
1999-04-20,35.523048,35.800031,34.311248,35.730785,509000
1999-04-21,35.661534,35.661534,34.726717,35.038322,170500
1999-04-22,34.934449,34.934449,33.653404,34.068878,250000
1999-04-23,34.068883,34.207375,33.411049,33.791901,218000
1999-04-26,33.791899,33.791899,32.614723,32.649345,252300
1999-04-27,32.649356,34.207385,31.576048,33.861156,676800
1999-04-28,34.276619,35.765401,34.207373,35.488419,449100
1999-04-29,35.592282,38.223618,35.592282,37.184933,925900
1999-04-30,37.254193,38.569862,37.219570,37.808159,691600
1999-05-03,37.392672,38.396735,37.288804,38.258244,482900
1999-05-04,38.189017,38.396754,37.392691,37.669674,761900
1999-05-05,37.635047,38.292881,37.635047,38.292881,294800
1999-05-06,37.981267,38.500609,37.461924,38.154381,338200
1999-05-07,38.154377,38.362114,37.496543,37.946640,259500
1999-05-10,37.600424,38.085144,35.869282,36.873344,345200
1999-05-11,37.011837,37.081082,36.111642,36.838722,292900
1999-05-12,36.804098,36.804098,35.696166,35.938526,206800
1999-05-13,35.903900,36.042391,35.419180,35.730785,186900
1999-05-14,35.246057,35.696154,35.107566,35.176811,199500
1999-05-17,35.038318,35.142187,34.034256,34.449730,292900
1999-05-18,34.415112,35.211437,33.584163,33.999638,317000
