date,open,high,low,close,volume
1999-01-04,21.500117,22.078360,21.342415,21.342415,3541186
1999-01-05,21.237274,21.329267,20.790450,20.935011,5736090
1999-01-06,21.496128,21.957135,21.245866,21.838591,5971210
1999-01-07,21.496125,22.207394,21.482953,22.102020,5833429
1999-01-08,22.497167,22.945003,22.246906,22.773771,5544499
1999-01-11,22.576198,22.892316,21.601495,22.391794,5257626
1999-01-12,22.233739,22.246911,21.430269,21.575157,3566549
1999-01-13,20.863881,21.180001,20.758509,20.798023,4947447
1999-01-14,20.811196,21.153659,19.994554,20.231644,6304696
1999-01-15,20.429226,21.996653,20.416055,21.996653,7785331
1999-01-19,22.075683,22.115200,21.061466,21.180012,6290643
1999-01-20,21.285376,22.391793,21.153659,21.496122,6136753
1999-01-21,21.601488,21.772721,20.877049,21.601488,5215126
1999-01-22,21.285376,21.311719,20.653137,20.758511,6147378
1999-01-25,20.863882,21.390749,20.600450,21.390749,6183366
1999-01-26,21.403919,21.496121,21.087800,21.443434,4574203
1999-01-27,21.601495,21.851756,20.942913,20.956085,4818234
1999-01-28,20.982436,21.338070,20.863890,21.166840,4969039
1999-01-29,21.166832,21.838585,20.995599,21.680525,4955330
1999-02-01,21.917617,21.983475,21.219521,21.232693,3201531
1999-02-02,21.021942,21.114143,20.666307,21.008770,4254084
1999-02-03,20.982437,21.285385,20.508258,21.180012,6388324
1999-02-04,21.285384,21.680533,20.969264,21.127323,6392780
1999-02-05,21.021937,21.100967,20.495070,20.679474,5918428
1999-02-08,20.863886,20.956088,20.310677,20.455564,5049583
1999-02-09,20.231646,20.508251,20.099930,20.218475,6643665
1999-02-10,20.231652,20.442399,20.047250,20.389711,4358963
1999-02-11,20.389701,21.469776,20.389701,21.285374,5204501
1999-02-12,21.272199,21.469774,20.798020,21.061453,3957272
1999-02-16,21.285376,21.904444,21.272204,21.535637,4891923
1999-02-17,21.496124,22.286422,21.311720,21.641012,6048326
1999-02-18,21.759558,21.891275,21.443438,21.627842,6288244
1999-02-19,21.496135,22.194232,21.496135,21.746395,5661716
1999-02-22,21.654180,22.971344,21.654180,22.865971,6582657
1999-02-23,23.274297,23.735306,22.813290,23.524559,10282532
1999-02-24,23.603585,23.853847,22.668397,22.694740,6199474
1999-02-25,22.655222,22.747423,22.022982,22.734251,4800069
1999-02-26,22.786942,22.971344,22.497165,22.865971,8066035
1999-03-01,23.182089,23.524551,22.971342,23.498207,8399177
1999-03-02,23.155751,23.761646,23.076722,23.116236,6817777
1999-03-03,23.182101,23.261132,22.602549,22.721094,5442363
1999-03-04,23.129397,23.867008,23.050367,23.814320,7492631
1999-03-05,24.446558,25.026112,24.288497,24.999767,8706272
1999-03-08,24.762696,24.868070,24.446577,24.565123,5628470
1999-03-09,24.446567,25.236864,24.446567,24.920746,5303553
1999-03-10,25.131493,25.421270,24.762686,24.789030,4430252
1999-03-11,24.920755,26.027174,24.881239,26.027174,7227351
1999-03-12,25.816420,26.922839,25.658360,26.606718,8531818
1999-03-15,26.619898,27.054562,26.290606,26.501352,5919799
1999-03-16,26.527692,26.712097,25.934970,26.040342,5214784
