date,open,high,low,close,volume
1999-01-04,2.292640,2.292640,2.135483,2.212521,4115200
1999-01-05,2.218683,2.252580,2.194031,2.209438,2840000
1999-01-06,2.231010,2.234091,2.160135,2.190950,3553600
1999-01-07,2.194031,2.194031,2.147808,2.160134,1523200
1999-01-08,2.172462,2.184788,2.150892,2.169380,16214400
1999-01-11,2.169378,2.234090,2.169378,2.221764,2596800
1999-01-12,2.221765,2.227928,2.147809,2.181706,3891200
1999-01-13,2.169379,2.181705,2.141645,2.150890,2988800
1999-01-14,2.150891,2.178625,2.135483,2.138565,2219200
1999-01-15,2.150890,2.181705,2.138564,2.166298,2576000
1999-01-19,2.175542,2.215601,2.141645,2.215601,2644800
1999-01-20,2.212519,2.237171,2.175541,2.175541,1353600
1999-01-21,2.163215,2.172459,2.149348,2.153970,2083200
1999-01-22,2.138564,2.187868,2.138564,2.166298,4286400
1999-01-25,2.166297,2.197112,2.144727,2.187868,1374400
1999-01-26,2.274150,2.280313,2.212520,2.224846,9041600
1999-01-27,2.224846,2.224846,2.184786,2.184786,1640000
1999-01-28,2.184787,2.231010,2.175543,2.190950,3652800
1999-01-29,2.215601,2.252579,2.197112,2.218682,8166400
1999-02-01,2.224846,2.243334,2.209438,2.218682,2577600
1999-02-02,2.221765,2.249499,2.212521,2.246417,4260800
1999-02-03,2.243336,2.264906,2.215602,2.240254,2817600
1999-02-04,2.237172,2.240253,2.206357,2.224846,1961600
1999-02-05,2.237173,2.237173,2.194031,2.194031,4472000
1999-02-08,2.184788,2.187870,2.157054,2.169380,1504000
1999-02-09,2.178624,2.190950,2.163216,2.166298,1830400
1999-02-10,2.157053,2.160134,2.098504,2.120075,2104000
1999-02-11,2.110830,2.120075,2.070771,2.070771,3532800
1999-02-12,2.070771,2.101586,2.070771,2.076934,1536000
1999-02-16,2.083097,2.110830,2.083097,2.086178,1081600
1999-02-17,2.086178,2.086178,2.015304,2.018385,1768000
1999-02-18,2.027630,2.058445,2.027630,2.043037,1416000
1999-02-19,2.046119,2.064609,2.027631,2.036875,1038400
1999-02-22,2.033792,2.083096,2.033792,2.049199,1844800
1999-02-23,2.052282,2.052282,2.009140,2.021466,2014400
1999-02-24,2.009142,2.030713,1.978327,1.978327,2555200
1999-02-25,1.985750,1.988843,1.976470,1.979563,3076800
1999-02-26,1.988842,2.075447,1.985749,2.072355,2792000
1999-03-01,2.041425,2.053798,1.988843,2.038332,2315200
1999-03-02,2.047611,2.047611,1.985750,1.985750,3868800
1999-03-03,1.985749,1.985749,1.942446,1.945539,1312000
1999-03-04,1.951726,2.010494,1.945539,1.995028,2136000
1999-03-05,1.991936,2.066169,1.991936,2.050704,2265600
1999-03-08,2.038332,2.069263,2.032146,2.044518,3302400
1999-03-09,2.050702,2.056888,1.985748,1.988841,1966400
1999-03-10,1.979563,2.050704,1.973378,2.050704,1812800
1999-03-11,2.059983,2.103286,2.035239,2.094007,2113600
1999-03-12,2.109472,2.146589,2.094006,2.137309,5984000
1999-03-15,2.128030,2.227008,2.128030,2.192984,3291200
1999-03-16,2.180613,2.257941,2.177520,2.257941,5464000
1999-03-17,2.254846,2.273404,2.248660,2.267218,4420800
1999-03-18,2.254846,2.288870,2.251753,2.282684,3075200
1999-03-19,2.282684,2.319801,2.276498,2.301242,2569600
1999-03-22,2.304335,2.304335,2.245567,2.264125,1233600
1999-03-23,2.254846,2.254846,2.202264,2.242474,2195200
1999-03-24,2.242475,2.264126,2.158962,2.257941,1385600
1999-03-25,2.257941,2.273406,2.248661,2.257941,1964800
1999-03-26,2.251753,2.273404,2.251753,2.267218,955200
1999-03-29,2.276498,2.322894,2.273405,2.316707,1848000
1999-03-30,2.304335,2.313614,2.295056,2.298149,1171200
1999-03-31,2.276498,2.322895,2.276498,2.322895,2212800
1999-04-01,2.313615,2.335267,2.304336,2.322895,2446400
1999-04-05,2.325986,2.325986,2.282683,2.285776,1846400
1999-04-06,2.285777,2.285777,2.211543,2.267218,1579200
1999-04-07,2.285777,2.298150,2.236288,2.245568,2137600
1999-04-08,2.248660,2.248660,2.165147,2.192984,2180800
1999-04-09,2.199172,2.205357,2.192985,2.202265,1089600
1999-04-12,2.174426,2.335266,2.174426,2.319801,3680000
1999-04-13,2.329080,2.360011,2.298150,2.329080,3508800
1999-04-14,2.322894,2.517757,2.322894,2.514663,5769600
1999-04-15,2.511571,2.567247,2.511571,2.551781,3526400
1999-04-16,2.554873,2.669316,2.533221,2.656944,5988800
1999-04-19,2.656945,2.731179,2.656945,2.709527,14136000
1999-04-20,2.690969,2.706434,2.533222,2.576524,2612800
1999-04-21,2.576525,2.644573,2.557967,2.588897,1576000
1999-04-22,2.601269,2.607455,2.557966,2.579618,1665600
1999-04-23,2.579618,2.697154,2.567246,2.666224,950400
1999-04-26,2.678596,2.687874,2.610548,2.638385,1105600
