date,open,high,low,close,volume
1999-01-04,3.637751,3.832630,3.572791,3.605271,2334219
1999-01-05,3.637751,3.767670,3.621511,3.718950,1878508
1999-01-06,3.897589,3.954429,3.848869,3.954429,4184276
1999-01-07,3.897590,4.076230,3.865110,4.076230,3447024
1999-01-08,4.051869,4.133069,3.995029,3.995029,3711247
1999-01-11,3.897591,3.986911,3.808271,3.824511,2697155
1999-01-12,3.808270,3.840750,3.759550,3.775790,2009630
1999-01-13,3.718950,3.881350,3.637751,3.856990,1374802
1999-01-14,3.824510,3.938190,3.800150,3.840750,1472277
1999-01-15,3.905711,3.905711,3.865111,3.865111,1311467
1999-01-19,3.865111,4.149310,3.832631,4.141190,2657571
1999-01-20,4.116830,4.246749,4.092470,4.246749,3273102
1999-01-21,4.133069,4.287349,4.084349,4.230509,2606359
1999-01-22,4.157430,4.189910,4.100590,4.149310,1884941
1999-01-25,4.100590,4.222390,4.100590,4.189910,2842131
1999-01-26,4.189907,4.368546,4.189907,4.287347,3019517
1999-01-27,4.319829,4.465988,4.319829,4.384789,3729308
1999-01-28,4.417267,4.449747,4.327948,4.327948,4760718
1999-01-29,4.417269,4.449749,4.368549,4.433509,3320603
1999-02-01,4.539066,4.547186,4.392907,4.449747,2958657
1999-02-02,4.417269,4.514709,4.376669,4.498469,2892106
1999-02-03,4.530949,4.985668,4.530949,4.863868,7148623
1999-02-04,4.871990,5.001910,4.677111,4.677111,6692417
1999-02-05,4.677108,4.758307,4.660868,4.685228,2783745
1999-02-08,4.677111,4.742070,4.595911,4.677111,2778797
1999-02-09,4.677108,4.701468,4.644628,4.652748,2702103
1999-02-10,4.652746,4.660866,4.498467,4.506587,2396316
1999-02-11,4.506590,4.595911,4.506590,4.587790,1756540
1999-02-12,4.587786,4.693346,4.579666,4.612146,2036844
1999-02-16,4.604026,4.798905,4.595906,4.798905,2845842
1999-02-17,4.807030,4.863869,4.604030,4.644630,4201594
1999-02-18,4.677107,4.693347,4.563427,4.620267,3052421
1999-02-19,4.514710,4.668990,4.514710,4.644630,2009630
1999-02-22,4.612149,4.871988,4.612149,4.871988,2134320
1999-02-23,4.904464,4.904464,4.766425,4.831385,3434159
1999-02-24,4.798908,4.823268,4.701468,4.766428,2604875
1999-02-25,4.717707,4.717707,4.587788,4.628387,2850790
1999-02-26,4.660866,4.677106,4.579666,4.612146,1457433
1999-03-01,4.579671,4.693350,4.563431,4.677111,2533129
1999-03-02,4.766427,4.823268,4.677108,4.725828,3128620
1999-03-03,4.704630,4.908470,4.704630,4.859548,4757502
1999-03-04,4.859547,5.022619,4.859547,4.932929,3161277
1999-03-05,4.990002,5.144921,4.973695,5.112307,2142237
1999-03-08,5.112309,5.136770,4.973698,5.087848,2461135
1999-03-09,5.071540,5.079694,4.941082,4.981851,2201613
1999-03-10,4.949237,5.112309,4.924776,5.071541,1505676
