date,open,high,low,close,volume
1999-01-04,6.260479,6.900491,6.260479,6.656123,4376700
1999-01-05,6.702672,7.005223,6.702672,6.935403,2144700
1999-01-06,7.028492,7.144858,7.028492,7.040129,2920200
1999-01-07,6.795764,7.063405,6.795764,6.853946,2391000
1999-01-08,6.749216,6.819036,6.609577,6.795763,5310300
1999-01-11,6.795762,6.865581,6.516484,6.656123,2760300
1999-01-12,6.644488,6.644488,6.446667,6.539759,1889400
1999-01-13,6.307029,6.411758,6.248846,6.330302,2143500
1999-01-14,6.307027,6.307027,5.923020,5.946293,3462000
1999-01-15,5.981204,6.318665,5.981204,6.213935,2976000
1999-01-19,6.237210,6.307029,6.039388,6.132481,2229600
1999-01-20,6.144116,6.341939,6.074297,6.144116,2254800
1999-01-21,5.957930,5.981203,5.725198,5.736835,3173100
1999-01-22,5.027004,5.876474,5.027004,5.795018,8016900
1999-01-25,5.760109,5.818292,5.655380,5.771746,2897400
1999-01-26,5.771746,5.911385,5.771746,5.771746,4121400
1999-01-27,5.818290,5.957929,5.748471,5.748471,1513200
1999-01-28,5.783383,5.911385,5.783383,5.876475,1840200
1999-01-29,5.911383,6.237207,5.876473,6.237207,2874600
1999-02-01,6.144116,6.376848,6.004477,6.272119,3205800
1999-02-02,6.225572,6.283755,6.004477,6.190662,2140800
1999-02-03,6.167391,6.376850,6.144118,6.307030,1927200
1999-02-04,6.260482,6.272118,6.190662,6.213935,1617300
1999-02-05,6.190663,6.190663,6.097570,6.144116,2383800
1999-02-08,6.190661,6.469939,6.167388,6.283753,3111900
1999-02-09,6.283755,6.376848,6.237209,6.272119,5652900
1999-02-10,6.260483,6.272120,5.981205,6.085934,2658600
1999-02-11,6.051022,6.202298,6.039385,6.074295,2346900
1999-02-12,6.004480,6.004480,5.713565,5.806658,2455200
1999-02-16,5.771745,5.853202,5.608834,5.818292,2190600
1999-02-17,5.725197,5.899746,5.678651,5.713561,2037000
1999-02-18,5.818292,5.923021,5.795019,5.818292,1493700
1999-02-19,5.725199,6.004477,5.678653,5.818292,1789200
1999-02-22,5.853200,6.237207,5.853200,6.225570,1635000
1999-02-23,6.225573,6.307029,6.027751,6.027751,1771800
1999-02-24,6.074296,6.248845,5.829928,5.888111,1559700
1999-02-25,5.853201,5.981203,5.608833,5.795018,1868100
1999-02-26,5.783383,5.923022,5.667017,5.923022,1157400
1999-03-01,5.957932,6.120844,5.829929,6.085934,990600
1999-03-02,6.062658,6.062658,5.736834,5.748471,1260600
1999-03-03,5.736836,5.888112,5.643744,5.876475,1761600
1999-03-04,5.899749,6.039388,5.713564,5.923022,1593900
1999-03-05,6.190661,6.202298,6.051022,6.155752,2655300
1999-03-08,6.109207,6.167391,5.806656,5.923022,1137600
1999-03-09,5.957929,6.051021,5.818290,6.051021,997500
1999-03-10,6.016112,6.132478,5.864837,6.120842,1364400
