date,open,high,low,close,volume
1999-01-04,1.677958,1.689944,1.665973,1.680954,65600
1999-01-05,1.674963,1.698933,1.674963,1.698933,28800
1999-01-06,1.689944,1.689944,1.686948,1.686948,4800
1999-01-07,1.686948,1.692941,1.653988,1.656984,217600
1999-01-08,1.644999,1.644999,1.603050,1.630017,126400
1999-01-11,1.624024,1.624024,1.582075,1.591064,70400
1999-01-12,1.603051,1.612040,1.594062,1.597058,57600
1999-01-13,1.594061,1.653988,1.594061,1.624025,128000
1999-01-14,1.612040,1.612040,1.576083,1.582076,192000
1999-01-15,1.570090,1.597057,1.570090,1.594061,243200
1999-01-19,1.606047,1.647996,1.606047,1.642003,40000
1999-01-20,1.653988,1.701929,1.653988,1.671966,185600
1999-01-21,1.677959,1.695937,1.677959,1.695937,57600
1999-01-22,1.689944,1.695937,1.680954,1.680954,16000
1999-01-25,1.680955,1.701930,1.680955,1.701930,116800
1999-01-26,1.701930,1.701930,1.695937,1.701930,214400
1999-01-27,1.689944,1.698933,1.689944,1.698933,156800
1999-01-28,1.692941,1.695938,1.692941,1.692941,14400
1999-01-29,1.701930,1.701930,1.695937,1.698933,30400
1999-02-01,1.686948,1.698934,1.686948,1.695937,17600
1999-02-02,1.692940,1.692940,1.677959,1.689944,201600
1999-02-03,1.683952,1.689944,1.653988,1.656984,235200
1999-02-04,1.653988,1.653988,1.630017,1.639007,25600
1999-02-05,1.650992,1.650992,1.594061,1.594061,57600
1999-02-08,1.581314,1.593340,1.563276,1.593340,65600
1999-02-09,1.605365,1.623403,1.605365,1.623403,35200
1999-02-10,1.635427,1.650459,1.617390,1.617390,68800
1999-02-11,1.611377,1.638434,1.611377,1.638434,32000
1999-02-12,1.632421,1.641441,1.569289,1.572295,2188800
1999-02-16,1.575301,1.575301,1.524194,1.539226,2633600
1999-02-17,1.527200,1.527200,1.515175,1.515175,56000
1999-02-18,1.527201,1.551251,1.515175,1.530207,88000
1999-02-19,1.518182,1.545239,1.509164,1.527201,184000
1999-02-22,1.539226,1.560270,1.539226,1.560270,110400
1999-02-23,1.560270,1.590333,1.548245,1.590333,44800
1999-02-24,1.578308,1.590333,1.569289,1.569289,278400
1999-02-25,1.563276,1.581314,1.563276,1.581314,27200
1999-02-26,1.569289,1.569289,1.554257,1.560270,60800
1999-03-01,1.563276,1.566282,1.557264,1.557264,137600
1999-03-02,1.566282,1.605364,1.566282,1.605364,251200
1999-03-03,1.614384,1.629416,1.611377,1.626409,292800
1999-03-04,1.626409,1.641441,1.617390,1.641441,48000
1999-03-05,1.641440,1.641440,1.632421,1.635427,27200
1999-03-08,1.623403,1.635428,1.617390,1.623403,46400
1999-03-09,1.611377,1.617390,1.593340,1.617390,137600
1999-03-10,1.605365,1.605365,1.572295,1.572295,64000
1999-03-11,1.584321,1.596346,1.578308,1.578308,96000
1999-03-12,1.575302,1.575302,1.566282,1.575302,44800
1999-03-15,1.578308,1.584321,1.563276,1.584321,78400
1999-03-16,1.596346,1.596346,1.545239,1.545239,78400
1999-03-17,1.557264,1.581314,1.539226,1.539226,254400
1999-03-18,1.536220,1.536220,1.521189,1.521189,108800
1999-03-19,1.521189,1.527201,1.494132,1.494132,139200
1999-03-22,1.494131,1.494131,1.473088,1.476094,78400
1999-03-23,1.458056,1.458056,1.427994,1.427994,51200
