date,open,high,low,close,volume
1999-01-04,5.336525,5.354453,5.211030,5.211030,882400
1999-01-05,5.211029,5.211029,5.091510,5.139318,1267200
1999-01-06,5.157248,5.163223,5.079560,5.103464,637600
1999-01-07,5.115414,5.139318,5.091510,5.139318,315200
1999-01-08,5.139317,5.139317,5.061630,5.091509,700000
1999-01-11,5.091509,5.091509,5.043702,5.091509,454400
1999-01-12,5.091509,5.091509,4.924183,4.942111,659200
1999-01-13,4.930160,4.936135,4.768809,4.888328,708000
1999-01-14,4.924183,4.948087,4.852472,4.852472,348000
1999-01-15,4.840520,5.025775,4.834545,4.983943,382400
1999-01-19,4.983944,4.983944,4.930161,4.960041,250400
1999-01-20,4.936134,4.983941,4.912230,4.924182,1396000
1999-01-21,4.900281,4.971992,4.888329,4.960041,417600
1999-01-22,4.948089,4.948089,4.846498,4.864425,1309600
1999-01-25,4.864425,4.864425,4.709050,4.756858,368800
1999-01-26,4.756858,4.756858,4.709050,4.709050,532000
1999-01-27,4.709050,4.715026,4.541723,4.541723,1313600
1999-01-28,4.544122,4.646036,4.520143,4.586087,1371200
1999-01-29,4.610064,4.640038,4.568100,4.616059,584800
1999-02-01,4.622055,4.735958,4.595078,4.658025,1517600
1999-02-02,4.640039,4.640039,4.490167,4.574096,573600
1999-02-03,4.556112,4.562107,4.436214,4.478179,520000
1999-02-04,4.502159,4.502159,4.316317,4.316317,364800
1999-02-05,4.268358,4.280348,4.136471,4.136471,1408000
1999-02-08,4.142465,4.388255,4.088510,4.334301,1428000
1999-02-09,4.334301,4.334301,4.220397,4.256367,1276800
1999-02-10,4.172439,4.214404,4.112490,4.118485,920800
1999-02-11,4.136471,4.304328,4.136471,4.262364,1287200
1999-02-12,4.262363,4.346291,4.250373,4.304327,1658400
1999-02-16,4.292334,4.292334,4.226391,4.250371,1057600
1999-02-17,4.244379,4.262364,4.148461,4.148461,1584000
1999-02-18,4.100498,4.214401,4.076519,4.196416,1316800
1999-02-19,4.202412,4.202412,4.136468,4.178433,1009600
1999-02-22,4.202413,4.292336,4.184428,4.232387,869600
1999-02-23,4.244377,4.388254,4.244377,4.346290,2426400
1999-02-24,4.352285,4.388254,4.280346,4.280346,1046400
1999-02-25,4.232389,4.280348,4.136471,4.136471,1159200
1999-02-26,4.136468,4.184427,4.070525,4.178433,653600
1999-03-01,4.202415,4.508154,4.202415,4.388256,5333600
1999-03-02,4.412233,4.460192,4.382259,4.418229,1620000
1999-03-03,4.412235,4.484173,4.412235,4.484173,1020000
1999-03-04,4.478178,4.580090,4.460193,4.574096,763200
1999-03-05,4.568102,4.664020,4.532133,4.652030,635200
1999-03-08,4.628048,4.676007,4.517143,4.568099,951200
1999-03-09,4.592081,4.628050,4.532132,4.550117,1222400
1999-03-10,4.550117,4.556111,4.412234,4.454199,1868800
1999-03-11,4.400245,4.496163,4.400245,4.454199,744800
1999-03-12,4.460194,4.475181,4.364276,4.430220,699200
1999-03-15,4.406239,4.460193,4.388254,4.424223,561600
1999-03-16,4.436214,4.436214,4.298332,4.304327,1174400
1999-03-17,4.304326,4.316316,4.256367,4.280346,717600
1999-03-18,4.226393,4.304326,4.226393,4.286342,858400
1999-03-19,4.256367,4.334301,4.226393,4.334301,1080000
1999-03-22,4.316318,4.388257,4.262364,4.262364,506400
1999-03-23,4.292334,4.292334,4.196416,4.196416,532000
1999-03-24,4.214403,4.220397,4.178433,4.208407,303200
1999-03-25,4.226393,4.256367,4.196418,4.232387,413600
1999-03-26,4.232386,4.268355,4.190422,4.196416,1098400
1999-03-29,4.196419,4.316316,4.196419,4.304327,1216000
1999-03-30,4.280347,4.723968,4.268357,4.550117,2203200
1999-03-31,4.604071,4.628051,4.532132,4.586087,1704800
1999-04-01,4.586085,4.604069,4.532130,4.532130,592000
1999-04-05,4.580091,4.640040,4.568101,4.592081,985600
1999-04-06,4.592080,4.604070,4.544121,4.574096,700800
1999-04-07,4.598074,4.598074,4.496161,4.532130,990400
1999-04-08,4.532132,4.580091,4.520142,4.538127,1051200
1999-04-09,4.508151,4.556111,4.448203,4.544121,1950400
1999-04-12,4.544123,4.688000,4.508153,4.652030,933600
1999-04-13,4.676009,4.831876,4.664019,4.789912,931200
1999-04-14,4.807897,4.903815,4.801902,4.879835,1176800
1999-04-15,4.915805,5.083662,4.915805,5.077667,1079200
1999-04-16,5.077668,5.275499,5.059683,5.215550,2044000
1999-04-19,5.239528,5.659169,5.239528,5.557257,3959200
1999-04-20,5.557256,5.587230,5.311466,5.371415,2992000
1999-04-21,5.395394,5.419374,5.311466,5.371415,1935200
1999-04-22,5.395396,5.443355,5.299478,5.305473,521600
1999-04-23,5.323458,5.341443,5.215550,5.215550,799200
1999-04-26,5.221545,5.275498,5.155601,5.221545,1270400
1999-04-27,5.227536,5.347434,5.227536,5.347434,1489600
1999-04-28,5.467334,5.689145,5.443354,5.641186,1338400
1999-04-29,5.631567,5.637577,5.529394,5.553434,705600
1999-04-30,5.577475,5.601516,5.409189,5.457271,703200
1999-05-03,5.397173,5.397173,5.144744,5.355102,2182400
1999-05-04,5.385149,5.625557,5.385149,5.505353,964000
1999-05-05,5.481315,5.541417,5.481315,5.523386,1124800
1999-05-06,5.505356,5.541417,5.487326,5.511366,312800
1999-05-07,5.481313,5.613538,5.481313,5.577477,1618400
1999-05-10,5.601517,5.721721,5.601517,5.667630,742400
1999-05-11,5.709701,5.763794,5.673640,5.703691,477600
1999-05-12,5.679654,5.697684,5.607531,5.697684,845600
1999-05-13,5.721723,5.769805,5.721723,5.745764,1056000
1999-05-14,5.721723,5.745764,5.673641,5.727734,1417600
1999-05-17,5.649601,5.649601,5.583489,5.595509,1378400
1999-05-18,5.589496,5.601516,5.553434,5.553434,744800
1999-05-19,5.565458,5.613540,5.553437,5.601519,672000
1999-05-20,5.589498,5.619549,5.529396,5.529396,376800
1999-05-21,5.541415,5.577476,5.529395,5.535405,272000
1999-05-24,5.559445,5.583485,5.397168,5.421209,550400
1999-05-25,5.433233,5.433233,5.361110,5.367121,528800
1999-05-26,5.379140,5.379140,5.252925,5.276966,350400
1999-05-27,5.240904,5.240904,5.096659,5.168782,622400
1999-05-28,5.192824,5.337069,5.168783,5.331059,575200
1999-06-01,5.355099,5.373129,5.216864,5.361109,330400
1999-06-02,5.337067,5.415201,5.282976,5.397170,322400
1999-06-03,5.397170,5.577477,5.397170,5.577477,1252000
1999-06-04,5.577476,5.601516,5.505353,5.541414,1340000
1999-06-07,5.517373,5.541414,5.457271,5.505353,593600
1999-06-08,5.565457,5.577477,5.493334,5.493334,269600
1999-06-09,5.529393,5.553434,5.433230,5.457271,310400
1999-06-10,5.469294,5.469294,5.361110,5.367121,179200
1999-06-11,5.385149,5.403180,5.288986,5.294996,129600
1999-06-14,5.373130,5.391161,5.294998,5.319039,432000
1999-06-15,5.343078,5.373129,5.276966,5.276966,792000
1999-06-16,5.288987,5.349089,5.204844,5.240905,912800
1999-06-17,5.264947,5.373131,5.240906,5.367121,466400
1999-06-18,5.337068,5.355099,5.288986,5.349088,590400
1999-06-21,5.325049,5.349089,5.264946,5.307018,584800
1999-06-22,5.307016,5.307016,5.228883,5.264945,286400
1999-06-23,5.276966,5.276966,5.210854,5.276966,420800
1999-06-24,5.252926,5.385151,5.252926,5.288987,572800
1999-06-25,5.288987,5.367120,5.276967,5.331059,276000
1999-06-28,5.319038,5.451263,5.319038,5.433232,476000
1999-06-29,5.433232,5.493334,5.391161,5.391161,975200
1999-06-30,5.373130,5.385151,5.210855,5.288987,1508800
1999-07-01,5.337068,5.385150,5.310022,5.361109,458400
1999-07-02,5.361109,5.493334,5.313027,5.487324,1234400
1999-07-06,5.487325,5.553437,5.487325,5.523386,664000
1999-07-07,5.541416,5.565456,5.451263,5.475304,679200
1999-07-08,5.487324,5.499344,5.481313,5.487324,406400
1999-07-09,5.499344,5.505354,5.457273,5.475304,612000
1999-07-12,5.475303,5.475303,5.361108,5.397170,311200
1999-07-13,5.373129,5.385150,5.337068,5.361109,449600
1999-07-14,5.385151,5.385151,5.313029,5.313029,258400
1999-07-15,5.294998,5.319039,5.294998,5.319039,428000
1999-07-16,5.325049,5.349089,5.234896,5.234896,280800
1999-07-19,5.252926,5.264946,5.192824,5.228885,392000
1999-07-20,5.204843,5.264945,5.096659,5.174792,600000
1999-07-21,5.180802,5.294996,5.180802,5.282976,672800
1999-07-22,5.258936,5.276966,5.150752,5.156762,424800
1999-07-23,5.168783,5.168783,5.048579,5.108681,640000
1999-07-26,5.048576,5.048576,5.000494,5.000494,464800
1999-07-27,5.012518,5.108681,4.976457,5.066610,347200
1999-07-28,5.090652,5.096662,5.024539,5.072621,560000
1999-07-29,5.062974,5.075028,4.900236,4.918317,481600
1999-07-30,4.930375,4.972567,4.821883,4.900239,898400
1999-08-02,4.924346,4.924346,4.791744,4.803799,486400
1999-08-03,4.803799,4.821881,4.641060,4.737498,1124800
1999-08-04,4.761607,4.870100,4.761607,4.864073,559200
1999-08-05,4.839963,4.839963,4.713388,4.713388,1008800
1999-08-06,4.671199,4.671199,4.653116,4.665171,383200
1999-08-09,4.659144,4.701335,4.659144,4.665171,719200
1999-08-10,4.665170,4.665170,4.502432,4.508459,524000
1999-08-11,4.532569,4.592843,4.520515,4.580788,400000
1999-08-12,4.574760,4.592842,4.568732,4.568732,529600
1999-08-13,4.580786,4.604896,4.556677,4.556677,239200
1999-08-16,4.568734,4.568734,4.448187,4.502433,250400
1999-08-17,4.520515,4.580788,4.514488,4.580788,718400
1999-08-18,4.604898,4.743528,4.592843,4.689281,767200
1999-08-19,4.677224,4.749552,4.671197,4.731470,693600
1999-08-20,4.725444,4.761608,4.713389,4.743526,336000
1999-08-23,4.719418,4.809828,4.719418,4.785718,412800
1999-08-24,4.809828,4.845992,4.689281,4.695309,408000
1999-08-25,4.701333,4.785716,4.671197,4.773661,331200
1999-08-26,4.773664,4.797773,4.749554,4.749554,928800
1999-08-27,4.761607,4.767634,4.665169,4.683251,256800
1999-08-30,4.683252,4.713389,4.629006,4.629006,573600
1999-08-31,4.629006,4.641060,4.568732,4.568732,579200
1999-09-01,4.580786,4.616950,4.550650,4.592841,216000
1999-09-02,4.580788,4.580788,4.436131,4.466269,247200
1999-09-03,4.472295,4.532569,4.460241,4.478323,538400
1999-09-07,4.478322,4.586815,4.478322,4.568732,493600
1999-09-08,4.580787,4.677225,4.556678,4.568732,504800
1999-09-09,4.568733,4.568733,4.490377,4.532568,262400
1999-09-10,4.520515,4.635035,4.484351,4.484351,657600
1999-09-13,4.484350,4.538596,4.448186,4.532568,499200
1999-09-14,4.508458,4.514486,4.387911,4.424075,664800
1999-09-15,4.424077,4.436132,4.363804,4.363804,301600
1999-09-16,4.375858,4.375858,4.219147,4.231202,473600
1999-09-17,4.158872,4.255309,4.158872,4.255309,872800
1999-09-20,4.285448,4.291475,4.219147,4.249284,319200
1999-09-21,4.249285,4.249285,4.128738,4.158874,349600
1999-09-22,4.158872,4.279420,4.158872,4.213119,1003200
1999-09-23,4.201066,4.207093,4.050381,4.062436,243200
1999-09-24,4.062438,4.074492,3.978055,4.038328,273600
1999-09-27,4.026272,4.170928,4.026272,4.146819,522400
1999-09-28,4.158872,4.158872,3.947915,4.074489,464800
1999-09-29,4.074491,4.080518,3.941889,3.959971,293600
1999-09-30,3.996135,4.146819,3.990107,4.146819,411200
1999-10-01,4.134764,4.134764,4.062436,4.062436,484800
1999-10-04,4.074487,4.182979,4.074487,4.122706,883200
1999-10-05,4.122709,4.134764,3.881615,3.887643,778400
1999-10-06,3.881615,4.050381,3.875588,3.947916,1357600
1999-10-07,3.965998,4.074491,3.941889,4.062436,623200
1999-10-08,4.050381,4.086545,4.038326,4.050381,619200
1999-10-11,4.050380,4.146818,4.050380,4.104627,804000
1999-10-12,4.098598,4.098598,4.050379,4.068462,502400
1999-10-13,4.062435,4.128737,4.020244,4.050381,1156000
1999-10-14,4.050381,4.074490,3.965998,3.990107,2124000
1999-10-15,3.978050,3.978050,3.905722,3.929831,388800
1999-10-18,3.953942,3.990106,3.905723,3.905723,728800
1999-10-19,3.905724,3.911751,3.791204,3.797231,675200
1999-10-20,3.785176,3.785176,3.568191,3.682711,3922400
1999-10-21,3.676684,3.676684,3.544083,3.562165,1152000
1999-10-22,3.544082,3.682712,3.544082,3.628465,781600
1999-10-25,3.652576,3.676686,3.616412,3.640522,836000
1999-10-26,3.664630,3.670657,3.616411,3.628465,680000
1999-10-27,3.628465,3.664629,3.628465,3.664629,762400
1999-10-28,3.715459,3.836483,3.715459,3.782023,1040800
1999-10-29,3.775972,3.860689,3.775972,3.824382,810400
1999-11-01,3.818332,3.866741,3.800177,3.860690,610400
1999-11-02,3.896998,3.963562,3.884896,3.903050,1056000
1999-11-03,3.939355,3.939355,3.896996,3.915150,919200
1999-11-04,3.915150,3.945406,3.896996,3.915150,644000
1999-11-05,3.915151,3.945406,3.909099,3.921201,646400
1999-11-08,3.945406,3.957509,3.915151,3.921201,683200
1999-11-09,3.945407,3.969612,3.800177,3.824382,865600
1999-11-10,3.848589,3.909102,3.824384,3.836487,976000
1999-11-11,3.812281,3.836486,3.763871,3.818332,329600
1999-11-12,3.842534,3.993815,3.800175,3.993815,1888000
1999-11-15,4.018023,4.126945,4.018023,4.048279,1400800
1999-11-16,4.066432,4.102740,4.005920,4.060381,1140000
1999-11-17,4.072484,4.072484,4.018023,4.024075,664800
1999-11-18,4.042227,4.066432,3.987766,4.011971,532000
1999-11-19,4.018022,4.084586,3.975664,4.084586,1636800
1999-11-22,4.096689,4.145098,4.048279,4.066432,2455200
1999-11-23,4.048279,4.054329,3.860690,3.860690,1359200
1999-11-24,3.872792,3.933304,3.818331,3.896997,1710400
1999-11-26,3.896996,3.927253,3.824381,3.915150,383200
1999-11-29,3.921203,3.969613,3.872793,3.933306,745600
1999-11-30,3.933304,3.969611,3.878843,3.921201,394400
1999-12-01,3.927255,3.981716,3.909101,3.945408,1580000
1999-12-02,3.945406,3.945406,3.872791,3.890945,738400
1999-12-03,3.915152,3.945408,3.909101,3.927255,710400
1999-12-06,3.896997,3.896997,3.854639,3.860690,1672800
1999-12-07,3.854639,3.921202,3.848587,3.872792,1234400
1999-12-08,3.872793,3.890947,3.854639,3.884895,1344000
1999-12-09,3.878844,3.884895,3.848587,3.872792,1099200
1999-12-10,3.872792,3.903049,3.848587,3.860690,503200
1999-12-13,3.866742,3.866742,3.751768,3.775973,1410400
1999-12-14,3.775975,3.818334,3.775975,3.800179,520000
1999-12-15,3.800177,3.848587,3.800177,3.848587,860000
1999-12-16,3.848587,3.896997,3.848587,3.878844,698400
1999-12-17,3.884895,3.884895,3.775973,3.775973,2292800
1999-12-20,3.794127,3.800178,3.751768,3.763870,1260800
1999-12-21,3.775975,3.800179,3.751770,3.800179,521600
1999-12-22,3.812280,3.824382,3.739665,3.812280,1036000
1999-12-23,3.800177,3.921201,3.800177,3.890945,548000
1999-12-27,3.890946,3.890946,3.788075,3.806229,887200
1999-12-28,3.830435,3.969613,3.818333,3.927255,458400
1999-12-29,3.921201,3.933304,3.896996,3.915150,876000
1999-12-30,3.921201,3.927253,3.909099,3.915150,644800
1999-12-31,3.921201,3.951458,3.909099,3.921201,255200
2000-01-03,3.933305,3.933305,3.733615,3.745717,675200
2000-01-04,3.769922,3.812281,3.739666,3.745717,613600
2000-01-05,3.763870,3.824383,3.751768,3.763870,428000
2000-01-06,3.763869,3.769921,3.703357,3.715459,706400
2000-01-07,3.721513,3.824383,3.721513,3.818332,3228800
2000-01-10,3.824383,3.848587,3.757819,3.775973,889600
2000-01-11,3.775973,3.824383,3.763870,3.763870,2004000
2000-01-12,3.769922,3.800177,3.751768,3.757819,694400
2000-01-13,3.782023,3.794125,3.769920,3.782023,602400
2000-01-14,3.788074,3.800177,3.751767,3.751767,864800
2000-01-18,3.763870,3.763870,3.661000,3.685205,904800
2000-01-19,3.679152,3.697306,3.606537,3.642845,843200
2000-01-20,3.660999,3.673101,3.618640,3.624691,1096000
2000-01-21,3.630742,3.667050,3.618640,3.618640,1508000
2000-01-24,3.667050,3.667050,3.533922,3.539974,1733600
2000-01-25,3.546027,3.546027,3.406848,3.455258,1386400
2000-01-26,3.443155,3.485513,3.412898,3.437103,764000
2000-01-27,3.437103,3.461308,3.340283,3.364488,1005600
2000-01-28,3.360842,3.360842,3.263603,3.287913,1021600
2000-01-31,3.306146,3.366921,3.239294,3.269681,1460000
2000-02-01,3.293989,3.293989,3.038735,3.154208,3586400
2000-02-02,3.184594,3.221059,3.135974,3.160284,2112000
2000-02-03,3.208905,3.306145,3.196750,3.257525,1642400
2000-02-04,3.281835,3.330455,3.208906,3.221061,574400
2000-02-07,3.208905,3.221060,3.166363,3.178518,672800
2000-02-08,3.196749,3.257524,3.160284,3.208904,1793600
2000-02-09,3.208905,3.257525,3.208905,3.239293,1509600
2000-02-10,3.214985,3.312224,3.214985,3.269681,2168800
2000-02-11,3.293989,3.312222,3.239293,3.239293,1455200
2000-02-14,3.233215,3.306145,3.214983,3.275758,1676000
2000-02-15,3.287914,3.318301,3.239294,3.306146,1344800
2000-02-16,3.293989,3.300067,3.202827,3.202827,1183200
2000-02-17,3.221060,3.221060,3.123820,3.129898,1260000
2000-02-18,3.154209,3.154209,3.056969,3.056969,1137600
2000-02-22,3.063046,3.063046,3.020504,3.063046,1024000
2000-02-23,3.056969,3.056969,2.990116,3.014426,901600
2000-02-24,2.990116,2.999232,2.892876,2.923264,931200
2000-02-25,2.947574,3.014426,2.892877,3.014426,1556000
2000-02-28,3.008349,3.032658,2.929341,3.020504,770400
2000-02-29,3.014426,3.111666,2.971884,3.111666,1099200
2000-03-01,3.099510,3.178517,3.063045,3.160284,864800
2000-03-02,3.135974,3.227137,3.135974,3.208904,984000
2000-03-03,3.233215,3.233215,3.160285,3.172440,835200
2000-03-06,3.196750,3.257525,3.160286,3.178518,757600
