date,open,high,low,close,volume
1999-01-04,10.054240,10.116560,9.971147,10.075013,137700
1999-01-05,10.054244,10.407389,10.054244,10.407389,197000
1999-01-06,10.469709,10.511256,10.345070,10.428163,227700
1999-01-07,10.386615,10.573574,10.345068,10.448935,188100
1999-01-08,10.428159,10.552798,10.428159,10.511251,69500
1999-01-11,10.552796,10.552796,10.469703,10.532022,127100
1999-01-12,10.490478,10.552798,10.469705,10.511251,128300
1999-01-13,10.511251,10.552798,10.324292,10.511251,57200
1999-01-14,10.552802,10.552802,10.428163,10.428163,54500
1999-01-15,10.511251,10.635891,10.469705,10.511251,42500
1999-01-19,10.552800,10.635893,10.511254,10.552800,42000
1999-01-20,10.615120,10.615120,10.511253,10.573573,78200
1999-01-21,10.552796,10.635889,10.552796,10.615116,28600
1999-01-22,10.573568,11.342177,10.552795,11.342177,1021900
1999-01-25,11.300638,11.591463,11.259091,11.383731,566100
1999-01-26,11.383731,11.549917,11.342184,11.529143,357100
1999-01-27,11.487595,11.508369,11.072131,11.092904,498700
1999-01-28,11.134452,11.134452,10.885173,10.947493,173600
1999-01-29,10.968266,11.030586,10.760534,10.802080,189200
1999-02-01,10.843622,11.134447,10.843622,11.134447,97400
1999-02-02,11.134452,11.383731,11.134452,11.383731,449200
1999-02-03,11.321407,11.466820,11.300634,11.321407,101100
1999-02-04,11.362957,11.466823,11.300637,11.300637,125500
1999-02-05,11.300633,11.300633,11.175994,11.175994,176300
1999-02-08,11.175994,11.238314,11.113674,11.175994,178200
1999-02-09,11.134451,11.175997,11.072131,11.092904,162400
1999-02-10,11.009812,11.051359,10.905946,10.947493,80600
1999-02-11,10.947489,11.217541,10.947489,11.009809,95700
1999-02-12,10.989037,10.989037,10.885171,10.885171,33800
1999-02-16,10.885166,10.968259,10.843619,10.905939,122300
1999-02-17,10.947493,10.947493,10.822854,10.822854,101600
1999-02-18,10.843627,10.885173,10.802080,10.802080,108500
1999-02-19,10.802080,10.864399,10.718987,10.760533,60000
1999-02-22,10.802081,10.885174,10.781308,10.822854,151100
1999-02-23,10.781309,10.802082,10.677443,10.677443,246200
1999-02-24,10.698208,10.968260,10.635888,10.781301,94700
1999-02-25,10.822850,10.926716,10.760530,10.864396,52900
1999-02-26,10.843624,10.843624,10.698211,10.739758,114500
1999-03-01,10.718989,10.760535,10.677443,10.677443,131000
1999-03-02,10.677439,10.926717,10.677439,10.885171,52400
1999-03-03,10.843624,10.926717,10.843624,10.926717,103300
1999-03-04,10.885166,11.009805,10.822846,10.905939,56200
1999-03-05,10.989035,11.051355,10.926716,11.009809,115900
1999-03-08,10.989036,10.989036,10.864397,10.926717,215400
1999-03-09,10.905944,10.926717,10.802078,10.885171,60900
1999-03-10,10.885166,10.926712,10.802073,10.905939,62600
1999-03-11,10.885173,10.905946,10.739760,10.760533,61500
1999-03-12,10.760528,10.760528,10.594343,10.635889,131200
1999-03-15,10.594343,10.635889,10.573570,10.615116,88300
1999-03-16,10.635889,10.635889,10.573570,10.615116,173700
1999-03-17,10.615118,10.781304,10.615118,10.739758,1433700
1999-03-18,10.718989,10.802082,10.635896,10.677443,465500
1999-03-19,10.677439,10.677439,10.552800,10.573573,498600
1999-03-22,10.532024,10.552797,10.261972,10.303518,727200
1999-03-23,10.303518,10.324291,10.199652,10.282744,205000
1999-03-24,10.282745,10.345065,10.241199,10.303518,123900
