date,open,high,low,close,volume
1999-01-04,141.415381,146.176248,140.533739,141.944366,1737460
1999-01-05,142.649652,145.294577,142.649652,144.589264,1451560
1999-01-06,146.881506,154.463625,146.881506,153.405655,3415640
1999-01-07,151.642352,166.630259,150.937039,165.043304,3984300
1999-01-08,166.454004,167.688302,160.282510,163.456421,2854580
1999-01-11,158.695533,165.219683,158.695533,162.927414,2032960
1999-01-12,161.164136,162.045778,157.284912,157.284912,2283360
1999-01-13,148.115834,152.347715,138.241445,147.234192,4600780
1999-01-14,146.881535,149.350132,142.473326,143.531296,2660840
1999-01-15,142.825974,147.410511,142.296989,145.294571,2586520
1999-01-19,148.468468,149.526438,142.649633,145.470886,1904560
1999-01-20,148.292154,155.168960,146.705198,150.231766,2324840
1999-01-21,149.173813,152.700381,147.586857,147.939514,1866800
1999-01-22,144.236605,148.115829,143.531292,145.647232,1491460
1999-01-25,149.526452,150.231766,144.589258,150.231766,2195620
1999-01-26,150.937097,156.579605,148.997485,156.579605,2205100
1999-01-27,155.345284,156.226926,151.642389,152.347702,1930060
1999-01-28,155.511069,157.811005,153.918806,157.103333,1676660
1999-01-29,158.164787,159.757050,153.918753,158.695541,1709780
1999-02-01,159.226306,160.110896,153.211090,154.272598,1071960
1999-02-02,153.564920,155.334101,150.203476,150.203476,1688960
1999-02-03,149.672683,155.334061,147.195830,153.918716,1740380
1999-02-04,153.211029,153.387947,149.318832,150.380341,1687060
1999-02-05,150.026520,150.911110,147.726585,149.672684,1789880
1999-02-08,153.564818,153.564818,147.195771,148.611115,2016780
1999-02-09,148.788079,150.026505,142.772865,143.303619,2019780
1999-02-10,143.480611,148.257401,141.888348,148.257401,1352840
1999-02-11,147.726659,154.272631,146.665150,151.795776,2034240
1999-02-12,151.441833,152.680260,146.488129,146.841965,1616700
1999-02-16,149.141922,152.503365,148.788086,151.264938,1311380
1999-02-17,151.264985,154.095674,149.849640,150.203476,1905280
1999-02-18,150.380440,151.972704,148.257422,149.849686,1560320
1999-02-19,150.026556,155.511018,149.495802,153.388000,2037440
1999-02-22,155.334128,158.518655,154.803374,156.926392,2250580
1999-02-23,159.933951,165.772248,159.933951,164.710739,4004080
1999-02-24,165.418428,170.372135,160.641639,161.172394,3614880
1999-02-25,160.641663,163.472353,158.695563,160.287827,2253880
1999-02-26,164.179947,168.249062,160.818504,166.302963,1941660
1999-03-01,168.249076,174.087372,166.833731,173.379700,2987160
1999-03-02,173.025928,173.202846,165.241530,167.010712,1882700
1999-03-03,166.833718,168.956734,162.587685,163.826111,1503240
1999-03-04,165.772216,170.902840,164.887626,170.725922,1562040
1999-03-05,176.210465,179.748828,172.849021,174.795120,2577100
1999-03-08,175.502701,177.448799,173.556602,175.502701,1375460
1999-03-09,175.856613,179.041139,174.618186,176.918121,1961900
1999-03-10,179.041152,181.871842,177.448888,181.164169,1883080
1999-03-11,181.164159,187.179375,179.394978,186.648621,2496680
1999-03-12,187.710129,188.063966,185.764030,186.648621,1863140
1999-03-15,186.294784,187.533211,184.348685,186.648621,1560500
1999-03-16,185.940974,186.825564,180.987265,182.579529,1560420
1999-03-17,184.348682,184.348682,177.095039,177.625793,1225200
1999-03-18,177.448806,183.817856,177.271888,183.110184,1461280
1999-03-19,184.879419,185.587091,181.341057,181.871811,1830020
1999-03-22,180.102661,180.810334,177.095053,180.102661,772320
1999-03-23,179.571864,179.571864,170.725959,173.025894,1358140
1999-03-24,173.733630,174.441302,168.249167,170.195267,1579460
1999-03-25,173.733565,179.748780,173.202810,178.333435,2091940
1999-03-26,178.687256,183.287126,177.625747,179.394928,1361700
1999-03-29,181.694893,184.702501,181.517975,181.517975,1323940
1999-03-30,180.456466,183.817910,179.925712,181.517975,948020
1999-03-31,183.640884,185.233146,178.333344,180.810196,1672660
1999-04-01,182.579430,184.525528,181.694839,183.110184,1233620
1999-04-05,185.410155,188.948517,185.410155,188.240845,1592960
1999-04-06,188.063911,193.371453,187.356239,189.656174,1475840
1999-04-07,194.963705,204.517281,193.548361,202.925018,2859240
1999-04-08,203.632773,207.878808,203.102018,206.640381,2501660
1999-04-09,205.047966,209.824753,204.694130,208.409409,1699280
1999-04-12,205.578811,211.594025,205.224974,209.471008,1648880
1999-04-13,209.647985,214.778611,209.471067,213.009430,2201040
1999-04-14,215.840060,217.963077,206.109565,207.701828,2016020
1999-04-15,204.871180,207.878787,197.971373,201.155899,2109580
1999-04-16,199.917554,204.163591,194.786927,202.748245,1852460
1999-04-19,208.763371,215.840095,199.032875,199.917465,3507300
1999-04-20,206.640251,212.124710,202.217301,206.109497,3036560
1999-04-21,206.463401,209.471008,202.925039,209.471008,1962480
1999-04-22,209.824904,214.778612,209.647986,212.301758,1760900
1999-04-23,212.301743,214.778596,210.001807,211.947906,943020
1999-04-26,211.947916,211.947916,207.701881,208.940308,1002500
1999-04-27,210.532576,214.778611,208.940313,213.717102,1371880
1999-04-28,211.947884,215.132410,210.709457,211.063293,1299620
1999-04-29,214.143196,220.352817,213.256108,216.627045,1964960
1999-04-30,216.982000,217.869089,206.869184,212.546555,2158020
1999-05-03,211.482040,212.901382,208.288519,212.901382,1386320
1999-05-04,213.256189,214.320696,204.740135,205.094971,1530920
1999-05-05,205.272373,208.643311,198.175662,206.514297,2100720
1999-05-06,202.256330,205.272434,197.288631,198.175720,1801000
1999-05-07,198.353058,202.611084,197.288551,199.062729,1540940
1999-05-10,203.675671,204.207925,200.659568,202.433746,1436360
1999-05-11,203.320823,210.594953,203.143405,205.804672,1794640
1999-05-12,205.627227,210.594925,198.707933,209.885254,1594300
1999-05-13,212.546552,213.433641,208.288525,208.465942,1156560
1999-05-14,200.836975,202.611153,197.643454,201.546646,1949460
1999-05-17,198.353096,200.304692,191.611220,198.707932,1973620
1999-05-18,199.062748,202.788522,191.966037,196.046646,1706180
1999-05-19,198.175682,200.482113,196.224086,199.949860,1039260
