date,open,high,low,close,volume
1999-01-04,10.732409,11.030532,10.732409,10.881471,1733722
1999-01-05,10.902766,11.179594,10.817589,11.115711,1355290
1999-01-06,11.137003,11.648071,11.094415,11.626776,4180619
1999-01-07,11.456423,11.477718,11.286067,11.307362,1810180
1999-01-08,11.328652,11.711952,11.328652,11.669363,3351152
1999-01-11,11.499009,11.584187,11.009236,11.094415,1626810
1999-01-12,11.243479,11.371246,11.158301,11.307362,1636576
1999-01-13,10.987945,11.499011,10.902766,11.435128,1645700
1999-01-14,11.392539,11.477717,11.328656,11.435128,1840120
1999-01-15,11.435125,11.456419,11.179591,11.264770,2829699
1999-01-19,11.307359,11.307359,10.987942,11.094415,1305175
1999-01-20,11.115707,11.137001,10.753702,10.817585,1036609
1999-01-21,10.817588,10.860176,10.583349,10.711116,1299135
1999-01-22,10.604643,10.945354,10.583349,10.945354,1023245
1999-01-25,10.838884,11.073123,10.817590,11.073123,1102402
1999-01-26,11.115710,11.158299,10.817587,10.881471,1099061
1999-01-27,10.942455,10.963869,10.706903,10.899628,2366328
1999-01-28,10.813977,11.242253,10.792563,10.985288,1299906
1999-01-29,11.006701,11.135183,10.878218,11.135183,1323422
1999-02-01,11.135182,11.156596,10.813976,10.942458,813662
1999-02-02,10.899628,10.963869,10.578421,10.792559,1354647
1999-02-03,10.706904,10.963870,10.664077,10.921042,974672
1999-02-04,10.835390,11.028114,10.835390,10.963873,1045219
1999-02-05,10.963874,10.963874,10.728322,10.835391,1111268
1999-02-08,10.835383,10.878211,10.664073,10.749727,671927
1999-02-09,10.749733,10.749733,10.535595,10.642665,846815
1999-02-10,10.578417,10.792555,10.514176,10.749727,861207
1999-02-11,10.792558,10.792558,10.578419,10.728316,1141980
1999-02-12,10.706907,10.728321,10.428527,10.514183,1008468
1999-02-16,10.535596,11.070942,10.514183,10.963873,2445998
1999-02-17,10.963869,10.963869,10.749731,10.856800,1292710
1999-02-18,10.942456,10.963870,10.749731,10.878215,1815448
1999-02-19,10.835387,10.921042,10.706903,10.706903,2228062
1999-02-22,10.664076,10.899628,10.578421,10.706903,1396667
1999-02-23,10.535594,10.685491,10.449939,10.535594,1345524
1999-02-24,10.535594,10.664077,10.471353,10.578422,1367497
1999-02-25,10.449942,10.642667,10.278632,10.385701,1616402
1999-02-26,10.407118,10.514187,10.300049,10.300049,871873
1999-03-01,10.300040,10.364281,10.150144,10.342868,1102530
1999-03-02,10.257218,10.321461,10.043080,10.085908,1331646
1999-03-03,10.021660,10.085901,9.807522,9.978833,1623341
1999-03-04,10.128733,10.364285,10.128733,10.257215,1894090
1999-03-05,10.364284,10.557009,10.342871,10.449940,994461
1999-03-08,10.449946,10.514187,10.214394,10.300049,1193380
1999-03-09,10.171556,10.492763,10.171556,10.321453,1354390
1999-03-10,10.364282,10.492765,10.321455,10.364282,1276262
1999-03-11,10.385696,10.471351,10.342868,10.471351,771514
1999-03-12,10.449939,10.621250,10.428525,10.535594,921088
1999-03-15,10.471350,10.664075,10.428523,10.621247,1350407
1999-03-16,10.535594,10.706905,10.535594,10.664078,1140181
1999-03-17,10.621249,10.685490,10.471352,10.599834,938692
1999-03-18,10.599835,10.664077,10.535594,10.535594,1090965
1999-03-19,10.642669,10.642669,10.278634,10.278634,1495226
1999-03-22,10.278635,10.428531,10.257221,10.300049,591100
1999-03-23,10.300044,10.364286,10.021665,10.150148,1034682
1999-03-24,10.150142,10.235797,10.128728,10.171556,815076
1999-03-25,10.021665,10.235803,9.207940,9.250768,3667262
1999-03-26,9.507732,9.507732,9.036628,9.036628,2756839
1999-03-29,9.165112,9.293594,8.972387,8.993801,2510890
