date,open,high,low,close,volume
1999-01-04,24.045211,24.320238,22.787945,23.062973,1097100
1999-01-05,22.984392,23.455867,22.945103,23.239775,993750
1999-01-06,23.337998,23.337998,22.532563,22.984392,1342650
1999-01-07,23.023682,23.062972,22.493273,22.748655,756900
1999-01-08,22.768295,22.846873,21.962858,22.375399,956700
1999-01-11,22.453984,22.453984,21.530680,21.805706,1621200
1999-01-12,21.884291,22.080738,21.687843,21.766422,1018950
1999-01-13,21.569970,21.844996,21.393167,21.471746,730350
1999-01-14,21.530681,22.120025,21.471747,22.061090,1219500
1999-01-15,22.296826,22.296826,21.825351,21.903929,996750
1999-01-19,22.159322,22.159322,21.314595,21.943230,1269150
1999-01-20,22.159313,22.277182,21.903930,22.277182,965100
1999-01-21,22.277185,22.905817,22.159316,22.650436,1321800
1999-01-22,22.650437,23.062977,22.434343,22.964752,2011800
1999-01-25,23.043338,23.161207,22.021809,22.453995,1311450
1999-01-26,22.866530,23.043333,22.650438,22.886175,1031550
1999-01-27,22.964744,23.514799,22.827232,23.475510,1209450
1999-01-28,23.554090,23.554090,22.670075,23.239775,1382700
1999-01-29,23.475512,23.475512,22.807589,23.239775,1083000
1999-02-01,23.396932,24.516684,23.298709,24.438105,1682100
1999-02-02,24.595275,24.909590,24.163089,24.811367,1548150
1999-02-03,24.811366,26.166856,24.457760,25.302486,5227500
1999-02-04,25.125681,25.184616,24.732784,25.007812,3187800
1999-02-05,25.007818,25.007818,24.025578,24.320250,2128650
1999-02-08,24.320249,24.398829,23.377299,23.436234,1711200
1999-02-09,23.495170,23.809488,23.318367,23.338013,1826700
1999-02-10,23.259426,23.554098,22.473636,22.846886,1537800
1999-02-11,22.866519,23.573731,22.866519,23.495152,1494300
1999-02-12,23.495169,24.202381,23.436234,24.045223,1890600
1999-02-16,24.477412,24.831018,24.045226,24.831018,1738800
1999-02-17,24.752445,24.772090,23.888074,24.123812,1464900
1999-02-18,24.202379,24.202379,23.259429,24.064867,1568400
1999-02-19,24.025573,24.045218,23.495164,23.946995,1088400
1999-02-22,23.907696,23.927342,23.534447,23.671959,1231050
1999-02-23,23.495166,23.927352,23.102271,23.279074,1285350
1999-02-24,23.475508,23.868403,23.416574,23.495152,1051350
1999-02-25,23.495165,23.514810,22.630795,22.925467,1275600
1999-02-26,22.925459,22.925459,22.061090,22.689722,1609500
1999-03-01,22.552210,22.670079,21.982512,22.316473,1002750
1999-03-02,22.316470,22.945105,22.237892,22.945105,1383450
1999-03-03,22.886174,23.396938,22.473634,23.220135,953850
1999-03-04,23.220129,23.554090,23.023681,23.239775,918450
1999-03-05,23.573735,23.573735,23.023681,23.239775,1163850
1999-03-08,22.945116,24.045223,22.473641,24.045223,1171350
1999-03-09,24.084501,24.084501,23.377289,23.514803,907350
1999-03-10,23.514805,23.514805,22.395052,22.395052,1523400
1999-03-11,22.571856,23.259422,22.355763,23.259422,1522500
1999-03-12,23.730893,24.477395,23.455866,24.438105,1726800
1999-03-15,24.398832,24.438121,23.848778,24.261318,1063650
1999-03-16,24.261314,24.261314,23.789839,24.064867,1066800
1999-03-17,23.986273,23.986273,23.259416,23.475510,1210650
1999-03-18,23.475523,23.691616,22.709377,23.652327,2011500
1999-03-19,23.691605,23.809473,22.748655,22.748655,1245450
1999-03-22,22.846882,22.994218,22.473633,22.611145,552300
1999-03-23,22.571861,22.571861,21.884294,22.002163,1388550
1999-03-24,22.002164,22.080742,21.196727,21.412821,1271550
1999-03-25,21.353891,21.452114,20.744902,20.744902,2383500
1999-03-26,20.862772,22.080748,20.843126,21.982525,2330100
1999-03-29,22.002154,22.296826,21.805705,21.903929,1751100
1999-03-30,21.970754,21.970754,20.889904,21.106073,2043000
1999-03-31,21.184685,21.302596,20.103833,20.752344,3281400
1999-04-01,20.811300,21.145380,20.202092,20.752344,2419500
1999-04-05,20.811290,20.870245,19.750091,20.123476,3303900
1999-04-06,20.084177,20.103829,19.278452,19.592882,3213300
1999-04-07,19.651837,19.750096,18.865763,18.924719,3344850
1999-04-08,18.924714,20.437905,18.610284,20.359299,6018300
1999-04-09,20.909553,21.223983,20.418258,21.204330,2480700
1999-04-12,21.125725,22.088664,20.948858,22.010057,1875750
1999-04-13,21.970746,22.599606,21.852835,22.304829,2868150
