date,open,high,low,close,volume
1999-01-04,4.166937,4.197205,4.096311,4.116490,570800
1999-01-05,4.136668,4.177025,4.076131,4.156847,526800
1999-01-06,4.156848,4.166937,4.096311,4.116490,193200
1999-01-07,4.096310,4.166936,4.096310,4.156847,522400
1999-01-08,4.156847,4.161892,4.035774,4.035774,137200
1999-01-11,4.015596,4.136670,4.015596,4.126580,1048000
1999-01-12,4.076132,4.156847,4.076132,4.106400,712000
1999-01-13,3.874341,4.197203,3.874341,4.197203,1135600
1999-01-14,4.177024,4.318276,4.156845,4.197203,1855200
1999-01-15,4.156848,4.217385,4.156848,4.207295,222800
1999-01-19,4.197204,4.197204,4.187115,4.187115,238400
1999-01-20,4.197204,4.207294,4.177025,4.177025,419600
1999-01-21,4.177026,4.257742,4.177026,4.257742,999600
1999-01-22,4.207295,4.328368,4.207295,4.257742,250400
1999-01-25,4.257742,4.298100,4.217385,4.298100,227200
1999-01-26,4.237563,4.338457,4.237563,4.277920,191600
1999-01-27,4.277920,4.348546,4.257741,4.318277,203200
1999-01-28,4.348546,4.358635,4.318277,4.348546,463600
1999-01-29,4.358636,4.459530,4.318278,4.419172,508000
1999-02-01,4.419171,4.610871,4.378814,4.550334,1192800
1999-02-02,4.550336,4.762214,4.550336,4.742035,829200
1999-02-03,4.681498,4.782393,4.661319,4.782393,625600
1999-02-04,4.721854,4.721854,4.520066,4.681497,418400
1999-02-05,4.600783,4.661320,4.600783,4.661320,220400
1999-02-08,4.499888,4.802571,4.398993,4.721855,847200
1999-02-09,4.721855,4.762213,4.419172,4.419172,754400
1999-02-10,4.520067,4.520067,4.398994,4.398994,329200
1999-02-11,4.409083,4.439351,4.338457,4.358635,480000
1999-02-12,4.338457,4.338457,4.015595,4.066042,612400
1999-02-16,4.066043,4.146758,4.035774,4.146758,226000
1999-02-17,4.156848,4.177026,4.136669,4.146758,549200
1999-02-18,4.146760,4.187118,4.076134,4.096313,488800
1999-02-19,4.106397,4.136666,4.055950,4.055950,484400
1999-02-22,4.096308,4.217382,4.086219,4.197203,180000
1999-02-23,4.156847,4.257741,4.156847,4.156847,231600
1999-02-24,4.136668,4.197205,4.066042,4.066042,180800
