date,open,high,low,close,volume
1999-01-04,22.770887,22.878977,22.194411,22.374559,2348700
1999-01-05,22.410589,22.662796,22.374558,22.554707,1081200
1999-01-06,23.059137,23.059137,22.662806,23.059137,2287500
1999-01-07,23.095150,23.419419,22.951033,23.401405,2505900
1999-01-08,23.779721,24.320169,23.671631,23.923841,4716000
1999-01-11,24.716508,24.914674,24.067970,24.067970,3430800
1999-01-12,24.067971,24.464302,23.887823,24.464302,2350200
1999-01-13,24.067962,24.644442,23.347366,24.031935,3309300
1999-01-14,23.635611,23.815763,23.563552,23.725687,2094000
1999-01-15,23.851791,24.194077,23.725687,24.122015,1745400
1999-01-19,23.923852,24.104000,23.329358,23.653627,1923300
1999-01-20,23.347370,23.779728,23.095159,23.257294,1423500
1999-01-21,22.482651,23.005086,22.482651,22.770889,3621900
1999-01-22,22.770896,22.915016,22.482658,22.500671,2201700
1999-01-25,22.500665,22.842951,22.500665,22.626772,2053200
1999-01-26,22.482651,22.842951,22.482651,22.626772,2476800
1999-01-27,22.698830,22.896995,22.194412,22.194412,1620900
1999-01-28,22.770881,22.896988,22.446612,22.644777,1564500
1999-01-29,23.635608,23.995908,23.365384,23.743698,2021100
1999-02-01,23.779723,23.779723,23.257288,23.509499,1742700
1999-02-02,23.383406,23.383406,22.752882,23.059137,1150800
1999-02-03,22.915010,23.203248,22.698831,22.770889,3159000
1999-02-04,22.338535,22.482655,21.834117,22.464642,3786000
1999-02-05,22.446627,22.446627,22.014269,22.032286,1279200
1999-02-08,22.194418,22.482656,22.068311,22.086329,2538300
1999-02-09,22.086325,22.158384,21.203590,21.203590,1886100
1999-02-10,21.545872,22.446617,21.293661,22.158379,2531400
1999-02-11,22.194410,22.302499,21.978230,22.158379,2183700
1999-02-12,22.194409,22.554705,21.906167,22.284481,2399700
1999-02-16,22.410597,22.806925,22.194418,22.446625,1849200
1999-02-17,22.194412,22.410591,21.455798,21.635946,1591800
1999-02-18,21.870147,22.032282,21.762057,21.780071,2503200
1999-02-19,21.780067,22.320516,21.726023,22.194412,2382900
1999-02-22,22.194406,23.401406,21.906165,23.383392,2402100
1999-02-23,23.329355,23.419428,22.770890,23.275311,2766300
1999-02-24,23.599580,23.779729,23.023101,23.347370,2427300
1999-02-25,23.203246,23.275308,22.860963,23.131187,1645800
1999-02-26,23.203248,23.257293,22.482651,22.626772,1336500
1999-03-01,22.698833,22.915012,22.446623,22.915012,1741500
1999-03-02,22.951048,23.257300,22.897003,23.059137,2071800
1999-03-03,23.059131,23.167220,22.572727,22.626772,1651200
1999-03-04,22.626780,22.626780,21.798090,21.906179,3472800
1999-03-05,23.059132,23.059132,22.626773,22.987070,2232900
1999-03-08,22.915011,22.987069,22.266473,22.302504,1138500
1999-03-09,22.266468,22.554706,21.996244,22.014257,2148600
1999-03-10,21.992565,22.155339,21.811706,22.119169,2965200
1999-03-11,22.155334,22.860688,22.119165,22.824518,2273400
1999-03-12,23.113890,23.330922,23.059632,23.204321,1749300
1999-03-15,23.131976,23.584128,23.131976,23.566040,2282100
1999-03-16,23.873503,23.909676,23.294750,23.566040,2320800
1999-03-17,23.728813,23.728813,23.077718,23.276665,2070300
1999-03-18,23.294746,23.692640,23.222403,23.511778,2241000
1999-03-19,23.620295,23.945843,23.439436,23.764984,1654500
1999-03-22,23.584126,24.741628,23.547953,24.651197,2742900
1999-03-23,24.379905,24.452251,24.018187,24.217131,2246100
1999-03-24,24.199046,24.343735,23.982014,24.126703,1961400
1999-03-25,24.307565,24.452254,24.199049,24.379908,2531700
1999-03-26,24.379909,24.813973,24.180966,24.777803,1797900
1999-03-29,24.777798,25.031000,24.506508,24.705452,1876800
1999-03-30,24.705458,24.940578,24.235225,24.307568,1494600
1999-03-31,24.361823,24.434166,24.126707,24.253307,2735700
1999-04-01,24.416078,24.813968,24.379905,24.759710,2289300
1999-04-05,24.759713,25.157607,24.741628,25.139519,2724900
1999-04-06,25.139521,25.157609,24.687372,24.723545,1511100
1999-04-07,24.687368,25.085258,24.687368,25.085258,1447500
1999-04-08,24.379914,24.379914,23.511787,23.801165,2900700
1999-04-09,23.764987,23.927761,23.584128,23.927761,2882700
1999-04-12,24.307560,24.705451,24.162871,24.633108,2295600
1999-04-13,24.633114,24.922489,24.615030,24.777803,1659600
1999-04-14,24.777803,25.356552,24.777803,25.175694,1518900
1999-04-15,25.175693,25.862961,25.139520,25.609756,2108400
1999-04-16,25.537414,26.079994,25.392725,26.025736,1581600
1999-04-19,25.971475,26.333192,25.862959,25.862959,1431300
1999-04-20,25.935302,26.134249,25.573581,26.043818,1446000
1999-04-21,26.188505,26.242763,25.609752,25.826784,1242300
1999-04-22,25.609759,25.790618,24.922490,25.446985,1983000
1999-04-23,25.591669,25.899129,25.501238,25.862959,1585500
1999-04-26,25.682099,25.736357,25.284209,25.302294,806400
1999-04-27,25.266124,25.374640,24.850145,25.157608,1571100
1999-04-28,25.139521,25.899133,25.103352,25.103352,1517400
1999-04-29,25.465065,25.645927,24.994831,25.537411,2059800
1999-04-30,25.501240,25.537413,25.175692,25.229950,1307700
1999-05-03,25.320382,26.441711,25.284209,26.441711,1737600
1999-05-04,26.441711,26.839604,25.609756,25.645929,1632900
1999-05-05,25.645931,26.206596,25.428900,26.152338,1075200
1999-05-06,26.007648,26.369369,25.989563,26.224680,2181000
1999-05-07,26.206590,27.092802,26.206590,27.038544,1444200
1999-05-10,27.273668,28.250311,27.237495,28.123707,2486100
1999-05-11,28.141791,28.539682,27.472608,27.852413,3060000
1999-05-12,27.780075,27.780075,27.273668,27.418354,4225500
1999-05-13,27.418351,27.472609,27.165149,27.382181,1138500
1999-05-14,27.056639,27.255583,26.622575,26.984293,1750500
1999-05-17,26.839601,26.948117,26.622569,26.694912,1639500
1999-05-18,26.550224,27.165149,26.550224,26.803429,1328700
1999-05-19,27.056632,28.033275,27.056632,27.924759,1427700
1999-05-20,27.816242,28.141790,27.237490,27.508780,2005200
1999-05-21,27.436444,27.780077,27.382186,27.544960,1007700
1999-05-24,27.490698,28.069448,27.382182,27.689642,2106300
1999-05-25,27.635380,28.069444,27.273663,27.273663,1845000
1999-05-26,27.273665,27.291750,26.206591,26.803429,2844600
1999-05-27,26.694911,26.857685,26.333190,26.351278,1838700
1999-05-28,26.875777,27.056639,26.586402,26.984293,2137800
1999-06-01,26.911948,27.128980,26.713001,27.074722,2156700
1999-06-02,27.002380,27.707734,27.002380,27.490702,1825800
1999-06-03,27.635387,27.707734,27.382186,27.490702,1890300
1999-06-04,27.454527,27.780075,27.382184,27.780075,1101300
1999-06-07,27.743904,28.015194,27.635388,27.960936,1334400
1999-06-08,27.924759,27.942844,27.780070,27.924759,1249800
1999-06-09,27.757854,27.921135,27.322436,27.485718,1366200
1999-06-10,27.503852,27.503852,26.850727,26.995867,1725600
1999-06-11,26.923305,27.213582,26.868877,27.086586,1460100
1999-06-14,27.141015,27.721569,27.141015,27.721569,1497000
1999-06-15,27.721560,28.138835,27.721560,27.848558,1508400
1999-06-16,28.120700,28.338408,28.048128,28.283981,2139000
1999-06-17,28.211404,28.211404,27.739704,27.848558,2417400
1999-06-18,27.848568,27.921136,27.612715,27.721569,2774100
1999-06-21,27.576431,27.721568,27.449432,27.485718,1494000
1999-06-22,27.249860,27.268001,26.379025,26.524162,2423400
1999-06-23,26.451602,26.506029,26.125039,26.433460,2142000
1999-06-24,26.487888,26.506029,25.617053,25.780334,3091500
1999-06-25,25.780329,25.871038,25.272340,25.344912,1734600
1999-06-28,25.544475,25.979892,25.526333,25.834755,2978100
1999-06-29,25.544476,25.653330,25.490049,25.635189,1437600
1999-06-30,25.580760,26.342741,25.544475,25.834755,2771700
1999-07-01,25.943617,26.052472,25.653337,25.798477,1340700
1999-07-02,26.270177,26.850731,26.233891,26.832590,2685000
1999-07-06,26.832590,27.068440,26.397172,26.415314,2257500
1999-07-07,26.433462,26.814452,26.379034,26.560457,1751100
1999-07-08,26.487873,26.959573,26.433446,26.705582,1340700
1999-07-09,26.524171,26.687453,26.360890,26.560457,1268700
1999-07-12,26.487885,26.487885,25.871042,25.907328,1736700
1999-07-13,25.834757,26.088749,25.435623,25.471909,1359300
1999-07-14,25.471912,25.471912,25.109064,25.363058,1410600
1999-07-15,25.617055,26.233895,25.617055,26.106899,2438700
1999-07-16,26.270180,26.959589,26.252036,26.959589,1707300
1999-07-19,26.905160,27.213582,26.415316,26.433460,1962900
1999-07-20,26.487889,26.760025,26.288321,26.342749,1239900
1999-07-21,26.306463,26.560458,25.998045,25.998045,1804200
1999-07-22,26.125038,26.324605,25.780333,25.943615,1039500
1999-07-23,25.943619,26.088756,25.272348,25.399347,722100
1999-07-26,25.363055,25.889185,25.326769,25.852900,1195500
1999-07-27,25.907325,26.342743,25.508194,25.598904,1862400
1999-07-28,25.544486,25.707768,25.163496,25.290495,1123500
1999-07-29,25.217914,25.834757,25.217914,25.617048,2391300
1999-07-30,25.635190,25.943611,25.435622,25.598904,1495800
1999-08-02,25.598903,26.016179,25.562620,25.979893,1879800
1999-08-03,25.181636,25.254204,23.585103,24.274515,7170600
1999-08-04,24.528510,24.782501,23.548821,24.020521,3233700
1999-08-05,24.165661,24.818787,24.165661,24.601078,4074900
1999-08-06,24.528515,24.673652,24.437802,24.619225,1956000
1999-08-09,24.601074,24.782497,24.183798,24.201942,1773300
1999-08-10,24.201944,24.310799,23.784668,24.093090,1759200
1999-08-11,24.093084,24.419647,23.893517,24.002371,1854000
1999-08-12,24.074948,24.746218,24.038665,24.601078,2053500
1999-08-13,25.145348,25.580765,25.090921,25.544479,1687800
1999-08-16,25.471908,25.689617,25.145345,25.598904,1247400
1999-08-17,25.834754,25.998035,25.689614,25.762182,2579100
1999-08-18,25.834756,25.834756,25.326767,25.344912,2155800
1999-08-19,25.344913,25.689617,24.818782,25.508194,1823100
1999-08-20,25.653329,26.252028,25.508192,26.161318,1653000
