date,open,high,low,close,volume
1999-01-04,7.157469,7.327885,7.110992,7.172961,1562400
1999-01-05,7.157467,7.234929,7.064513,7.196198,1697400
1999-01-06,7.242676,7.622239,7.188453,7.591254,6319200
1999-01-07,7.568013,7.575760,7.343374,7.467313,1497600
1999-01-08,7.467315,7.560269,7.281406,7.351122,2159400
1999-01-11,7.420839,7.637732,7.389854,7.637732,1075200
1999-01-12,7.606747,7.792655,7.467316,7.475061,2180400
1999-01-13,7.219438,7.506046,7.141976,7.498300,3810600
1999-01-14,7.537031,7.854624,7.498300,7.591254,4026600
1999-01-15,7.653224,7.684209,7.544777,7.637732,3292200
1999-01-19,7.699703,8.195458,7.653226,8.195458,6307200
1999-01-20,8.489812,8.582767,7.986310,8.218696,6391800
1999-01-21,8.117995,8.172218,7.374362,7.606747,4210800
1999-01-22,7.529285,7.916594,7.420839,7.854625,2579400
1999-01-25,7.901103,7.901103,7.614494,7.777164,1470600
1999-01-26,7.815895,7.901103,7.699702,7.815895,4787400
1999-01-27,7.823639,7.854624,7.660969,7.831386,2157000
1999-01-28,7.854627,8.179967,7.684211,8.179967,4257000
1999-01-29,8.210948,8.210948,7.870115,8.056024,1557600
1999-02-01,8.179966,8.195458,7.932088,7.947580,1333800
1999-02-02,7.908847,7.947578,7.653223,7.684207,3214800
1999-02-03,7.653223,8.040532,7.606746,8.040532,2751000
1999-02-04,8.025042,8.025042,7.637732,7.653225,1497600
1999-02-05,7.715191,7.722937,7.389851,7.467313,3090000
1999-02-08,7.490556,7.684210,7.490556,7.614495,3108000
1999-02-09,7.637731,7.761670,7.296899,7.296899,3919800
1999-02-10,7.273663,7.420841,7.049024,7.420841,3347400
1999-02-11,7.436332,8.079264,7.211693,8.025042,3963000
1999-02-12,7.839133,7.870117,7.374362,7.490555,3117000
1999-02-16,7.622239,7.792655,7.436331,7.498300,1341000
1999-02-17,7.490554,7.986309,7.436330,7.800400,2731800
1999-02-18,7.715193,8.427842,7.583509,8.327142,3072000
1999-02-19,8.420094,8.489810,8.241931,8.334886,2346000
1999-02-22,8.350380,9.233444,8.334887,8.946836,3884400
1999-02-23,8.985565,9.063027,8.776419,8.877119,1331400
1999-02-24,8.861628,8.923597,8.536288,8.536288,628200
1999-02-25,8.544036,8.544036,8.094758,8.141235,2208000
1999-02-26,8.210947,8.520794,8.148978,8.412348,1293000
1999-03-01,8.489813,8.505305,8.226443,8.319397,1173000
1999-03-02,8.353116,8.461598,8.105157,8.105157,1219800
1999-03-03,8.213643,8.314376,7.988930,8.159402,4330800
1999-03-04,8.260133,8.539087,8.182646,8.539087,2019000
1999-03-05,8.616578,8.740557,8.601080,8.709562,2251200
1999-03-08,8.670817,8.864535,8.539089,8.849037,2379000
1999-03-09,8.802542,8.856783,8.709557,8.771547,1824000
1999-03-10,8.833537,9.174480,8.787045,9.096993,2557800
1999-03-11,9.158985,9.298462,9.104744,9.259719,2247600
1999-03-12,9.275215,9.275215,8.771549,8.810292,1932600
1999-03-15,8.771551,9.011761,8.771551,8.918777,1648200
1999-03-16,8.942021,8.957519,8.849036,8.887780,2377200
1999-03-17,8.903277,8.903277,8.492595,8.500343,1195200
1999-03-18,8.531338,8.717307,8.407358,8.717307,1508400
1999-03-19,8.725053,8.725053,8.500339,8.694057,1127400
1999-03-22,8.391863,8.391863,7.857202,8.027674,8491200
1999-03-23,8.136156,8.198145,7.942437,8.027674,4760400
1999-03-24,8.120659,8.120659,7.919192,7.965684,1610400
1999-03-25,8.105159,8.167149,8.012174,8.074164,2650800
1999-03-26,8.050918,8.058667,7.795211,7.802959,1474800
1999-03-29,7.872696,8.027671,7.841702,7.864948,1226400
1999-03-30,7.903691,7.926937,7.702225,7.702225,1936200
1999-03-31,7.702227,7.826206,7.531755,7.624739,2178000
1999-04-01,7.655734,7.717724,7.531754,7.655734,1330800
1999-04-05,7.740968,7.880445,7.647983,7.864948,1285800
1999-04-06,7.903692,7.934687,7.771964,7.872697,1491600
1999-04-07,7.973431,8.229139,7.934688,8.120657,4210200
1999-04-08,8.229140,8.229140,7.950186,8.027674,2735400
1999-04-09,8.089664,8.089664,7.996679,8.050920,2345400
1999-04-12,7.965682,8.562333,7.965682,8.554585,5437800
1999-04-13,8.577832,8.639821,8.337621,8.415109,2268600
1999-04-14,8.469352,8.500346,8.275634,8.291131,2071200
1999-04-15,8.353119,8.360868,7.678981,7.841704,2904000
1999-04-16,7.895942,7.942434,7.655732,7.702225,1180800
