date,open,high,low,close,volume
1999-01-04,8.821657,8.890041,8.736176,8.787464,712218
1999-01-05,8.787464,8.821656,8.719079,8.753271,440688
1999-01-06,8.736174,8.821655,8.701982,8.821655,448399
1999-01-07,8.787465,8.821658,8.701984,8.736176,231079
1999-01-08,8.701978,8.753267,8.582304,8.616497,358600
1999-01-11,8.582304,8.599400,8.428438,8.531015,401068
1999-01-12,8.479731,8.599405,8.428442,8.496827,445907
1999-01-13,8.342958,8.531017,8.308766,8.479728,969158
1999-01-14,8.496825,8.496825,8.274573,8.360055,597272
1999-01-15,8.308768,8.496827,8.308768,8.496827,655042
1999-01-19,8.479729,8.565211,8.360056,8.445537,545907
1999-01-20,8.377152,8.531018,8.377152,8.411345,476038
1999-01-21,8.479731,8.599405,8.445539,8.513924,501661
1999-01-22,8.445536,8.684883,8.445536,8.565210,504152
1999-01-25,8.531021,8.770369,8.479732,8.701983,709609
1999-01-26,8.650693,8.753271,8.616501,8.667789,387189
1999-01-27,8.548117,8.548117,8.377154,8.377154,724792
1999-01-28,8.342955,8.445532,8.291666,8.394243,462040
1999-01-29,8.360059,8.411347,8.154904,8.274577,603559
1999-02-01,8.240381,8.240381,7.898457,7.915553,919810
1999-02-02,7.830070,8.001032,7.795878,7.966840,737011
1999-02-03,7.966841,8.103610,7.966841,8.018129,670463
1999-02-04,8.018129,8.069417,7.932648,7.966840,719929
1999-02-05,7.966841,8.035226,7.812975,7.812975,770107
1999-02-08,7.847166,7.864262,7.778781,7.847166,671056
1999-02-09,7.847165,7.881358,7.744588,7.761683,473310
1999-02-10,7.761687,7.847168,7.744591,7.778783,1312456
1999-02-11,7.813431,7.900054,7.553561,7.744133,532977
1999-02-12,7.709483,7.744132,7.414963,7.501587,270581
1999-02-16,7.518917,7.692164,7.518917,7.553566,493594
1999-02-17,7.518913,7.796108,7.449614,7.726810,1253737
1999-02-18,7.726810,7.865407,7.709485,7.726810,492289
1999-02-19,7.657511,7.674836,7.588213,7.605537,638909
1999-02-22,7.570887,7.726809,7.570887,7.674835,792527
1999-02-23,7.657509,7.726807,7.484262,7.518911,419217
1999-02-24,7.622860,7.640185,7.414964,7.449613,498339
1999-02-25,7.345669,7.466942,7.172423,7.259046,1020759
1999-02-26,7.259042,7.484262,7.207067,7.432288,918861
1999-03-01,7.397640,7.414964,7.155094,7.293692,459312
1999-03-02,7.311018,7.536240,7.293694,7.397642,824674
1999-03-03,7.397644,7.588215,7.397644,7.536242,437841
1999-03-04,7.518915,7.588214,7.432292,7.588214,983037
1999-03-05,7.640186,7.796108,7.640186,7.796108,483393
1999-03-08,7.778784,7.830758,7.640186,7.726810,1025623
1999-03-09,7.657511,7.709485,7.466939,7.466939,507829
1999-03-10,7.657509,7.761457,7.501587,7.501587,2149348
1999-03-11,7.536236,7.744133,7.536236,7.744133,1569158
1999-03-12,7.796109,7.969355,7.778784,7.848083,740451
1999-03-15,7.848084,7.934708,7.848084,7.882734,397628
1999-03-16,7.865407,7.934706,7.813433,7.848083,486833
1999-03-17,7.848084,7.882734,7.744136,7.761461,401661
1999-03-18,7.830762,7.952035,7.813437,7.934710,825030
1999-03-19,7.969360,7.969360,7.917386,7.934710,505338
1999-03-22,7.934708,7.986682,7.917383,7.986682,361447
1999-03-23,7.934708,7.952033,7.744136,7.761461,530486
1999-03-24,7.778782,8.107950,7.778782,8.055976,916251
