date,open,high,low,close,volume
1999-01-04,29.067667,29.897722,28.691792,29.067667,1847400
1999-01-05,29.349571,30.195289,29.318247,29.803751,937800
1999-01-06,30.571159,31.307245,30.571159,31.307245,1705800
1999-01-07,30.947049,31.714460,30.665143,31.683136,1539300
1999-01-08,32.074663,32.121647,30.712116,31.902386,2104200
1999-01-11,31.933731,32.027699,30.821766,31.698809,1203300
1999-01-12,31.698807,33.202307,31.683143,32.246956,1569900
1999-01-13,31.322910,32.544504,30.947035,32.168629,2035500
1999-01-14,32.168646,32.434889,31.777108,31.871077,1625100
1999-01-15,32.199960,32.826420,31.918053,32.685467,1712100
1999-01-19,32.685467,32.951710,32.325252,32.951710,1471500
1999-01-20,33.578168,35.081668,33.421552,33.828751,1817100
1999-01-21,33.766111,33.781772,32.716792,32.826424,967200
1999-01-22,32.575847,32.810769,32.184311,32.246956,1587300
1999-01-25,32.215627,32.654147,32.215627,32.544518,1184400
1999-01-26,32.293935,32.638489,31.698801,32.340919,975600
1999-01-27,32.403561,33.202295,32.262607,32.951710,1029900
1999-01-28,32.920401,33.061355,32.575847,32.732464,1118400
1999-01-29,32.669800,33.280596,32.669800,33.170967,1050900
1999-02-01,33.108335,33.437226,32.998703,33.014366,1072500
1999-02-02,32.638480,32.638480,30.947043,31.808422,2282100
1999-02-03,31.745794,31.745794,30.195309,30.947060,1627500
1999-02-04,30.947057,30.947057,29.318263,29.443556,1405200
1999-02-05,29.380898,29.803758,28.879733,28.926718,1258200
1999-02-08,29.087831,29.213208,28.429593,28.774384,1331700
1999-02-09,28.523624,28.586312,27.583285,27.881058,1283700
1999-02-10,27.787012,28.523612,27.363860,28.445250,1083900
1999-02-11,28.460935,30.231908,28.398246,29.949806,2402100
1999-02-12,29.887134,31.814831,29.714738,30.545372,1982100
1999-02-16,30.811777,31.281946,29.934129,30.090851,874200
1999-02-17,29.652028,30.529676,29.275892,29.275892,707100
1999-02-18,29.683381,30.451327,29.479642,30.075191,1006800
1999-02-19,30.435643,31.548379,30.200559,31.062538,1269900
1999-02-22,31.031195,32.943219,30.999849,32.441704,1585200
1999-02-23,32.504393,33.350699,32.175275,33.240993,1581900
1999-02-24,33.193981,33.570117,32.253641,32.347675,1353900
1999-02-25,32.222288,32.253633,30.341610,31.062538,2559300
1999-02-26,31.689437,32.723810,31.423006,32.002884,1491000
1999-03-01,31.814807,32.990231,31.814807,32.300648,1512000
1999-03-02,32.253637,33.695492,31.814813,33.240993,1344000
1999-03-03,33.178311,33.554446,32.441711,32.692467,1426200
1999-03-04,32.629790,33.538784,32.363360,33.303699,1129500
1999-03-05,33.601470,34.291050,33.538779,34.055965,1581600
1999-03-08,33.601466,33.899239,32.488730,33.429070,2247600
1999-03-09,33.444743,34.228361,33.256675,33.742519,1698000
1999-03-10,33.695508,34.212695,33.288026,34.071644,837900
1999-03-11,34.071641,34.087313,33.272352,33.366386,952800
1999-03-12,33.601472,33.914916,33.382058,33.758194,555900
1999-03-15,33.820864,34.055948,33.335023,33.491745,566400
1999-03-16,33.460422,33.460422,32.332014,32.598442,1154700
1999-03-17,32.598423,32.598423,31.893168,31.971531,441000
1999-03-18,32.379030,34.322397,32.253650,34.197018,1354200
1999-03-19,34.197006,34.479107,33.726836,33.836544,1567800
1999-03-22,33.852225,34.322395,33.695503,33.914913,886500
