date,open,high,low,close,volume
1999-01-04,10.180544,10.180544,9.327086,9.418528,293000
1999-01-05,9.540450,9.845257,9.540450,9.753815,136400
1999-01-06,9.753815,9.967179,9.753815,9.753815,132200
1999-01-07,9.631892,9.753815,9.570931,9.753815,159600
1999-01-08,9.875736,9.936698,9.753814,9.875736,176800
1999-01-11,9.814777,9.936700,9.570932,9.631893,132600
1999-01-12,9.509972,9.753817,9.174684,9.296607,127200
1999-01-13,9.022280,9.449010,8.656512,9.449010,242000
1999-01-14,9.418523,9.509964,8.808909,8.808909,235800
1999-01-15,8.808912,9.418525,8.808912,8.961315,167000
1999-01-19,9.144199,9.205160,8.961315,8.961315,120600
1999-01-20,9.083242,9.113723,8.869877,9.022281,188200
1999-01-21,9.022279,9.144202,8.656511,8.778434,135400
1999-01-22,8.686993,8.778435,8.351706,8.534590,179200
1999-01-25,8.565068,8.656510,8.168819,8.229780,212000
1999-01-26,8.290746,8.351707,8.107862,8.199304,227800
1999-01-27,7.071516,7.132477,6.035173,6.157095,3701600
1999-01-28,6.339978,6.705746,6.309498,6.675266,948200
1999-01-29,6.797191,7.315362,6.797191,7.315362,854200
1999-02-01,7.284881,7.284881,6.949594,6.949594,236800
1999-02-02,6.949593,6.949593,6.705748,6.736228,285200
1999-02-03,6.705748,6.827671,6.705748,6.827671,238200
1999-02-04,6.827672,7.071517,6.675268,6.797191,927200
1999-02-05,6.736227,6.797188,6.461901,6.492382,222200
1999-02-08,6.553344,6.705748,6.126615,6.157095,312600
1999-02-09,6.157096,6.218057,6.035173,6.096135,165400
1999-02-10,6.157097,6.157097,5.760848,5.821809,413600
1999-02-11,5.882769,6.065653,5.730366,5.730366,197800
1999-02-12,5.760849,6.035175,5.760849,6.035175,610000
1999-02-16,6.065653,6.339979,6.035173,6.157095,256200
1999-02-17,6.096136,6.187578,6.035175,6.065655,79200
1999-02-18,6.035175,6.096136,5.852291,6.035175,170600
1999-02-19,6.096135,6.400941,6.096135,6.339980,162400
1999-02-22,6.370461,6.644787,6.309500,6.614306,464800
1999-02-23,6.614307,7.010556,6.583826,7.010556,473800
1999-02-24,7.010555,7.071516,6.736229,6.827671,155800
1999-02-25,6.827672,7.071517,6.705749,6.797191,302000
1999-02-26,6.797189,7.467764,6.797189,7.132476,286000
1999-03-01,7.071515,7.193438,6.949592,7.132476,116400
