date,open,high,low,close,volume
1999-01-04,7.456208,7.654160,7.456208,7.577178,2028816
1999-01-05,7.577186,7.610178,7.412226,7.500205,1267190
1999-01-06,7.390227,7.775134,7.390227,7.709150,2372505
1999-01-07,7.665165,7.676163,7.456215,7.500205,3338246
1999-01-08,7.500199,7.500199,7.236262,7.445212,2950218
1999-01-11,7.489200,7.489200,7.258256,7.302246,2207220
1999-01-12,7.236264,7.357235,7.225267,7.280253,2629354
1999-01-13,7.258256,7.335237,7.225264,7.302246,5109688
1999-01-14,7.291252,7.313247,7.148287,7.170281,4111940
1999-01-15,7.181278,7.236265,7.148286,7.203273,2300357
1999-01-19,7.181276,7.192274,7.005319,7.038311,2961237
1999-01-20,7.038311,7.170280,7.038311,7.104296,2130873
1999-01-21,7.126292,7.247263,7.126292,7.170281,2353353
1999-01-22,7.159283,7.258260,7.126291,7.258260,1343536
1999-01-25,7.258256,7.280251,7.137286,7.159280,2048493
1999-01-26,7.159284,7.170281,7.060308,7.148287,3681673
1999-01-27,7.159283,7.170281,6.862355,6.917342,2540677
1999-01-28,6.917342,7.049310,6.829363,6.840360,1521415
1999-01-29,6.840361,6.840361,6.631412,6.796372,3266884
1999-02-01,6.862352,6.884347,6.730383,6.752378,3690855
1999-02-02,6.730382,6.807364,6.697390,6.774372,2875971
1999-02-03,6.796372,6.983327,6.774377,6.983327,2023831
1999-02-04,6.961328,6.961328,6.840358,6.906342,2437308
1999-02-05,7.016315,7.148284,6.983324,7.060305,2332364
1999-02-08,7.060307,7.115294,7.038313,7.082303,1887405
1999-02-09,7.082301,7.082301,6.939335,6.939335,2405825
1999-02-10,6.944217,7.110612,6.944217,7.110612,1307593
1999-02-11,7.099519,7.099519,6.933124,6.977496,2366209
1999-02-12,6.999682,7.110612,6.988589,7.044054,2359125
1999-02-16,7.044053,7.099518,7.032961,7.066239,1890291
1999-02-17,7.032961,7.077333,7.021868,7.055147,1521153
1999-02-18,7.055147,7.099519,7.055147,7.055147,3428235
1999-02-19,7.055147,7.066240,6.722357,6.722357,3986270
1999-02-22,6.766729,6.844380,6.738996,6.822194,3098188
1999-02-23,6.899843,6.899843,6.811099,6.866564,1223901
1999-02-24,6.844381,6.922032,6.844381,6.844381,1712150
1999-02-25,6.833286,6.910937,6.800007,6.888752,1087212
1999-02-26,6.877657,6.910936,6.822192,6.866564,1232821
1999-03-01,6.866564,6.899843,6.755634,6.899843,1563917
