date,open,high,low,close,volume
1999-01-04,7.753184,7.866646,7.753184,7.847735,196400
1999-01-05,7.809914,8.036837,7.809914,7.999016,71400
1999-01-06,8.017927,8.074657,7.923376,8.055747,98700
1999-01-07,8.074662,8.074662,7.904470,7.961201,57500
1999-01-08,8.017926,8.017926,7.904465,7.999016,79400
1999-01-11,7.999017,8.017927,7.904466,7.942286,112800
1999-01-12,7.942286,7.980106,7.904465,7.923376,121100
1999-01-13,7.885556,7.999018,7.809915,7.980107,129300
1999-01-14,7.961198,7.999018,7.866647,7.866647,96900
1999-01-15,7.866650,7.980111,7.866650,7.961201,40600
1999-01-19,8.112478,8.131388,7.942286,7.942286,106700
1999-01-20,7.942290,8.017931,7.923380,7.961201,74800
1999-01-21,7.885558,7.904468,7.791006,7.828827,76700
1999-01-22,7.809916,7.866646,7.753185,7.809916,102800
1999-01-25,7.791006,7.866647,7.753186,7.828827,39200
1999-01-26,7.791006,7.866646,7.696455,7.696455,66600
1999-01-27,7.715367,7.715367,7.488444,7.639726,207900
1999-01-28,7.601902,7.639723,7.564082,7.601902,68300
1999-01-29,7.582993,7.601904,7.526263,7.526263,148100
1999-02-01,7.564083,7.658634,7.545173,7.620813,392600
1999-02-02,7.620815,7.658636,7.545175,7.639726,231500
1999-02-03,7.639726,7.734277,7.620816,7.715367,126400
1999-02-04,7.658636,7.809918,7.658636,7.715367,183400
1999-02-05,7.753184,7.847735,7.677543,7.677543,212900
1999-02-08,7.677543,7.847735,7.658633,7.677543,78400
1999-02-09,7.677544,7.866646,7.677544,7.847735,137400
1999-02-10,7.809916,7.847737,7.772096,7.772096,82000
1999-02-11,7.791004,7.866645,7.753184,7.753184,69200
1999-02-12,7.828825,7.866646,7.753184,7.847735,340700
1999-02-16,7.809917,7.847737,7.809917,7.828827,96200
1999-02-17,7.828826,7.866646,7.809916,7.809916,142900
1999-02-18,7.809918,7.809918,7.677546,7.715367,187400
1999-02-19,7.753184,7.753184,7.658633,7.677543,80400
1999-02-22,7.658636,7.696457,7.620816,7.658636,80300
1999-02-23,7.582991,7.601901,7.412799,7.412799,314900
1999-02-24,7.412800,7.450620,7.374979,7.393889,98800
1999-02-25,7.356067,7.393888,7.280426,7.318247,99500
1999-02-26,7.374978,7.431709,7.374978,7.412799,127000
1999-03-01,7.374978,7.431709,7.280427,7.412799,78700
1999-03-02,7.412800,7.431710,7.374979,7.393889,98800
1999-03-03,7.431710,7.545171,7.393890,7.507351,189800
1999-03-04,7.526260,7.564080,7.412799,7.412799,46600
1999-03-05,7.431713,7.507353,7.412802,7.469533,26500
1999-03-08,7.507355,7.526265,7.431714,7.450624,32600
1999-03-09,7.507353,7.526263,7.412802,7.526263,75500
1999-03-10,7.507353,7.526264,7.431713,7.469533,207300
1999-03-11,7.488443,7.507353,7.412802,7.469533,115100
1999-03-12,7.450620,7.526261,7.450620,7.507351,56500
1999-03-15,7.507351,7.564082,7.469531,7.545172,69100
1999-03-16,7.545171,7.564082,7.488441,7.507351,84200
1999-03-17,7.469531,7.526261,7.469531,7.488441,118000
1999-03-18,7.507353,7.507353,7.469533,7.469533,73600
1999-03-19,7.469533,7.545174,7.450623,7.469533,206100
1999-03-22,7.488442,7.507352,7.431711,7.431711,82000
1999-03-23,7.412800,7.431710,7.356069,7.393889,196200
1999-03-24,7.412800,7.488441,7.337159,7.488441,364200
1999-03-25,7.488440,7.488440,7.337158,7.412799,150300
1999-03-26,7.412801,7.507352,7.393891,7.431711,75400
1999-03-29,7.379936,7.631086,7.379936,7.592447,250300
1999-03-30,7.592448,7.611767,7.534490,7.534490,108500
1999-03-31,7.553809,7.650405,7.495851,7.650405,77300
1999-04-01,7.689043,7.689043,7.476532,7.592447,62400
1999-04-05,7.553810,7.573129,7.476533,7.476533,51600
1999-04-06,7.495852,7.495852,7.437894,7.457213,41500
1999-04-07,7.457214,7.515171,7.418575,7.476533,75800
1999-04-08,7.476532,7.495851,7.437893,7.495851,76600
1999-04-09,7.476533,7.631087,7.457214,7.553810,86900
1999-04-12,7.573128,7.650405,7.534490,7.592447,154700
1999-04-13,7.592450,7.727684,7.592450,7.689046,101300
1999-04-14,7.689042,7.920873,7.689042,7.901554,236200
1999-04-15,7.901555,8.036790,7.882236,8.036790,185100
1999-04-16,8.036791,8.365218,8.036791,8.326579,163900
