date,open,high,low,close,volume
1999-01-04,1.473568,1.488986,1.460352,1.471365,11232000
1999-01-05,1.475771,1.477973,1.458149,1.464758,11595600
1999-01-06,1.473567,1.535241,1.471364,1.533038,9693000
1999-01-07,1.526431,1.528634,1.504405,1.519823,8438400
1999-01-08,1.519823,1.603524,1.517621,1.581498,9705600
1999-01-11,1.581497,1.594713,1.555065,1.559470,7718400
1999-01-12,1.550659,1.561673,1.497796,1.499998,6591600
1999-01-13,1.488986,1.504404,1.462554,1.469162,10004400
1999-01-14,1.469162,1.471365,1.431717,1.451541,8697600
1999-01-15,1.458149,1.464757,1.420704,1.440528,9363600
1999-01-19,1.444933,1.444933,1.378854,1.394272,11687400
1999-01-20,1.394272,1.394272,1.341408,1.356827,19006200
1999-01-21,1.339206,1.361233,1.292951,1.359030,33820200
1999-01-22,1.367841,1.418502,1.367841,1.409691,14891400
1999-01-25,1.409691,1.418501,1.376651,1.378854,11118600
1999-01-26,1.387664,1.422907,1.381056,1.405286,6242400
1999-01-27,1.405286,1.409691,1.332598,1.332598,6181200
1999-01-28,1.334801,1.352422,1.268722,1.284140,12720600
1999-01-29,1.321585,1.418501,1.310572,1.418501,12355200
1999-02-01,1.414097,1.414097,1.359030,1.376652,6656400
1999-02-02,1.376652,1.460352,1.376652,1.416299,16720200
1999-02-03,1.411893,1.466960,1.398678,1.440528,12430800
1999-02-04,1.444933,1.480175,1.442731,1.466960,17658000
1999-02-05,1.469162,1.504405,1.466960,1.491188,13676400
1999-02-08,1.491189,1.493392,1.429515,1.433921,8915400
1999-02-09,1.436123,1.449338,1.407488,1.440528,6548400
1999-02-10,1.444933,1.451541,1.436123,1.442731,10042200
1999-02-11,1.442731,1.480176,1.442731,1.471365,12191400
1999-02-12,1.471365,1.473568,1.427312,1.436123,7608600
1999-02-16,1.427312,1.447136,1.420704,1.447136,9936000
1999-02-17,1.444933,1.493391,1.431717,1.444933,16084800
1999-02-18,1.444933,1.444933,1.396475,1.411893,10983600
1999-02-19,1.411894,1.420704,1.403084,1.414097,9919800
1999-02-22,1.453745,1.466960,1.431718,1.438326,6942600
1999-02-23,1.424568,1.466728,1.417911,1.422349,8415000
1999-02-24,1.424568,1.433444,1.413474,1.417911,7464600
1999-02-25,1.406817,1.406817,1.391284,1.402378,9838800
1999-02-26,1.402378,1.413473,1.386846,1.393503,7806600
1999-03-01,1.380189,1.397941,1.362437,1.395722,7808400
1999-03-02,1.386846,1.389064,1.329153,1.364656,10299600
1999-03-03,1.373532,1.375751,1.322495,1.364656,6926400
1999-03-04,1.384627,1.402378,1.375751,1.397940,6948000
1999-03-05,1.393503,1.402378,1.384627,1.402378,4752000
1999-03-08,1.393503,1.393503,1.338029,1.353562,8134200
1999-03-09,1.353562,1.384627,1.338029,1.353562,6004800
1999-03-10,1.335810,1.355780,1.333591,1.342466,11143800
1999-03-11,1.344686,1.375751,1.342466,1.349123,7027200
1999-03-12,1.355780,1.362437,1.342466,1.346904,4554000
1999-03-15,1.333591,1.400159,1.333591,1.397940,12537000
1999-03-16,1.397941,1.404598,1.369094,1.395722,7111800
1999-03-17,1.391283,1.397940,1.344685,1.344685,8604000
1999-03-18,1.349123,1.382408,1.340248,1.382408,4647600
1999-03-19,1.382408,1.384627,1.346905,1.362437,8692200
1999-03-22,1.364657,1.380189,1.331372,1.331372,5504400
1999-03-23,1.329153,1.346905,1.286993,1.304745,7518600
1999-03-24,1.313621,1.313621,1.278117,1.295869,14270400
1999-03-25,1.295869,1.342467,1.295869,1.322496,7500600
1999-03-26,1.313621,1.342467,1.304745,1.331372,7954200
1999-03-29,1.351342,1.380189,1.351342,1.366875,7734600
1999-03-30,1.366876,1.382408,1.360219,1.375752,8290800
1999-03-31,1.384627,1.397941,1.355781,1.382408,11786400
1999-04-01,1.400159,1.400159,1.351342,1.386845,9178200
1999-04-05,1.377970,1.400160,1.377970,1.391284,7257600
1999-04-06,1.391283,1.393503,1.364656,1.373532,9907200
1999-04-07,1.366876,1.380189,1.351343,1.375752,4921200
1999-04-08,1.373532,1.380189,1.326934,1.377970,5567400
1999-04-09,1.369094,1.373532,1.335810,1.338029,3441600
1999-04-12,1.333591,1.346905,1.311401,1.342466,6951600
1999-04-13,1.342467,1.344686,1.306964,1.318058,5781600
1999-04-14,1.309182,1.417911,1.309182,1.402378,19092600
1999-04-15,1.402378,1.524421,1.400160,1.511107,23846400
1999-04-16,1.513327,1.579895,1.508889,1.546611,14508000
1999-04-19,1.562143,1.681966,1.562143,1.617617,16623000
1999-04-20,1.622055,1.624274,1.551048,1.588771,16536600
1999-04-21,1.579894,1.597646,1.539953,1.566581,7794000
1999-04-22,1.544392,1.548830,1.524421,1.533297,5225400
1999-04-23,1.524422,1.551049,1.475605,1.482261,8870400
1999-04-26,1.473385,1.562143,1.462290,1.537735,9322200
1999-04-27,1.562143,1.622054,1.559924,1.617617,10459800
1999-04-28,1.617617,1.746317,1.617617,1.730784,13057200
1999-04-29,1.766288,1.792915,1.746317,1.757412,11995200
1999-04-30,1.784039,1.788476,1.737440,1.748535,11264400
1999-05-03,1.746317,1.835075,1.744098,1.835075,10785600
1999-05-04,1.839512,1.914957,1.839512,1.897205,17107200
1999-05-05,1.881672,1.885001,1.835075,1.866140,17145000
1999-05-06,1.863922,1.863922,1.795134,1.823981,13244400
1999-05-07,1.823980,1.832856,1.739660,1.775163,22752000
1999-05-10,1.770725,1.795133,1.735222,1.752974,9610200
1999-05-11,1.792915,1.797352,1.761849,1.779600,12778200
1999-05-12,1.777382,1.792915,1.770725,1.775163,6994800
1999-05-13,1.770725,1.781820,1.748536,1.757412,4368600
1999-05-14,1.757411,1.759630,1.713032,1.730784,6202800
1999-05-17,1.708594,1.710813,1.677529,1.677529,9072000
1999-05-18,1.686406,1.710814,1.650902,1.710814,12859200
1999-05-19,1.719689,1.770725,1.713032,1.730784,8431200
1999-05-20,1.766286,1.788476,1.755192,1.761848,5610600
1999-05-21,1.765868,1.806052,1.752473,1.770333,9228600
1999-05-24,1.779261,1.794889,1.761402,1.772564,8028000
1999-05-25,1.772564,1.794890,1.723451,1.723451,7851600
1999-05-26,1.723452,1.723452,1.669872,1.703359,19564200
1999-05-27,1.698893,1.707823,1.625223,1.645315,8827200
1999-05-28,1.678802,1.694430,1.643084,1.676570,4489200
1999-06-01,1.674338,1.712289,1.672105,1.712289,7221600
1999-06-02,1.712288,1.716753,1.674337,1.696661,6456600
1999-06-03,1.692196,1.705592,1.645315,1.669872,7405200
1999-06-04,1.674337,1.723451,1.674337,1.723451,2926800
1999-06-07,1.716755,1.736847,1.692197,1.712289,2701800
1999-06-08,1.727917,1.748009,1.694430,1.712289,5283000
1999-06-09,1.710057,1.732381,1.683268,1.689965,2017800
1999-06-10,1.689965,1.712289,1.669873,1.698895,2719800
1999-06-11,1.685499,1.710056,1.580574,1.602899,7727400
1999-06-14,1.643083,1.707824,1.634153,1.681034,10854000
1999-06-15,1.667640,1.707824,1.667640,1.703359,7185600
1999-06-16,1.694429,1.710056,1.616293,1.631920,4536000
1999-06-17,1.622991,1.654245,1.609596,1.625223,5009400
1999-06-18,1.652012,1.678802,1.629688,1.634153,9603000
1999-06-21,1.625223,1.634153,1.607364,1.616293,6138000
1999-06-22,1.609596,1.636385,1.602899,1.622991,4476600
1999-06-23,1.625223,1.625223,1.600666,1.609596,6071400
