date,open,high,low,close,volume
1999-01-04,34.484173,34.484173,33.114763,34.453049,751500
1999-01-05,33.923960,34.857647,33.923960,34.857647,529350
1999-01-06,34.608662,35.044384,34.359679,35.044384,533400
1999-01-07,34.857650,35.604599,34.484175,35.511230,203400
1999-01-08,35.729096,35.978081,34.390812,35.853588,391200
1999-01-11,34.359686,35.293373,33.114769,33.425999,914850
1999-01-12,33.270384,34.235193,33.270384,33.628296,681300
1999-01-13,32.865785,33.861717,32.616803,33.861717,425100
1999-01-14,34.048455,34.608667,33.114768,34.204071,709650
1999-01-15,33.986215,35.293377,33.612740,35.200008,344550
1999-01-19,35.480110,35.604603,34.359686,35.604603,340050
1999-01-20,35.604601,36.289303,35.106634,36.102566,472950
1999-01-21,35.729100,36.227067,35.355625,35.542362,492300
1999-01-22,35.355605,36.725014,35.355605,36.351540,471600
1999-01-25,36.600530,37.969937,36.351548,37.907692,465000
1999-01-26,37.347476,38.405656,36.413790,37.845444,444450
1999-01-27,38.063314,39.028125,37.347488,37.347488,584400
1999-01-28,37.596461,38.467903,37.285234,38.374535,330450
1999-01-29,37.969937,38.685765,37.285235,37.876568,749400
1999-02-01,37.783210,38.965882,36.974015,38.592407,796650
1999-02-02,38.530149,38.716887,37.720955,37.720955,606450
1999-02-03,38.111760,38.829671,37.612342,38.704819,374100
1999-02-04,38.704813,38.704813,36.956852,37.081707,470250
1999-02-05,37.331411,37.737188,36.082870,36.925636,295350
1999-02-08,37.331407,37.456262,35.708304,36.114079,469200
1999-02-09,36.332578,38.954517,35.489812,35.958015,893700
1999-02-10,36.707139,38.455098,35.708307,35.770733,436500
1999-02-11,35.708304,38.361454,35.208886,38.361454,396000
1999-02-12,37.393833,38.455092,34.959177,35.177670,509850
1999-02-16,36.707153,36.956861,35.833173,36.707153,756450
1999-02-17,36.457433,36.894422,35.458598,35.833160,570450
1999-02-18,36.207717,36.457427,35.208884,35.458591,480300
1999-02-19,35.458591,35.583447,34.709466,35.021603,492600
1999-02-22,35.333743,36.644712,33.835492,36.582283,684450
1999-02-23,36.332569,36.707132,35.208881,36.457424,613200
1999-02-24,36.207715,36.457425,34.834320,34.959175,524550
1999-02-25,35.458594,36.270148,34.771897,36.082867,547200
1999-02-26,36.332569,36.582276,34.584611,35.333736,340200
1999-03-01,35.833163,36.207725,35.271319,35.895592,239550
1999-03-02,35.958026,36.238948,35.458608,35.645889,499950
1999-03-03,35.895585,35.895585,35.302527,35.521023,411300
1999-03-04,35.396170,36.207722,35.364956,36.176510,779250
1999-03-05,36.332581,36.551077,34.615834,35.208893,592200
1999-03-08,35.458598,36.457433,35.146464,36.395004,805350
1999-03-09,36.457435,36.457435,35.458599,35.708309,555300
1999-03-10,35.583455,35.895592,35.489815,35.895592,462000
1999-03-11,35.958017,36.332579,35.333746,35.708309,350850
1999-03-12,35.708313,35.708313,34.740692,34.740692,288450
1999-03-15,35.084034,35.645878,34.740686,35.614666,575550
1999-03-16,35.084026,35.458589,33.897912,34.522182,707550
1999-03-17,34.522192,34.522192,33.710641,34.303699,730650
