date,open,high,low,close,volume
1999-01-04,0.588973,0.617821,0.564933,0.576953,3513600
1999-01-05,0.552913,0.591377,0.548106,0.591377,4123200
1999-01-06,0.610608,0.627437,0.596185,0.598589,1723200
1999-01-07,0.591377,0.605801,0.576953,0.586569,2443200
1999-01-08,0.605801,0.610608,0.593781,0.603397,2409600
1999-01-11,0.617821,0.644265,0.608205,0.637052,3830400
1999-01-12,0.634648,0.643063,0.581761,0.581761,1180800
1999-01-13,0.504834,0.598589,0.504834,0.579357,6172800
1999-01-14,0.576953,0.596184,0.572145,0.596184,1286400
1999-01-15,0.596185,0.625032,0.586569,0.625032,1968000
1999-01-19,0.639456,0.673112,0.629841,0.653880,4099200
1999-01-20,0.675516,0.682728,0.663496,0.675516,2443200
1999-01-21,0.668304,0.694748,0.656285,0.691142,2414400
1999-01-22,0.663496,0.709171,0.651476,0.709171,3052800
1999-01-25,0.697151,0.798118,0.692344,0.764463,9422400
1999-01-26,0.769271,0.769271,0.747635,0.750039,5985600
1999-01-27,0.778887,0.783694,0.742828,0.752443,3504000
1999-01-28,0.764463,0.769271,0.752443,0.759655,1828800
1999-01-29,0.762059,0.762059,0.747635,0.747635,1680000
1999-02-01,0.762059,0.769271,0.747635,0.750039,2073600
1999-02-02,0.732010,0.747635,0.697151,0.735615,4924800
1999-02-03,0.733211,0.733211,0.723595,0.723595,1516800
1999-02-04,0.733211,0.733211,0.711575,0.721191,643200
1999-02-05,0.725999,0.735615,0.713980,0.730808,2956800
1999-02-08,0.735615,0.759655,0.730808,0.742828,6081600
1999-02-09,0.754847,0.757251,0.735615,0.742828,3681600
1999-02-10,0.754847,0.875046,0.745232,0.846198,12009600
1999-02-11,0.884661,0.889470,0.846198,0.846198,9696000
1999-02-12,0.846198,0.855814,0.817351,0.851006,2731200
1999-02-16,0.855813,0.923125,0.822158,0.822158,7286400
1999-02-17,0.805330,0.817350,0.730808,0.747635,14769600
1999-02-18,0.769271,0.769271,0.721191,0.735615,17942400
1999-02-19,0.725999,0.740423,0.716384,0.740423,4521600
1999-02-22,0.742828,0.814947,0.730808,0.795714,1737600
1999-02-23,0.814947,0.822158,0.788503,0.814947,1531200
1999-02-24,0.817351,0.875046,0.817351,0.851006,5438400
1999-02-25,0.838986,0.870237,0.829371,0.870237,2304000
1999-02-26,0.870237,0.870237,0.822158,0.826966,3182400
1999-03-01,0.823360,0.824562,0.738019,0.757252,6950400
1999-03-02,0.762059,0.771675,0.752443,0.757252,5155200
1999-03-03,0.764463,0.764463,0.742828,0.745231,12547200
1999-03-04,0.742828,0.757251,0.668304,0.692344,7795200
1999-03-05,0.700758,0.738019,0.689940,0.711575,2217600
1999-03-08,0.713980,0.713980,0.685132,0.695949,5539200
1999-03-09,0.677920,0.735615,0.670709,0.709171,9518400
1999-03-10,0.725999,0.817350,0.706767,0.783694,5472000
1999-03-11,0.807734,0.807734,0.747635,0.759655,10056000
1999-03-12,0.757251,0.769271,0.704364,0.725999,2822400
1999-03-15,0.704364,0.730808,0.704364,0.725999,1459200
1999-03-16,0.711575,0.733211,0.697151,0.725999,2707200
1999-03-17,0.709172,0.728404,0.691142,0.711575,2745600
1999-03-18,0.694748,0.713980,0.665900,0.665900,6124800
1999-03-19,0.661092,0.665900,0.557722,0.572145,48158400
1999-03-22,0.566135,0.572146,0.526470,0.543298,13132800
1999-03-23,0.543298,0.544500,0.451946,0.488006,18312000
1999-03-24,0.490410,0.576953,0.454351,0.540894,37113600
1999-03-25,0.563731,0.586569,0.550509,0.576953,15624000
1999-03-26,0.562529,0.578155,0.552913,0.566135,2764800
1999-03-29,0.564933,0.603397,0.564933,0.600993,6427200
1999-03-30,0.596185,0.598590,0.536086,0.548106,5265600
1999-03-31,0.540894,0.548105,0.528874,0.533682,8016000
1999-04-01,0.536085,0.537287,0.483199,0.490410,3979200
1999-04-05,0.471179,0.495218,0.459159,0.495218,4915200
1999-04-06,0.495218,0.495218,0.451946,0.451946,3225600
1999-04-07,0.450744,0.450744,0.375020,0.389443,7420800
1999-04-08,0.389443,0.442331,0.389443,0.427907,7368000
1999-04-09,0.433917,0.437523,0.384636,0.394251,5308800
