date,open,high,low,close,volume
1999-01-04,19.268014,19.508864,18.435986,18.633045,2017600
1999-01-05,18.633050,18.633050,18.129454,18.129454,2196800
1999-01-06,18.348414,19.005278,18.326518,18.786324,2546000
1999-01-07,18.523570,18.654943,18.151347,18.260824,2438800
1999-01-08,18.348405,18.370301,17.822914,17.910496,2259000
1999-01-11,17.866707,18.238930,17.297424,17.582066,2791000
1999-01-12,17.735334,17.735334,17.144156,17.385006,1900400
1999-01-13,16.925205,17.844815,16.903309,17.669651,2945600
1999-01-14,17.735340,17.735340,16.574879,17.209848,7050400
1999-01-15,17.494480,17.582062,17.275526,17.450689,2547400
1999-01-19,17.363114,17.516383,16.552982,16.771936,3594200
1999-01-20,16.879965,17.691081,16.814199,17.296484,2803400
1999-01-21,17.449932,17.997982,17.428010,17.559542,2028800
1999-01-22,17.581466,17.888374,17.449933,17.800686,1635000
1999-01-25,17.844535,17.932223,17.493783,17.625315,1970000
1999-01-26,17.713002,18.019910,17.449937,17.603392,2365400
1999-01-27,17.756848,18.392587,17.756848,18.370665,2554200
1999-01-28,18.414512,18.699498,18.129525,18.436434,2343600
1999-01-29,18.567960,19.203699,18.217208,19.203699,1655800
1999-02-01,19.116019,19.159863,18.874876,19.006409,1407200
1999-02-02,19.072161,19.116005,18.831018,19.028316,1660400
1999-02-03,18.940643,19.028331,18.458358,18.809111,3393600
1999-02-04,18.787187,18.831031,18.348746,18.567966,1632400
1999-02-05,18.480271,18.524115,18.304895,18.502193,1297200
1999-02-08,18.436430,18.458352,18.151444,18.239132,1170400
1999-02-09,18.019905,18.085671,17.712997,17.734919,1268800
1999-02-10,17.756851,18.436434,17.603396,18.436434,1779400
1999-02-11,18.261048,18.852943,18.217204,18.633722,1694600
1999-02-12,18.633722,18.940631,18.502190,18.633722,1232200
1999-02-16,18.940639,19.488690,18.940639,19.422924,1772800
1999-02-17,19.291386,19.707904,18.458349,18.852945,2634800
1999-02-18,18.765258,19.028323,18.436428,18.677570,2347800
1999-02-19,18.589884,18.611806,18.085678,18.239132,2118200
1999-02-22,18.326812,19.050239,18.326812,19.028316,2562000
1999-02-23,19.159856,19.576375,18.984480,19.554453,1875800
1999-02-24,19.773669,20.475174,19.751747,19.795591,2002800
1999-02-25,19.510614,19.510614,18.567966,18.567966,3350000
1999-02-26,19.116013,19.116013,18.282975,18.589884,3853200
1999-03-01,18.502189,18.524111,17.888372,17.888372,2924400
1999-03-02,17.932226,18.414511,17.932226,18.304901,6106800
1999-03-03,18.304891,18.326813,17.822606,17.888372,3141600
1999-03-04,17.954142,17.997986,17.296481,17.712999,5643800
1999-03-05,18.239128,18.414504,17.449935,17.712999,4274600
1999-03-08,17.800684,17.954138,17.406088,17.888372,2954400
1999-03-09,17.713008,17.976073,17.471866,17.537632,2814400
1999-03-10,17.800685,17.954139,17.537621,17.822607,4671000
1999-03-11,18.063759,18.589888,17.822616,18.304901,2984200
1999-03-12,18.326826,18.589891,17.186880,18.326826,8838400
1999-03-15,18.282974,18.567960,17.274560,17.581469,4059800
1999-03-16,17.625325,18.085688,17.625325,18.041843,2955600
1999-03-17,17.954144,18.107598,17.603391,17.954144,2096000
1999-03-18,17.888373,18.282969,17.559542,17.734919,2540800
1999-03-19,17.888379,17.888379,17.033420,17.296484,4185600
1999-03-22,17.143026,17.230714,16.441521,17.011494,4414000
1999-03-23,17.033427,17.033427,16.266156,16.397688,4550200
1999-03-24,16.616900,16.616900,15.783863,15.959239,7718400
1999-03-25,16.090774,17.274564,16.068852,17.186876,6906000
1999-03-26,17.186870,17.406090,16.967650,17.055338,2513800
1999-03-29,17.230714,17.340324,16.836117,17.011494,2274000
1999-03-30,17.011498,17.208796,16.858044,17.143030,2282800
1999-03-31,17.625313,17.625313,16.485367,16.660744,2660800
1999-04-01,16.660745,16.726511,15.871552,15.893474,4201000
1999-04-05,15.893480,15.937324,14.709690,15.608494,9230600
1999-04-06,15.608486,16.134614,15.257733,16.003082,4770800
1999-04-07,16.397679,16.551134,15.893473,16.178459,5523800
1999-04-08,17.011497,17.121108,16.638823,16.967653,4532200
1999-04-09,17.033421,17.252641,17.033421,17.164953,2849000
1999-04-12,16.989573,17.186871,16.967651,17.121105,3020200
1999-04-13,17.011502,17.011502,16.397685,16.616905,2730400
1999-04-14,16.660755,16.726521,16.353847,16.375769,1895400
1999-04-15,16.375763,16.397685,15.323505,15.783868,4744800
1999-04-16,15.630411,15.696177,14.906984,15.082360,5862000
1999-04-19,15.082364,15.126208,13.679354,14.205482,5752400
1999-04-20,14.030100,14.775449,13.898568,14.402775,5823400
1999-04-21,14.664637,15.520806,14.620731,15.301275,5012600
1999-04-22,15.630563,15.893999,15.411032,15.740328,4582800
1999-04-23,15.806185,16.047668,15.411030,16.047668,3738400
1999-04-26,16.113534,16.618454,15.894003,16.530642,5879400
1999-04-27,17.057515,17.650248,16.772126,17.650248,5231400
1999-04-28,17.781965,18.023449,16.947750,17.013609,4351600
1999-04-29,17.013606,17.540479,16.574545,16.574545,3911000
1999-04-30,16.618455,17.101422,16.267206,16.728220,2838800
1999-05-03,16.750166,17.364851,16.728213,17.364851,2273400
1999-05-04,17.518525,17.584384,16.398920,16.486732,2265000
1999-05-05,16.574544,16.684309,15.915953,16.157436,2475800
1999-05-06,16.179387,16.508683,15.872044,16.442823,2490000
1999-05-07,16.486736,17.013609,16.464783,16.925797,2335600
1999-05-10,16.903841,17.079465,15.937907,16.355015,2214000
1999-05-11,16.442828,16.684312,15.586660,15.784237,2988800
1999-05-12,15.718380,15.981817,15.103695,15.718380,2988400
1999-05-13,15.806192,16.135488,15.630568,15.718380,2876000
1999-05-14,15.367122,16.047666,15.323216,15.981807,2503200
1999-05-17,16.333061,16.508685,15.520798,16.157436,2244600
1999-05-18,16.508687,16.925795,16.442828,16.618452,3679800
1999-05-19,16.640407,16.969703,16.530642,16.925797,2451600
1999-05-20,17.123379,17.584393,17.079472,17.430721,3378600
1999-05-21,17.518533,17.540487,17.320956,17.430721,2217000
1999-05-24,17.430713,17.738055,17.408760,17.540478,2876200
1999-05-25,17.606335,17.628288,17.189228,17.320946,3599200
1999-05-26,17.167271,17.189224,16.816023,17.035553,2561000
1999-05-27,16.859938,16.859938,16.223300,16.333065,2563000
1999-05-28,16.376967,16.376967,16.091577,16.157436,1762400
1999-06-01,16.091579,16.245251,15.696425,16.245251,2100200
1999-06-02,16.223295,16.245248,15.718375,16.135483,1833600
1999-06-03,16.135484,16.684310,16.091578,16.574545,2376800
1999-06-04,17.123376,17.650249,17.013610,17.386812,2677000
1999-06-07,17.298997,17.452668,17.211185,17.255091,1602000
1999-06-08,17.167266,17.452655,16.837970,16.969688,3919000
1999-06-09,16.816032,16.947750,16.157441,16.179394,2837200
1999-06-10,16.069626,16.772123,16.069626,16.596498,1525600
1999-06-11,16.684307,16.837978,16.464776,16.750166,2404200
1999-06-14,16.728213,16.837979,16.398918,16.464777,934800
1999-06-15,16.442827,16.859935,16.245250,16.596498,1918600
1999-06-16,16.772126,17.584388,16.772126,17.496576,1258000
1999-06-17,17.408768,18.221031,17.211191,18.221031,2394800
1999-06-18,18.221021,18.396646,18.023444,18.286880,2763800
1999-06-21,18.462506,18.550318,18.264929,18.264929,2155000
1999-06-22,18.264934,18.264934,17.847826,18.155169,2068400
1999-06-23,18.089309,18.440558,18.023450,18.155169,1587600
1999-06-24,18.177121,18.177121,17.342905,17.650248,1827200
1999-06-25,17.913685,18.352746,17.869779,18.155169,1835400
1999-06-28,18.177121,18.769854,18.045403,18.616182,2080400
1999-06-29,18.440553,18.440553,18.023445,18.264929,3206600
1999-06-30,18.242976,18.396648,17.716103,17.825869,3318400
1999-07-01,17.738055,17.957585,17.694149,17.913679,2121800
1999-07-02,17.913685,17.913685,17.452672,17.628296,1386800
1999-07-06,17.562425,17.672191,16.903834,16.947741,3029400
1999-07-07,16.903834,17.474613,16.728210,17.474613,3305000
1999-07-08,17.408770,17.803924,17.189239,17.562441,1690600
1999-07-09,17.540479,17.628291,17.211183,17.342901,1307000
1999-07-12,17.650248,17.781966,17.364858,17.650248,1980200
1999-07-13,17.650243,18.023444,17.540477,17.913679,2249200
1999-07-14,17.650243,17.781961,17.386806,17.540478,1531600
1999-07-15,17.628289,17.672195,17.408759,17.672195,2038600
1999-07-16,17.781966,18.067356,17.606342,17.979544,1603000
1999-07-19,17.979545,17.979545,17.606343,17.628296,830200
1999-07-20,17.560773,17.626708,17.209118,17.275053,1166400
1999-07-21,17.297039,17.538802,16.901427,17.187147,1914800
1999-07-22,17.187137,17.187137,16.527784,16.637676,3627600
1999-07-23,16.549768,16.879445,16.549768,16.659660,1863400
1999-07-26,16.483824,17.011307,16.461846,16.967350,2183000
1999-07-27,16.989335,17.472860,16.681636,16.791529,2976400
1999-07-28,17.099222,18.220122,16.989330,17.846489,4882200
1999-07-29,17.846495,17.956387,17.362969,17.758581,3043000
1999-07-30,17.780553,17.824509,17.384941,17.494833,1800000
1999-08-02,17.143186,17.824518,17.143186,17.406927,2078800
1999-08-03,17.582755,17.582755,17.253078,17.362970,3108000
1999-08-04,17.231096,17.253075,16.000304,16.483829,6964600
1999-08-05,16.483839,16.527796,16.132184,16.351969,2736800
1999-08-06,16.351959,16.593722,16.329980,16.527786,2519400
1999-08-09,16.483829,16.571743,16.417894,16.483829,1705600
1999-08-10,16.483829,16.571743,16.198110,16.527786,2607600
1999-08-11,16.703615,16.703615,15.912391,15.912391,3950800
1999-08-12,15.846458,16.088220,15.736565,15.824479,3256800
1999-08-13,15.846448,15.868426,15.406879,15.560728,3788000
1999-08-16,15.736564,16.044262,15.648650,15.780520,1705200
1999-08-17,15.780520,15.912391,15.011275,15.780520,3847600
1999-08-18,15.648653,15.692610,15.318976,15.428868,2865600
1999-08-19,15.318974,15.516780,15.253039,15.384910,1566400
1999-08-20,15.450852,15.648658,15.362938,15.648658,3036200
1999-08-23,15.604696,15.824480,15.318976,15.428868,2114200
1999-08-24,15.428868,15.428868,14.747536,15.011277,3961600
1999-08-25,15.099193,15.143150,14.593689,14.681602,5856600
1999-08-26,14.835442,15.340946,14.725550,15.187097,7632200
1999-08-27,15.121167,15.384908,15.121167,15.231059,3044200
1999-08-30,15.121165,15.253035,14.945337,15.033251,2027800
1999-08-31,15.121170,15.187105,14.593687,14.659622,4010000
1999-09-01,14.769511,14.857425,14.505770,14.703576,2989800
1999-09-02,14.439836,14.439836,14.066203,14.220052,4649000
1999-09-03,14.329946,14.527752,14.066204,14.242032,4993600
1999-09-07,14.242030,14.242030,13.890375,13.934332,4079600
1999-09-08,13.494766,13.956313,13.494766,13.670593,6034800
1999-09-09,13.494763,13.538720,13.099151,13.274979,8610800
1999-09-10,13.406847,14.198071,13.340912,14.044222,8705000
1999-09-13,13.934335,14.329947,13.890378,14.066206,5178000
1999-09-14,14.088179,14.307963,14.000265,14.132135,3764400
1999-09-15,14.483788,14.791486,14.439831,14.571702,4464800
1999-09-16,14.593684,14.681597,14.264007,14.483791,3165600
1999-09-17,14.417858,14.571708,14.307966,14.307966,3041400
1999-09-20,14.329945,14.461815,14.176096,14.307966,2028000
1999-09-21,14.373900,14.417857,13.626633,13.714547,5577400
1999-09-22,13.670591,13.824440,13.450806,13.824440,3804800
1999-09-23,13.670596,13.714553,13.406854,13.516747,2677400
1999-09-24,13.758502,14.505769,13.714545,14.132135,3671800
1999-09-27,14.307963,14.329942,13.978287,14.044222,1809000
1999-09-28,13.868397,13.956311,13.362893,13.824440,2373200
1999-09-29,14.307967,14.461816,14.022247,14.198074,2357400
1999-09-30,14.285981,14.395873,14.176089,14.351916,2573800
1999-10-01,14.373905,14.461818,13.362896,13.362896,3243400
1999-10-04,13.406850,13.516742,12.879367,13.077173,4911400
1999-10-05,13.362897,13.538725,12.967285,13.033220,3162000
1999-10-06,14.066209,15.582722,13.978295,15.406895,11293600
1999-10-07,15.340953,15.340953,14.307966,14.307966,5701600
1999-10-08,14.417859,15.099191,14.417859,15.055234,5252600
1999-10-11,15.055232,15.253038,14.791490,14.879404,3462000
1999-10-12,14.857420,14.857420,14.307959,14.461808,2037600
1999-10-13,14.417855,14.505768,14.198070,14.285984,1780800
1999-10-14,14.285985,14.835446,14.285985,14.637640,2909400
1999-10-15,14.637636,14.637636,14.132132,14.505765,2714400
1999-10-18,14.505766,14.527745,14.132133,14.417852,1614200
1999-10-19,14.571700,15.011269,14.527744,14.813463,3187000
1999-10-20,14.811885,15.450138,14.811885,15.450138,2698800
1999-10-21,15.406124,15.846299,15.274071,15.802281,2851800
1999-10-22,15.846292,16.374502,15.824284,16.110397,3185800
1999-10-25,16.242451,16.286468,15.692232,16.000355,2405000
1999-10-26,15.890307,15.890307,14.987949,15.318080,2280800
1999-10-27,13.557386,13.843499,13.205246,13.733456,17538400
1999-10-28,14.239656,14.349700,14.019569,14.217648,7129200
1999-10-29,14.591788,15.472137,14.481744,15.296067,6281200
1999-11-01,15.296073,15.318082,14.063584,14.212143,5948200
1999-11-02,13.997558,14.239654,13.315287,13.865505,10456800
1999-11-03,13.865509,14.019571,13.645422,13.645422,4037200
1999-11-04,13.931533,13.997559,13.403323,13.491358,4241200
1999-11-05,13.469356,13.645426,13.029181,13.381321,7112400
1999-11-08,13.513363,13.601398,13.095197,13.117206,4265600
1999-11-09,13.293283,13.359309,13.095204,13.095204,3471400
1999-11-10,13.073198,13.073198,12.412935,12.544988,8212000
1999-11-11,12.544984,12.611010,11.598608,12.500966,12011400
1999-11-12,12.589000,12.699043,11.994764,12.699043,8713200
1999-11-15,12.853106,13.711446,12.699044,13.667429,6857000
1999-11-16,14.173629,14.349698,13.843497,13.997559,6871400
1999-11-17,13.953543,14.305683,13.953543,14.217648,4262200
1999-11-18,14.217650,14.283676,13.799484,13.887519,5080200
