date,open,high,low,close,volume
1999-01-04,8.454416,8.510929,8.363994,8.386600,1447800
1999-01-05,8.409202,8.454412,8.397899,8.409202,572800
1999-01-06,8.409204,8.420506,8.363993,8.420506,766400
1999-01-07,8.420508,8.488324,8.318784,8.363995,892800
1999-01-08,8.341389,8.352692,8.262270,8.273573,1495600
1999-01-11,8.273568,8.284871,8.149238,8.183146,1015200
1999-01-12,8.183147,8.239660,8.115331,8.115331,1357600
1999-01-13,8.137935,8.296173,8.115330,8.171844,1604600
1999-01-14,8.149239,8.194450,8.070120,8.115331,1025800
1999-01-15,8.126634,8.126634,8.070121,8.104029,497400
1999-01-19,8.104031,8.115334,8.013610,8.047518,395200
1999-01-20,8.024910,8.115332,7.979700,8.002305,695800
1999-01-21,8.047518,8.058820,7.968399,8.047518,1016200
1999-01-22,8.047515,8.160542,8.036213,8.149240,1085800
1999-01-25,8.126633,8.183146,8.115330,8.171844,977600
1999-01-26,8.137936,8.228357,8.115330,8.183146,1102800
1999-01-27,8.183146,8.228357,8.070119,8.070119,1247800
1999-01-28,8.070121,8.171845,8.070121,8.104029,1030400
1999-01-29,8.126636,8.137938,7.991003,8.092728,1323200
1999-02-01,8.070122,8.081424,7.900581,7.923187,701000
1999-02-02,7.877975,7.945791,7.866672,7.900580,724600
1999-02-03,7.889277,8.024909,7.877974,7.945790,1212600
1999-02-04,7.945793,7.945793,7.844069,7.844069,1294600
1999-02-05,7.855371,7.889280,7.821463,7.855371,503800
1999-02-08,7.844068,7.945792,7.832765,7.923187,1106000
1999-02-09,7.900583,7.923189,7.844070,7.877978,648200
1999-02-10,7.900576,7.945787,7.866668,7.889274,3380000
1999-02-11,7.866673,7.866673,7.697133,7.697133,1075600
1999-02-12,7.663227,7.674529,7.527594,7.561502,1309400
1999-02-16,7.595409,7.719738,7.595409,7.674528,500400
1999-02-17,7.708431,7.889274,7.674523,7.798853,1184800
1999-02-18,7.787554,7.968398,7.753646,7.923187,811800
1999-02-19,7.900581,7.900581,7.595408,7.640619,1191600
1999-02-22,7.663229,7.663229,7.233727,7.233727,3573400
1999-02-23,6.894643,7.086788,6.894643,7.007669,4329200
1999-02-24,7.018971,7.211117,7.007669,7.120696,6839600
1999-02-25,7.120695,7.188511,7.064181,7.131998,3989800
1999-02-26,7.124183,7.135673,7.032258,7.101202,4143600
1999-03-01,7.101204,7.135676,7.032260,7.124185,1109800
1999-03-02,7.112691,7.216107,7.101201,7.158654,955800
1999-03-03,7.170149,7.227602,7.147168,7.216112,906000
1999-03-04,7.204617,7.308033,7.170145,7.296542,780600
1999-03-05,7.342506,7.365488,7.250581,7.285053,1650800
1999-03-08,7.308033,7.319524,7.193127,7.227599,794600
1999-03-09,7.227601,7.296544,7.147166,7.147166,1206800
1999-03-10,7.158655,7.216108,7.112693,7.170146,1045800
