date,open,high,low,close,volume
1999-01-04,10.595879,11.018178,9.770475,10.192775,4374800
1999-01-05,10.250358,10.442313,10.135186,10.365531,3679000
1999-01-06,10.403926,10.864616,10.384730,10.826225,3942000
1999-01-07,10.749440,10.768635,10.403922,10.538290,1636000
1999-01-08,10.595880,11.248524,10.557489,11.210134,4100400
1999-01-11,11.056567,11.325303,10.979785,11.056567,2705200
1999-01-12,11.056569,11.421282,11.056569,11.133350,2699600
1999-01-13,10.749444,10.903008,10.634272,10.672663,2484600
1999-01-14,10.711049,10.749440,10.269554,10.307945,1403800
1999-01-15,10.595875,10.768634,10.442312,10.768634,1378600
1999-01-19,10.768633,10.845415,10.365529,10.423116,1697600
1999-01-20,10.365530,10.634266,10.288748,10.327139,1255200
1999-01-21,10.442316,10.576684,10.135189,10.211970,1195400
1999-01-22,9.962429,10.096797,9.751279,9.904842,1846000
1999-01-25,9.924036,10.288749,9.904840,10.288749,1745000
1999-01-26,10.211970,10.288752,10.039211,10.192775,1475000
1999-01-27,10.250360,10.288751,9.866452,9.904842,1706800
1999-01-28,9.866449,10.020013,9.770472,10.000817,1222800
1999-01-29,10.020013,10.058404,9.808863,10.000817,1102400
1999-02-01,10.135189,10.173580,9.828062,9.924039,1380600
1999-02-02,9.943234,10.096798,9.828062,10.058407,1204600
1999-02-03,9.904842,10.058406,9.751279,9.904842,2017400
1999-02-04,9.904842,10.096796,9.693692,9.943233,3357000
1999-02-05,10.058405,10.749440,10.058405,10.749440,3935400
1999-02-08,10.749443,10.903006,10.557488,10.711052,2377000
1999-02-09,10.787831,10.960590,10.442313,10.461509,1344800
1999-02-10,10.519096,10.691855,10.423119,10.595878,931600
1999-02-11,10.595878,10.634269,10.115993,10.269556,2535800
1999-02-12,10.173575,10.423116,9.981621,10.020012,1954400
1999-02-16,10.442315,10.787833,10.135188,10.173579,2785800
1999-02-17,10.096797,10.615074,10.039211,10.173579,2734000
1999-02-18,10.135187,10.250359,9.904842,9.943233,1930800
1999-02-19,9.904837,10.250355,9.789665,10.154378,2311000
1999-02-22,10.115993,10.365533,10.000820,10.269556,1461600
1999-02-23,10.307945,10.480704,10.154381,10.365531,1519000
1999-02-24,10.288751,10.519097,10.231165,10.269556,1389200
1999-02-25,10.192775,10.231166,9.981626,9.981626,1574200
1999-02-26,10.115990,10.173576,9.924036,10.039208,3258800
1999-03-01,10.000818,10.346336,9.943232,10.307945,1999200
1999-03-02,10.442316,10.480706,10.135189,10.211970,2836800
1999-03-03,10.173573,10.307941,10.096792,10.154378,1286800
1999-03-04,10.154384,10.269557,9.981625,10.211970,1176400
1999-03-05,10.307945,10.557485,10.307945,10.538290,1222600
1999-03-08,10.557485,10.576681,10.250359,10.538290,1796200
