date,open,high,low,close,volume
1999-01-04,4.632022,4.632022,4.443216,4.493564,1901963
1999-01-05,4.430629,4.443216,4.329933,4.342520,1449702
1999-01-06,4.392868,4.430629,4.367694,4.418042,883106
1999-01-07,4.418043,4.418043,4.229237,4.292172,751711
1999-01-08,4.266997,4.418042,4.229236,4.418042,1063865
1999-01-11,4.418042,4.418042,4.279584,4.342520,482387
1999-01-12,4.430629,4.506151,4.405455,4.418042,2122649
1999-01-13,4.279584,4.468389,4.103366,4.468389,1035916
1999-01-14,4.468390,4.493564,4.329933,4.329933,647176
1999-01-15,4.329933,4.405455,4.241824,4.342520,433749
1999-01-19,4.367694,4.518738,4.329933,4.342520,673309
1999-01-20,4.443214,4.632019,4.380279,4.430627,2364387
1999-01-21,4.304758,4.317345,4.216649,4.216649,2873633
1999-01-22,4.204061,4.266995,4.178887,4.229235,1309596
1999-01-25,4.178888,4.229236,4.128540,4.216649,1753871
1999-01-26,4.216649,4.266997,4.178888,4.204062,1492896
1999-01-27,4.178887,4.216648,4.103365,4.103365,846809
1999-01-28,4.115954,4.153716,4.002671,4.128541,723762
1999-01-29,4.103366,4.254410,4.027843,4.254410,972034
1999-02-01,4.304757,4.329932,4.204062,4.241823,757155
1999-02-02,4.184848,4.197453,3.882330,3.932749,1476562
1999-02-03,3.983167,4.008377,3.743673,3.781488,1218127
1999-02-04,3.831909,3.920144,3.655440,3.655440,1577105
1999-02-05,3.705858,3.806698,3.693254,3.743673,2745142
1999-02-08,3.693256,3.819305,3.655441,3.806700,447179
1999-02-09,3.794094,3.894934,3.768884,3.819304,378941
1999-02-10,3.819305,3.831909,3.731070,3.731070,528847
1999-02-11,3.731068,3.806698,3.693254,3.781488,990545
1999-02-12,3.781491,3.781491,3.642837,3.642837,533566
1999-02-16,3.680650,3.731069,3.655440,3.705859,268961
1999-02-17,3.680650,3.731070,3.642835,3.655440,810512
1999-02-18,3.655440,3.655440,3.579809,3.592414,863869
1999-02-19,3.592415,3.592415,3.441155,3.453760,973123
1999-02-22,3.453761,3.453761,3.315107,3.415947,1142993
1999-02-23,3.466366,3.504181,3.340316,3.365526,860602
1999-02-24,3.415947,3.466366,3.378131,3.378131,530662
1999-02-25,3.428551,3.466366,3.315106,3.315106,1231920
1999-02-26,3.327712,3.378132,3.176453,3.214267,753163
1999-03-01,3.126031,3.252081,3.075611,3.252081,1280195
1999-03-02,3.252081,3.252081,3.126031,3.163847,999256
1999-03-03,3.176451,3.176451,3.100821,3.151241,395274
1999-03-04,3.176451,3.176451,2.999981,3.088216,913233
1999-03-05,3.126031,3.176451,2.987377,3.113426,1384731
1999-03-08,3.138636,3.163846,3.113426,3.113426,823942
1999-03-09,3.100820,3.126030,3.050400,3.075610,332118
1999-03-10,3.050402,3.201662,3.050402,3.126032,1112140
1999-03-11,3.126032,3.289897,3.113427,3.226872,802527
1999-03-12,3.226871,3.277291,3.226871,3.252081,666776
1999-03-15,3.277292,3.365526,3.252082,3.277292,924122
1999-03-16,3.252082,3.327712,3.252082,3.302502,717229
1999-03-17,3.315106,3.352921,3.315106,3.340316,654435
1999-03-18,3.365524,3.415945,3.352919,3.390735,374948
1999-03-19,3.504181,3.504181,3.352921,3.365526,1043539
1999-03-22,3.365524,3.365524,3.327709,3.327709,560426
1999-03-23,3.302502,3.340317,3.214267,3.214267,656976
1999-03-24,3.214266,3.214266,3.151240,3.189056,288924
1999-03-25,3.226872,3.302502,3.201662,3.264687,1724108
1999-03-26,3.277292,3.302502,3.239477,3.302502,525581
1999-03-29,3.277291,3.378130,3.226871,3.239476,985101
1999-03-30,3.252081,3.415946,3.226871,3.352921,708880
1999-03-31,3.403342,3.403342,3.264686,3.378131,1629372
1999-04-01,3.378130,3.428551,3.352921,3.352921,968404
1999-04-05,3.466366,3.466366,3.277291,3.378131,1063865
1999-04-06,3.365526,3.415947,3.340316,3.378131,471861
1999-04-07,3.352922,3.352922,3.264687,3.302502,672220
1999-04-08,3.277291,3.352921,3.214267,3.315106,808334
1999-04-09,3.352921,3.403342,3.252081,3.378131,646450
1999-04-12,3.365526,3.390737,3.264687,3.264687,702347
1999-04-13,3.264686,3.327710,3.226871,3.239476,1456599
1999-04-14,3.289897,3.668047,3.277292,3.642837,2270740
1999-04-15,3.705858,4.008377,3.668044,3.781488,1832999
1999-04-16,3.794095,3.819305,3.693255,3.731070,1303425
1999-04-19,3.718465,3.806700,3.718465,3.731070,2015209
1999-04-20,3.819304,3.920144,3.680650,3.705859,609064
1999-04-21,3.731069,3.857119,3.705859,3.831909,1863851
1999-04-22,3.869723,3.882328,3.718463,3.743673,471861
1999-04-23,3.743672,3.831907,3.693253,3.768882,644998
