date,open,high,low,close,volume
1999-01-04,4.331021,4.375556,4.208550,4.230817,1684000
1999-01-05,4.197416,4.286485,4.119480,4.141747,2104800
1999-01-06,4.253085,4.308753,4.152881,4.275352,2230400
1999-01-07,4.264218,4.509160,4.197416,4.303186,3323200
1999-01-08,4.442358,4.520294,4.297620,4.431224,2004800
1999-01-11,4.520294,4.742969,4.509160,4.631631,4250400
1999-01-12,4.626065,4.676166,4.230817,4.408957,1740000
1999-01-13,4.331020,4.364422,4.264218,4.308753,973600
1999-01-14,4.364422,4.397823,4.297620,4.353288,1077600
1999-01-15,4.408957,4.564829,4.353288,4.520294,2873600
1999-01-19,4.587096,4.698433,4.542561,4.662249,3712800
1999-01-20,4.676167,4.776370,4.665033,4.665033,2311200
1999-01-21,4.698434,4.698434,4.386690,4.386690,936800
1999-01-22,4.386690,4.670600,4.164015,4.653899,3071200
1999-01-25,4.765236,5.043579,4.765236,4.999044,6488000
1999-01-26,4.999045,5.110382,4.954510,4.954510,2178400
1999-01-27,5.010178,5.010178,4.898841,4.904408,2223200
1999-01-28,4.943376,4.976777,4.865440,4.976777,3083200
1999-01-29,4.982344,5.010178,4.876573,4.876573,1502400
1999-02-01,4.971210,4.987911,4.898841,4.921108,1318400
1999-02-02,4.932241,4.937809,4.698433,4.843172,1780800
1999-02-03,4.854307,4.854307,4.731835,4.798638,1597600
1999-02-04,4.765236,4.832038,4.698434,4.726268,920800
1999-02-05,4.759670,4.798637,4.653899,4.698434,503200
1999-02-08,4.709567,4.809771,4.498026,4.498026,2617600
1999-02-09,4.498026,4.564829,4.164014,4.164014,1250400
1999-02-10,4.169582,4.219683,3.830003,4.097212,17191200
1999-02-11,4.164015,4.498027,4.108346,4.375556,3877600
1999-02-12,4.397823,4.397823,4.175148,4.208549,2272000
1999-02-16,4.275352,4.331021,4.264218,4.275352,1236000
1999-02-17,4.286486,4.297619,4.241951,4.275352,1104000
1999-02-18,4.275352,4.297619,4.147314,4.164014,2442400
1999-02-19,4.141747,4.164015,4.074945,4.097212,1489600
1999-02-22,4.074945,4.319887,4.041543,4.253084,3568800
1999-02-23,4.297620,4.631632,4.219684,4.620498,3020800
1999-02-24,4.676166,4.720701,4.397823,4.408957,2461600
1999-02-25,4.397823,4.397823,4.264218,4.297619,2452000
1999-02-26,4.364422,4.475759,4.331021,4.364422,1049600
1999-03-01,4.408957,4.564829,4.342154,4.358855,1271200
1999-03-02,4.420091,4.475759,4.353288,4.425658,680000
1999-03-03,4.509160,4.520294,4.397823,4.397823,937600
1999-03-04,4.375556,4.676166,4.375556,4.670600,856000
1999-03-05,4.698434,4.904408,4.637199,4.854306,2095200
1999-03-08,4.848739,5.166050,4.798637,5.166050,3105600
1999-03-09,5.132649,5.232853,5.110382,5.199451,1850400
1999-03-10,5.294089,5.488929,5.143783,5.174401,4276000
1999-03-11,5.199452,5.410992,5.110382,5.344190,9460800
1999-03-12,5.377592,5.377592,5.243987,5.255121,1208800
1999-03-15,5.255120,5.388725,5.177184,5.383158,5301600
1999-03-16,5.410992,5.511196,5.299655,5.344190,1464000
1999-03-17,5.366458,5.466661,5.366458,5.405426,1295200
1999-03-18,5.388725,5.444393,5.344190,5.399858,2225600
1999-03-19,5.410992,5.822940,5.410992,5.655934,2697600
