date,open,high,low,close,volume
1999-01-04,12.774106,12.997886,12.755458,12.792754,948343
1999-01-05,12.867340,13.016526,12.830043,12.941933,849173
1999-01-06,12.941939,13.035180,12.923290,12.997883,403730
1999-01-07,12.960585,13.016529,12.904639,12.960585,266255
1999-01-08,12.941934,13.053824,12.848693,13.035175,289050
1999-01-11,12.941942,12.979239,12.624920,12.643569,415950
1999-01-12,12.568966,12.755450,12.419780,12.680856,716633
1999-01-13,12.457081,12.643565,12.251950,12.550323,1012968
1999-01-14,12.475722,12.531668,12.326535,12.513020,943408
1999-01-15,12.513023,12.513023,12.382485,12.475726,416185
1999-01-19,12.513023,12.513023,12.401133,12.457077,500550
1999-01-20,12.419780,12.531670,12.382483,12.419780,378115
1999-01-21,12.382484,12.513023,12.363836,12.494374,399970
1999-01-22,12.457082,12.606269,12.457082,12.531676,401733
1999-01-25,12.457078,12.531672,12.401133,12.475726,413600
1999-01-26,12.401135,12.419784,12.289245,12.363838,311258
1999-01-27,12.326542,12.326542,12.140060,12.177357,445090
1999-01-28,11.972223,12.289244,11.972223,12.158706,538738
1999-01-29,12.121407,12.158704,11.897627,12.102759,453433
1999-02-01,12.084113,12.121409,11.972223,12.009519,378115
1999-02-02,11.934924,11.990870,11.823034,11.934924,509128
1999-02-03,11.990870,12.102760,11.878980,11.953573,479635
1999-02-04,11.990867,12.028162,11.860328,11.878977,277418
1999-02-05,11.841680,11.972218,11.823031,11.841680,311845
1999-02-08,11.785741,12.009521,11.636555,11.897631,364603
1999-02-09,11.841687,11.841687,11.655204,11.692500,715105
1999-02-10,11.692498,11.841685,11.655202,11.711146,371065
1999-02-11,11.599252,11.729790,11.543307,11.655197,258618
1999-02-12,11.692504,11.711153,11.319538,11.412780,238878
1999-02-16,11.338179,11.617904,11.338179,11.580606,291048
1999-02-17,11.506012,11.916275,11.506012,11.823033,318778
1999-02-18,11.767088,12.102757,11.748439,12.065460,611470
1999-02-19,12.046814,12.065463,11.934924,11.972221,673980
1999-02-22,11.972223,12.009519,11.897629,12.009519,243695
1999-02-23,12.009517,12.009517,11.823034,11.934924,717808
1999-02-24,11.934921,12.046811,11.860328,11.878977,1004508
1999-02-25,11.860333,11.860333,11.711146,11.748443,421825
1999-02-26,11.767089,11.823033,11.636551,11.823033,282588
1999-03-01,11.785740,11.823038,11.580609,11.804389,252273
1999-03-02,11.841690,12.084118,11.804392,12.028172,409018
1999-03-03,12.009519,12.196003,12.009519,12.046816,307380
1999-03-04,12.121405,12.363833,12.065461,12.307889,362135
1999-03-05,12.457074,12.736799,12.438425,12.699502,958565
1999-03-08,12.643563,12.680858,12.531673,12.587617,376235
1999-03-09,12.568963,12.568963,12.307887,12.438424,465418
1999-03-10,12.382487,12.475729,12.307894,12.345190,165088
1999-03-11,12.345183,12.550314,12.251941,12.438424,469060
1999-03-12,12.363832,12.699502,12.326535,12.624909,620988
1999-03-15,12.457078,12.568968,12.401133,12.475726,318778
1999-03-16,12.494371,12.550315,12.457074,12.513020,134303
1999-03-17,12.438424,12.475721,12.401128,12.438424,200455
1999-03-18,12.401137,12.643565,12.401137,12.550323,538855
1999-03-19,12.624911,12.624911,12.382483,12.419780,443093
1999-03-22,12.233298,12.345188,12.233298,12.326539,361430
1999-03-23,12.326532,12.326532,12.177346,12.214643,271895
1999-03-24,12.233297,12.531671,12.214650,12.494374,2436245
1999-03-25,12.555545,12.593305,12.423381,12.574426,2060715
1999-03-26,12.461144,12.461144,12.159055,12.291219,252508
1999-03-29,12.310104,12.347866,12.102419,12.159060,249100
1999-03-30,12.083537,12.083537,11.668166,11.762568,349445
1999-03-31,11.762565,11.819206,11.479358,11.611521,962560
1999-04-01,11.592641,11.970252,11.554881,11.838088,413835
1999-04-05,11.913609,12.045772,11.875848,11.989131,296570
1999-04-06,11.932483,11.989125,11.781440,11.800321,554013
1999-04-07,11.781449,11.951373,11.743688,11.762568,1060320
1999-04-08,11.800324,12.064651,11.800324,11.970248,232415
1999-04-09,11.951370,12.026893,11.894729,12.026893,222898
1999-04-12,11.951374,12.102419,11.951374,12.083538,158978
1999-04-13,12.083536,12.102417,11.800329,11.875851,278005
1999-04-14,11.856961,11.913604,11.781440,11.800321,237115
1999-04-15,11.838088,11.932491,11.762567,11.781447,511948
1999-04-16,11.856967,12.064653,11.819206,12.026893,351325
1999-04-19,12.008016,12.310104,12.008016,12.159060,441330
1999-04-20,12.196815,12.612186,12.159053,12.574426,890180
1999-04-21,12.574425,12.574425,12.253456,12.536663,682910
1999-04-22,12.480025,12.555548,12.347862,12.461145,1115898
1999-04-23,12.423385,12.574429,12.328982,12.404504,192348
1999-04-26,12.366743,12.423384,12.291220,12.366743,247808
1999-04-27,12.385621,12.480024,12.253459,12.291219,229008
1999-04-28,12.310100,12.423383,12.234578,12.291219,327003
1999-04-29,12.272334,12.517781,12.272334,12.442260,329235
1999-04-30,12.385622,12.536667,12.234579,12.366743,787720
1999-05-03,12.291217,12.593305,12.291217,12.574426,244988
1999-05-04,12.498899,12.593302,12.442258,12.480019,285525
1999-05-05,12.555549,12.574430,12.366745,12.498907,367070
1999-05-06,12.423385,12.593310,12.347864,12.498907,751883
1999-05-07,12.480022,12.593306,12.480022,12.593306,315018
1999-05-10,12.536669,12.593310,12.480027,12.555550,170140
1999-05-11,12.517780,12.555542,12.404497,12.480019,203863
1999-05-12,12.480032,12.782121,12.442272,12.706598,2021353
1999-05-13,12.725473,12.970920,12.687713,12.952040,249453
1999-05-14,12.876524,12.876524,12.649957,12.706598,215613
1999-05-17,12.649953,12.895400,12.612191,12.876519,147580
1999-05-18,12.838764,12.876525,12.744361,12.801003,190468
1999-05-19,12.876520,12.989803,12.782118,12.970922,213028
1999-05-20,12.895405,13.008689,12.819882,12.933166,292928
1999-05-21,12.857636,13.140844,12.857636,13.027561,141705
1999-05-24,12.952041,13.216369,12.914281,13.103086,151223
1999-05-25,13.103078,13.291883,13.103078,13.216361,263318
1999-05-26,13.197483,13.273005,13.121961,13.273005,268018
1999-05-27,13.235248,13.235248,12.933158,13.008681,319600
1999-05-28,12.989795,13.273002,12.989795,13.216361,157215
1999-06-01,13.140853,13.140853,12.876525,12.933166,514768
1999-06-02,12.857638,12.952041,12.857638,12.876519,255915
1999-06-03,12.838763,12.989808,12.838763,12.933166,162033
1999-06-04,12.933157,13.046441,12.933157,13.027561,138533
1999-06-07,12.989799,13.121963,12.989799,13.046440,176133
1999-06-08,12.970919,13.027561,12.952038,13.027561,207975
1999-06-09,12.989798,13.084201,12.970918,13.065320,382345
1999-06-10,12.989801,13.046442,12.763235,12.838757,199163
1999-06-11,12.782116,12.989801,12.763235,12.989801,442858
1999-06-14,12.989800,13.178605,12.970919,13.027561,370948
1999-06-15,13.065323,13.216368,13.046442,13.178606,592553
1999-06-16,13.291892,13.499578,13.273011,13.386294,382815
1999-06-17,13.276568,13.372083,13.219259,13.295671,1651110
1999-06-18,13.295671,13.333877,13.142847,13.295671,289168
1999-06-21,13.238359,13.295669,13.009123,13.047330,193053
1999-06-22,13.009123,13.142844,13.009123,13.028226,237115
1999-06-23,12.990020,13.104638,12.990020,12.990020,141940
1999-06-24,12.932714,12.970919,12.818096,12.818096,174135
1999-06-25,12.875402,12.894505,12.703476,12.760784,147463
1999-06-28,12.684371,12.875400,12.684371,12.779885,217610
1999-06-29,12.856295,12.856295,12.607958,12.741677,192700
1999-06-30,12.741680,12.760783,12.225901,12.455136,549665
1999-07-01,12.493341,12.627061,12.378723,12.512444,225365
1999-07-02,12.703477,12.798992,12.607962,12.703477,334170
1999-07-06,12.627061,12.627061,12.416929,12.531547,162620
1999-07-07,12.588857,12.684371,12.550650,12.588857,152280
1999-07-08,12.455142,12.607967,12.416936,12.436039,116325
1999-07-09,12.416930,12.588857,12.397828,12.550651,163208
1999-07-12,12.627061,12.627061,12.397827,12.512444,209973
1999-07-13,12.455135,12.617511,12.436032,12.493341,150870
1999-07-14,12.569753,12.627061,12.321414,12.512444,269075
1999-07-15,12.588856,12.779885,12.550649,12.569753,192230
1999-07-16,12.646164,12.722577,12.512444,12.569753,473878
1999-07-19,12.531547,12.646165,12.474239,12.550651,160975
1999-07-20,12.321416,12.569755,12.321416,12.474240,250863
1999-07-21,12.512445,12.569753,12.436032,12.493341,550018
1999-07-22,12.531546,12.588856,12.436032,12.512444,283528
1999-07-23,12.493343,12.493343,12.359622,12.455136,246633
1999-07-26,12.416928,12.493341,12.321414,12.340517,590085
1999-07-27,12.321416,12.359622,12.264108,12.321416,290930
1999-07-28,12.302308,12.321411,12.245000,12.245000,144995
1999-07-29,12.225902,12.225902,11.939358,11.977563,240875
1999-07-30,12.034872,12.111284,11.939358,12.073077,799940
1999-08-02,12.111278,12.206793,12.034867,12.130382,432283
1999-08-03,12.130382,12.264103,12.130382,12.149486,361548
1999-08-04,12.187694,12.187694,12.034871,12.111282,347918
1999-08-05,12.073077,12.149490,12.034872,12.073077,240640
1999-08-06,12.092178,12.092178,11.958457,11.996663,501138
1999-08-09,11.920256,12.053977,11.862946,11.920256,631093
1999-08-10,11.767430,12.015769,11.767430,11.824739,586090
1999-08-11,11.843842,11.977563,11.824740,11.977563,283058
1999-08-12,11.958461,11.977564,11.824741,11.920256,328178
1999-08-13,11.901152,11.920255,11.767431,11.805637,155453
1999-08-16,11.824741,11.824741,11.614608,11.805637,426173
1999-08-17,11.882046,11.901149,11.748325,11.843840,505485
1999-08-18,11.901149,11.920252,11.805635,11.843840,334288
1999-08-19,11.862945,11.920255,11.786534,11.901152,255798
1999-08-20,11.901150,12.168592,11.862943,12.111282,684085
1999-08-23,12.053974,12.149489,12.053974,12.111282,233590
1999-08-24,12.225898,12.225898,12.034869,12.168590,203393
1999-08-25,12.225900,12.340518,12.225900,12.302312,247220
1999-08-26,12.302308,12.321411,12.130382,12.130382,212793
1999-08-27,12.206795,12.264104,12.149486,12.168590,161798
1999-08-30,12.245003,12.245003,12.053973,12.092178,225600
1999-08-31,12.130387,12.206799,11.977563,12.187696,265198
1999-09-01,12.053974,12.168591,11.977561,12.015767,352148
1999-09-02,11.805635,11.939356,11.710120,11.843840,506543
1999-09-03,11.920253,12.168592,11.882047,12.111282,328413
1999-09-07,12.130386,12.187694,11.958458,12.034871,411838
1999-09-08,11.996664,12.034870,11.882046,12.015767,379408
1999-09-09,11.996670,11.996670,11.805641,11.958464,275773
1999-09-10,12.015772,12.015772,11.901154,11.939361,439803
1999-09-13,11.939355,11.958456,11.843839,11.862942,218080
1999-09-14,11.786531,11.862943,11.767428,11.843840,158038
1999-09-15,11.786534,11.977563,11.786534,11.805637,229243
1999-09-16,11.771558,11.887723,11.674751,11.732835,671395
1999-09-17,11.694110,11.810277,11.674749,11.810277,187883
1999-09-20,11.500507,11.694118,11.403701,11.694118,317368
1999-09-21,11.616669,11.616669,11.403696,11.442419,154160
1999-09-22,11.481141,11.539225,11.403696,11.461781,184123
1999-09-23,11.461784,11.539228,11.210089,11.268172,915795
1999-09-24,11.306893,11.403699,11.190727,11.229449,264845
1999-09-27,11.229447,11.345614,11.171363,11.248808,193875
1999-09-28,11.210090,11.306896,10.900313,11.074562,294455
1999-09-29,11.113282,11.210087,11.055198,11.055198,201630
1999-09-30,11.093922,11.268172,10.997117,11.268172,1101445
1999-10-01,11.190721,11.403693,11.074555,11.345611,214908
1999-10-04,11.384336,11.558586,11.364974,11.461781,773268
1999-10-05,11.152002,11.190724,10.183947,10.261391,2255060
1999-10-06,10.455006,10.455006,10.067784,10.377562,1585898
1999-10-07,10.455005,10.493728,10.300117,10.396922,669750
1999-10-08,10.358198,10.493726,10.358198,10.455004,601013
1999-10-11,10.455006,10.455006,10.280756,10.280756,416538
1999-10-12,10.242034,10.300117,10.222673,10.280756,460600
1999-10-13,10.300114,10.300114,10.087142,10.106503,410193
1999-10-14,10.125864,10.261391,10.009697,10.106503,923668
1999-10-15,10.106504,10.106504,9.912893,9.951615,370243
1999-10-18,10.087142,10.145225,9.932252,10.067780,520878
1999-10-19,10.067786,10.087147,9.758008,9.874175,576455
1999-10-20,9.893531,9.893531,9.738642,9.816086,687258
1999-10-21,9.816092,9.970981,9.758009,9.912898,771035
1999-10-22,9.951614,9.990337,9.874170,9.932253,942115
1999-10-25,9.951613,10.067780,9.835447,10.029058,641903
1999-10-26,10.009697,10.183947,9.990336,10.029058,685965
1999-10-27,10.067783,10.222672,10.029060,10.203311,809575
1999-10-28,10.280756,10.493728,10.261395,10.377562,793948
1999-10-29,10.377564,10.377564,10.242036,10.285599,379995
1999-11-01,10.280753,10.609892,10.242031,10.474364,555893
1999-11-02,10.532450,10.919673,10.513089,10.784145,1214598
1999-11-03,10.822867,10.822867,10.667979,10.784145,618403
1999-11-04,10.842230,10.842230,10.493730,10.571175,501960
1999-11-05,10.706701,10.803506,10.629256,10.784145,547198
1999-11-08,10.726061,10.803506,10.667979,10.784145,290930
1999-11-09,10.726055,10.764777,10.532444,10.532444,1805858
1999-11-10,10.455005,10.571172,10.396922,10.396922,533920
1999-11-11,10.242031,10.474364,10.242031,10.435642,559653
1999-11-12,10.416283,10.571172,10.338839,10.396922,538150
1999-11-15,10.396921,10.455004,10.280754,10.338838,242638
1999-11-16,10.416284,10.435646,10.338840,10.377562,305030
1999-11-17,10.396923,10.416284,10.338840,10.377562,374003
1999-11-18,10.416284,10.455006,10.338840,10.377562,309613
1999-11-19,10.319474,10.377557,10.242029,10.300113,485980
1999-11-22,10.222671,10.261393,10.087144,10.174269,416655
1999-11-23,10.048426,10.067787,9.912898,9.912898,342160
1999-11-24,9.990338,10.203310,9.912893,10.125865,908158
1999-11-26,10.319475,10.319475,10.164585,10.164585,189645
1999-11-29,10.087142,10.087142,9.758003,9.932253,467415
1999-11-30,9.932250,10.242028,9.912889,10.242028,1360180
1999-12-01,10.222669,10.242031,10.067781,10.106503,727090
1999-12-02,10.125866,10.242033,10.125866,10.203311,127488
1999-12-03,10.280753,10.455004,10.280753,10.358198,249805
1999-12-06,10.300116,10.377560,10.242032,10.338838,556363
1999-12-07,10.338840,10.455006,10.338840,10.377562,871145
1999-12-08,10.358202,10.396924,10.338841,10.367883,493030
1999-12-09,10.358198,10.416282,10.338837,10.358198,724623
1999-12-10,10.358197,10.358197,10.106503,10.106503,529338
1999-12-13,10.183950,10.183950,9.990339,10.009700,576690
1999-12-14,10.029058,10.048419,9.912891,10.029058,452728
1999-12-15,10.029060,10.125867,9.951616,10.009700,7624105
1999-12-16,10.073447,10.230844,9.916049,9.975073,1596825
1999-12-17,9.916045,10.034093,9.876695,9.935719,529220
1999-12-20,9.916045,10.073443,9.857020,9.935719,385165
1999-12-21,10.034090,10.211162,9.916042,10.132463,1063258
1999-12-22,10.093117,10.132467,9.857020,9.935719,445913
1999-12-23,9.975073,10.132471,9.935724,10.093122,199633
1999-12-27,10.073444,10.171817,9.955396,9.955396,388690
1999-12-28,9.935723,10.093120,9.935723,9.994747,112448
1999-12-29,9.955397,9.994746,9.817674,9.817674,141235
1999-12-30,9.896366,9.935715,9.837342,9.876691,277653
1999-12-31,9.994745,9.994745,9.778323,9.955396,216083
2000-01-03,9.876694,9.876694,9.404502,9.463526,672453
2000-01-04,9.306133,9.483205,9.306133,9.483205,659410
2000-01-05,9.542231,9.896375,9.542231,9.778327,444385
2000-01-06,9.758647,9.876695,9.660273,9.738972,338988
2000-01-07,9.758649,9.837348,9.719300,9.837348,666578
2000-01-10,10.053773,10.112797,9.857026,9.896376,743540
2000-01-11,9.857026,9.896376,9.758652,9.896376,422648
2000-01-12,9.857020,10.053768,9.837346,9.935719,1200498
2000-01-13,9.975071,9.994746,9.817674,9.916048,377645
2000-01-14,9.935722,9.994746,9.758650,9.817674,481633
2000-01-18,9.817672,9.857021,9.601251,9.699624,295160
2000-01-19,9.758651,10.112796,9.719302,10.034098,683263
2000-01-20,10.073445,10.722710,10.034095,10.663685,1158315
2000-01-21,10.939134,11.804821,10.663687,11.706447,1446778
2000-01-24,12.277013,13.004976,11.765471,11.824494,2141555
2000-01-25,11.844167,11.962215,11.096528,11.253925,908745
2000-01-26,11.273599,11.293274,11.135876,11.293274,520878
2000-01-27,11.253922,11.253922,10.860429,11.017826,1132230
2000-01-28,10.860427,10.919451,10.466933,10.466933,463303
2000-01-31,10.584986,11.017829,10.506287,10.939131,1064550
2000-02-01,10.978480,11.116202,10.919456,10.939131,748475
