date,open,high,low,close,volume
1999-01-04,10.177931,10.530324,10.032828,10.281576,291400
1999-01-05,10.364492,10.447408,10.240118,10.281576,258600
1999-01-06,10.323036,10.426681,10.281578,10.426681,86200
1999-01-07,10.364494,10.426681,10.281578,10.364494,127600
1999-01-08,10.405952,10.426681,10.157204,10.426681,146800
1999-01-11,10.426679,10.447408,10.240118,10.405950,78400
1999-01-12,10.447409,10.447409,10.157203,10.157203,154600
1999-01-13,10.157200,10.281574,10.053555,10.260845,152800
1999-01-14,10.177934,10.198663,9.784083,9.804812,383800
1999-01-15,9.825541,9.929186,9.784083,9.804812,134800
1999-01-19,9.804810,9.825539,9.576791,9.742623,177000
1999-01-20,9.742623,9.949913,9.742623,9.908455,124600
1999-01-21,9.908455,9.908455,9.701165,9.763352,113000
1999-01-22,9.784080,9.908453,9.701164,9.784080,98000
1999-01-25,9.784081,9.784081,9.576791,9.618249,154400
1999-01-26,9.659707,9.659707,9.162211,9.618249,88200
1999-01-27,9.618249,9.618249,9.203670,9.245128,376200
1999-01-28,9.224401,9.224401,9.017111,9.100027,330400
1999-01-29,9.100029,9.100029,8.208682,8.685449,539400
1999-02-01,8.685444,8.789089,8.291594,8.312323,316600
1999-02-02,8.291596,8.291596,7.959932,8.250138,649800
1999-02-03,8.125762,8.457426,8.125762,8.436697,685200
1999-02-04,8.436699,8.436699,8.208680,8.250138,373800
1999-02-05,8.291595,8.561072,8.291595,8.540343,359200
1999-02-08,8.581797,8.664713,8.457423,8.478152,218000
1999-02-09,8.478158,8.478158,8.187952,8.208681,871400
1999-02-10,8.208680,8.291596,7.711184,7.794100,636400
1999-02-11,7.877017,7.877017,7.586811,7.607540,366000
1999-02-12,7.566080,7.669724,7.545351,7.669724,534200
1999-02-16,7.628271,7.628271,7.462439,7.545355,281400
1999-02-17,7.462437,7.462437,6.674736,6.840568,139000
1999-02-18,6.923481,7.130771,6.882023,7.047855,339600
1999-02-19,7.130771,7.172229,6.964939,7.027126,333400
1999-02-22,7.110043,7.255146,6.985670,7.234417,135000
1999-02-23,7.213686,7.255144,6.964938,7.110041,170800
1999-02-24,7.110040,7.192956,6.840563,6.964937,676400
1999-02-25,7.089314,7.400249,7.047856,7.338062,297200
1999-02-26,7.711182,8.042846,7.690453,7.773369,723000
1999-03-01,7.959929,8.084303,7.877013,7.877013,203400
1999-03-02,7.877015,8.084305,7.503893,7.628267,185000
1999-03-03,7.711187,7.711187,7.462439,7.545355,235600
1999-03-04,7.628268,8.001390,7.462436,7.794100,625800
1999-03-05,7.794098,8.125762,7.794098,8.022117,264600
1999-03-08,8.001390,8.706175,8.001390,8.540343,629800
