date,open,high,low,close,volume
1999-01-04,3.863390,4.102426,3.791883,3.922638,44689709
1999-01-05,3.727529,3.800057,3.591667,3.661130,75265978
1999-01-06,3.824573,4.658134,3.808229,4.625445,108921542
1999-01-07,4.447700,5.148464,4.415012,4.870610,118450253
1999-01-08,5.148464,5.246530,4.691844,4.778673,89453549
1999-01-11,4.969699,4.985021,4.543724,4.764373,43982611
1999-01-12,4.576411,4.780715,3.922638,3.930810,63262426
1999-01-13,3.546719,3.857261,3.471127,3.522203,77586854
1999-01-14,3.669302,3.951241,3.581451,3.682581,70641331
1999-01-15,3.718334,3.955327,3.628441,3.650914,44786650
1999-01-19,4.045222,4.086082,3.489515,3.757152,36757670
1999-01-20,3.753066,3.769411,3.432309,3.493600,52302413
1999-01-21,3.219833,3.301554,2.945044,2.970581,90029491
1999-01-22,2.713158,3.595752,2.713158,3.215747,125966016
1999-01-25,3.268865,3.559999,2.991012,3.554892,108978566
1999-01-26,3.579408,3.836832,3.481342,3.610054,84680640
1999-01-27,4.985020,5.132119,4.641789,4.960503,251110886
1999-01-28,4.968677,4.999322,4.674478,4.782759,66746592
1999-01-29,4.674478,4.848137,4.445657,4.537595,91791533
1999-02-01,4.560068,4.576412,4.274041,4.282214,66256186
1999-02-02,4.251569,4.251569,4.004361,4.155546,49086259
1999-02-03,4.069738,4.576412,4.037050,4.547810,53545536
1999-02-04,4.478346,4.543723,3.873606,3.906295,217672013
1999-02-05,4.012532,4.037049,3.595752,3.616182,105733901
1999-02-08,3.759195,3.994145,3.646828,3.775540,80677555
1999-02-09,3.775540,3.791884,3.432309,3.479299,48128256
1999-02-10,3.430266,3.536504,3.138111,3.464998,71650656
1999-02-11,3.583494,3.930811,3.481342,3.914467,75174739
1999-02-12,3.855219,4.049309,3.731616,3.857262,69090278
1999-02-16,3.943070,4.020705,3.730593,3.777583,36124704
1999-02-17,3.898122,4.020705,3.755110,3.808229,66951878
1999-02-18,3.830703,3.894036,3.636613,3.842960,43047418
1999-02-19,3.869521,3.947156,3.787798,3.914467,36124704
1999-02-22,4.000274,4.658135,3.947156,4.555982,100812730
1999-02-23,4.639747,4.846094,4.543724,4.619316,115599053
1999-02-24,4.745985,4.944160,4.658134,4.674478,94386125
1999-02-25,4.748027,4.901256,4.596843,4.895127,73549555
1999-02-26,5.025880,5.493737,4.897169,5.459005,197000813
1999-03-01,5.340509,5.789979,5.005451,5.279218,280586592
1999-03-02,5.424275,5.932992,5.356855,5.739924,186358234
1999-03-03,6.040251,6.129122,5.761376,6.055573,102354278
1999-03-04,6.319126,6.429450,6.055574,6.414128,104631437
1999-03-05,6.809456,7.407046,6.619453,7.318173,158532422
1999-03-08,7.569468,8.384642,7.465273,8.384642,165966451
1999-03-09,8.586902,8.697226,7.912698,8.151733,127629216
1999-03-10,8.213027,8.274318,7.453015,7.603179,92867386
1999-03-11,7.551080,7.888182,7.109783,7.354948,66729485
1999-03-12,7.066879,7.305915,6.803327,6.962684,58109357
1999-03-15,7.134299,7.731888,6.981070,7.688984,65955859
1999-03-16,7.875922,8.111894,7.612370,7.738017,44619379
1999-03-17,7.575596,7.783986,7.407045,7.636887,32068397
1999-03-18,7.636887,8.041409,7.465271,7.882052,36637920
1999-03-19,8.044473,8.078183,7.673660,7.833018,31741459
1999-03-22,7.771729,7.943344,7.551081,7.606242,23900659
1999-03-23,7.502047,7.551081,6.913651,7.177204,36472550
1999-03-24,7.042363,7.158816,6.729777,7.128171,34214400
1999-03-25,7.833020,8.016893,7.649147,7.814633,58692902
1999-03-26,7.649147,7.943344,7.502047,7.575597,27183341
1999-03-29,7.269141,7.544951,7.158816,7.246156,51834816
1999-03-30,7.134300,7.158816,6.631712,6.723649,67415674
1999-03-31,6.502999,7.109782,6.496870,6.732841,52091424
1999-04-01,7.060751,7.060751,6.527517,6.797198,41021165
1999-04-05,6.840101,7.691284,6.643969,7.293656,80255578
1999-04-06,7.342690,7.722695,7.183332,7.453014,46208448
1999-04-07,7.698179,7.722696,7.171075,7.354948,32471366
1999-04-08,7.416239,8.436738,7.220107,8.421415,95665363
1999-04-09,8.188510,9.365302,8.139477,8.991426,119370240
1999-04-12,8.825940,9.561435,8.396901,8.660454,110113344
1999-04-13,8.562386,9.112475,8.476579,8.476579,116002022
1999-04-14,8.825937,8.832065,7.894310,7.986247,68124672
1999-04-15,7.943343,8.924003,7.477530,8.770775,97298150
1999-04-16,8.605290,8.841260,8.335608,8.629806,43615757
1999-04-19,8.476578,8.525610,7.453014,7.557209,55761869
1999-04-20,7.364142,8.035282,7.171075,7.967861,55292371
1999-04-21,8.072057,8.360125,7.955604,8.176252,29156371
1999-04-22,8.384640,8.593030,8.059796,8.433674,27875232
1999-04-23,8.452061,10.002729,8.335607,9.812727,145219219
1999-04-26,10.272412,10.670806,9.959827,10.247895,111953318
1999-04-27,11.467589,11.473718,9.953696,10.260152,194659027
1999-04-28,10.100794,10.100794,9.395945,9.441914,108461549
1999-04-29,8.776904,10.591124,8.776904,10.542091,134586144
1999-04-30,10.634028,10.885322,9.757564,10.204989,90751795
1999-05-03,9.809662,9.996599,9.316267,9.346912,57702586
1999-05-04,9.316268,9.849502,8.629806,8.887229,70591910
1999-05-05,8.795294,9.316269,8.237543,9.159977,75864730
1999-05-06,9.138523,9.414334,8.580773,8.605289,49859885
1999-05-07,8.764646,9.156910,8.482706,8.663515,57029702
1999-05-10,8.936260,9.598205,8.825936,9.481752,65343802
1999-05-11,9.690146,9.855633,9.451110,9.576757,45731347
1999-05-12,9.555303,9.898534,9.212072,9.745306,36805190
1999-05-13,9.886276,10.119183,9.316267,9.438849,35278848
1999-05-14,9.095618,9.365299,9.034326,9.114004,34929101
1999-05-17,8.924004,9.757565,8.586902,9.729983,49483526
