date,open,high,low,close,volume
1999-01-04,13.617070,13.758179,13.358369,13.499478,770000
1999-01-05,13.452438,13.758175,13.452438,13.640584,355600
1999-01-06,13.593549,13.993360,13.546513,13.993360,377200
1999-01-07,13.922804,14.040396,13.687622,14.040396,363000
1999-01-08,13.899287,13.969841,13.640586,13.922805,327600
1999-01-11,13.828731,13.993359,13.570030,13.570030,388200
1999-01-12,13.570036,13.805218,13.546518,13.711145,331400
1999-01-13,13.640585,13.664103,13.428920,13.546512,346600
1999-01-14,13.452444,13.664108,13.358371,13.452444,369400
1999-01-15,13.452441,13.617069,13.334850,13.617069,616800
1999-01-19,13.664101,13.664101,13.334845,13.522991,308000
1999-01-20,13.499480,13.499480,13.029115,13.287816,465200
1999-01-21,13.381886,13.593551,13.240777,13.381886,285400
1999-01-22,13.428918,13.734655,13.381882,13.522991,455800
1999-01-25,13.522996,13.781697,13.334850,13.687624,447400
1999-01-26,13.781696,13.946324,13.617068,13.899287,588600
1999-01-27,13.875770,13.922806,13.734660,13.805215,342000
1999-01-28,13.805214,13.993360,13.734659,13.922805,411000
1999-01-29,14.016886,14.581325,13.946331,14.581325,761400
1999-02-01,14.675391,14.816501,14.463727,14.816501,572800
1999-02-02,14.651859,14.745932,14.346122,14.557786,426000
1999-02-03,14.369650,14.487241,14.346132,14.393168,351200
1999-02-04,14.369656,14.487247,14.346137,14.369656,295400
1999-02-05,14.463713,14.745932,14.440195,14.557786,540000
1999-02-08,14.510761,14.722426,14.322615,14.440207,345600
1999-02-09,14.440205,14.581315,14.369650,14.487242,378000
1999-02-10,14.393174,14.487247,14.110955,14.369656,481600
1999-02-11,14.299096,14.487242,14.110950,14.487242,428800
1999-02-12,14.416684,14.487239,14.322611,14.322611,352800
1999-02-16,14.346137,14.651874,14.346137,14.604837,620200
1999-02-17,14.346122,14.651859,14.346122,14.557786,429200
1999-02-18,14.510753,14.792972,14.510753,14.675381,519800
1999-02-19,14.792979,15.145753,14.534278,14.981125,564200
1999-02-22,14.722425,15.333900,14.698907,15.263345,1041600
1999-02-23,15.263348,15.522049,14.910575,15.028166,1142400
1999-02-24,14.769456,15.098712,14.769456,15.004639,656000
1999-02-25,14.816493,15.028157,14.816493,15.004639,957000
1999-02-26,15.051675,15.051675,14.698902,15.004639,230800
1999-03-01,14.957604,15.028159,14.157984,14.934086,433800
1999-03-02,14.887063,14.957618,14.557807,14.745954,355400
1999-03-03,14.745952,14.745952,14.510770,14.581325,1104400
1999-03-04,14.581320,15.028167,14.463729,14.887057,687200
1999-03-05,14.981128,15.239829,14.957610,15.169274,347200
1999-03-08,15.075198,15.216307,14.910570,14.981125,373400
1999-03-09,14.887056,15.051684,14.745947,15.028166,390000
1999-03-10,15.051680,15.498527,14.863534,15.475009,573400
1999-03-11,15.380935,15.475008,15.145753,15.286862,539600
1999-03-12,15.373634,15.420792,14.902050,15.067104,471200
1999-03-15,14.972786,15.232157,14.949207,15.161420,560200
1999-03-16,15.090684,15.090684,14.949209,15.019946,157400
1999-03-17,15.019951,15.019951,14.619104,14.666263,474800
1999-03-18,14.666263,14.784159,14.642684,14.737000,287800
1999-03-19,14.689842,15.043530,14.642684,14.760580,541600
1999-03-22,14.666249,14.760566,14.595511,14.595511,301000
1999-03-23,14.666261,14.689840,13.770252,13.911727,681200
1999-03-24,13.888154,14.289001,13.864575,14.123946,643200
1999-03-25,14.123936,14.265411,13.982461,14.076777,378200
1999-03-26,14.053201,14.312572,13.723092,13.958884,493800
1999-03-29,13.982463,14.336151,13.935304,13.982463,545000
1999-03-30,13.935306,13.958885,13.392985,13.463722,576200
1999-03-31,13.581615,13.675932,13.298665,13.392982,697400
1999-04-01,13.581618,13.770252,13.086455,13.463722,1082800
1999-04-05,13.534462,13.770254,13.392987,13.652358,581800
1999-04-06,13.581615,13.958882,13.487298,13.605194,971800
1999-04-07,13.699511,13.935302,13.605194,13.864565,638400
1999-04-08,13.958885,14.265415,13.770252,14.194677,335600
1999-04-09,14.147518,14.265414,13.581617,13.958884,328800
1999-04-12,13.958884,14.029622,13.793830,14.029622,612200
1999-04-13,13.864563,14.076776,13.817405,14.053197,478000
1999-04-14,14.053199,14.689837,14.006041,14.571941,537200
1999-04-15,14.548365,15.279320,14.430469,15.090687,1153400
1999-04-16,15.161424,15.161424,15.043528,15.114265,640800
1999-04-19,15.019941,16.222479,15.019941,16.033846,1926600
1999-04-20,16.033863,16.081021,15.420803,15.491541,863600
1999-04-21,15.326471,15.656579,15.161416,15.350050,305200
1999-04-22,15.185004,15.255742,14.807737,15.185004,464800
1999-04-23,15.373631,15.515106,15.043522,15.043522,537000
1999-04-26,15.043525,15.232159,15.043525,15.067104,422000
1999-04-27,15.161419,15.845216,15.161419,15.609424,740400
1999-04-28,15.562274,15.915962,15.562274,15.656590,371200
1999-04-29,15.656587,16.033854,15.656587,16.010275,332400
1999-04-30,15.939533,16.222483,15.750900,15.821637,672400
1999-05-03,15.680166,16.363963,15.680166,16.010275,782600
1999-05-04,15.915953,15.939532,15.420790,15.703740,354200
1999-05-05,15.798053,15.892369,15.515102,15.892369,571800
1999-05-06,15.845226,16.081019,15.585855,15.798068,454200
1999-05-07,15.798060,16.175327,15.703743,15.845219,827000
1999-05-10,15.774479,16.198904,15.644793,15.821637,533800
1999-05-11,15.703751,15.868806,15.609434,15.798068,287400
1999-05-12,15.703749,15.750908,15.420799,15.633012,422800
1999-05-13,15.774482,16.033853,15.727323,15.986694,274200
1999-05-14,15.845224,15.915962,15.467957,15.656590,397200
1999-05-17,15.633001,15.798056,15.491526,15.680160,415400
1999-05-18,15.585850,15.703746,15.232162,15.562271,303000
1999-05-19,15.656593,15.798068,15.515118,15.798068,225000
1999-05-20,15.750907,15.892383,15.656591,15.774487,406200
1999-05-21,15.750901,16.222485,15.750901,16.128168,589600
1999-05-24,16.081008,16.104587,15.845216,15.915954,386600
1999-05-25,15.939528,16.198899,15.892369,15.892369,481000
1999-05-26,15.868790,15.939528,15.609419,15.892369,490600
1999-05-27,15.868797,15.963114,15.774481,15.868797,608800
1999-05-28,15.915950,16.104583,15.868792,16.033846,329200
1999-06-01,15.986690,16.222482,15.939532,16.175323,380000
1999-06-02,16.222467,16.599734,16.222467,16.505417,627800
1999-06-03,16.599749,16.694066,16.363957,16.576170,1050400
1999-06-04,16.576171,16.646908,16.363958,16.552591,540600
1999-06-07,16.646919,16.646919,16.340389,16.434706,666000
1999-06-08,16.481848,16.552585,16.387531,16.481848,308600
1999-06-09,16.576173,16.741228,16.505436,16.670490,438200
1999-06-10,16.670486,16.670486,16.222481,16.529011,580600
1999-06-11,16.497818,16.592361,16.356003,16.497818,335600
1999-06-14,16.545092,16.686907,16.545092,16.639635,458600
1999-06-15,16.686905,16.805084,16.450546,16.474182,403400
1999-06-16,16.568720,16.615991,16.426905,16.521448,227400
1999-06-17,16.474177,16.615992,16.403269,16.568720,464400
1999-06-18,16.521446,16.639625,16.521446,16.592354,443400
1999-06-21,16.615986,16.615986,16.332356,16.450535,357200
1999-06-22,16.450535,16.521442,16.261448,16.450535,282200
1999-06-23,16.355997,16.521448,16.308726,16.521448,247000
1999-06-24,16.450548,16.592363,16.332369,16.356005,289400
1999-06-25,16.308735,16.545093,16.308735,16.426914,294400
1999-06-28,16.308731,16.308731,16.119644,16.119644,387600
1999-06-29,16.025093,16.308723,15.906914,16.214180,524400
1999-06-30,16.261460,16.497818,15.977829,16.497818,357400
1999-07-01,16.497816,16.497816,16.166914,16.308729,342200
1999-07-02,16.214190,16.356005,16.214190,16.356005,301000
1999-07-06,16.403273,16.403273,16.261458,16.403273,301200
1999-07-07,16.497801,16.592344,16.379622,16.545073,560600
