date,open,high,low,close,volume
1999-01-04,3.139272,3.242764,3.093275,3.219766,1759600
1999-01-05,3.219766,3.265763,3.196768,3.219766,991200
1999-01-06,3.208268,3.288762,3.173770,3.277263,1356000
1999-01-07,3.231266,3.242765,3.035780,3.150772,2656800
1999-01-08,3.150770,3.369254,3.139271,3.311758,3171200
1999-01-11,3.380756,3.392255,3.104776,3.173771,3020400
1999-01-12,3.162271,3.346258,3.139273,3.185269,3406000
1999-01-13,3.087125,3.179278,3.052568,3.144721,3693200
1999-01-14,3.144721,3.213836,3.110164,3.121683,716800
1999-01-15,3.110163,3.179277,3.064086,3.098644,830400
1999-01-19,3.179278,3.294470,3.156240,3.225355,1772800
1999-01-20,3.271431,3.363584,3.225355,3.225355,1516800
1999-01-21,3.248395,3.317510,3.236876,3.259914,1546400
1999-01-22,3.213835,3.317507,3.202316,3.317507,2235600
1999-01-25,3.317510,3.329029,3.225357,3.259914,1106000
1999-01-26,3.248394,3.248394,3.167760,3.179279,3531600
1999-01-27,3.213835,3.225354,3.064087,3.087125,2788400
1999-01-28,3.087125,3.121682,3.029529,3.087125,3273200
1999-01-29,3.087126,3.259913,3.052569,3.179279,2827200
1999-02-01,3.156240,3.156240,3.075606,3.087125,3993200
1999-02-02,3.064089,3.087127,2.902821,2.902821,2926800
1999-02-03,2.948896,3.064088,2.925858,3.029530,3995600
1999-02-04,3.029531,3.110165,2.994974,3.041050,3675600
1999-02-05,3.041049,3.133202,3.041049,3.121683,1486400
1999-02-08,3.133202,3.202316,3.133202,3.133202,961200
1999-02-09,3.144721,3.156240,3.018010,3.144721,715600
1999-02-10,3.133202,3.144721,3.052568,3.075607,565600
1999-02-11,3.087126,3.179279,3.029530,3.064088,3232000
1999-02-12,3.029529,3.144721,3.029529,3.133202,1567200
1999-02-16,3.087127,3.121684,2.948897,3.041050,1332000
1999-02-17,2.994973,3.052569,2.948896,3.029530,1139200
1999-02-18,3.029531,3.041050,2.960416,3.006493,800400
1999-02-19,3.041051,3.052570,2.994974,3.018012,2458000
1999-02-22,3.041049,3.133202,2.983454,3.029530,779600
1999-02-23,3.029531,3.029531,2.983454,2.994973,1269600
1999-02-24,2.994973,3.064088,2.994973,3.006493,1193200
1999-02-25,3.041049,3.110164,3.018011,3.075607,1639200
1999-02-26,3.087127,3.087127,3.006493,3.041050,1188000
1999-03-01,3.087125,3.087125,2.937377,2.948896,2834400
1999-03-02,2.983453,3.087125,2.971934,2.983453,1619200
1999-03-03,3.006491,3.006491,2.925857,2.948896,2936400
1999-03-04,2.948896,3.052568,2.914339,3.052568,2527600
1999-03-05,3.064087,3.087125,3.029529,3.087125,760000
1999-03-08,3.121683,3.202316,3.041049,3.144721,1444800
1999-03-09,3.133203,3.156241,2.891301,3.006493,2306400
1999-03-10,3.041050,3.202317,3.006492,3.202317,5960000
1999-03-11,3.317509,3.375104,3.190798,3.202317,5587200
1999-03-12,3.202318,3.271432,3.156241,3.179279,1056800
