date,open,high,low,close,volume
1999-01-04,5.950015,6.098302,5.931479,6.070498,607400
1999-01-05,6.051962,6.079766,6.033426,6.079766,407800
1999-01-06,6.098303,6.190983,6.098303,6.172447,605400
1999-01-07,6.153912,6.163180,6.079768,6.144644,184800
1999-01-08,6.135377,6.153913,6.098305,6.107573,294600
1999-01-11,6.135373,6.144641,6.089033,6.135373,537800
1999-01-12,6.116837,6.116837,6.079765,6.098301,455400
1999-01-13,5.968551,6.126105,5.931479,6.079766,505000
1999-01-14,6.098305,6.098305,6.014893,6.024161,329000
1999-01-15,6.005623,6.116838,5.959283,5.959283,309800
1999-01-19,6.024159,6.153910,6.014891,6.089034,360200
1999-01-20,6.126105,6.218785,6.116837,6.200249,630800
1999-01-21,6.163176,6.209515,6.126104,6.190979,376600
1999-01-22,6.153909,6.181713,6.014890,6.014890,492600
1999-01-25,6.005623,6.098302,6.005623,6.070498,538600
1999-01-26,6.033426,6.079766,6.024158,6.051962,413000
1999-01-27,6.051962,6.098302,6.024158,6.079766,984000
1999-01-28,6.079766,6.098302,6.042694,6.079766,540000
1999-01-29,6.051962,6.079766,6.005622,6.051962,1958400
1999-02-01,6.014894,6.144645,6.005626,6.107573,1757600
1999-02-02,6.089033,6.089033,6.042694,6.042694,1706800
1999-02-03,6.061231,6.070499,6.005623,6.005623,642400
1999-02-04,5.996357,6.042697,5.931481,5.996357,423000
1999-02-05,5.987087,6.005623,5.931479,5.968551,696400
1999-02-08,5.968550,6.042694,5.912943,6.042694,536200
1999-02-09,6.070497,6.079765,6.042693,6.061229,824400
1999-02-10,6.079765,6.172445,6.033426,6.042694,807200
1999-02-11,6.042694,6.061230,5.987086,6.051962,339800
1999-02-12,6.033429,6.061233,5.987089,5.996357,594800
1999-02-16,6.005623,6.024158,5.940747,5.959283,340800
1999-02-17,5.987089,6.014893,5.968553,5.996357,2173800
1999-02-18,5.987089,6.042697,5.977821,5.996357,528600
1999-02-19,5.950017,6.042697,5.912946,5.996357,559800
1999-02-22,5.996353,6.042692,5.968549,6.033424,382000
1999-02-23,6.005623,6.079766,6.005623,6.070498,358800
1999-02-24,6.098302,6.126105,6.061230,6.079766,395400
1999-02-25,6.079766,6.098302,6.061231,6.070498,249400
1999-02-26,6.061230,6.079766,6.005622,6.079766,247200
1999-03-01,6.042697,6.061233,6.005625,6.024161,390000
1999-03-02,6.005623,6.116838,5.996355,6.070498,247800
1999-03-03,6.070497,6.089033,6.042693,6.061229,589000
1999-03-04,6.061230,6.089034,6.024158,6.079766,586600
1999-03-05,6.098305,6.098305,6.005625,6.024161,431400
1999-03-08,6.005623,6.116838,6.005623,6.089034,256600
1999-03-09,6.089033,6.116837,6.042693,6.098301,652200
1999-03-10,6.079765,6.079765,5.996354,6.042694,374800
1999-03-11,6.042694,6.061229,6.014890,6.042694,383400
1999-03-12,6.024158,6.070497,6.005622,6.014890,363400
1999-03-15,6.005621,6.042692,5.987085,6.033424,245400
1999-03-16,6.051962,6.061229,6.005622,6.042694,690800
1999-03-17,6.046091,6.149846,6.036659,6.149846,708200
1999-03-18,6.121550,6.178143,6.102685,6.159279,756400
1999-03-19,6.159280,6.234738,6.159280,6.225306,610200
1999-03-22,6.206439,6.281898,6.187575,6.187575,323400
1999-03-23,6.149846,6.215872,6.121549,6.187575,555400
1999-03-24,6.187573,6.215870,6.149844,6.168709,885000
1999-03-25,6.112117,6.168711,6.112117,6.159279,687600
1999-03-26,6.149844,6.281895,6.112115,6.244166,380200
1999-03-29,6.234736,6.244168,6.130981,6.215871,294200
1999-03-30,6.187574,6.234736,6.149845,6.215871,240400
1999-03-31,6.197009,6.263035,6.159280,6.225306,415800
1999-04-01,6.215870,6.291328,6.159277,6.168709,325800
1999-04-05,6.168710,6.253601,6.159278,6.187575,295200
1999-04-06,6.187575,6.263033,6.159278,6.187575,377400
1999-04-07,6.225305,6.244169,6.140414,6.159279,964000
1999-04-08,6.149844,6.149844,6.093250,6.130979,728200
1999-04-09,6.149846,6.178143,6.074388,6.149846,600400
1999-04-12,6.168712,6.253602,6.121550,6.225306,364800
1999-04-13,6.225304,6.234736,6.149846,6.187575,449000
1999-04-14,6.187573,6.263031,6.149844,6.244166,722000
1999-04-15,6.253602,6.489409,6.253602,6.423383,777600
1999-04-16,6.489408,6.772376,6.489408,6.753512,844400
1999-04-19,6.791242,6.932726,6.753513,6.847836,1136600
