date,open,high,low,close,volume
1999-01-04,2.753113,2.800175,2.741348,2.770761,667933
1999-01-05,2.764879,2.788410,2.753114,2.788410,277020
1999-01-06,2.788410,2.788410,2.700170,2.747231,458515
1999-01-07,2.747232,2.753114,2.706052,2.753114,241014
1999-01-08,2.729583,2.741348,2.682521,2.729583,328456
1999-01-11,2.729582,2.753113,2.706051,2.717817,350500
1999-01-12,2.706053,2.717819,2.682522,2.694288,1095587
1999-01-13,2.670756,2.670756,2.623694,2.647225,316699
1999-01-14,2.647225,2.647225,2.553102,2.553102,756109
1999-01-15,2.553102,2.629577,2.529571,2.629577,545222
1999-01-19,2.611928,2.611928,2.541335,2.588397,357848
1999-01-20,2.564867,2.564867,2.488392,2.511923,497460
1999-01-21,2.511924,2.511924,2.441330,2.506041,803871
1999-01-22,2.458977,2.558983,2.400150,2.535453,870003
1999-01-25,2.547218,2.547218,2.470743,2.529570,526852
1999-01-26,2.506039,2.547218,2.470743,2.541335,309351
1999-01-27,2.529571,2.529571,2.488391,2.523688,396057
1999-01-28,2.517804,2.547218,2.511922,2.529570,1456374
1999-01-29,2.517806,2.517806,2.417800,2.453097,638541
1999-02-01,2.470743,2.470743,2.376620,2.435447,330660
1999-02-02,2.411916,2.488392,2.370737,2.488392,496725
1999-02-03,2.476626,2.476626,2.435446,2.470743,188844
1999-02-04,2.447212,2.447212,2.411916,2.441329,221175
1999-02-05,2.435448,2.482510,2.400152,2.464862,1435799
1999-02-08,2.453096,2.464861,2.411916,2.458978,327721
1999-02-09,2.475163,2.504912,2.463262,2.475163,288042
1999-02-10,2.475162,2.475162,2.427562,2.427562,254241
1999-02-11,2.427563,2.487062,2.427563,2.475163,559918
1999-02-12,2.475161,2.475161,2.427562,2.439461,1241812
1999-02-16,2.439462,2.498961,2.415663,2.421612,366665
1999-02-17,2.397812,2.403762,2.308564,2.362113,761988
1999-02-18,2.368063,2.397812,2.308564,2.397812,556244
1999-02-19,2.409712,2.409712,2.338313,2.397812,309351
1999-02-22,2.445412,2.451362,2.415663,2.427562,473211
1999-02-23,2.439462,2.445412,2.415663,2.445412,530526
1999-02-24,2.415662,2.487061,2.415662,2.457312,1316027
1999-02-25,2.469212,2.475163,2.421613,2.475163,462924
1999-02-26,2.463261,2.463261,2.415663,2.463261,329190
1999-03-01,2.451361,2.528710,2.439461,2.510860,507747
1999-03-02,2.510860,2.510860,2.433512,2.457312,1803199
1999-03-03,2.445412,2.487061,2.445412,2.487061,1854635
1999-03-04,2.475162,2.498961,2.439462,2.498961,638541
1999-03-05,2.475162,2.546560,2.463262,2.534661,383566
1999-03-08,2.522761,2.546560,2.487061,2.510860,444554
