date,open,high,low,close,volume
1999-01-04,7.509168,7.716114,7.509168,7.656987,692300
1999-01-05,7.745678,7.775241,7.597859,7.656987,652800
1999-01-06,7.597859,7.656987,7.568296,7.656987,145000
1999-01-07,7.656986,7.745677,7.568295,7.686550,258900
1999-01-08,7.686553,7.686553,7.538735,7.568298,126300
1999-01-11,7.479603,7.627421,7.390912,7.627421,226400
1999-01-12,7.656983,7.656983,7.509165,7.538729,393700
1999-01-13,7.538729,7.568292,7.479601,7.538729,127200
1999-01-14,7.538729,7.568292,7.509165,7.538729,210000
1999-01-15,7.509171,7.568298,7.450044,7.568298,274600
1999-01-19,7.568294,7.627421,7.538730,7.627421,388300
1999-01-20,7.627426,7.627426,7.538735,7.568298,1392200
1999-01-21,7.568296,7.568296,7.450041,7.509169,657000
1999-01-22,7.509169,7.509169,7.390914,7.509169,1035400
1999-01-25,7.509170,7.538733,7.390915,7.450042,145400
1999-01-26,7.479605,7.509169,7.331787,7.390914,825900
1999-01-27,7.420474,7.420474,7.302220,7.302220,234700
1999-01-28,7.331787,7.450042,7.302224,7.361351,193700
1999-01-29,7.361346,7.450037,7.213528,7.243092,315100
1999-02-01,7.243093,7.331784,7.213529,7.302220,247500
1999-02-02,7.420474,7.420474,7.243093,7.302220,743500
1999-02-03,7.331788,7.509170,7.272661,7.479607,303800
1999-02-04,7.479608,7.479608,7.361353,7.420480,496000
1999-02-05,7.390917,7.450044,7.272662,7.420480,551400
1999-02-08,7.509170,7.509170,7.390915,7.450042,318500
1999-02-09,7.479606,7.479606,7.272660,7.361351,717200
1999-02-10,7.361353,7.420480,7.331789,7.331789,1248600
1999-02-11,7.272657,7.331785,7.124839,7.213530,383100
1999-02-12,7.154402,7.183966,6.977020,7.006584,317600
1999-02-16,6.947456,7.095275,6.917893,6.947456,294100
1999-02-17,6.917894,7.065712,6.799640,7.065712,732600
1999-02-18,7.124841,7.154405,7.036150,7.095277,200800
1999-02-19,7.154403,7.154403,7.006585,7.065712,77400
1999-02-22,7.036152,7.095280,7.006589,7.036152,150700
