date,open,high,low,close,volume
1999-01-04,10.334125,10.529109,10.295128,10.353623,146500
1999-01-05,10.431614,10.451113,10.373119,10.451113,119800
1999-01-06,10.529106,10.568102,10.373119,10.392617,153600
1999-01-07,10.451110,10.451110,10.373117,10.412113,105600
1999-01-08,10.412116,10.451113,10.412116,10.451113,171500
1999-01-11,10.451114,10.451114,10.392619,10.431616,275200
1999-01-12,10.451112,10.451112,10.353621,10.392617,195000
1999-01-13,10.275627,10.392617,10.275627,10.392617,149100
1999-01-14,10.353621,10.392618,10.139140,10.158638,95900
1999-01-15,10.158638,10.256129,10.139139,10.256129,148900
1999-01-19,10.295124,10.295124,10.002649,10.041646,89400
1999-01-20,10.022150,10.256130,10.022150,10.061147,144400
1999-01-21,10.041647,10.158638,10.022149,10.100142,156900
1999-01-22,10.061146,10.139139,10.061146,10.100142,64900
1999-01-25,10.139140,10.178137,10.022150,10.061147,167700
1999-01-26,10.119640,10.158637,10.022149,10.080644,172500
1999-01-27,10.100137,10.100137,10.022143,10.022143,192600
1999-01-28,10.022148,10.139138,9.983151,9.983151,227300
1999-01-29,9.983157,9.983157,9.807672,9.807672,122300
1999-02-01,9.749169,9.788166,9.359202,9.359202,155600
1999-02-02,9.203218,9.612683,9.125225,9.573687,420100
1999-02-03,9.573685,9.573685,9.398200,9.495691,199300
1999-02-04,9.515190,9.515190,9.281210,9.281210,151800
1999-02-05,9.222717,9.417701,9.222717,9.378704,97800
1999-02-08,9.378705,9.378705,9.261715,9.300712,191700
1999-02-09,9.300715,9.359210,9.008239,9.027738,253400
1999-02-10,9.086226,9.281210,9.027731,9.086226,250500
1999-02-11,9.125225,9.203218,8.988737,9.125225,276200
1999-02-12,9.047234,9.164224,8.891247,8.969240,416800
1999-02-16,8.910741,8.969236,8.735256,8.852246,145500
1999-02-17,8.891243,8.891243,8.813250,8.852246,247400
1999-02-18,8.891249,9.144728,8.871751,9.027738,265900
1999-02-19,9.047232,9.242215,9.008235,9.164222,132000
1999-02-22,9.105727,9.300711,9.105727,9.144724,156900
1999-02-23,9.164226,9.203223,9.027738,9.027738,129000
1999-02-24,9.125223,9.281210,9.008233,9.086226,238900
1999-02-25,9.027733,9.105727,8.891245,9.008235,125000
1999-02-26,9.008233,9.027732,8.793752,8.793752,86600
1999-03-01,8.852246,8.852246,8.579269,8.735256,231300
1999-03-02,8.774255,8.813251,8.696261,8.813251,162400
1999-03-03,8.832748,8.969236,8.735256,8.735256,172800
1999-03-04,8.774252,8.969235,8.735255,8.871743,1879300
1999-03-05,8.823256,8.962362,8.823256,8.902745,498600
1999-03-08,8.902745,8.902745,8.783512,8.902745,147400
1999-03-09,8.902746,8.902746,8.763641,8.823257,126800
1999-03-10,8.882875,8.922620,8.823259,8.882875,197000
1999-03-11,8.902748,8.922620,8.843131,8.882875,111000
1999-03-12,8.902750,9.061728,8.882878,9.061728,92900
1999-03-15,9.061725,9.101469,8.902747,8.982236,147900
1999-03-16,8.982234,9.021979,8.902746,8.962362,89800
1999-03-17,8.982234,9.021979,8.902746,8.962362,810100
1999-03-18,8.942490,9.021979,8.892810,8.962362,485000
1999-03-19,8.982239,9.081600,8.962366,9.061728,351000
1999-03-22,9.101466,9.200827,9.061722,9.101466,113600
1999-03-23,9.081594,9.121338,9.081594,9.101466,113400
1999-03-24,9.121341,9.320063,9.121341,9.220702,115100
1999-03-25,9.260449,9.379682,9.121343,9.141215,117600
1999-03-26,9.200827,9.220699,9.041850,9.101466,166900
1999-03-29,9.121339,9.161084,9.002106,9.021978,115200
1999-03-30,9.041855,9.061727,8.743772,8.743772,772300
1999-03-31,8.803387,8.823259,8.485432,8.485432,297000
1999-04-01,8.405943,8.405943,7.988626,8.107860,1357200
1999-04-05,8.107860,8.107860,7.551438,7.849521,789900
1999-04-06,7.929010,8.107860,7.869393,8.107860,234100
1999-04-07,8.107859,8.227092,8.048242,8.207220,234700
1999-04-08,8.246963,8.286708,8.087986,8.286708,296000
1999-04-09,8.246965,8.346326,8.167476,8.227093,233400
1999-04-12,8.147603,8.187348,8.087987,8.167476,232800
1999-04-13,8.187345,8.207217,8.107856,8.187345,334200
1999-04-14,8.147602,8.227091,8.028369,8.147602,193700
1999-04-15,8.167475,8.187347,8.048242,8.068114,152300
1999-04-16,8.147604,8.167476,7.909137,8.043275,433100
1999-04-19,8.107856,8.207217,8.028367,8.187345,332400
1999-04-20,8.187347,8.624536,8.187347,8.505302,173500
1999-04-21,8.564920,8.723898,8.465559,8.485432,106200
1999-04-22,8.465555,8.584788,8.386066,8.425811,98000
1999-04-23,8.465557,8.584790,8.326451,8.564918,185100
1999-04-26,8.584795,8.604667,8.505306,8.525178,104300
1999-04-27,8.465558,8.624536,8.425814,8.584791,260200
1999-04-28,8.564916,8.644405,8.505300,8.624533,143300
1999-04-29,8.624538,8.743771,8.545049,8.684155,123400
1999-04-30,8.723895,8.723895,8.584790,8.644406,63100
1999-05-03,8.664284,8.863006,8.624540,8.803390,103300
1999-05-04,8.823260,8.902749,8.763643,8.843132,96200
1999-05-05,8.882873,8.902745,8.823256,8.863001,126000
1999-05-06,8.942491,8.942491,8.783513,8.823257,181000
1999-05-07,8.863001,9.041851,8.863001,9.021978,234700
1999-05-10,9.081595,9.260445,9.061723,9.121340,196400
1999-05-11,9.161086,9.180958,9.101469,9.161086,230100
1999-05-12,9.161086,9.180958,9.101469,9.161086,100400
1999-05-13,9.161090,9.280323,9.141218,9.200834,88800
1999-05-14,9.141216,9.200832,8.922621,8.942493,111300
1999-05-17,8.982234,9.121340,8.942490,9.121340,63800
1999-05-18,9.121340,9.141212,9.041851,9.121340,109100
1999-05-19,9.081594,9.121338,8.982233,9.101466,119200
1999-05-20,9.061725,9.180958,8.982236,9.161086,116400
1999-05-21,9.081599,9.200832,9.061726,9.141215,61600
1999-05-24,9.101469,9.180958,9.101469,9.161086,67900
1999-05-25,9.200834,9.339940,9.161090,9.200834,72300
1999-05-26,9.121342,9.280319,9.121342,9.161086,173000
1999-05-27,9.180958,9.180958,9.081597,9.081597,91300
1999-05-28,9.121344,9.280322,9.101472,9.240578,107000
1999-06-01,9.200833,9.200833,9.041855,9.061728,80100
1999-06-02,9.081599,9.141216,8.942493,8.942493,115500
1999-06-03,9.002111,9.061728,8.982239,9.061728,67800
1999-06-04,9.041851,9.041851,8.922617,9.021978,2352800
1999-06-07,9.013064,9.033318,8.932048,8.932048,166400
1999-06-08,8.932048,8.952302,8.911794,8.932048,75100
1999-06-09,8.952303,8.952303,8.911795,8.952303,62300
1999-06-10,8.932053,8.952307,8.749766,8.810529,78000
1999-06-11,8.851037,8.851037,8.709258,8.729512,82600
1999-06-14,8.648494,8.952306,8.648494,8.871289,88800
1999-06-15,8.871288,8.972559,8.830780,8.851034,64900
1999-06-16,8.911798,8.952306,8.830781,8.911798,61200
1999-06-17,8.851036,8.911798,8.668749,8.891544,215600
1999-06-18,8.891543,8.891543,8.749765,8.790273,102900
1999-06-21,8.851037,8.851037,8.749766,8.810529,201800
1999-06-22,8.749765,8.891543,8.709256,8.790273,126500
1999-06-23,8.810526,8.972559,8.770018,8.851034,192100
1999-06-24,8.851034,8.871288,8.790272,8.851034,156600
1999-06-25,8.830781,8.911797,8.749765,8.871289,531600
1999-06-28,8.952307,8.952307,8.709258,8.709258,167400
1999-06-29,8.709253,8.810523,8.709253,8.770015,147900
1999-06-30,8.749767,8.749767,8.628242,8.628242,300700
1999-07-01,8.668748,8.709256,8.628240,8.689002,185600
1999-07-02,8.689000,8.709254,8.648492,8.668746,130300
1999-07-06,8.648494,8.790273,8.648494,8.790273,349300
1999-07-07,8.770020,8.770020,8.668750,8.729512,69600
1999-07-08,8.729516,8.749770,8.425704,8.567483,242200
1999-07-09,8.567479,8.607987,8.425700,8.445954,363700
1999-07-12,8.506716,8.526970,8.263667,8.304175,146600
1999-07-13,8.364939,8.466209,8.243414,8.405447,164800
1999-07-14,8.425702,8.425702,8.283923,8.364940,170900
1999-07-15,8.405446,8.425700,8.263667,8.344684,195200
1999-07-16,8.385194,8.385194,8.243415,8.283923,163600
1999-07-19,8.304172,8.344680,8.202902,8.223156,312700
1999-07-20,8.263664,8.405443,8.223156,8.223156,346900
1999-07-21,8.223160,8.405447,8.223160,8.405447,119200
1999-07-22,8.364939,8.466209,8.283922,8.405447,146000
1999-07-23,8.466205,8.628238,8.466205,8.587729,384700
1999-07-26,8.628243,8.689005,8.607988,8.648497,238400
1999-07-27,8.628238,8.689000,8.628238,8.668746,175500
1999-07-28,8.607984,8.668746,8.587730,8.607984,161600
1999-07-29,8.567475,8.628238,8.567475,8.587729,581000
1999-07-30,8.587733,8.587733,8.466208,8.466208,88200
1999-08-02,8.526967,8.668746,8.506713,8.587729,110800
1999-08-03,8.547226,8.668751,8.466210,8.628242,57900
1999-08-04,8.587733,8.607987,8.466209,8.486463,202300
1999-08-05,8.506717,8.587733,8.385192,8.445954,101100
1999-08-06,8.466208,8.486462,8.364938,8.445954,148000
1999-08-09,8.425702,8.425702,8.304177,8.364940,80900
1999-08-10,8.405449,8.405449,8.223162,8.243416,218200
1999-08-11,8.243416,8.385195,8.202908,8.263670,155500
1999-08-12,8.101636,8.101636,7.878841,7.939603,488500
1999-08-13,7.899095,7.919350,7.818079,7.858587,492200
1999-08-16,7.818076,7.838330,7.696551,7.757314,326300
1999-08-17,7.757316,7.757316,7.595283,7.737062,494700
1999-08-18,7.777565,7.777565,7.433246,7.635787,617300
1999-08-19,7.453503,7.595282,7.372487,7.534520,357300
1999-08-20,7.534520,7.615537,7.494012,7.595283,527400
1999-08-23,7.656045,7.716807,7.494012,7.575028,371000
1999-08-24,7.615536,7.716806,7.453503,7.716806,400100
