date,open,high,low,close,volume
1999-01-04,6.168248,6.242789,6.093708,6.103025,2399102
1999-01-05,6.121660,6.130977,6.037802,6.075072,969062
1999-01-06,6.000531,6.009848,5.944625,5.953943,4231236
1999-01-07,5.916670,5.972576,5.832812,5.916670,3744742
1999-01-08,5.888722,5.898040,5.814181,5.851451,2351715
1999-01-11,5.814180,5.842133,5.786228,5.823498,2085054
1999-01-12,5.823494,5.963258,5.758271,5.786224,2593980
1999-01-13,5.786226,5.870085,5.721003,5.776909,3469950
1999-01-14,5.758273,5.776908,5.627827,5.674415,1808860
1999-01-15,5.665096,5.748955,5.646461,5.748955,1083466
1999-01-19,5.711686,5.730321,5.637145,5.711686,1096364
1999-01-20,5.674415,5.702368,5.609192,5.655780,1323488
1999-01-21,5.693049,5.730320,5.646461,5.665096,1550332
1999-01-22,5.646463,5.693050,5.599875,5.693050,1649032
1999-01-25,5.730321,5.730321,5.627827,5.627827,1068885
1999-01-26,5.721001,5.795542,5.693048,5.730319,2973642
1999-01-27,5.721003,5.739638,5.609192,5.627827,1424712
1999-01-28,5.627827,5.725662,5.590556,5.655780,1600523
1999-01-29,5.674415,5.711686,5.553286,5.693050,2921207
1999-02-01,5.665096,5.674413,5.571920,5.599873,1090195
1999-02-02,5.571921,5.637144,5.571921,5.609191,1749135
1999-02-03,5.637145,5.683733,5.590557,5.627827,1671184
1999-02-04,5.627827,5.637145,5.534651,5.553286,1449668
1999-02-05,5.553286,5.581239,5.413522,5.469428,2639966
1999-02-08,5.450793,5.478746,5.357617,5.376252,2030376
1999-02-09,5.385571,5.394888,5.264441,5.264441,4778296
1999-02-10,5.348298,5.404203,5.301709,5.366933,1739602
1999-02-11,5.329662,5.385568,5.311027,5.366933,1569399
1999-02-12,5.357618,5.376253,5.301712,5.348300,2018039
1999-02-16,5.404204,5.450791,5.394886,5.422839,2101878
1999-02-17,5.441473,5.665095,5.432155,5.618507,3923918
1999-02-18,5.599751,5.721689,5.552852,5.684169,12075706
1999-02-19,5.665408,5.665408,5.552851,5.562231,4654920
1999-02-22,5.562232,5.590371,5.496574,5.571612,1540237
1999-02-23,5.571607,5.684165,5.552847,5.656026,3481727
1999-02-24,5.656030,5.656030,5.449673,5.487193,964296
1999-02-25,5.487191,5.487191,5.327734,5.374633,1795401
1999-02-26,5.346496,5.384015,5.290217,5.346496,1190018
1999-03-01,5.308977,5.308977,5.187039,5.290217,2183194
1999-03-02,5.290215,5.402773,5.271455,5.337114,1771567
1999-03-03,5.355876,5.440295,5.327737,5.440295,1545845
1999-03-04,5.421534,5.646649,5.412154,5.646649,2550799
1999-03-05,5.834245,5.871764,5.731067,5.871764,3893634
1999-03-08,5.909284,5.928044,5.843625,5.890524,2539022
1999-03-09,5.871765,5.918664,5.796726,5.815486,3194878
1999-03-10,5.815483,5.871762,5.787344,5.806103,1003552
1999-03-11,5.815484,5.956181,5.815484,5.881143,1394429
1999-03-12,5.890524,6.096880,5.890524,5.993702,1895504
1999-03-15,6.003080,6.087499,5.984320,6.031219,1297691
1999-03-16,6.040599,6.153157,6.031219,6.125018,3936536
1999-03-17,6.115638,6.171916,6.096878,6.125018,2214319
1999-03-18,6.162537,6.284475,6.153158,6.284475,1512197
1999-03-19,6.265716,6.397034,6.256336,6.303236,3581269
1999-03-22,6.293858,6.434555,6.284478,6.434555,2072156
1999-03-23,6.397031,6.453310,6.321993,6.378272,4287877
1999-03-24,6.415792,6.528350,6.387653,6.528350,2593700
1999-03-25,6.650286,6.790983,6.631527,6.772223,5282736
1999-03-26,6.781607,6.969204,6.772227,6.866025,4550331
1999-03-29,6.837884,6.969202,6.828504,6.969202,6877932
1999-03-30,6.950445,6.978585,6.894167,6.931686,5304327
1999-03-31,6.959822,7.034860,6.941061,6.941061,7327413
1999-04-01,6.941062,7.006721,6.912923,6.959823,3511169
1999-04-05,7.044242,7.044242,6.978583,7.025483,2786615
1999-04-06,7.034860,7.072379,6.997340,7.062999,8715954
1999-04-07,7.072379,7.100518,6.997340,7.062999,2013272
1999-04-08,7.063001,7.147420,6.997343,7.025483,2050846
1999-04-09,7.044241,7.091140,7.025481,7.091140,2309374
1999-04-12,7.119280,7.166179,7.025482,7.053621,1541920
1999-04-13,7.091137,7.128656,7.053617,7.081757,6103467
1999-04-14,6.959824,6.978583,6.678429,6.687809,2404991
1999-04-15,6.697188,6.828505,6.697188,6.753467,1474624
1999-04-16,6.828505,6.950442,6.772226,6.950442,2663239
1999-04-19,6.987961,7.147418,6.978581,7.062999,1320123
1999-04-20,7.034860,7.147417,7.025480,7.100518,1773250
1999-04-21,7.100522,7.119281,7.053623,7.119281,3739414
1999-04-22,7.016101,7.072380,6.866024,6.884783,1790074
1999-04-23,6.894162,6.997339,6.875402,6.903542,1910646
1999-04-26,6.903543,6.941061,6.847264,6.941061,988971
1999-04-27,7.016100,7.072379,6.978581,7.062999,1527900
1999-04-28,7.063000,7.147418,7.063000,7.147418,2627909
1999-04-29,7.128662,7.156801,7.091143,7.128662,4147957
1999-04-30,7.119281,7.156801,7.053623,7.119281,1882045
1999-05-03,7.109900,7.203698,7.109900,7.184939,1165903
1999-05-04,7.147418,7.213077,7.091139,7.203697,4006075
1999-05-05,7.166179,7.203698,7.138040,7.184939,1090476
1999-05-06,7.175558,7.222457,7.109899,7.194318,4804934
1999-05-07,7.203697,7.269356,7.147418,7.203697,1377044
1999-05-10,7.184939,7.194318,7.128660,7.156799,1647350
1999-05-11,7.175558,7.231836,7.138039,7.147418,1760071
1999-05-12,7.138039,7.241217,7.100519,7.147418,2028694
1999-05-13,7.147419,7.231837,7.138039,7.194318,2911954
1999-05-14,7.156797,7.156797,6.978581,7.016100,4155528
1999-05-17,7.016102,7.091140,6.912924,7.072381,1156089
1999-05-18,7.072381,7.109900,7.044242,7.053621,2370221
1999-05-19,7.091142,7.269358,7.081762,7.259978,2410599
1999-05-20,7.250601,7.269360,7.184942,7.222461,1458080
1999-05-21,7.250596,7.288116,7.203697,7.278735,995420
1999-05-24,7.353776,7.578892,7.344396,7.503853,2726890
1999-05-25,7.522609,7.522609,7.353773,7.391292,1865501
1999-05-26,7.429006,7.438434,7.315874,7.410151,7126366
1999-05-27,7.381865,7.381865,7.249878,7.287589,2376951
1999-05-28,7.344158,7.391296,7.297019,7.381868,1236284
1999-06-01,7.353582,7.363010,7.165029,7.231023,1469576
1999-06-02,7.221596,7.268734,7.042470,7.051898,1341153
1999-06-03,7.089610,7.089610,6.882202,7.014189,2158519
1999-06-04,7.051898,7.165030,6.948194,6.985904,1767361
1999-06-07,7.014186,7.033041,6.985903,7.033041,1031872
1999-06-08,6.995334,7.033045,6.938768,6.948196,2132162
1999-06-09,6.957623,7.099038,6.957623,7.089610,2593420
1999-06-10,7.089606,7.108462,7.042468,7.099034,2961585
1999-06-11,7.080180,7.183885,7.080180,7.183885,2502290
1999-06-14,7.146173,7.344155,7.136746,7.287589,1314796
1999-06-15,7.268733,7.353582,7.259305,7.287589,908496
1999-06-16,7.297019,7.381868,7.240453,7.249880,1889616
1999-06-17,7.165031,7.174458,7.108465,7.108465,3770258
1999-06-18,7.089608,7.108464,6.976476,7.080181,4771286
1999-06-21,7.080181,7.099036,6.910483,6.957621,2071034
1999-06-22,6.995330,7.033040,6.948191,6.967046,1244976
1999-06-23,6.938767,7.004760,6.844490,6.863345,2114496
1999-06-24,6.844488,6.891626,6.646506,6.655934,7099448
1999-06-25,6.637080,6.637080,6.448526,6.486237,5390129
1999-06-28,6.486238,6.561659,6.486238,6.514521,3351341
1999-06-29,6.514520,6.514520,6.467382,6.476810,1933638
1999-06-30,6.486236,6.486236,6.297683,6.316538,4347882
1999-07-01,6.278827,6.401387,6.241117,6.316538,2035704
1999-07-02,6.278827,6.382532,6.278827,6.335393,1695859
1999-07-06,6.307112,6.344823,6.278829,6.307112,1628002
1999-07-07,6.307113,6.354251,6.307113,6.325968,1427516
1999-07-08,6.354249,6.429671,6.297684,6.410815,4024581
1999-07-09,6.401391,6.457957,6.401391,6.457957,1268810
1999-07-12,6.420243,6.439098,6.382532,6.410815,1380970
1999-07-13,6.467382,6.533376,6.457955,6.523948,3127862
1999-07-14,6.523948,6.561659,6.495665,6.523948,1648472
1999-07-15,6.523951,6.646510,6.519237,6.561661,1439574
1999-07-16,6.571085,6.627651,6.571085,6.580513,2468642
1999-07-19,6.571088,6.665364,6.542805,6.665364,1178802
1999-07-20,6.599368,6.627651,6.580513,6.580513,2427984
1999-07-21,6.580514,6.618225,6.505093,6.523948,1241892
1999-07-22,6.552234,6.580517,6.514523,6.561661,1502664
1999-07-23,6.533375,6.561658,6.467382,6.495665,2933545
1999-07-26,6.486240,6.561661,6.486240,6.533378,1204879
1999-07-27,6.505095,6.542805,6.420245,6.429673,1665856
1999-07-28,6.439101,6.457957,6.354252,6.373107,841200
1999-07-29,6.335394,6.467381,6.335394,6.410815,2307131
1999-07-30,6.391962,6.429672,6.335396,6.391962,1228432
1999-08-02,6.401389,6.467383,6.335396,6.391962,898121
1999-08-03,6.457955,6.533376,6.401389,6.523948,1098046
1999-08-04,6.514519,6.523946,6.391959,6.401387,715861
1999-08-05,6.382535,6.505095,6.373108,6.457957,1181886
1999-08-06,6.420242,6.486235,6.325965,6.401387,551266
1999-08-09,6.439099,6.439099,6.373106,6.382533,711936
1999-08-10,6.420243,6.476809,6.401388,6.410815,1041406
1999-08-11,6.410816,6.439099,6.401388,6.439099,457613
1999-08-12,6.420242,6.420242,6.335393,6.335393,378260
1999-08-13,6.373106,6.429672,6.363679,6.391962,958407
1999-08-16,6.420241,6.429669,6.278826,6.288254,364240
1999-08-17,6.325965,6.325965,6.184550,6.222260,1043368
1999-08-18,6.241119,6.241119,6.127987,6.165697,782877
1999-08-19,6.127986,6.297685,6.080848,6.259974,1196747
1999-08-20,6.297684,6.495665,6.269401,6.439099,1121039
1999-08-23,6.429673,6.439100,6.278830,6.325968,895598
1999-08-24,6.354248,6.401387,6.297683,6.401387,929526
1999-08-25,6.297067,6.486738,6.278100,6.467771,8698849
1999-08-26,6.353972,6.486741,6.335005,6.353972,1648752
1999-08-27,6.316033,6.353967,6.278099,6.297066,995140
1999-08-30,6.335002,6.344485,6.249650,6.259134,905131
1999-08-31,6.230686,6.259137,6.135851,6.164301,1944854
1999-09-01,6.164300,6.230684,6.145333,6.202234,1534910
1999-09-02,6.145331,6.183265,6.088429,6.154815,618843
1999-09-03,6.164298,6.297067,6.164298,6.287584,1283671
1999-09-07,6.325522,6.325522,6.145335,6.173785,531358
1999-09-08,6.097916,6.278103,6.097916,6.278103,1881204
1999-09-09,6.278101,6.391904,6.249650,6.372937,2057014
1999-09-10,6.353971,6.382421,6.297069,6.344487,1095242
1999-09-13,6.325519,6.325519,6.164299,6.249651,996542
1999-09-14,6.183266,6.202232,6.107397,6.116881,1458080
1999-09-15,6.173782,6.240166,6.088430,6.192749,1721936
1999-09-16,6.126366,6.164300,6.012563,6.059981,833068
1999-09-17,6.059982,6.240169,6.059982,6.221202,2281615
1999-09-20,6.230683,6.278101,6.116881,6.116881,1304982
1999-09-21,6.041013,6.041013,5.822892,5.908243,1226189
1999-09-22,5.889278,5.917729,5.756509,5.784959,1361342
1999-09-23,5.803923,5.860825,5.386648,5.528901,5704177
1999-09-24,5.557354,5.879795,5.557354,5.747025,4032152
1999-09-27,5.728057,5.784959,5.623739,5.633222,1724460
1999-09-28,5.614254,5.633222,5.386650,5.443551,3473876
1999-09-29,5.462518,5.585803,5.462518,5.490968,1611739
1999-09-30,5.547870,5.813409,5.538387,5.690124,3427049
1999-10-01,5.709090,5.784958,5.642705,5.775475,1366950
1999-10-04,5.784961,5.965148,5.784961,5.889279,1751659
1999-10-05,5.870309,5.898760,5.671155,5.728056,953080
1999-10-06,5.765992,5.813410,5.737542,5.794443,918871
1999-10-07,5.784957,5.803924,5.699605,5.699605,703804
1999-10-08,5.728058,5.775475,5.661673,5.690124,794654
1999-10-11,5.728057,5.728057,5.595288,5.614254,1263202
1999-10-12,5.623736,5.652187,5.509934,5.642704,1552855
1999-10-13,5.623739,5.690124,5.557354,5.690124,1309748
1999-10-14,5.690124,5.756509,5.680640,5.747025,1326572
1999-10-15,5.747025,5.747025,5.576321,5.633222,1075614
1999-10-18,5.671155,5.747023,5.614253,5.728056,620245
1999-10-19,5.765993,5.765993,5.623741,5.623741,946911
1999-10-20,5.623736,5.699604,5.614252,5.661670,629778
1999-10-21,5.661673,5.690123,5.547870,5.633222,1133377
1999-10-22,5.661670,5.747022,5.633219,5.661670,1550892
1999-10-25,5.652189,5.671156,5.576321,5.576321,3495747
1999-10-26,5.585804,5.671157,5.585804,5.633222,4428918
1999-10-27,5.604771,5.803925,5.604771,5.737541,1766240
1999-10-28,5.775476,5.851344,5.737541,5.784959,2203944
1999-10-29,5.813410,5.832378,5.747026,5.794443,998224
1999-11-01,5.765989,5.841857,5.765989,5.832374,1286475
1999-11-02,5.803927,5.889279,5.803927,5.813410,702122
1999-11-03,5.841859,5.860827,5.803925,5.841859,2489672
1999-11-04,5.860827,5.860827,5.728058,5.784959,4873072
1999-11-05,5.822893,5.841859,5.709090,5.737541,940181
1999-11-08,5.718577,5.737543,5.661675,5.680642,1961959
1999-11-09,5.661673,5.690123,5.509936,5.576321,2558930
1999-11-10,5.538125,5.604965,5.423543,5.509480,6854658
1999-11-11,5.509481,5.547676,5.442642,5.480836,2028694
1999-11-12,5.519027,5.547673,5.509478,5.528575,860548
1999-11-15,5.490384,5.547675,5.442641,5.452190,986728
1999-11-16,5.471286,5.509480,5.404446,5.413995,1150201
1999-11-17,5.375802,5.394898,5.289865,5.337608,2848023
1999-11-18,5.337608,5.394898,5.280317,5.318511,1771848
1999-11-19,5.280316,5.347155,5.270768,5.299413,1360781
1999-11-22,5.270770,5.289866,5.203930,5.203930,1100290
1999-11-23,5.175281,5.194378,5.070247,5.089345,2179830
1999-11-24,5.041601,5.070246,4.984310,5.012956,2184596
1999-11-26,5.022509,5.032057,5.003412,5.032057,434900
1999-11-29,4.927021,4.927021,4.697857,4.812438,5399102
1999-11-30,4.869733,5.041606,4.869733,5.032057,4397794
1999-12-01,4.946119,4.984313,4.879279,4.917473,2069072
1999-12-02,4.879281,5.098896,4.869732,5.098896,2613328
1999-12-03,5.089345,5.213475,5.022505,5.089345,2124871
1999-12-06,5.146637,5.175283,5.060701,5.117991,1856248
1999-12-07,5.156187,5.165735,5.089347,5.156187,2431348
1999-12-08,5.127539,5.137087,5.041602,5.089345,2182073
1999-12-09,5.146636,5.165733,5.022506,5.051151,2058416
1999-12-10,5.089347,5.184832,5.089347,5.156187,1752500
1999-12-13,5.156188,5.156188,5.041606,5.060703,958688
1999-12-14,5.041606,5.070251,4.955669,5.003411,2284980
1999-12-15,5.032056,5.137089,4.927023,5.127541,1808580
1999-12-16,5.098895,5.117992,5.060701,5.079798,1108421
1999-12-17,5.079798,5.137089,5.079798,5.127541,3681091
1999-12-20,5.146637,5.213477,5.117992,5.194380,1375923
1999-12-21,5.156186,5.289865,5.156186,5.242123,2048322
1999-12-22,5.223026,5.270769,5.223026,5.270769,1597158
1999-12-23,5.299413,5.299413,5.261219,5.289865,1230115
1999-12-27,5.270769,5.366254,5.261220,5.270769,990934
1999-12-28,5.232573,5.280316,5.165734,5.223025,1680718
1999-12-29,5.213479,5.213479,5.117994,5.175286,650808
1999-12-30,5.137089,5.308961,5.137089,5.299413,1492569
1999-12-31,5.308963,5.347157,5.223026,5.308963,1218058
2000-01-03,5.270771,5.289867,5.041607,5.175286,1286195
2000-01-04,5.117993,5.213477,5.060702,5.137090,1248621
2000-01-05,5.137090,5.461738,5.137090,5.385351,1451350
2000-01-06,5.328057,5.499930,5.251669,5.394897,1225628
2000-01-07,5.404445,5.709997,5.347154,5.394897,3766613
2000-01-10,5.624063,5.757742,5.585869,5.719548,1430601
2000-01-11,5.690899,5.757739,5.671802,5.681351,1366109
2000-01-12,5.652706,5.786385,5.624061,5.729095,1937844
2000-01-13,5.757744,5.929617,5.710002,5.900971,1543041
2000-01-14,5.862772,5.958257,5.815030,5.881869,1458080
2000-01-18,5.843677,5.872322,5.690900,5.757740,1271334
2000-01-19,5.776838,5.891420,5.757742,5.862775,1462006
2000-01-20,5.824579,5.834127,5.690900,5.776836,1347883
2000-01-21,5.843677,5.967807,5.738643,5.939162,5041872
2000-01-24,5.939165,6.263813,5.920067,6.206522,3653612
2000-01-25,6.196971,6.196971,6.063292,6.111034,3543695
2000-01-26,6.091940,6.282910,6.025100,6.244716,2156276
2000-01-27,6.263812,6.445233,6.254263,6.416587,12932328
2000-01-28,6.387943,6.492977,6.292459,6.292459,4817272
2000-01-31,6.302004,6.378392,6.196971,6.378392,4167024
2000-02-01,6.359295,6.435683,6.297230,6.349747,3849892
2000-02-02,6.349746,6.464328,6.340198,6.368843,1514160
2000-02-03,6.407040,6.674398,6.407040,6.645752,2475091
2000-02-04,6.636202,6.645751,6.559815,6.569363,8186278
2000-02-07,6.512072,6.550266,6.416587,6.416587,1620712
2000-02-08,6.426137,6.492977,6.426137,6.473880,1553696
2000-02-09,6.473879,6.559815,6.464330,6.492976,6215066
2000-02-10,6.454782,6.492976,6.407039,6.407039,3730161
2000-02-11,6.387943,6.416589,6.292458,6.302007,2021123
2000-02-14,6.302007,6.340201,6.235168,6.292459,4537713
2000-02-15,6.263813,6.311555,6.216071,6.244716,2676138
2000-02-16,6.187425,6.254264,6.130134,6.225619,2878026
2000-02-17,6.149227,6.273357,6.130130,6.149227,1871950
2000-02-18,6.120586,6.158780,6.025101,6.044198,1364426
2000-02-22,6.053747,6.168329,6.053747,6.082392,2167772
2000-02-23,6.082389,6.245739,6.082389,6.207304,3449761
2000-02-24,6.207305,6.207305,5.784517,5.842169,2798112
2000-02-25,5.928648,5.928648,5.842168,5.928648,2083372
2000-02-28,5.928650,6.120826,5.861388,6.043956,1243854
2000-02-29,6.005517,6.005517,5.736470,5.736470,2262548
2000-03-01,5.919040,5.928649,5.765299,5.803734,1679316
2000-03-02,5.803732,5.995909,5.784515,5.995909,1666417
2000-03-03,6.092002,6.120828,6.005522,6.072784,3225441
2000-03-06,6.072782,6.111217,5.938258,5.957476,2862884
2000-03-07,5.957476,6.024738,5.794126,5.803734,3481446
2000-03-08,5.842172,5.957478,5.842172,5.870998,1848958
2000-03-09,5.832561,5.909432,5.813344,5.890214,2164408
2000-03-10,5.851780,5.909433,5.822953,5.880606,1063838
2000-03-13,5.851776,5.880603,5.813341,5.861385,878493
2000-03-14,5.784514,5.832558,5.688425,5.736470,2055893
2000-03-15,5.707648,5.947869,5.698039,5.938260,2663520
2000-03-16,5.938256,6.264956,5.938256,6.159259,1839424
2000-03-17,6.168866,6.188084,5.899819,5.919037,1696700
2000-03-20,5.880604,6.024737,5.870995,5.909431,1222824
2000-03-21,5.880605,6.024738,5.861388,5.957476,1909524
2000-03-22,5.957476,5.957476,5.765299,5.803734,1722778
2000-03-23,5.765299,5.803734,5.717255,5.755691,1978222
2000-03-24,5.765299,5.851778,5.736472,5.842169,1549490
2000-03-27,5.784514,5.947864,5.736470,5.736470,1573605
2000-03-28,5.688428,5.746081,5.525078,5.640384,1793158
2000-03-29,5.621164,5.717252,5.611555,5.717252,2230862
2000-03-30,5.765301,5.774910,5.688430,5.707648,1366950
2000-03-31,5.707645,5.822951,5.592339,5.669210,3298345
2000-04-03,5.726862,5.774906,5.621165,5.678818,919712
2000-04-04,5.717253,6.053562,5.717253,6.053562,3282082
2000-04-05,6.092001,6.457136,6.092001,6.236133,4046172
2000-04-06,6.216913,6.313001,6.034345,6.091999,2051406
2000-04-07,6.072780,6.188086,6.053562,6.101606,1278344
2000-04-10,6.111215,6.409088,6.101605,6.361044,1979904
2000-04-11,6.370653,6.562830,6.361044,6.409089,2763622
2000-04-12,6.437917,6.687747,6.389873,6.534006,2488830
2000-04-13,6.649313,6.860708,6.562834,6.697358,2167492
2000-04-14,6.668530,6.908751,6.399482,6.606072,2537059
2000-04-17,6.428307,6.553222,6.178478,6.457134,1972614
2000-04-18,6.457138,6.630097,6.264961,6.293788,1509674
2000-04-19,6.255349,6.303393,6.111217,6.255349,951678
2000-04-20,6.216915,6.418701,6.216915,6.399483,1179362
2000-04-24,6.437916,6.601267,6.399481,6.457134,945228
2000-04-25,6.591657,6.668527,6.437915,6.639701,1759790
2000-04-26,6.610874,6.793443,6.582048,6.706963,844004
2000-04-27,6.745398,6.745398,6.505176,6.620482,1526217
2000-04-28,6.630092,6.630092,6.409089,6.409089,1332180
2000-05-01,6.351436,6.485960,6.341827,6.418698,768576
2000-05-02,6.418699,6.476352,6.245740,6.255349,1584540
2000-05-03,6.322609,6.389871,6.264956,6.389871,2496121
2000-05-04,6.389872,6.706963,6.389872,6.543613,1359099
2000-05-05,6.534005,6.620484,6.428307,6.610875,1451631
2000-05-08,6.610876,6.908750,6.610876,6.649312,2037667
2000-05-09,6.764616,6.774225,6.639701,6.726181,1269932
2000-05-10,6.774224,6.976010,6.735789,6.879921,2212917
2000-05-11,6.851095,7.033662,6.822268,6.995227,2005140
2000-05-12,6.937579,6.956797,6.764621,6.860709,1520609
