date,open,high,low,close,volume
1999-01-04,4.133390,4.294271,4.034387,4.034387,932800
1999-01-05,4.034386,4.127202,4.022011,4.071512,811200
1999-01-06,4.059137,4.294270,4.059137,4.269519,1020800
1999-01-07,4.133391,4.380900,4.133391,4.343773,1433600
1999-01-08,4.281894,4.393273,4.170515,4.319020,1474400
1999-01-11,4.257144,4.479902,4.257144,4.430400,853600
1999-01-12,4.368524,4.424214,4.306647,4.356149,1848000
1999-01-13,4.158141,4.554154,4.158141,4.554154,951200
1999-01-14,4.578905,4.616031,4.294270,4.294270,713600
1999-01-15,4.319021,4.498465,4.319021,4.430400,182400
1999-01-19,4.430401,4.566530,4.393274,4.566530,791200
1999-01-20,4.578906,4.646971,4.479902,4.591281,801600
1999-01-21,4.591283,4.591283,4.430402,4.455153,442400
1999-01-22,4.448965,4.504654,4.288085,4.331398,771200
1999-01-25,4.294269,4.356147,4.281894,4.319020,2142400
1999-01-26,4.306646,4.473714,4.306646,4.461339,422400
1999-01-27,4.455153,4.591283,4.455153,4.455153,1112800
1999-01-28,4.529403,4.554154,4.455150,4.504652,592000
1999-01-29,4.479902,4.578905,4.479902,4.541779,441600
1999-02-01,4.554155,4.634596,4.541780,4.603657,306400
1999-02-02,4.554155,4.628408,4.554155,4.603657,1978400
1999-02-03,4.554155,4.603657,4.529404,4.578906,452000
1999-02-04,4.566530,4.578905,4.554154,4.554154,1236800
1999-02-05,4.554154,4.566530,4.504653,4.541779,948800
1999-02-08,4.492278,4.523217,4.430401,4.464434,975200
1999-02-09,4.479902,4.479902,4.405649,4.461339,501600
1999-02-10,4.430401,4.455152,4.331398,4.387088,801600
1999-02-11,4.393276,4.467528,4.380900,4.448966,266400
1999-02-12,4.405649,4.436588,4.393274,4.411837,216800
1999-02-16,4.393274,4.479902,4.393274,4.442775,1812000
1999-02-17,4.442778,4.467528,4.442778,4.455153,397600
1999-02-18,4.455151,4.455151,4.405649,4.430400,532800
1999-02-19,4.430402,4.467528,4.430402,4.448966,400800
1999-02-22,4.455150,4.554154,4.455150,4.517027,1611200
1999-02-23,4.479902,4.591281,4.455151,4.572718,836800
1999-02-24,4.578905,4.628406,4.504652,4.504652,1333600
1999-02-25,4.529404,4.603657,4.492278,4.603657,304000
1999-02-26,4.603658,4.609846,4.504655,4.609846,302400
1999-03-01,4.616033,4.851166,4.554155,4.835697,1143200
1999-03-02,4.801663,4.900666,4.677908,4.677908,682400
1999-03-03,4.665534,4.826414,4.665534,4.733599,475200
1999-03-04,4.715036,4.776913,4.715036,4.752162,1069600
1999-03-05,4.770723,4.838788,4.752160,4.826412,341600
1999-03-08,4.851166,4.974920,4.776913,4.962544,1012000
1999-03-09,4.906856,5.073923,4.906856,4.993484,4717600
1999-03-10,4.999671,5.222428,4.987295,5.135800,1092800
1999-03-11,5.098675,5.383310,5.098675,5.216242,2541600
1999-03-12,5.197677,5.197677,5.036796,5.098673,1888000
1999-03-15,5.024420,5.061546,4.937792,5.061546,3369600
1999-03-16,4.937792,5.073921,4.937792,5.073921,491200
1999-03-17,5.086298,5.086298,4.962543,5.055359,516800
1999-03-18,5.024422,5.148176,5.024422,5.135800,272000
1999-03-19,5.098673,5.135800,5.024421,5.098673,862400
1999-03-22,5.098673,5.148175,5.080111,5.098673,708000
1999-03-23,5.086296,5.111047,5.012044,5.012044,899200
1999-03-24,4.999669,5.024420,4.900666,4.913041,1114400
1999-03-25,4.900666,4.937792,4.851164,4.913041,544800
1999-03-26,4.851165,4.913042,4.801663,4.801663,260000
