date,open,high,low,close,volume
1999-01-04,1.840500,1.840500,1.759376,1.835430,3270400
1999-01-05,1.805008,1.835430,1.784727,1.812614,1772800
1999-01-06,1.805008,1.820219,1.744165,1.751770,3926400
1999-01-07,1.754305,1.754305,1.693462,1.749235,3652800
1999-01-08,1.754305,1.754305,1.690928,1.721349,5675200
1999-01-11,1.721349,1.723884,1.698533,1.703603,4358400
1999-01-12,1.703603,1.734024,1.703603,1.734024,1633600
1999-01-13,1.632619,1.711208,1.607268,1.657971,4811200
1999-01-14,1.668112,1.678252,1.632620,1.668112,1736000
1999-01-15,1.657971,1.718814,1.647830,1.713743,1395200
1999-01-19,1.723883,1.744164,1.688392,1.744164,2256000
1999-01-20,1.728954,1.744164,1.698533,1.698533,2305600
1999-01-21,1.723884,1.723884,1.680787,1.693462,2425600
1999-01-22,1.673182,1.805008,1.652901,1.784727,7209600
1999-01-25,1.784727,1.784727,1.668112,1.706138,10656000
1999-01-26,1.693462,1.706138,1.592057,1.627550,9964800
1999-01-27,1.622478,1.637689,1.556565,1.592057,3172800
1999-01-28,1.602198,1.622479,1.551495,1.581917,3587200
1999-01-29,1.574312,1.586988,1.551496,1.564171,4939200
1999-02-01,1.551495,1.589522,1.523609,1.586987,2532800
1999-02-02,1.571777,1.622479,1.571777,1.597128,3812800
1999-02-03,1.597128,1.640225,1.597128,1.627550,3884800
1999-02-04,1.617409,1.632619,1.617409,1.617409,2291200
1999-02-05,1.622479,1.622479,1.581917,1.584452,3820800
1999-02-08,1.581917,1.592058,1.533750,1.556566,2334400
1999-02-09,1.551496,1.576847,1.500793,1.500793,3827200
1999-02-10,1.498258,1.536285,1.480512,1.516004,2713600
1999-02-11,1.500793,1.548961,1.495723,1.541355,4222400
1999-02-12,1.536285,1.556566,1.521074,1.528679,3244800
1999-02-16,1.526145,1.531215,1.488118,1.490653,4980800
1999-02-17,1.445021,1.483047,1.422204,1.424740,5881600
1999-02-18,1.414599,1.500793,1.406993,1.488117,4382400
1999-02-19,1.475443,1.523610,1.457697,1.493188,2300800
1999-02-22,1.480512,1.531215,1.480512,1.526145,2560000
1999-02-23,1.531214,1.602198,1.521074,1.586987,3854400
1999-02-24,1.583535,1.603837,1.563234,1.575922,2934400
1999-02-25,1.573385,1.578461,1.537857,1.550546,2536000
1999-02-26,1.542933,1.550546,1.522631,1.542933,2094400
1999-03-01,1.502329,1.619064,1.482027,1.588611,2486400
1999-03-02,1.583536,1.596225,1.573385,1.573385,1644800
1999-03-03,1.573385,1.583536,1.507404,1.509942,1934400
1999-03-04,1.512480,1.558159,1.482027,1.522631,2078400
1999-03-05,1.527707,1.563234,1.517556,1.537858,1516800
1999-03-08,1.522631,1.542933,1.502329,1.512480,2323200
1999-03-09,1.522631,1.522631,1.469339,1.469339,3380800
1999-03-10,1.466801,1.497254,1.461725,1.492178,1241600
1999-03-11,1.492178,1.522630,1.461725,1.517555,2697600
1999-03-12,1.492178,1.598763,1.461726,1.558159,8606400
1999-03-15,1.553083,1.603838,1.553083,1.560697,4203200
1999-03-16,1.558159,1.573385,1.497254,1.522631,1713600
1999-03-17,1.532781,1.532781,1.482027,1.497254,1158400
1999-03-18,1.487103,1.542932,1.482027,1.509942,1486400
1999-03-19,1.527706,1.537857,1.497254,1.497254,2118400
1999-03-22,1.492178,1.522631,1.438886,1.471877,2115200
1999-03-23,1.441423,1.441423,1.398282,1.405896,4468800
1999-03-24,1.410971,1.410971,1.365293,1.389401,2436800
1999-03-25,1.410971,1.451575,1.388132,1.451575,3513600
1999-03-26,1.451575,1.461726,1.431273,1.441424,1835200
1999-03-29,1.461725,1.461725,1.421122,1.443961,2136000
1999-03-30,1.441424,1.482027,1.431273,1.436349,2451200
1999-03-31,1.436349,1.461726,1.403358,1.423660,2971200
1999-04-01,1.431273,1.451575,1.380519,1.435079,1886400
1999-04-05,1.441423,1.583536,1.403357,1.583536,5129600
1999-04-06,1.542932,1.593686,1.502329,1.583536,2958400
1999-04-07,1.593687,1.593687,1.542933,1.568310,2691200
1999-04-08,1.558159,1.583535,1.517555,1.575922,2601600
1999-04-09,1.578460,1.603837,1.542932,1.583536,1372800
1999-04-12,1.588612,1.786554,1.563234,1.730724,12089600
1999-04-13,1.725647,1.766251,1.598762,1.662205,5292800
1999-04-14,1.662205,1.735799,1.619064,1.619064,2582400
1999-04-15,1.626677,1.786553,1.616526,1.745949,10944000
1999-04-16,1.781478,1.786553,1.700271,1.735799,8678400
1999-04-19,1.730724,1.817006,1.730724,1.781479,11532800
1999-04-20,1.756100,1.862685,1.745949,1.847458,13612800
1999-04-21,1.852534,1.867760,1.817006,1.867760,6417600
1999-04-22,1.857609,1.987033,1.857609,1.928665,8408000
1999-04-23,1.926128,1.979420,1.910901,1.923590,6966400
1999-04-26,1.938817,1.969269,1.928666,1.951505,2835200
1999-04-27,1.941354,1.966731,1.918514,1.946429,3884800
1999-04-28,1.943892,1.979419,1.918514,1.946429,4288000
1999-04-29,1.948966,1.971806,1.926127,1.971806,3102400
1999-04-30,1.948967,1.984496,1.928666,1.938816,1619200
1999-05-03,1.946430,1.964194,1.918515,1.936279,4600000
1999-05-04,1.943892,1.989570,1.908364,1.959118,7147200
1999-05-05,1.969269,2.030174,1.954043,2.030174,8129600
1999-05-06,2.007334,2.032711,1.999721,2.020023,4758400
1999-05-07,2.009873,2.027637,1.948968,1.987034,3636800
1999-05-10,1.997183,2.002258,1.984495,1.994646,1480000
1999-05-11,1.994647,2.020023,1.984496,2.017486,1068800
1999-05-12,1.989570,2.027636,1.984495,2.022560,2072000
1999-05-13,2.027636,2.096155,2.014948,2.040325,5521600
1999-05-14,2.020024,2.058090,1.999722,2.025100,4520000
1999-05-17,2.020023,2.080929,1.992108,2.070778,1928000
1999-05-18,2.050476,2.121532,2.040325,2.045401,3683200
1999-05-19,2.055551,2.065702,1.994646,2.047938,2739200
1999-05-20,2.063164,2.126607,2.035250,2.107574,4307200
1999-05-21,2.108843,2.108843,2.045401,2.058089,11108800
1999-05-24,2.058089,2.078391,2.022561,2.047938,4192000
1999-05-25,2.020023,2.055551,1.969269,1.976882,5739200
1999-05-26,1.979419,1.994646,1.948967,1.976882,3232000
1999-05-27,1.964193,2.025098,1.954042,2.012409,2745600
1999-05-28,2.014948,2.091079,2.014948,2.080929,6760000
1999-06-01,2.070778,2.086004,2.030174,2.035250,4028800
1999-06-02,2.045401,2.101230,2.025099,2.093617,4278400
1999-06-03,2.088542,2.118994,2.075853,2.101230,2896000
1999-06-04,2.101231,2.131683,2.091080,2.124070,2155200
1999-06-07,2.121532,2.141834,2.091079,2.129145,2763200
1999-06-08,2.131683,2.190051,2.113919,2.113919,5228800
1999-06-09,2.113918,2.177361,2.101229,2.151984,2537600
1999-06-10,2.144371,2.151985,2.106306,2.126608,2710400
1999-06-11,2.121532,2.136759,2.101230,2.121532,1659200
