date,open,high,low,close,volume
1999-01-04,3.194812,3.326363,3.194812,3.288777,989000
1999-01-05,3.269984,3.514293,3.269984,3.514293,818200
1999-01-06,3.495500,3.514293,3.382742,3.439121,515800
1999-01-07,3.457915,3.551880,3.420329,3.533087,1274400
1999-01-08,3.570671,3.683429,3.514292,3.627050,1455800
1999-01-11,3.608258,3.833774,3.608258,3.796188,831000
1999-01-12,3.683430,3.683430,3.307570,3.326363,1244400
1999-01-13,3.288776,3.401534,3.232397,3.382741,886200
1999-01-14,3.382743,3.420330,3.251192,3.307571,1066800
1999-01-15,3.363950,3.439122,3.345157,3.363950,745600
1999-01-19,3.457913,3.476706,3.382741,3.382741,754000
1999-01-20,3.382741,3.401534,3.345155,3.382741,1228800
1999-01-21,3.382741,3.420327,3.307569,3.382741,1923000
1999-01-22,3.382742,3.401535,3.326363,3.326363,385600
1999-01-25,3.326364,3.345157,3.063261,3.082054,770200
1999-01-26,3.119641,3.176020,3.063262,3.063262,1171400
1999-01-27,3.100847,3.138433,2.875331,2.875331,707600
1999-01-28,2.837746,3.063262,2.837746,3.006883,861000
1999-01-29,3.006883,3.063262,2.931711,2.931711,712800
1999-02-01,3.006882,3.006882,2.912917,2.969296,684600
1999-02-02,2.950503,3.025675,2.950503,2.969296,633600
1999-02-03,3.006883,3.044469,2.988090,3.025676,502200
1999-02-04,3.082054,3.382743,3.082054,3.269984,1777800
1999-02-05,3.269985,3.439122,3.251192,3.345157,1089600
1999-02-08,3.382742,3.457914,3.382742,3.439121,718000
1999-02-09,3.401535,3.401535,3.194812,3.194812,898200
1999-02-10,3.194812,3.307571,3.082054,3.082054,822000
1999-02-11,3.082055,3.138434,3.025676,3.025676,614600
1999-02-12,3.044469,3.157227,3.044469,3.119641,1092000
1999-02-16,3.119640,3.138433,2.988089,2.988089,849400
1999-02-17,3.006883,3.006883,2.931711,2.931711,751000
1999-02-18,2.950502,2.950502,2.818951,2.856537,1300600
1999-02-19,2.837745,2.856538,2.762573,2.762573,922000
1999-02-22,2.743779,2.856537,2.743779,2.856537,848200
1999-02-23,2.837745,2.856538,2.800159,2.818952,452600
1999-02-24,2.837745,2.875331,2.743780,2.762573,2613800
1999-02-25,2.743780,2.856538,2.743780,2.818952,2599600
1999-02-26,2.818951,2.837744,2.781365,2.837744,880200
1999-03-01,2.800159,2.818952,2.762573,2.800159,1871200
1999-03-02,2.818951,2.912916,2.800158,2.856537,663800
1999-03-03,2.856538,2.875331,2.743780,2.818952,792000
1999-03-04,2.818951,2.875330,2.800158,2.837744,572400
1999-03-05,2.875331,2.931710,2.800159,2.818952,386400
1999-03-08,2.856538,2.875331,2.762573,2.875331,2160600
1999-03-09,2.875331,3.063262,2.837745,3.025676,1785000
1999-03-10,3.006883,3.082055,2.950504,3.006883,1152000
1999-03-11,3.006883,3.119641,2.931711,2.931711,745400
1999-03-12,2.950504,2.969297,2.762574,2.781367,1847800
1999-03-15,2.762574,2.837746,2.743781,2.781367,954200
1999-03-16,2.800158,2.856537,2.743779,2.856537,722400
1999-03-17,2.856538,2.988089,2.837745,2.988089,1149200
1999-03-18,2.988090,3.082055,2.969296,3.025676,1688000
1999-03-19,3.082054,3.194812,3.063261,3.176019,1731000
1999-03-22,3.194812,3.307570,3.194812,3.213605,1106800
1999-03-23,3.269984,3.288777,3.176019,3.176019,1176400
1999-03-24,3.176020,3.326364,3.176020,3.307571,1421600
1999-03-25,3.326364,3.363950,3.288778,3.307571,1749600
