date,open,high,low,close,volume
1999-01-04,10.854981,10.917009,10.689571,10.772276,416600
1999-01-05,10.730924,10.813628,10.689571,10.772276,370000
1999-01-06,10.710252,10.875661,10.689575,10.875661,386200
1999-01-07,10.792953,10.937686,10.751601,10.917010,739900
1999-01-08,10.937686,10.979038,10.834305,10.896334,603500
1999-01-11,10.813629,10.834305,10.689572,10.834305,804600
1999-01-12,10.772280,10.958366,10.689575,10.875661,375400
1999-01-13,10.751602,10.917011,10.668898,10.710250,444400
1999-01-14,10.710248,10.751600,10.524162,10.606867,409400
1999-01-15,10.668895,10.792952,10.503485,10.792952,376300
1999-01-19,10.710248,10.710248,10.462134,10.606867,619500
1999-01-20,10.627542,10.627542,10.441456,10.462132,1187300
1999-01-21,10.524167,10.606872,10.462139,10.586196,309500
1999-01-22,10.503489,10.544841,10.462136,10.503489,569500
1999-01-25,10.524161,10.565513,10.420780,10.544837,278500
1999-01-26,10.565517,10.565517,10.441460,10.503489,340900
1999-01-27,10.524168,10.544844,10.296730,10.358759,643900
1999-01-28,10.276049,10.420783,10.234697,10.400106,926700
1999-01-29,10.338080,10.358756,10.151995,10.276052,998800
1999-02-01,10.172667,10.255372,9.986582,10.069286,295600
1999-02-02,9.986581,9.986581,9.759143,9.986581,387700
1999-02-03,9.986587,10.237822,9.986587,10.133141,9611300
1999-02-04,10.091264,10.216881,9.965647,10.070328,470600
1999-02-05,10.154073,10.195945,10.049391,10.175009,500800
1999-02-08,10.195945,10.237817,10.007519,10.195945,460400
1999-02-09,10.195945,10.195945,9.986583,10.070328,600300
1999-02-10,10.133137,10.237818,10.007520,10.091265,390400
1999-02-11,10.028459,10.028459,9.840033,9.881906,222400
1999-02-12,9.902839,9.902839,9.714413,9.777222,288700
1999-02-16,9.756289,9.965651,9.735352,9.923779,522000
1999-02-17,9.923775,10.133137,9.840030,10.007520,228900
1999-02-18,9.986584,10.237818,9.986584,10.091265,614600
1999-02-19,10.091266,10.091266,9.923776,9.965649,311000
1999-02-22,9.860966,10.007520,9.860966,10.007520,427500
1999-02-23,9.923777,9.944713,9.819096,9.819096,260200
1999-02-24,9.840031,9.923776,9.735349,9.756286,360600
1999-02-25,9.714412,9.798157,9.588795,9.651604,243100
1999-02-26,9.735345,9.860963,9.693473,9.798154,304500
1999-03-01,9.714414,9.819096,9.651606,9.819096,351700
1999-03-02,9.965647,10.091265,9.923775,10.007520,515900
1999-03-03,10.007516,10.112197,9.965643,10.028452,434400
1999-03-04,10.007516,10.112198,10.007516,10.049389,549900
1999-03-05,10.070331,10.300630,10.070331,10.258758,316500
1999-03-08,10.175008,10.216880,9.965645,10.112199,393000
1999-03-09,10.049392,10.154073,9.735349,9.735349,467500
1999-03-10,9.672538,9.881901,9.546921,9.714411,460000
