date,open,high,low,close,volume
1999-01-04,13.039641,13.378100,12.843690,13.217777,160650
1999-01-05,13.235593,13.289034,13.182152,13.235593,107663
1999-01-06,13.182153,13.199967,12.843693,12.932760,63450
1999-01-07,13.004017,13.128712,12.772438,12.772438,58725
1999-01-08,12.808065,12.808065,12.701183,12.736811,34425
1999-01-11,12.683364,12.701178,12.362718,12.433972,90450
1999-01-12,12.433973,12.487413,11.935188,12.077699,160988
1999-01-13,12.024258,12.113327,11.881749,11.899562,93488
1999-01-14,11.774865,11.899560,11.667983,11.685796,61088
1999-01-15,11.632358,12.540857,11.632358,12.540857,132300
1999-01-19,12.540860,13.217781,12.540860,12.772438,278100
1999-01-20,12.879316,13.093080,12.754620,12.861502,198450
1999-01-21,12.808064,13.128711,12.772437,13.128711,85050
1999-01-22,13.004011,13.876882,12.986196,13.609675,518063
1999-01-25,13.645304,14.001579,13.609676,13.894695,348638
1999-01-26,13.378100,14.589434,13.360287,14.571619,777263
1999-01-27,14.535992,15.551375,14.126277,14.963522,402300
1999-01-28,14.981336,14.981336,13.965955,14.001582,247725
1999-01-29,14.179715,14.411292,14.126274,14.393479,260888
1999-02-01,14.393487,14.393487,13.983771,14.215349,100238
1999-02-02,14.215345,14.233159,14.037209,14.090649,101925
1999-02-03,14.072838,14.072838,14.001583,14.019396,169763
1999-02-04,14.019396,14.037210,13.841259,13.876886,111038
1999-02-05,13.823442,13.823442,13.680933,13.734374,67500
1999-02-08,13.698750,13.805633,13.698750,13.787818,220050
1999-02-09,13.752188,13.912512,13.591866,13.591866,207563
1999-02-10,13.591869,13.591869,13.360291,13.378103,123188
1999-02-11,13.271224,13.306851,13.110901,13.271224,94838
1999-02-12,13.271221,13.271221,13.093083,13.128711,33750
1999-02-16,13.164336,13.199963,12.914944,12.914944,24300
1999-02-17,12.902828,12.902828,12.403824,12.457288,54000
1999-02-18,12.475107,12.475107,12.332534,12.332534,96863
1999-02-19,12.314712,12.332534,12.172139,12.332534,126225
1999-02-22,12.403821,12.671145,12.403821,12.546393,83363
1999-02-23,12.546391,12.653320,12.546391,12.617677,70200
1999-02-24,12.617678,12.671144,12.617678,12.671144,85725
1999-02-25,12.671149,13.241440,12.671149,13.170154,257513
1999-02-26,13.170150,13.473117,12.920648,13.116686,222750
1999-03-01,13.081041,13.089952,12.706788,12.742431,117788
1999-03-02,12.688964,12.885001,12.688964,12.867179,82350
1999-03-03,12.849361,12.938468,12.813717,12.938468,69188
1999-03-04,12.956292,13.205795,12.956292,13.098865,113400
1999-03-05,13.134505,13.366187,13.134505,13.223614,37800
1999-03-08,13.223614,13.294900,12.920647,12.938468,72225
1999-03-09,12.938466,12.938466,11.138487,11.138487,745538
1999-03-10,11.138491,11.138491,8.982079,9.766229,1958513
1999-03-11,9.766230,10.425629,9.552372,10.229592,399263
