date,open,high,low,close,volume
1999-01-04,5.712500,5.805500,5.694500,5.715250,7128900
1999-01-05,5.740000,5.791750,5.694500,5.784750,3577500
1999-01-06,5.837500,5.986250,5.805500,5.986250,10350900
1999-01-07,5.920000,6.000000,5.902750,6.000000,2781900
1999-01-08,6.002500,6.048750,5.902750,6.027750,2873700
1999-01-11,6.017500,6.041750,5.611250,5.694500,3890700
1999-01-12,5.685000,5.722250,5.430500,5.444500,3416400
1999-01-13,5.435000,5.625000,5.319500,5.597250,5063400
1999-01-14,5.600000,5.652750,5.361250,5.368250,2897100
1999-01-15,5.322500,5.604250,5.305500,5.569500,3583800
1999-01-19,5.642500,5.777750,5.583250,5.736250,3541500
1999-01-20,5.763750,5.763750,5.472250,5.486250,2119500
1999-01-21,5.475000,5.527750,5.340250,5.375000,2257200
1999-01-22,5.416750,5.416750,5.111250,5.152750,7885800
1999-01-25,5.263750,5.263750,5.069500,5.118250,5167800
1999-01-26,5.112500,5.250000,5.041750,5.236250,8338500
1999-01-27,5.280000,5.416750,5.250000,5.319500,3384000
1999-01-28,5.447500,5.722250,5.375000,5.694500,2816100
1999-01-29,5.712500,5.750000,5.382000,5.437500,3093300
1999-02-01,5.486250,5.486250,5.388750,5.444500,4132800
1999-02-02,5.458250,5.458250,5.166750,5.166750,3236400
1999-02-03,5.170000,5.388750,5.152750,5.263750,4234500
1999-02-04,5.307500,5.319500,5.000000,5.000000,2172600
1999-02-05,5.057500,5.208250,5.027750,5.125000,4291200
1999-02-08,5.170000,5.263750,5.111250,5.208250,6562800
1999-02-09,5.182500,5.243250,5.062500,5.062500,6157800
1999-02-10,5.100000,5.166750,5.041750,5.090250,3309300
1999-02-11,5.100000,5.368250,5.027750,5.368250,3433500
1999-02-12,5.240000,5.319500,5.069500,5.097250,5253300
1999-02-16,5.147500,5.208250,5.090250,5.152750,4579200
1999-02-17,5.180500,5.180500,5.013750,5.034750,4360500
1999-02-18,5.072500,5.152750,5.041750,5.104250,2632500
1999-02-19,5.127500,5.250000,5.083250,5.215250,3866400
1999-02-22,5.197500,5.430500,5.166750,5.430500,3496500
1999-02-23,5.420000,5.430500,5.138750,5.166750,5338800
1999-02-24,5.197500,5.236250,5.097250,5.111250,4588200
1999-02-25,5.112500,5.319500,5.111250,5.222250,5385600
1999-02-26,5.250000,5.250000,5.180500,5.222250,2939400
1999-03-01,5.225000,5.416750,5.187500,5.416750,5957100
1999-03-02,5.377500,5.548750,5.375000,5.520750,5357700
1999-03-03,5.530000,5.534750,5.472250,5.472250,2627100
1999-03-04,5.490000,5.583250,5.361250,5.527750,3276000
1999-03-05,5.557500,5.559000,5.375000,5.486250,2721600
1999-03-08,5.517500,5.694500,5.468750,5.673750,6591600
1999-03-09,5.670000,5.819500,5.555500,5.562500,6839100
1999-03-10,5.545000,5.632000,5.500000,5.597250,3270600
1999-03-11,5.670000,5.888750,5.625000,5.826500,4908600
