date,open,high,low,close,volume
1999-01-04,5.215639,5.423802,5.215639,5.389108,681654
1999-01-05,5.377545,5.389109,5.273463,5.325504,281793
1999-01-06,5.319721,5.452714,5.302374,5.452714,400322
1999-01-07,5.452715,5.475844,5.348633,5.360198,738381
1999-01-08,5.360196,5.400673,5.227203,5.394890,1108725
1999-01-11,5.394891,5.481626,5.394891,5.475843,604172
1999-01-12,5.487410,5.493192,5.412240,5.418022,508704
1999-01-13,5.365982,5.365982,5.279248,5.296595,723623
1999-01-14,5.296592,5.308156,5.238769,5.250333,193243
1999-01-15,5.273461,5.308156,5.273461,5.308156,159114
1999-01-19,5.319721,5.319721,5.238769,5.279245,285483
1999-01-20,5.296593,5.308158,5.256117,5.256117,133287
1999-01-21,5.285026,5.394890,5.134686,5.186727,1330101
1999-01-22,5.209858,5.215640,4.995913,4.995913,597715
1999-01-25,4.972784,5.088431,4.972784,5.036390,816785
1999-01-26,5.042171,5.042171,4.914960,4.972783,684882
1999-01-27,4.990130,4.990130,4.920743,4.943872,773894
1999-01-28,4.943870,5.059516,4.933751,5.053734,531302
1999-01-29,5.059517,5.059517,4.972782,5.001694,547444
1999-02-01,5.019042,5.088430,4.955436,4.995913,566815
1999-02-02,5.013260,5.042171,4.984348,5.019042,812173
1999-02-03,5.030606,5.047954,5.013259,5.024824,874896
1999-02-04,5.013260,5.227206,5.007479,5.163600,750372
1999-02-05,5.146251,5.180944,5.123122,5.134686,798798
1999-02-08,5.134689,5.134689,5.053737,5.082648,361120
1999-02-09,5.076865,5.082647,5.019042,5.019042,469963
1999-02-10,5.042170,5.042170,4.949653,4.990129,625848
1999-02-11,4.990130,5.082647,4.972783,5.071082,899801
1999-02-12,5.053733,5.053733,4.949652,4.955434,511010
1999-02-16,4.955435,5.042169,4.955435,4.984346,463967
1999-02-17,4.972782,5.019040,4.961217,4.984346,1129479
1999-02-18,4.967001,5.030607,4.967001,5.013260,766976
1999-02-19,5.030605,5.030605,4.961218,4.978564,404472
1999-02-22,4.978564,5.007476,4.966999,4.984346,308082
1999-02-23,4.972786,5.007480,4.822446,4.891833,786346
1999-02-24,4.868701,4.903395,4.729925,4.770402,1007261
1999-02-25,4.770404,4.822445,4.753057,4.776186,429838
1999-02-26,4.822443,4.822443,4.701014,4.735708,580190
1999-03-01,4.718361,4.810878,4.672102,4.799314,670585
1999-03-02,4.822442,4.822442,4.753054,4.764619,600021
1999-03-03,4.764622,4.770404,4.614282,4.672104,580651
1999-03-04,4.695234,4.753057,4.672104,4.677887,487488
1999-03-05,4.701014,4.729925,4.591150,4.683667,1009567
1999-03-08,4.660539,4.677886,4.533328,4.562240,660438
1999-03-09,4.562239,4.562239,4.487069,4.539110,887810
1999-03-10,4.539111,4.799315,4.539111,4.695233,788191
1999-03-11,4.701017,4.741494,4.695235,4.712582,549289
1999-03-12,4.718363,4.787751,4.660540,4.660540,996192
1999-03-15,4.637409,4.683667,4.568021,4.643191,570043
