date,open,high,low,close,volume
1999-01-04,8.025827,8.307815,8.025827,8.155975,59100
1999-01-05,8.307811,8.503034,8.264428,8.503034,66800
1999-01-06,8.589799,8.633182,8.437959,8.503034,75500
1999-01-07,8.503032,8.503032,8.372884,8.372884,26000
1999-01-08,8.372883,8.394574,8.199352,8.329500,110600
1999-01-11,8.307813,8.307813,8.199356,8.221047,33400
1999-01-12,8.199352,8.329500,8.177661,8.286118,38300
1999-01-13,8.025823,8.437960,8.025823,8.416268,57000
1999-01-14,8.416266,8.416266,8.329500,8.329500,20300
1999-01-15,8.286117,8.329500,8.242735,8.329500,31700
1999-01-19,8.329501,8.416267,8.199353,8.372884,59800
1999-01-20,8.372887,8.372887,8.155973,8.199356,64100
1999-01-21,8.155967,8.307807,8.155967,8.307807,23500
1999-01-22,8.307809,8.307809,8.090895,8.090895,38800
1999-01-25,8.155975,8.177667,8.112592,8.155975,16000
1999-01-26,8.134278,8.134278,7.982438,8.004129,60800
1999-01-27,8.004129,8.025821,8.004129,8.004129,47900
1999-01-28,8.004133,8.004133,7.852293,7.873985,109800
1999-01-29,7.873982,7.982439,7.722142,7.982439,83400
1999-02-01,7.939055,7.982438,7.765524,7.895672,34300
1999-02-02,7.852289,7.852289,7.635375,7.635375,87800
1999-02-03,7.635377,7.765526,7.635377,7.722143,51100
1999-02-04,7.722141,7.722141,7.310004,7.331696,80000
1999-02-05,7.375080,7.396771,7.028017,7.223240,4025900
1999-02-08,7.310004,7.418461,7.266621,7.375078,42100
1999-02-09,7.375080,7.396771,7.288314,7.353388,132300
1999-02-10,7.396773,7.440156,7.288316,7.288316,109500
1999-02-11,7.331696,7.418462,7.288313,7.396770,134200
1999-02-12,7.396773,7.418465,7.114785,7.288316,80400
1999-02-16,7.353388,7.418463,7.244931,7.353388,54900
1999-02-17,7.375081,7.375081,7.201550,7.201550,116400
1999-02-18,7.244933,7.288316,7.223242,7.288316,49100
1999-02-19,7.201544,7.288310,7.071396,7.244927,126600
1999-02-22,7.223239,7.375079,7.223239,7.310005,44200
1999-02-23,7.440153,7.591992,7.396770,7.570301,179900
1999-02-24,7.570300,7.722140,7.570300,7.657065,124200
1999-02-25,7.635375,7.722141,7.635375,7.635375,90400
1999-02-26,7.635374,7.743831,7.548608,7.657065,72600
1999-03-01,7.700451,7.765526,7.635377,7.722143,198100
1999-03-02,7.722143,7.808908,7.722143,7.722143,137500
1999-03-03,7.743830,7.743830,7.591990,7.591990,144100
1999-03-04,7.613681,7.635373,7.591990,7.591990,77700
1999-03-05,7.635374,7.635374,7.570299,7.613682,56100
1999-03-08,7.635379,7.635379,7.526922,7.526922,100400
1999-03-09,7.635374,7.678756,7.548608,7.613682,41100
1999-03-10,7.635375,7.743832,7.613684,7.635375,109400
1999-03-11,7.657066,7.678758,7.570301,7.635375,45300
1999-03-12,7.678758,7.700449,7.548609,7.635375,28900
1999-03-15,7.678758,7.678758,7.548610,7.570301,28600
1999-03-16,7.548610,7.591992,7.526918,7.570301,30500
1999-03-17,7.570305,7.570305,7.483539,7.548614,41800
1999-03-18,7.505227,7.591993,7.418462,7.418462,39300
1999-03-19,7.396770,7.483536,7.331696,7.418462,64100
1999-03-22,7.396770,7.461844,7.331696,7.331696,48500
1999-03-23,7.487652,7.487652,7.310430,7.310430,41800
1999-03-24,7.332581,7.332581,7.177512,7.177512,59400
1999-03-25,7.221819,7.332583,7.221819,7.332583,41300
1999-03-26,7.332585,7.664877,7.332585,7.554113,47600
1999-03-29,7.598419,7.598419,7.531960,7.554113,23000
1999-03-30,7.598416,7.598416,7.509804,7.509804,27600
1999-03-31,7.509804,7.576263,7.487651,7.509804,54000
1999-04-01,7.465502,7.487655,7.288279,7.443349,81300
1999-04-05,7.399039,7.465497,7.354733,7.465497,59300
1999-04-06,7.531956,7.598414,7.399039,7.465497,38300
1999-04-07,7.421193,7.509804,7.310429,7.509804,41000
1999-04-08,7.531956,7.531956,7.376886,7.465497,37500
1999-04-09,7.465497,7.465497,7.399039,7.421192,26500
1999-04-12,7.443350,7.509809,7.376892,7.487656,59600
1999-04-13,7.443348,7.620570,7.421195,7.598417,40800
1999-04-14,7.620570,7.687029,7.576265,7.664876,133500
1999-04-15,7.620570,7.664876,7.598417,7.598417,103500
1999-04-16,7.620568,7.930707,7.598415,7.775638,227000
1999-04-19,7.753487,8.152238,7.753487,8.063626,255200
1999-04-20,8.063622,8.063622,7.886400,7.975011,67200
1999-04-21,7.997168,8.152238,7.975015,8.152238,96500
1999-04-22,8.174392,8.240850,8.041475,8.218698,42800
1999-04-23,8.240850,8.528836,8.218697,8.528836,111200
1999-04-26,8.506682,8.506682,8.263001,8.263001,73200
1999-04-27,8.263004,8.373768,8.263004,8.329462,46100
1999-04-28,8.329463,8.418075,8.240852,8.395922,128800
1999-04-29,8.418071,8.418071,8.240849,8.263001,55300
1999-04-30,8.240845,8.462373,8.240845,8.462373,80900
1999-05-03,8.418071,8.484529,8.329459,8.351612,75400
1999-05-04,8.329454,8.395913,8.240843,8.307302,78500
1999-05-05,8.373767,8.418073,8.240850,8.418073,50000
1999-05-06,8.418070,8.506682,8.263001,8.285153,45600
1999-05-07,8.329460,8.418071,8.240849,8.263001,42800
1999-05-10,8.218698,8.484532,8.218698,8.373768,102400
