date,open,high,low,close,volume
1999-01-04,32.473855,32.881632,32.473855,32.770420,480500
1999-01-05,32.770427,32.770427,32.177297,32.510933,509800
1999-01-06,32.473845,32.992833,32.288492,32.844551,603700
1999-01-07,32.696280,32.696280,32.399715,32.399715,395000
1999-01-08,32.547999,33.066987,32.436787,32.918705,626800
1999-01-11,32.399721,32.733357,31.806591,32.288509,574400
1999-01-12,31.139318,31.472954,30.916895,31.139318,733800
1999-01-13,31.102248,31.398812,30.583259,30.657400,574800
1999-01-14,30.509108,30.842744,30.175473,30.323755,503300
1999-01-15,30.694462,30.842745,30.472039,30.842745,462400
1999-01-19,30.694472,31.028107,30.027200,30.472048,382100
1999-01-20,30.657391,30.805674,30.175473,30.360826,482100
1999-01-21,30.212541,30.360824,28.952141,28.952141,420000
1999-01-22,29.100432,29.174573,28.544372,28.655584,439200
1999-01-25,28.803860,28.952142,28.507295,28.915071,487700
1999-01-26,29.582322,30.694440,29.471110,30.620298,683100
1999-01-27,30.768604,31.028098,29.915980,30.064262,522400
1999-01-28,30.360835,30.731541,30.323765,30.657400,710000
1999-01-29,30.657395,30.953960,30.175477,30.805677,471600
1999-02-01,30.657401,30.731542,29.953059,29.990129,511300
1999-02-02,29.953048,30.323754,29.322847,29.656483,677700
1999-02-03,29.656481,30.138399,29.471128,30.027187,471100
1999-02-04,30.027192,30.620322,30.027192,30.101334,761000
1999-02-05,30.249611,30.249611,29.693552,30.027187,415800
1999-02-08,30.027189,30.175472,29.804766,29.915977,370600
1999-02-09,29.915979,30.397897,29.804767,30.138403,456600
1999-02-10,30.101334,30.101334,29.471133,30.101334,475800
1999-02-11,29.953054,30.434972,29.915983,30.249619,679200
1999-02-12,30.249613,30.323754,29.582342,29.915977,527100
1999-02-16,29.915989,30.731542,29.878918,30.472048,1008100
1999-02-17,30.472037,30.694460,29.804766,29.915977,894300
1999-02-18,30.397901,30.620325,30.101336,30.249619,1129300
1999-02-19,30.249598,30.953939,30.138387,30.953939,1466200
1999-02-22,30.805677,31.806583,30.731536,31.695372,859100
1999-02-23,31.769513,32.251431,31.213453,32.251431,964600
1999-02-24,32.770409,33.215256,32.066067,32.103138,1038300
1999-02-25,31.936396,32.271393,31.824730,32.048061,784000
1999-02-26,32.085291,32.420288,32.085291,32.196957,597500
1999-03-01,32.196962,32.383072,31.936409,32.308628,611900
1999-03-02,32.457504,33.648605,32.457504,33.425274,724000
1999-03-03,33.425284,33.648615,31.861963,32.345848,930800
1999-03-04,32.606396,32.606396,31.601404,32.159733,603400
1999-03-05,32.531952,33.201946,31.638626,32.159733,1219500
1999-03-08,32.234162,32.904156,32.196940,32.606380,1143800
1999-03-09,32.457499,33.053049,32.196945,33.015827,862300
1999-03-10,33.015810,33.276363,32.383038,33.276363,271700
1999-03-11,33.053049,33.090271,31.861948,32.122501,683300
1999-03-12,32.383059,33.015831,32.383059,32.792500,293100
1999-03-15,32.866936,33.909149,32.643605,33.834705,609000
1999-03-16,33.797474,33.834696,33.276367,33.499699,863000
1999-03-17,33.499731,33.648619,33.425287,33.611397,385200
1999-03-18,33.611367,34.504692,33.611367,34.504692,883500
1999-03-19,34.504692,34.728023,34.355805,34.653580,830500
