date,open,high,low,close,volume
1999-01-04,24.195509,24.680806,24.022187,24.160843,1486937
1999-01-05,24.160857,24.368841,23.779552,24.299513,1219464
1999-01-06,24.403506,24.854141,24.368842,24.784813,1695775
1999-01-07,24.264834,24.750131,24.195509,24.542147,1584590
1999-01-08,24.646160,24.646160,24.230191,24.507504,1632316
1999-01-11,24.403506,24.403506,23.952874,24.126194,1032129
1999-01-12,24.056867,24.299515,23.710226,23.744890,1364109
1999-01-13,23.432918,23.675566,23.051613,23.155605,2113451
1999-01-14,23.155608,23.155608,22.739639,22.739639,1616897
1999-01-15,23.224920,23.606224,22.739623,23.606224,1833497
1999-01-19,23.363580,23.363580,22.808955,23.051603,1415715
1999-01-20,23.155591,23.502231,22.392982,22.704958,2964538
1999-01-21,22.670306,22.878290,21.977024,22.046352,2838878
1999-01-22,21.907690,22.219667,21.214409,21.977018,1627700
1999-01-25,21.907688,22.219665,21.353063,21.942352,1517460
1999-01-26,21.942342,22.462302,21.803686,22.219654,1106916
1999-01-27,22.219663,22.427647,21.838358,21.907686,1346802
1999-01-28,21.977018,22.323658,21.526385,21.734369,2287046
1999-01-29,21.734377,21.907697,20.971767,21.630384,2564483
1999-02-01,21.491717,22.115670,21.491717,21.699701,2162435
1999-02-02,21.595710,22.011678,21.353061,21.907686,1536970
1999-02-03,21.699703,21.977016,21.422391,21.769032,1933563
1999-02-04,22.046346,22.115675,21.561050,21.977018,1729445
1999-02-05,22.046345,23.883539,22.046345,23.883539,2277711
1999-02-08,23.606234,23.814218,23.294257,23.744890,1858356
1999-02-09,23.710214,23.918199,23.467566,23.640886,1887411
1999-02-10,23.571566,23.744886,22.947613,23.710222,1827728
1999-02-11,23.640886,24.403495,23.294246,24.264839,1316488
1999-02-12,24.334168,24.576816,23.848871,23.848871,1660007
1999-02-16,24.091520,24.195514,23.744880,23.987528,1102511
1999-02-17,23.629780,24.499801,23.246971,23.246971,1074714
1999-02-18,23.386167,24.047383,23.246964,23.664574,990697
1999-02-19,23.525380,24.186597,23.351376,23.594982,1114783
1999-02-22,23.525380,24.151796,23.525380,24.012592,1544627
1999-02-23,23.525380,23.803787,23.420977,23.455778,1484104
1999-02-24,23.351374,24.325797,23.142569,23.560179,1526900
1999-02-25,23.386167,23.873379,22.933756,23.664574,1326034
1999-02-26,23.699388,24.082197,22.968570,23.038172,1398304
1999-03-01,23.177371,23.386176,22.585757,23.351376,872065
1999-03-02,23.351374,23.455777,22.829362,23.177370,1167648
