date,open,high,low,close,volume
1999-01-04,7.575615,7.755658,7.575615,7.637938,14590892
1999-01-05,7.637937,7.762582,7.561766,7.721034,11471980
1999-01-06,7.811056,8.018796,7.811056,7.935700,26061991
1999-01-07,7.935699,8.074193,7.797205,8.074193,15746942
1999-01-08,8.074193,8.302708,8.060344,8.094968,18231679
1999-01-11,8.081123,8.081123,7.887231,7.977252,10777028
1999-01-12,7.977251,8.018799,7.790284,7.804134,9820039
1999-01-13,7.804131,8.067269,7.589465,7.921851,14494885
1999-01-14,7.921851,8.032646,7.700260,7.776432,15130382
1999-01-15,7.776430,7.824904,7.700259,7.811054,11225796
1999-01-19,7.804129,7.804129,7.478668,7.700259,13511472
1999-01-20,7.866451,8.254233,7.866451,7.949547,19824606
1999-01-21,7.949550,8.136517,7.769508,7.776432,12712586
1999-01-22,7.776435,7.811059,7.644866,7.714113,9254566
1999-01-25,7.734884,8.053421,7.734884,7.908002,11727412
1999-01-26,7.908001,8.143440,7.880302,8.046494,13181612
1999-01-27,8.046496,8.240387,7.873378,8.018797,13810063
1999-01-28,8.094969,8.281936,8.094969,8.184990,13109387
1999-01-29,8.309632,8.752813,8.309632,8.683566,29883342
1999-02-01,8.794360,9.292938,8.794360,9.078273,37611481
1999-02-02,8.925934,8.925934,8.531226,8.538151,27200866
1999-02-03,8.600463,8.815129,8.600463,8.697409,14057568
1999-02-04,8.697418,8.711268,8.268087,8.351184,16967291
1999-02-05,8.254235,8.254235,7.908000,7.970322,24584009
1999-02-08,7.970321,8.143439,7.963397,7.963397,13097496
1999-02-09,7.963399,8.302709,7.824905,7.824905,14973160
1999-02-10,7.873378,8.101893,7.873378,8.018797,12512204
1999-02-11,8.018796,8.385805,7.908001,8.337332,17239458
1999-02-12,8.337334,8.579699,8.226539,8.468904,24661960
1999-02-16,8.468900,8.642017,7.700259,7.811054,20397566
1999-02-17,7.811053,7.866451,7.430195,7.547915,28786306
1999-02-18,7.547916,7.631012,7.395573,7.527142,20100737
1999-02-19,7.527143,7.700260,7.478669,7.568691,15230794
1999-02-22,7.665638,8.261162,7.665638,8.184990,19426044
1999-02-23,8.184994,8.295789,8.060349,8.101897,14392712
1999-02-24,8.101896,8.184992,7.769511,7.838758,11948052
1999-02-25,7.838755,7.977248,7.686411,7.887227,13358213
1999-02-26,7.873380,7.873380,7.326329,7.360953,21163422
1999-03-01,7.360949,7.402496,7.021639,7.298626,19688963
1999-03-02,7.506370,8.143442,7.506370,7.603316,39627192
1999-03-03,7.603312,7.783355,7.561764,7.624086,21977281
1999-03-04,7.624088,7.693334,7.298627,7.471745,19561687
1999-03-05,7.471743,7.596387,7.374798,7.547915,18222431
1999-03-08,7.568694,7.741811,7.568694,7.741811,13760298
1999-03-09,7.741810,7.831831,7.437124,7.499445,16484612
